"artifact_id","category","local_path","local_exists","local_file_count","local_total_bytes","local_extensions","manifest_present","sha256sums_present","readme_present","logbook_present","row_totals"
"A01-rtl-source-bodies-session06","source-body/source-package","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\language-source-bodies\rtl-persianate-arabic","True","205","341736658",".csv=9; .html=48; .json=2; .md=5; .pdf=56; .tex=3; .txt=76; .zip=6","True","True","True","True",""
"A02-cycle2-source-canon-recovery","source-canon/provenance/extraction","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\source-canon-recovery\rtl-persianate-arabic-gap-source-canon-cycle2-20260705","True","41","18455128",".csv=9; .html=5; .json=1; .md=2; .pdf=9; .txt=15","True","True","True","True","CANDIDATE_SOURCE_WITNESSES.csv=14; SOURCE_TEXT_EXTRACTION_LEDGER.csv=14; EXACT_TERM_CONTEXT_EVIDENCE.csv=210; SOURCE_GATED_DRAFT_UNLOCK_CANDIDATES.csv=5"
"A03-cycle2-source-gated-draft-support","generated-draft/non-canonical support","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\interlanguage-sidecar\rtl-persianate-arabic-cycle2-source-gated-draft-support-20260706","True","14","279961",".csv=8; .json=1; .jsonl=1; .md=3; .txt=1","True","True","True","True","CYCLE2_SOURCE_GATED_DRAFT_ROWS.csv=133"
"A04-fable-ledger","Fable/interlanguage support ledger","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\interlanguage-sidecar\rtl-persianate-arabic-fable-ledger-20260705","True","14","180449",".csv=8; .jsonl=1; .md=4; .txt=1","True","True","True","True",""
"A05-pretranslation-support","generated-draft/non-canonical pretranslation support","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\interlanguage-sidecar\rtl-persianate-arabic-pretranslation-support-20260705","True","8","28746",".csv=3; .jsonl=1; .md=3; .txt=1","True","True","True","True",""
"A06-uploader-handoff","B3/uploader handoff package","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\uploader-transfer\rtl-persianate-arabic-r3-session06-body-draft-handoff-20260706","True","20","320198409",".csv=7; .md=7; .txt=1; .zip=5","True","True","True","True","BODY_FILE_LEDGER.csv=282; PACKAGE_POINTERS.csv=5"
"A07-body-presence-source-use-audit","body/source-use audit","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\audits\r3-body-presence-source-use-audit-20260706","True","14","109635",".csv=10; .json=1; .md=2; .txt=1","True","True","True","True",""
"A08-b3-committed-tree-ready-inputs","B3 committed-tree-ready audit input","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\audits\r3-b3-committed-tree-ready-audit-inputs-20260706","True","23","125701",".csv=14; .json=1; .md=6; .txt=2","True","True","True","True",""
"A09-source-use-routing-continuation","source-use routing/gap continuation","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\source-canon-recovery\r3-source-use-routing-continuation-20260706","True","12","258072",".csv=8; .md=3; .txt=1","True","True","True","True","ROW_LEVEL_SOURCE_USE_PROVENANCE_ROUTING.csv=282; SOURCE_GATED_DRAFT_ROUTING_ROWS.csv=133; GAP_BLOCKER_NEXT_ACTIONS_ROUTING.csv=13; R3_SOURCE_BODY_PATHS_COUNTS_B3.csv=5"
"A10-extraction-correctness-source-use-audit","extraction correctness/source-use audit","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\source-canon-recovery\r3-extraction-correctness-source-use-audit-20260706","True","13","240560",".csv=9; .json=1; .md=2; .txt=1","True","True","True","True","SOURCE_GATED_DRAFT_ELIGIBILITY.csv=133; TERM_CONTEXT_EXTRACTION_ROUTE.csv=210; EXTRACTION_CORRECTNESS_AUDIT.csv=14; SCRIPT_CODEPOINT_SANITY.csv=14; EXTRACTION_GAP_BLOCKERS_NEXT_ACTIONS.csv=8; MUTUAL_WATCH_ACTIONS.csv=8; B3_EXACT_PATHS_FOR_EXTRACTION_AUDIT.csv=5"
