bytes,error_tail,filename,pages,pdfinfo_ok,pdftotext_ok,role,sample_text_chars,sha256,source
162231,,00_pdf__non_eu__al_kashi_miftah_al_hisab.pdf,27,True,True,non_eu_combined_reader_pdf,5813,1bedad67f4a99cbb68e0d37ad94dc5b5ca23320cac8bbbb50050418f6788231c,%USERPROFILE%\Downloads\CLEANED_DROPS\cleanup9_kimi5_001_005_redo_cleaned\non_eu_combined\al-kashi-miftah-al-hisab_COMBINED.pdf
168015,,00_pdf__non_eu__al_khwarizmi_al_jabr_wa_l_muqabala.pdf,45,True,True,non_eu_combined_reader_pdf,2270,f29841b0fcf869e7c789de85e7fa4c9c7d4631f4a390adc8106449dad279fd66,%USERPROFILE%\Downloads\CLEANED_DROPS\cleanup9_kimi5_001_005_redo_cleaned\non_eu_combined\al-khwarizmi-al-jabr-wa-l-muqabala_COMBINED.pdf
44545,,00_pdf__non_eu__al_tusi_shakl_al_qatta.pdf,13,True,True,non_eu_combined_reader_pdf,949,ea585c8224a47fe93f000c073023e43cf7c218ecb59a58905fcb652751dde3b8,%USERPROFILE%\Downloads\CLEANED_DROPS\cleanup9_kimi5_001_005_redo_cleaned\non_eu_combined\al-tusi-shakl-al-qatta_COMBINED.pdf
87411,,00_pdf__non_eu__aryabhata_aryabhatiya.pdf,22,True,True,non_eu_combined_reader_pdf,2091,cd05a06f25fb2fea551c9034d0d19ac8cbbcef4c095b7905195375931e7c1667,%USERPROFILE%\Downloads\CLEANED_DROPS\cleanup9_kimi5_001_005_redo_cleaned\non_eu_combined\aryabhata-aryabhatiya_COMBINED.pdf
288337,,00_pdf__non_eu__bhaskara_ii_bijaganita.pdf,70,True,True,non_eu_combined_reader_pdf,336,ab27592ddee17f093b46e05c1b911939c598fac23296594485d3afdfb66987a8,%USERPROFILE%\Downloads\CLEANED_DROPS\cleanup9_kimi5_001_005_redo_cleaned\non_eu_combined\bhaskara-ii-bijaganita_COMBINED.pdf
68964,,00_pdf__non_eu__bhaskara_ii_lilavati.pdf,37,True,True,non_eu_combined_reader_pdf,91,7e008457103b2c975c2bdcdd38fd242f462eb8c26d963bd022e5cee8986595b9,%USERPROFILE%\Downloads\CLEANED_DROPS\cleanup9_kimi5_001_005_redo_cleaned\non_eu_combined\bhaskara-ii-lilavati_COMBINED.pdf
25115966,,00_pdf__non_eu__brahmagupta_brahmasphutasiddhanta_all.pdf,403,True,True,non_eu_combined_reader_pdf,723,5ad266a46b7106ff720c7fc8517f52e39a6c2c16f05e5aca6820b121979e2306,%USERPROFILE%\Downloads\CLEANED_DROPS\cleanup9_kimi5_001_005_redo_cleaned\non_eu_combined\brahmagupta-brahmasphutasiddhanta_ALL_COMBINED.pdf
501206,,00_pdf__non_eu__brahmagupta_brahmasphutasiddhanta_pt1.pdf,108,True,True,non_eu_combined_reader_pdf,723,fb379ddc31e3eb893591874c16a6cbffd1727cefa97700ee7cfa2142efef9572,%USERPROFILE%\Downloads\CLEANED_DROPS\cleanup9_kimi5_001_005_redo_cleaned\non_eu_combined\brahmagupta-brahmasphutasiddhanta_pt1_COMBINED.pdf
24304251,,00_pdf__non_eu__brahmagupta_brahmasphutasiddhanta_pt2.pdf,255,True,True,non_eu_combined_reader_pdf,2254,dd4c0ee3889d1adc0607f4e31c12eeb966823a0b9df7671ae262d1358f4f24a4,%USERPROFILE%\Downloads\CLEANED_DROPS\cleanup9_kimi5_001_005_redo_cleaned\non_eu_combined\brahmagupta-brahmasphutasiddhanta_pt2_COMBINED.pdf
311387,,00_pdf__non_eu__brahmagupta_brahmasphutasiddhanta_pt3.pdf,40,True,True,non_eu_combined_reader_pdf,903,34aa528b21ac6a606ba49d697d7d385f1ef02d590107df9b64aca1a57fea9570,%USERPROFILE%\Downloads\CLEANED_DROPS\cleanup9_kimi5_001_005_redo_cleaned\non_eu_combined\brahmagupta-brahmasphutasiddhanta_pt3_COMBINED.pdf
1213497,,00_pdf__non_eu__cyhj_detail.pdf,6,True,True,non_eu_combined_reader_pdf,4318,2cc185dfb7deb7ee964c3bda9f8362970cb0c452733067b20aff171c7b529a42,%USERPROFILE%\Downloads\CLEANED_DROPS\cleanup9_kimi5_001_005_redo_cleaned\non_eu_combined\cyhj_detail_COMBINED.pdf
576733,,00_pdf__non_eu__jiuzhang_suanshu.pdf,45,True,True,non_eu_combined_reader_pdf,1002,fc84d4fc031a899baefbca4303acf3b7c10fd915b9a83bc2af4eadb28ae0fe2a,%USERPROFILE%\Downloads\CLEANED_DROPS\cleanup9_kimi5_001_005_redo_cleaned\non_eu_combined\jiuzhang-suanshu_COMBINED.pdf
65620,,00_pdf__non_eu__karpinski_robert_of_chester_latin_translation_1915.pdf,42,True,True,non_eu_combined_reader_pdf,3,565d02c3b27e42c0fef4756d665abe1f3f02499bd9f9cc559669c3d3fc2fd2d2,%USERPROFILE%\Downloads\CLEANED_DROPS\cleanup9_kimi5_001_005_redo_cleaned\non_eu_combined\karpinski-robert-of-chester-latin-translation-1915_COMBINED.pdf
