language,variety_code,records,primary_unique_records,unique_logical_sources,counting_eligible,active_body_eligible,official_lexical_reference_records,bytes,active_body_bytes,all_primary_bytes,declared_open_license_primary,license_unresolved_primary,domains,term_promotion_eligible,body_status,specialist_algebra_active_bodies,translation_families
ca,ca,11,10,10,6,6,0,1102317,1102317,1228650,10,0,abstract_algebra;group_theory;mathematics_general;module_theory;proof_register;ring_theory,0,substantive_body_present,4,0
es,es,70,66,66,9,9,0,895422,895422,3019093,12,53,abstract_algebra;field_theory;group_theory;mathematics_general;mathematics_mixed;module_theory;proof_register;ring_theory,0,substantive_body_present,6,0
fr,fr,30,30,30,21,21,0,1692746,1692746,2009122,14,15,abstract_algebra;field_theory;group_theory;mathematics_general;mathematics_mixed;module_theory;proof_register;ring_theory,0,substantive_body_present,5,0
fr_es,fr-es-generated,4,4,4,0,0,0,0,0,118757,0,0,,0,auxiliary_or_generated_only,0,0
gl,gl,6,6,6,6,6,0,1261078,1261078,1261078,6,0,abstract_algebra;field_theory;group_theory;mathematics_general;module_theory;proof_register;ring_theory,0,substantive_body_present,5,0
it,it,8,8,8,8,8,0,1641920,1641920,1641920,6,2,abstract_algebra;analysis;field_theory;group_theory;mathematics_general;module_theory;proof_register;ring_theory,0,substantive_body_present,6,0
pt,pt,10,9,9,7,7,0,1509170,1509170,1660780,9,0,abstract_algebra;group_theory;mathematics_general;module_theory;proof_register;ring_theory,0,substantive_body_present,6,0
rm,rm-puter,1,1,1,1,1,0,1699194,1699194,1699194,0,1,"coordinate_geometry',;fractions',;measurement',;proportional_reasoning',;solution_register;symmetry',;word_problems',;arithmetic',",0,substantive_body_present,0,1
rm,rm-rg,4,4,4,4,4,0,4470831,4470831,4470831,0,4,"coordinate_geometry',;fractions',;measurement',;proportional_reasoning',;solution_register;symmetry',;word_problems',;arithmetic',;arithmetic;exam_instructions;fractions;geometry;measurement;mental_arithmetic;number_line;solution_register;word_problems",0,substantive_body_present,0,1
rm,rm-rg+rm-vallader+rm-sursilvan,1,1,1,1,0,1,377536,0,377536,0,1,lexicography;mathematics_education;school_math_terminology,0,reference_corpus_only_explicit_zero_body_gap,0,0
rm,rm-sursilvan,1,1,1,1,1,0,1621152,1621152,1621152,0,1,"coordinate_geometry',;fractions',;measurement',;proportional_reasoning',;solution_register;symmetry',;word_problems',;arithmetic',",0,substantive_body_present,0,1
rm,rm-vallader,1,1,1,1,1,0,1679743,1679743,1679743,0,1,"coordinate_geometry',;fractions',;measurement',;proportional_reasoning',;solution_register;symmetry',;word_problems',;arithmetic',",0,substantive_body_present,0,1
ro,ro,6,6,6,6,6,0,1251878,1251878,1251878,6,0,abstract_algebra;field_theory;group_theory;mathematics_general;proof_register;ring_theory,0,substantive_body_present,4,0
