"field","value","source_use_label"
"packet_path","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_2BD3E449_SAME_FRONTIER_IDLE_RECOVERY_SOURCE_USE_GAP_20260707\R3_2BD3E449_SAME_FRONTIER_IDLE_RECOVERY_SOURCE_USE_GAP_20260707_20260707T023640Z","b3-uploader-summary"
"frontier","2bd3e449c2b778525a4d7b4453898912ebfc3664","b3-uploader-summary"
"remote_frontier","2bd3e449c2b778525a4d7b4453898912ebfc3664","b3-uploader-summary"
"same_frontier","True","b3-uploader-summary"
"source_packet","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_2BD3E449_25B9A6DF_CURRENT_HEAD_SOURCE_USE_GAP_AUDIT_20260707\R3_2BD3E449_25B9A6DF_CURRENT_HEAD_SOURCE_USE_GAP_AUDIT_20260707_20260707T022957Z","b3-uploader-summary"
"source_packet_commit_rows","2","b3-uploader-summary"
"source_packet_branch_delta_rows","160","b3-uploader-summary"
"arabic_source_use_gap_rows_carried","6","b3-uploader-summary"
"persianate_draft_noncanonical_rows_carried","9","b3-uploader-summary"
"new_canonical_translation_rows","0","b3-uploader-summary"
"language_lane_push","false","b3-uploader-summary"
"repair_handoff","README placeholder repaired in place at 20260707T024432Z; regenerate manifest and SHA before B3 packaging","metadata-repair-no-source-fact-change"
