"current_head","source_packet","source_use_label_5dcc","source_row_head","source_use_label_963f","source_use_label_e58","relative_path","local_path","bytes","sha256","pdfplumber_available","page_count","extracted_char_count","extraction_status","source_use_label","boundary"
"5dcc7bf5785eead01fd397b8e179a8276f3b668b","R3_81DB4BA9_PDF_LAYER_RECOVERY_AUDIT_20260706T101455Z","pdf-layer-recovery-branch-visible-carry-forward","81db4ba945379e7c267ac6b5049f207e5746e65e","pdf-layer-recovery-carry-forward","pdf-source-body-text-layer-audit-current-head-refresh","source-canon-recovery\r3-ur-ota-source-body-recovery-cycle3-20260706\source-bodies\ota_Arab\OTA-CEBIR-003_DergiPark_Takiyuddin_Cebir_Risalesi.pdf","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\source-canon-recovery\r3-ur-ota-source-body-recovery-cycle3-20260706\source-bodies\ota_Arab\OTA-CEBIR-003_DergiPark_Takiyuddin_Cebir_Risalesi.pdf","11264217","a6a1b0e09ec00894c136376686a8545c8e9248a5776d8fc536affc2532fb4f3a","true","32","41975","text-extracted","pdf-source-body-text-layer-audit","PDF text-layer audit only; no OCR certification, source certification, license clearance, native review, accepted terminology, gate promotion, final status, or translation completion"
"5dcc7bf5785eead01fd397b8e179a8276f3b668b","R3_81DB4BA9_PDF_LAYER_RECOVERY_AUDIT_20260706T101455Z","pdf-layer-recovery-branch-visible-carry-forward","81db4ba945379e7c267ac6b5049f207e5746e65e","pdf-layer-recovery-carry-forward","pdf-source-body-text-layer-audit-current-head-refresh","source-canon-recovery\rtl-persianate-arabic-gap-recovery-20260705\downloaded\ota_adjacent\Hussein_Tevfik_Linear_Algebra_1882.pdf","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\source-canon-recovery\rtl-persianate-arabic-gap-recovery-20260705\downloaded\ota_adjacent\Hussein_Tevfik_Linear_Algebra_1882.pdf","3659852","2b8dc90dcc6994336bb1a5f89010d948e150d8f2ed8cb306b9c9db2a6d2d7de3","true","98","0","no-text-extracted","pdf-source-body-text-layer-audit","PDF text-layer audit only; no OCR certification, source certification, license clearance, native review, accepted terminology, gate promotion, final status, or translation completion"
"5dcc7bf5785eead01fd397b8e179a8276f3b668b","R3_81DB4BA9_PDF_LAYER_RECOVERY_AUDIT_20260706T101455Z","pdf-layer-recovery-branch-visible-carry-forward","81db4ba945379e7c267ac6b5049f207e5746e65e","pdf-layer-recovery-carry-forward","pdf-source-body-text-layer-audit-current-head-refresh","source-canon-recovery\rtl-persianate-arabic-gap-recovery-20260705\downloaded\ur_Arab_or_urdu_medium\VU_MTH501_Linear_Algebra_Handouts.pdf","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\source-canon-recovery\rtl-persianate-arabic-gap-recovery-20260705\downloaded\ur_Arab_or_urdu_medium\VU_MTH501_Linear_Algebra_Handouts.pdf","3581567","43f361baba8ce93b4e8189e136716337ca0236eee7780e9c825b3013e74ee4d3","true","524","653521","text-extracted","pdf-source-body-text-layer-audit","PDF text-layer audit only; no OCR certification, source certification, license clearance, native review, accepted terminology, gate promotion, final status, or translation completion"
"5dcc7bf5785eead01fd397b8e179a8276f3b668b","R3_81DB4BA9_PDF_LAYER_RECOVERY_AUDIT_20260706T101455Z","pdf-layer-recovery-branch-visible-carry-forward","81db4ba945379e7c267ac6b5049f207e5746e65e","pdf-layer-recovery-carry-forward","pdf-source-body-text-layer-audit-current-head-refresh","source-canon-recovery\rtl-persianate-arabic-gap-source-canon-cycle2-20260705\source-bodies\ar\AR-NOETH-001_Damascus_Pruefer_arithmetical_ring.pdf","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\source-canon-recovery\rtl-persianate-arabic-gap-source-canon-cycle2-20260705\source-bodies\ar\AR-NOETH-001_Damascus_Pruefer_arithmetical_ring.pdf","433859","8957e428cacbada148c65e9894fcf73c0931bda5722c8cc8a842f23150be69c4","true","15","20212","text-extracted","pdf-source-body-text-layer-audit","PDF text-layer audit only; no OCR certification, source certification, license clearance, native review, accepted terminology, gate promotion, final status, or translation completion"
"5dcc7bf5785eead01fd397b8e179a8276f3b668b","R3_81DB4BA9_PDF_LAYER_RECOVERY_AUDIT_20260706T101455Z","pdf-layer-recovery-branch-visible-carry-forward","81db4ba945379e7c267ac6b5049f207e5746e65e","pdf-layer-recovery-carry-forward","pdf-source-body-text-layer-audit-current-head-refresh","source-canon-recovery\rtl-persianate-arabic-gap-source-canon-cycle2-20260705\source-bodies\ar\AR-NOETH-002_Fezzan_circulant_matrix_ring.pdf","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\source-canon-recovery\rtl-persianate-arabic-gap-source-canon-cycle2-20260705\source-bodies\ar\AR-NOETH-002_Fezzan_circulant_matrix_ring.pdf","536609","971692613bfd9312b364bd0740f8401bb6372635cf3bf092f7b3dcbe601d2a15","true","20","31806","text-extracted","pdf-source-body-text-layer-audit","PDF text-layer audit only; no OCR certification, source certification, license clearance, native review, accepted terminology, gate promotion, final status, or translation completion"
"5dcc7bf5785eead01fd397b8e179a8276f3b668b","R3_81DB4BA9_PDF_LAYER_RECOVERY_AUDIT_20260706T101455Z","pdf-layer-recovery-branch-visible-carry-forward","81db4ba945379e7c267ac6b5049f207e5746e65e","pdf-layer-recovery-carry-forward","pdf-source-body-text-layer-audit-current-head-refresh","source-canon-recovery\rtl-persianate-arabic-gap-source-canon-cycle2-20260705\source-bodies\ar\AR-NOETH-003_SyriaMath_algebraic_structures.pdf","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\source-canon-recovery\rtl-persianate-arabic-gap-source-canon-cycle2-20260705\source-bodies\ar\AR-NOETH-003_SyriaMath_algebraic_structures.pdf","1773213","be2cc67076873d555c377c643ecab9495ec8bf103124977dd11d6982c11d9cbb","true","10","7504","text-extracted","pdf-source-body-text-layer-audit","PDF text-layer audit only; no OCR certification, source certification, license clearance, native review, accepted terminology, gate promotion, final status, or translation completion"
"5dcc7bf5785eead01fd397b8e179a8276f3b668b","R3_81DB4BA9_PDF_LAYER_RECOVERY_AUDIT_20260706T101455Z","pdf-layer-recovery-branch-visible-carry-forward","81db4ba945379e7c267ac6b5049f207e5746e65e","pdf-layer-recovery-carry-forward","pdf-source-body-text-layer-audit-current-head-refresh","source-canon-recovery\rtl-persianate-arabic-gap-source-canon-cycle2-20260705\source-bodies\fa_IR\FA-IDEAL-001_IUT_advanced_algebra_behboodi.pdf","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\source-canon-recovery\rtl-persianate-arabic-gap-source-canon-cycle2-20260705\source-bodies\fa_IR\FA-IDEAL-001_IUT_advanced_algebra_behboodi.pdf","783008","b2bedb1aa29693935b09445ed8d90910f27bdeea7ca2f0bb5e3394f0150fda40","true","186","322297","text-extracted","pdf-source-body-text-layer-audit","PDF text-layer audit only; no OCR certification, source certification, license clearance, native review, accepted terminology, gate promotion, final status, or translation completion"
"5dcc7bf5785eead01fd397b8e179a8276f3b668b","R3_81DB4BA9_PDF_LAYER_RECOVERY_AUDIT_20260706T101455Z","pdf-layer-recovery-branch-visible-carry-forward","81db4ba945379e7c267ac6b5049f207e5746e65e","pdf-layer-recovery-carry-forward","pdf-source-body-text-layer-audit-current-head-refresh","source-canon-recovery\rtl-persianate-arabic-gap-source-canon-cycle2-20260705\source-bodies\fa_IR\FA-IDEAL-002_Shahrood_zero_divisor_matrix_rings.pdf","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\source-canon-recovery\rtl-persianate-arabic-gap-source-canon-cycle2-20260705\source-bodies\fa_IR\FA-IDEAL-002_Shahrood_zero_divisor_matrix_rings.pdf","393038","a8e9c4b5c2e3b079e74c176678146c257bf7cba84819a069eaeed60e3f58490f","true","89","131425","text-extracted","pdf-source-body-text-layer-audit","PDF text-layer audit only; no OCR certification, source certification, license clearance, native review, accepted terminology, gate promotion, final status, or translation completion"
"5dcc7bf5785eead01fd397b8e179a8276f3b668b","R3_81DB4BA9_PDF_LAYER_RECOVERY_AUDIT_20260706T101455Z","pdf-layer-recovery-branch-visible-carry-forward","81db4ba945379e7c267ac6b5049f207e5746e65e","pdf-layer-recovery-carry-forward","pdf-source-body-text-layer-audit-current-head-refresh","source-canon-recovery\rtl-persianate-arabic-gap-source-canon-cycle2-20260705\source-bodies\fa_IR\FA-IDEAL-003_KHU_nil_graphs_ideals.pdf","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\source-canon-recovery\rtl-persianate-arabic-gap-source-canon-cycle2-20260705\source-bodies\fa_IR\FA-IDEAL-003_KHU_nil_graphs_ideals.pdf","1291180","1aa6dea9618d34ec624a71971097d801031d0ddfb707b85c1f7a5263fa8dea20","true","18","33792","text-extracted","pdf-source-body-text-layer-audit","PDF text-layer audit only; no OCR certification, source certification, license clearance, native review, accepted terminology, gate promotion, final status, or translation completion"
"5dcc7bf5785eead01fd397b8e179a8276f3b668b","R3_81DB4BA9_PDF_LAYER_RECOVERY_AUDIT_20260706T101455Z","pdf-layer-recovery-branch-visible-carry-forward","81db4ba945379e7c267ac6b5049f207e5746e65e","pdf-layer-recovery-carry-forward","pdf-source-body-text-layer-audit-current-head-refresh","source-canon-recovery\rtl-persianate-arabic-gap-source-canon-cycle2-20260705\source-bodies\ota_Arab\OTA-CAT-001_Askeri_Muze_catalog_1997.pdf","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\source-canon-recovery\rtl-persianate-arabic-gap-source-canon-cycle2-20260705\source-bodies\ota_Arab\OTA-CAT-001_Askeri_Muze_catalog_1997.pdf","1631612","b1c642d682d2ae16e005d436ca2ccf4119a26cd9764589fe35cfa9651917ce0f","true","323","1406411","text-extracted","pdf-source-body-text-layer-audit","PDF text-layer audit only; no OCR certification, source certification, license clearance, native review, accepted terminology, gate promotion, final status, or translation completion"
"5dcc7bf5785eead01fd397b8e179a8276f3b668b","R3_81DB4BA9_PDF_LAYER_RECOVERY_AUDIT_20260706T101455Z","pdf-layer-recovery-branch-visible-carry-forward","81db4ba945379e7c267ac6b5049f207e5746e65e","pdf-layer-recovery-carry-forward","pdf-source-body-text-layer-audit-current-head-refresh","source-canon-recovery\rtl-persianate-arabic-gap-source-canon-cycle2-20260705\source-bodies\ota_Arab\OTA-CAT-002_Askeri_Muze_catalog_current.pdf","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\source-canon-recovery\rtl-persianate-arabic-gap-source-canon-cycle2-20260705\source-bodies\ota_Arab\OTA-CAT-002_Askeri_Muze_catalog_current.pdf","1215161","db322e064a424d6b4f1469e245b99315da632c110a632fc5126143bf18251fe1","true","318","979450","text-extracted","pdf-source-body-text-layer-audit","PDF text-layer audit only; no OCR certification, source certification, license clearance, native review, accepted terminology, gate promotion, final status, or translation completion"
"5dcc7bf5785eead01fd397b8e179a8276f3b668b","R3_81DB4BA9_PDF_LAYER_RECOVERY_AUDIT_20260706T101455Z","pdf-layer-recovery-branch-visible-carry-forward","81db4ba945379e7c267ac6b5049f207e5746e65e","pdf-layer-recovery-carry-forward","pdf-source-body-text-layer-audit-current-head-refresh","source-canon-recovery\rtl-persianate-arabic-gap-source-canon-cycle2-20260705\source-bodies\ota_Arab\OTA-CEBIR-001_ISAM_Takiyuddin_Cebir_Risalesi.pdf","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\source-canon-recovery\rtl-persianate-arabic-gap-source-canon-cycle2-20260705\source-bodies\ota_Arab\OTA-CEBIR-001_ISAM_Takiyuddin_Cebir_Risalesi.pdf","3617921","90d7060c6c02bd8b858eacfae52d80d39b94d897cb69eb8066894d9373e69da1","true","47","0","no-text-extracted","pdf-source-body-text-layer-audit","PDF text-layer audit only; no OCR certification, source certification, license clearance, native review, accepted terminology, gate promotion, final status, or translation completion"
