"current_head","source_body_path","local_path","expected_sha256","observed_sha256","bytes","hash_status","row_count_using_source","witness_status","source_use_label","boundary"
"81db4ba945379e7c267ac6b5049f207e5746e65e","source-canon-recovery\r3-ur-ota-source-body-recovery-cycle3-20260706\source-bodies\ur_Arab\UR-WB-LA-000_main_ur_wikibooks_linear_algebra_raw.wikitext","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\source-canon-recovery\r3-ur-ota-source-body-recovery-cycle3-20260706\source-bodies\ur_Arab\UR-WB-LA-000_main_ur_wikibooks_linear_algebra_raw.wikitext","f026efe306d9e5759c6605682664714e94a812c74595e93a4bbc5b7864ae46f6","f026efe306d9e5759c6605682664714e94a812c74595e93a4bbc5b7864ae46f6","996","hash-match","8","source-body-hash-match-for-draft-support","source-witness-index","hash check only; no source certification, license clearance, native review, accepted terminology, gate promotion, final status, bridge/pilot, or translation-completion claim"
"81db4ba945379e7c267ac6b5049f207e5746e65e","source-canon-recovery\r3-ur-ota-source-body-recovery-cycle3-20260706\source-bodies\ur_Arab\UR-WB-LA-001_bab1_ur_wikibooks_linear_algebra_raw.wikitext","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\source-canon-recovery\r3-ur-ota-source-body-recovery-cycle3-20260706\source-bodies\ur_Arab\UR-WB-LA-001_bab1_ur_wikibooks_linear_algebra_raw.wikitext","6986ffa44e1b11c69642bc31a2b4fa3a9f5ad89ab8e66f08ea9e66cec6cbfbdb","6986ffa44e1b11c69642bc31a2b4fa3a9f5ad89ab8e66f08ea9e66cec6cbfbdb","15007","hash-match","1","source-body-hash-match-for-draft-support","source-witness-index","hash check only; no source certification, license clearance, native review, accepted terminology, gate promotion, final status, bridge/pilot, or translation-completion claim"
"81db4ba945379e7c267ac6b5049f207e5746e65e","source-canon-recovery\r3-ur-ota-source-body-recovery-cycle3-20260706\source-bodies\ur_Arab\UR-WB-LA-003_bab3_ur_wikibooks_linear_algebra_raw.wikitext","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\source-canon-recovery\r3-ur-ota-source-body-recovery-cycle3-20260706\source-bodies\ur_Arab\UR-WB-LA-003_bab3_ur_wikibooks_linear_algebra_raw.wikitext","ea5e7f629cc1d07d5b70be5c7fd29b4a17d19a53dbc152239b178b4f44ed0ff6","ea5e7f629cc1d07d5b70be5c7fd29b4a17d19a53dbc152239b178b4f44ed0ff6","9159","hash-match","1","source-body-hash-match-for-draft-support","source-witness-index","hash check only; no source certification, license clearance, native review, accepted terminology, gate promotion, final status, bridge/pilot, or translation-completion claim"
"81db4ba945379e7c267ac6b5049f207e5746e65e","source-canon-recovery\r3-ur-ota-source-body-recovery-cycle3-20260706\source-bodies\ur_Arab\UR-WB-LA-004_bab4_ur_wikibooks_linear_algebra_raw.wikitext","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\source-canon-recovery\r3-ur-ota-source-body-recovery-cycle3-20260706\source-bodies\ur_Arab\UR-WB-LA-004_bab4_ur_wikibooks_linear_algebra_raw.wikitext","eccee2ed8693a2e60e0890053f65b2766ca677bff1cd822e9783cd8293e27d42","eccee2ed8693a2e60e0890053f65b2766ca677bff1cd822e9783cd8293e27d42","31701","hash-match","1","source-body-hash-match-for-draft-support","source-witness-index","hash check only; no source certification, license clearance, native review, accepted terminology, gate promotion, final status, bridge/pilot, or translation-completion claim"
"81db4ba945379e7c267ac6b5049f207e5746e65e","source-canon-recovery\r3-ur-ota-source-body-recovery-cycle3-20260706\source-bodies\ur_Arab\UR-WB-LA-005_bab5_ur_wikibooks_linear_algebra_raw.wikitext","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\source-canon-recovery\r3-ur-ota-source-body-recovery-cycle3-20260706\source-bodies\ur_Arab\UR-WB-LA-005_bab5_ur_wikibooks_linear_algebra_raw.wikitext","8806f2b3e8f7e6d4f10517a4449e8cc5c1b0fa0a265a4c1abb3bc43fed5ee4b9","8806f2b3e8f7e6d4f10517a4449e8cc5c1b0fa0a265a4c1abb3bc43fed5ee4b9","16543","hash-match","1","source-body-hash-match-for-draft-support","source-witness-index","hash check only; no source certification, license clearance, native review, accepted terminology, gate promotion, final status, bridge/pilot, or translation-completion claim"
"81db4ba945379e7c267ac6b5049f207e5746e65e","source-canon-recovery\r3-ur-ota-source-body-recovery-cycle3-20260706\source-bodies\ur_Arab\UR-WB-LA-006_bab6_ur_wikibooks_linear_algebra_raw.wikitext","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\source-canon-recovery\r3-ur-ota-source-body-recovery-cycle3-20260706\source-bodies\ur_Arab\UR-WB-LA-006_bab6_ur_wikibooks_linear_algebra_raw.wikitext","21c66b2a3832303cd1c6cbd379526995a48ddb00c2e0439ee831f31f8360e207","21c66b2a3832303cd1c6cbd379526995a48ddb00c2e0439ee831f31f8360e207","11061","hash-match","3","source-body-hash-match-for-draft-support","source-witness-index","hash check only; no source certification, license clearance, native review, accepted terminology, gate promotion, final status, bridge/pilot, or translation-completion claim"
"81db4ba945379e7c267ac6b5049f207e5746e65e","source-canon-recovery\rtl-persianate-arabic-gap-source-canon-cycle2-20260705\source-bodies\ar\AR-NOETH-001_Damascus_Pruefer_arithmetical_ring.pdf","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\source-canon-recovery\rtl-persianate-arabic-gap-source-canon-cycle2-20260705\source-bodies\ar\AR-NOETH-001_Damascus_Pruefer_arithmetical_ring.pdf","8957e428cacbada148c65e9894fcf73c0931bda5722c8cc8a842f23150be69c4","8957e428cacbada148c65e9894fcf73c0931bda5722c8cc8a842f23150be69c4","433859","hash-match","24","source-body-hash-match-for-draft-support","source-witness-index","hash check only; no source certification, license clearance, native review, accepted terminology, gate promotion, final status, bridge/pilot, or translation-completion claim"
"81db4ba945379e7c267ac6b5049f207e5746e65e","source-canon-recovery\rtl-persianate-arabic-gap-source-canon-cycle2-20260705\source-bodies\ar\AR-NOETH-002_Fezzan_circulant_matrix_ring.pdf","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\source-canon-recovery\rtl-persianate-arabic-gap-source-canon-cycle2-20260705\source-bodies\ar\AR-NOETH-002_Fezzan_circulant_matrix_ring.pdf","971692613bfd9312b364bd0740f8401bb6372635cf3bf092f7b3dcbe601d2a15","971692613bfd9312b364bd0740f8401bb6372635cf3bf092f7b3dcbe601d2a15","536609","hash-match","21","source-body-hash-match-for-draft-support","source-witness-index","hash check only; no source certification, license clearance, native review, accepted terminology, gate promotion, final status, bridge/pilot, or translation-completion claim"
"81db4ba945379e7c267ac6b5049f207e5746e65e","source-canon-recovery\rtl-persianate-arabic-gap-source-canon-cycle2-20260705\source-bodies\ar\AR-NOETH-003_SyriaMath_algebraic_structures.pdf","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\source-canon-recovery\rtl-persianate-arabic-gap-source-canon-cycle2-20260705\source-bodies\ar\AR-NOETH-003_SyriaMath_algebraic_structures.pdf","be2cc67076873d555c377c643ecab9495ec8bf103124977dd11d6982c11d9cbb","be2cc67076873d555c377c643ecab9495ec8bf103124977dd11d6982c11d9cbb","1773213","hash-match","12","source-body-hash-match-for-draft-support","source-witness-index","hash check only; no source certification, license clearance, native review, accepted terminology, gate promotion, final status, bridge/pilot, or translation-completion claim"
"81db4ba945379e7c267ac6b5049f207e5746e65e","source-canon-recovery\rtl-persianate-arabic-gap-source-canon-cycle2-20260705\source-bodies\ar\AR-NOETH-004_KFUPM_eprint_140075.html","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\source-canon-recovery\rtl-persianate-arabic-gap-source-canon-cycle2-20260705\source-bodies\ar\AR-NOETH-004_KFUPM_eprint_140075.html","5ff550f46319a643275e548b378b886ca40f82f16021e6f0a48d23b100ee1560","5ff550f46319a643275e548b378b886ca40f82f16021e6f0a48d23b100ee1560","31287","hash-match","4","source-body-hash-match-for-draft-support","source-witness-index","hash check only; no source certification, license clearance, native review, accepted terminology, gate promotion, final status, bridge/pilot, or translation-completion claim"
