"delta_id","base_head","current_head","status","path","additions","deletions","category","r3_relevant","required_action","boundary","b3_route"
"A2C52A42-DELTA-0001","ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","a2c52a42f5484c3889473135fd85f2fea9491aaf","A","interlanguage-sidecar/interlanguage-authority-ac6f4e-current-head-refresh-20260706/INTERLANGUAGE_FABLE_AC6F4E_CURRENT_HEAD_AUTHORITY_REFRESH_20260706/AC6F4E_AUTHORITY_ROUTING_ROWS.csv","81","0","Fable/interlanguage authority","true","apply authority refresh only as routing/source-use/Fable support; no term approval or cross-gate merge","source-use/provenance/gap/generated-draft/noncanonical/not-native-reviewed; no bridge promotion, cross-gate merge, native-review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion","B3/package steward packages; R3 language lane does not push and does not use GitHub Issues"
"A2C52A42-DELTA-0002","ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","a2c52a42f5484c3889473135fd85f2fea9491aaf","A","interlanguage-sidecar/interlanguage-authority-ac6f4e-current-head-refresh-20260706/INTERLANGUAGE_FABLE_AC6F4E_CURRENT_HEAD_AUTHORITY_REFRESH_20260706/AC6F4E_AUTHORITY_ROUTING_ROWS.json","962","0","Fable/interlanguage authority","true","apply authority refresh only as routing/source-use/Fable support; no term approval or cross-gate merge","source-use/provenance/gap/generated-draft/noncanonical/not-native-reviewed; no bridge promotion, cross-gate merge, native-review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion","B3/package steward packages; R3 language lane does not push and does not use GitHub Issues"
"A2C52A42-DELTA-0003","ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","a2c52a42f5484c3889473135fd85f2fea9491aaf","A","interlanguage-sidecar/interlanguage-authority-ac6f4e-current-head-refresh-20260706/INTERLANGUAGE_FABLE_AC6F4E_CURRENT_HEAD_AUTHORITY_REFRESH_20260706/AC6F4E_CURRENT_HEAD_LANE_ENFORCEMENT_REFRESH.csv","11","0","Fable/interlanguage authority","true","apply authority refresh only as routing/source-use/Fable support; no term approval or cross-gate merge","source-use/provenance/gap/generated-draft/noncanonical/not-native-reviewed; no bridge promotion, cross-gate merge, native-review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion","B3/package steward packages; R3 language lane does not push and does not use GitHub Issues"
"A2C52A42-DELTA-0004","ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","a2c52a42f5484c3889473135fd85f2fea9491aaf","A","interlanguage-sidecar/interlanguage-authority-ac6f4e-current-head-refresh-20260706/INTERLANGUAGE_FABLE_AC6F4E_CURRENT_HEAD_AUTHORITY_REFRESH_20260706/AC6F4E_CURRENT_HEAD_LANE_ENFORCEMENT_REFRESH.json","142","0","Fable/interlanguage authority","true","apply authority refresh only as routing/source-use/Fable support; no term approval or cross-gate merge","source-use/provenance/gap/generated-draft/noncanonical/not-native-reviewed; no bridge promotion, cross-gate merge, native-review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion","B3/package steward packages; R3 language lane does not push and does not use GitHub Issues"
"A2C52A42-DELTA-0005","ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","a2c52a42f5484c3889473135fd85f2fea9491aaf","A","interlanguage-sidecar/interlanguage-authority-ac6f4e-current-head-refresh-20260706/INTERLANGUAGE_FABLE_AC6F4E_CURRENT_HEAD_AUTHORITY_REFRESH_20260706/AC6F4E_EXACT_GAP_AND_RECOVERY_QUEUE.csv","389","0","Fable/interlanguage authority","true","apply authority refresh only as routing/source-use/Fable support; no term approval or cross-gate merge","source-use/provenance/gap/generated-draft/noncanonical/not-native-reviewed; no bridge promotion, cross-gate merge, native-review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion","B3/package steward packages; R3 language lane does not push and does not use GitHub Issues"
"A2C52A42-DELTA-0006","ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","a2c52a42f5484c3889473135fd85f2fea9491aaf","A","interlanguage-sidecar/interlanguage-authority-ac6f4e-current-head-refresh-20260706/INTERLANGUAGE_FABLE_AC6F4E_CURRENT_HEAD_AUTHORITY_REFRESH_20260706/AC6F4E_EXACT_GAP_AND_RECOVERY_QUEUE.json","4658","0","Fable/interlanguage authority","true","apply authority refresh only as routing/source-use/Fable support; no term approval or cross-gate merge","source-use/provenance/gap/generated-draft/noncanonical/not-native-reviewed; no bridge promotion, cross-gate merge, native-review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion","B3/package steward packages; R3 language lane does not push and does not use GitHub Issues"
"A2C52A42-DELTA-0007","ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","a2c52a42f5484c3889473135fd85f2fea9491aaf","A","interlanguage-sidecar/interlanguage-authority-ac6f4e-current-head-refresh-20260706/INTERLANGUAGE_FABLE_AC6F4E_CURRENT_HEAD_AUTHORITY_REFRESH_20260706/AC6F4E_FABLE_STANDARD_COVERAGE_REFRESH.csv","8","0","Fable/interlanguage authority","true","apply authority refresh only as routing/source-use/Fable support; no term approval or cross-gate merge","source-use/provenance/gap/generated-draft/noncanonical/not-native-reviewed; no bridge promotion, cross-gate merge, native-review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion","B3/package steward packages; R3 language lane does not push and does not use GitHub Issues"
"A2C52A42-DELTA-0008","ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","a2c52a42f5484c3889473135fd85f2fea9491aaf","A","interlanguage-sidecar/interlanguage-authority-ac6f4e-current-head-refresh-20260706/INTERLANGUAGE_FABLE_AC6F4E_CURRENT_HEAD_AUTHORITY_REFRESH_20260706/AC6F4E_FABLE_STANDARD_COVERAGE_REFRESH.json","79","0","Fable/interlanguage authority","true","apply authority refresh only as routing/source-use/Fable support; no term approval or cross-gate merge","source-use/provenance/gap/generated-draft/noncanonical/not-native-reviewed; no bridge promotion, cross-gate merge, native-review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion","B3/package steward packages; R3 language lane does not push and does not use GitHub Issues"
"A2C52A42-DELTA-0009","ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","a2c52a42f5484c3889473135fd85f2fea9491aaf","A","interlanguage-sidecar/interlanguage-authority-ac6f4e-current-head-refresh-20260706/INTERLANGUAGE_FABLE_AC6F4E_CURRENT_HEAD_AUTHORITY_REFRESH_20260706/AC6F4E_SIBLING_WAKE_DISPATCH_LOG.csv","2","0","Fable/interlanguage authority","true","apply authority refresh only as routing/source-use/Fable support; no term approval or cross-gate merge","source-use/provenance/gap/generated-draft/noncanonical/not-native-reviewed; no bridge promotion, cross-gate merge, native-review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion","B3/package steward packages; R3 language lane does not push and does not use GitHub Issues"
"A2C52A42-DELTA-0010","ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","a2c52a42f5484c3889473135fd85f2fea9491aaf","A","interlanguage-sidecar/interlanguage-authority-ac6f4e-current-head-refresh-20260706/INTERLANGUAGE_FABLE_AC6F4E_CURRENT_HEAD_AUTHORITY_REFRESH_20260706/AC6F4E_SIBLING_WAKE_DISPATCH_LOG.json","15","0","Fable/interlanguage authority","true","apply authority refresh only as routing/source-use/Fable support; no term approval or cross-gate merge","source-use/provenance/gap/generated-draft/noncanonical/not-native-reviewed; no bridge promotion, cross-gate merge, native-review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion","B3/package steward packages; R3 language lane does not push and does not use GitHub Issues"
"A2C52A42-DELTA-0011","ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","a2c52a42f5484c3889473135fd85f2fea9491aaf","A","interlanguage-sidecar/interlanguage-authority-ac6f4e-current-head-refresh-20260706/INTERLANGUAGE_FABLE_AC6F4E_CURRENT_HEAD_AUTHORITY_REFRESH_20260706/ACTIVE_SESSION_STATE.md","17","0","Fable/interlanguage authority","true","apply authority refresh only as routing/source-use/Fable support; no term approval or cross-gate merge","source-use/provenance/gap/generated-draft/noncanonical/not-native-reviewed; no bridge promotion, cross-gate merge, native-review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion","B3/package steward packages; R3 language lane does not push and does not use GitHub Issues"
"A2C52A42-DELTA-0012","ac6f4eb7490b1bba788444ddb2361fc65c3d9f6e","a2c52a42f5484c3889473135fd85f2fea9491aaf","A","interlanguage-sidecar/interlanguage-authority-ac6f4e-current-head-refresh-20260706/INTERLANGUAGE_FABLE_AC6F4E_CURRENT_HEAD_AUTHORITY_REFRESH_20260706/B3_UPLOADER_READY_SUMMARY_AC6F4E.md","17","0","Fable/interlanguage authority","true","apply authority refresh only as routing/source-use/Fable support; no term approval or cross-gate merge","source-use/provenance/gap/generated-draft/noncanonical/not-native-reviewed; no bridge promotion, cross-gate merge, native-review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion","B3/package steward packages; R3 language lane does not push and does not use GitHub Issues"
