delta_id,previous_head,new_head,path,status,additions,deletions,changes,fable_relevance,source_use_label,required_action,b3_route,authority_boundary
8F7D-DELTA-0001,33b23f88574d26c9c518114025ca36cb683d79b6,8f7d1cb30ca4347812d05bfbe110b134bb758870,interlanguage-sidecar/rtl-persianate-arabic-postpush-source-gated-pretranslation-20260706/R3_POSTPUSH_SOURCE_GATED_PRETRANSLATION_WORKCYCLE_20260706T031015Z/LOGBOOK_EXCERPT.md,added,10,0,10,interlinear/pretranslation,generated-draft support,route to lane for generated-draft/noncanonical target work if source-gated,B3/package steward packages; this lane does not push,"routing/triage only; no native review, accepted terminology, approval, source certification, final status, or completion"
8F7D-DELTA-0002,33b23f88574d26c9c518114025ca36cb683d79b6,8f7d1cb30ca4347812d05bfbe110b134bb758870,interlanguage-sidecar/rtl-persianate-arabic-postpush-source-gated-pretranslation-20260706/R3_POSTPUSH_SOURCE_GATED_PRETRANSLATION_WORKCYCLE_20260706T031015Z/MANIFEST.csv,added,12,0,12,interlinear/pretranslation,generated-draft support,route to lane for generated-draft/noncanonical target work if source-gated,B3/package steward packages; this lane does not push,"routing/triage only; no native review, accepted terminology, approval, source certification, final status, or completion"
8F7D-DELTA-0003,33b23f88574d26c9c518114025ca36cb683d79b6,8f7d1cb30ca4347812d05bfbe110b134bb758870,interlanguage-sidecar/rtl-persianate-arabic-postpush-source-gated-pretranslation-20260706/R3_POSTPUSH_SOURCE_GATED_PRETRANSLATION_WORKCYCLE_20260706T031015Z/PACKAGE_VALIDATION.json,added,29,0,29,interlinear/pretranslation,generated-draft support,route to lane for generated-draft/noncanonical target work if source-gated,B3/package steward packages; this lane does not push,"routing/triage only; no native review, accepted terminology, approval, source certification, final status, or completion"
8F7D-DELTA-0004,33b23f88574d26c9c518114025ca36cb683d79b6,8f7d1cb30ca4347812d05bfbe110b134bb758870,interlanguage-sidecar/rtl-persianate-arabic-postpush-source-gated-pretranslation-20260706/R3_POSTPUSH_SOURCE_GATED_PRETRANSLATION_WORKCYCLE_20260706T031015Z/PACKAGE_VERIFICATION.csv,added,5,0,5,interlinear/pretranslation,generated-draft support,route to lane for generated-draft/noncanonical target work if source-gated,B3/package steward packages; this lane does not push,"routing/triage only; no native review, accepted terminology, approval, source certification, final status, or completion"
8F7D-DELTA-0005,33b23f88574d26c9c518114025ca36cb683d79b6,8f7d1cb30ca4347812d05bfbe110b134bb758870,interlanguage-sidecar/rtl-persianate-arabic-postpush-source-gated-pretranslation-20260706/R3_POSTPUSH_SOURCE_GATED_PRETRANSLATION_WORKCYCLE_20260706T031015Z/POSTPUSH_BLOCKERS_AND_RECOVERY_ACTIONS.csv,added,5,0,5,interlinear/pretranslation,generated-draft support,route to lane for generated-draft/noncanonical target work if source-gated,B3/package steward packages; this lane does not push,"routing/triage only; no native review, accepted terminology, approval, source certification, final status, or completion"
8F7D-DELTA-0006,33b23f88574d26c9c518114025ca36cb683d79b6,8f7d1cb30ca4347812d05bfbe110b134bb758870,interlanguage-sidecar/rtl-persianate-arabic-postpush-source-gated-pretranslation-20260706/R3_POSTPUSH_SOURCE_GATED_PRETRANSLATION_WORKCYCLE_20260706T031015Z/POSTPUSH_BRANCH_WEIGHT_AND_SOURCE_USE_LEDGER.csv,added,7,0,7,branch-weight,source-linked Fable construction,extract or update branch-weight witness rows,B3/package steward packages; this lane does not push,"routing/triage only; no native review, accepted terminology, approval, source certification, final status, or completion"
8F7D-DELTA-0007,33b23f88574d26c9c518114025ca36cb683d79b6,8f7d1cb30ca4347812d05bfbe110b134bb758870,interlanguage-sidecar/rtl-persianate-arabic-postpush-source-gated-pretranslation-20260706/R3_POSTPUSH_SOURCE_GATED_PRETRANSLATION_WORKCYCLE_20260706T031015Z/POSTPUSH_DO_NOT_USE_AND_ADVERSE_EVIDENCE.csv,added,7,0,7,adverse/do-not-use,blocker/review evidence,queue as adverse-evidence before any generated draft or term proposal,B3/package steward packages; this lane does not push,"routing/triage only; no native review, accepted terminology, approval, source certification, final status, or completion"
8F7D-DELTA-0008,33b23f88574d26c9c518114025ca36cb683d79b6,8f7d1cb30ca4347812d05bfbe110b134bb758870,interlanguage-sidecar/rtl-persianate-arabic-postpush-source-gated-pretranslation-20260706/R3_POSTPUSH_SOURCE_GATED_PRETRANSLATION_WORKCYCLE_20260706T031015Z/POSTPUSH_INPUT_POINTERS.csv,added,11,0,11,interlinear/pretranslation,generated-draft support,route to lane for generated-draft/noncanonical target work if source-gated,B3/package steward packages; this lane does not push,"routing/triage only; no native review, accepted terminology, approval, source certification, final status, or completion"
8F7D-DELTA-0009,33b23f88574d26c9c518114025ca36cb683d79b6,8f7d1cb30ca4347812d05bfbe110b134bb758870,interlanguage-sidecar/rtl-persianate-arabic-postpush-source-gated-pretranslation-20260706/R3_POSTPUSH_SOURCE_GATED_PRETRANSLATION_WORKCYCLE_20260706T031015Z/POSTPUSH_INTERLINEAR_SCAFFOLDS.jsonl,added,148,0,148,interlinear/pretranslation,generated-draft support,route to lane for generated-draft/noncanonical target work if source-gated,B3/package steward packages; this lane does not push,"routing/triage only; no native review, accepted terminology, approval, source certification, final status, or completion"
8F7D-DELTA-0010,33b23f88574d26c9c518114025ca36cb683d79b6,8f7d1cb30ca4347812d05bfbe110b134bb758870,interlanguage-sidecar/rtl-persianate-arabic-postpush-source-gated-pretranslation-20260706/R3_POSTPUSH_SOURCE_GATED_PRETRANSLATION_WORKCYCLE_20260706T031015Z/POSTPUSH_SOURCE_BODY_AND_RECOVERY_RECORDS.csv,added,12,0,12,interlinear/pretranslation,generated-draft support,route to lane for generated-draft/noncanonical target work if source-gated,B3/package steward packages; this lane does not push,"routing/triage only; no native review, accepted terminology, approval, source certification, final status, or completion"
8F7D-DELTA-0011,33b23f88574d26c9c518114025ca36cb683d79b6,8f7d1cb30ca4347812d05bfbe110b134bb758870,interlanguage-sidecar/rtl-persianate-arabic-postpush-source-gated-pretranslation-20260706/R3_POSTPUSH_SOURCE_GATED_PRETRANSLATION_WORKCYCLE_20260706T031015Z/POSTPUSH_SOURCE_GATED_PRETRANSLATION_ROWS.csv,added,149,0,149,interlinear/pretranslation,generated-draft support,route to lane for generated-draft/noncanonical target work if source-gated,B3/package steward packages; this lane does not push,"routing/triage only; no native review, accepted terminology, approval, source certification, final status, or completion"
8F7D-DELTA-0012,33b23f88574d26c9c518114025ca36cb683d79b6,8f7d1cb30ca4347812d05bfbe110b134bb758870,interlanguage-sidecar/rtl-persianate-arabic-postpush-source-gated-pretranslation-20260706/R3_POSTPUSH_SOURCE_GATED_PRETRANSLATION_WORKCYCLE_20260706T031015Z/README.md,added,21,0,21,interlinear/pretranslation,generated-draft support,route to lane for generated-draft/noncanonical target work if source-gated,B3/package steward packages; this lane does not push,"routing/triage only; no native review, accepted terminology, approval, source certification, final status, or completion"
8F7D-DELTA-0013,33b23f88574d26c9c518114025ca36cb683d79b6,8f7d1cb30ca4347812d05bfbe110b134bb758870,interlanguage-sidecar/rtl-persianate-arabic-postpush-source-gated-pretranslation-20260706/R3_POSTPUSH_SOURCE_GATED_PRETRANSLATION_WORKCYCLE_20260706T031015Z/SHA256SUMS.txt,added,12,0,12,interlinear/pretranslation,generated-draft support,route to lane for generated-draft/noncanonical target work if source-gated,B3/package steward packages; this lane does not push,"routing/triage only; no native review, accepted terminology, approval, source certification, final status, or completion"
8F7D-DELTA-0014,33b23f88574d26c9c518114025ca36cb683d79b6,8f7d1cb30ca4347812d05bfbe110b134bb758870,outputs/R3_WHOLE_CORPUS_33B23_FINAL_PACKET_INTEGRATION_20260706/BRANCH_33B23_R3_RELEVANT_PATHS.csv,added,741,0,741,other,triage,inspect for source-canon or interlanguage relevance before lane adoption,B3/package steward packages; this lane does not push,"routing/triage only; no native review, accepted terminology, approval, source certification, final status, or completion"
8F7D-DELTA-0015,33b23f88574d26c9c518114025ca36cb683d79b6,8f7d1cb30ca4347812d05bfbe110b134bb758870,outputs/R3_WHOLE_CORPUS_33B23_FINAL_PACKET_INTEGRATION_20260706/BRANCH_LOCAL_PACKET_INTEGRATION_MATRIX.csv,added,6,0,6,other,triage,inspect for source-canon or interlanguage relevance before lane adoption,B3/package steward packages; this lane does not push,"routing/triage only; no native review, accepted terminology, approval, source certification, final status, or completion"
8F7D-DELTA-0016,33b23f88574d26c9c518114025ca36cb683d79b6,8f7d1cb30ca4347812d05bfbe110b134bb758870,outputs/R3_WHOLE_CORPUS_33B23_FINAL_PACKET_INTEGRATION_20260706/LOCAL_R3_BODIES_DRAFTS_BLOCKERS_STATE.csv,added,8,0,8,other,triage,inspect for source-canon or interlanguage relevance before lane adoption,B3/package steward packages; this lane does not push,"routing/triage only; no native review, accepted terminology, approval, source certification, final status, or completion"
8F7D-DELTA-0017,33b23f88574d26c9c518114025ca36cb683d79b6,8f7d1cb30ca4347812d05bfbe110b134bb758870,outputs/R3_WHOLE_CORPUS_33B23_FINAL_PACKET_INTEGRATION_20260706/LOCAL_WHOLE_CORPUS_HANDOFF_PAYLOADS.csv,added,8,0,8,other,triage,inspect for source-canon or interlanguage relevance before lane adoption,B3/package steward packages; this lane does not push,"routing/triage only; no native review, accepted terminology, approval, source certification, final status, or completion"
8F7D-DELTA-0018,33b23f88574d26c9c518114025ca36cb683d79b6,8f7d1cb30ca4347812d05bfbe110b134bb758870,outputs/R3_WHOLE_CORPUS_33B23_FINAL_PACKET_INTEGRATION_20260706/LOGBOOK_EXCERPT.md,added,8,0,8,package-control,package metadata,verify manifest/hash/logbook continuity for B3 pickup,B3/package steward packages; this lane does not push,"routing/triage only; no native review, accepted terminology, approval, source certification, final status, or completion"
