package_path,source_use_label,language_or_scope,role,bytes,sha256,source_url,license_or_access_signal,witness_id,source_title,is_native_source_evidence,is_generated_draft,non_claim_boundary
generated-draft/draft-support/jp_zh_hans_draft_support_rows.generated-draft.noncanonical.csv,generated-draft,ja+zh-Hans,generated draft translation/support; not native CJK source evidence,57171,78898C1025E4765286DD5E5A2078142BF69E5726709BC6E784B7B65DD0F4BB13,,,,,false,true,no native-review / accepted-terminology / license-clearance / gate-promotion / translation-completion claim
generated-draft/draft-support/jp_zh_hans_draft_support_rows.generated-draft.noncanonical.json,generated-draft,ja+zh-Hans,generated draft translation/support; not native CJK source evidence,156666,EBD30F942727478C65727043935B1B026E08348E3AE685271FE32D1A9D0F3DC4,,,,,false,true,no native-review / accepted-terminology / license-clearance / gate-promotion / translation-completion claim
generated-draft/draft-support/jp_zh_hans_draft_support_rows.generated-draft.noncanonical.md,generated-draft,ja+zh-Hans,generated draft translation/support; not native CJK source evidence,19840,68308205F3663056184DA5670841C3DD4E3336367ECD665940AF94885CDEA813,,,,,false,true,no native-review / accepted-terminology / license-clearance / gate-promotion / translation-completion claim
generated-draft/README_GENERATED_DRAFT.md,generated-draft,ja+zh-Hans,generated draft translation/support; not native CJK source evidence,599,3F644B8B56A50BDB29BB3E2172EE599B7AD439D47E0BFCA6A0F7405951E3FBBC,,,,,false,true,no native-review / accepted-terminology / license-clearance / gate-promotion / translation-completion claim
generated-draft/tex/NOETHER_CJK_DRAFT_CORPUS_TRANSLATION_SLICES_TEX_SIDECAR_20260704.generated-draft.tex,generated-draft,ja+zh-Hans,generated draft translation/support; not native CJK source evidence,34583,78C094FAE9E26CE56CD151A2A003CEF9E8223BCA88BFE2A659870E6BC5DAFC74,,,,,false,true,no native-review / accepted-terminology / license-clearance / gate-promotion / translation-completion claim
generated-draft/tex/NOETHER_CJK_DRAFT_GLOSSARY_TEX_SIDECAR_20260704.generated-draft.tex,generated-draft,ja+zh-Hans,generated draft translation/support; not native CJK source evidence,9849,5471AB8BF140DE93163ABD2E2B2270B4C8D92E8F88FE07E6E05BB816A9866CB6,,,,,false,true,no native-review / accepted-terminology / license-clearance / gate-promotion / translation-completion claim
LOGBOOK.md,method-note,und,package support file,844,0100C12D012B5C26A7532F66EAF2D352BD60E00953F031687AEA12D12A688652,,,,,false,false,no native-review / accepted-terminology / license-clearance / gate-promotion / translation-completion claim
logs/SESSION_LOGBOOK_20260705_excerpt.md,method-note,und,package support file,2444,3979CF1551A66AF224AF140F139D68B15A472035F1D1C6CC6CBD9DA8D3357D8E,,,,,false,false,no native-review / accepted-terminology / license-clearance / gate-promotion / translation-completion claim
MANIFEST.json,manifest,und,metadata/audit ledger supporting source-body provenance,30933,05DEEDC13D76BBDAC65927334EBB0392E19023A0EC23F9DE5745BF8E2848251E,,,,,false,false,no native-review / accepted-terminology / license-clearance / gate-promotion / translation-completion claim
native-source-bodies/ja/html-bodies/ando_LectureNote_20260704.html,native-source-body,ja,HTML source witness or source-routing body,6448,B1D2D8E8944F3AF55112248E14731FC400F35163B88D18E1B6958AA85CB9A4D6,https://www.math.s.chiba-u.ac.jp/~ando/LectureNote.html,Lecture-note page says the notes may be used freely unless distributed for a fee; no formal SPDX-style license found.,ja-pdf-002,Tetsuya Ando 代数学 lecture notes,true,false,no native-review / accepted-terminology / license-clearance / gate-promotion / translation-completion claim
