"id","url","package_relative_path","source_use_candidate","bytes","sha256","content_type","topic_tags","license_access_signal","status_or_gap","rtl_script_note","language_boundary","non_claim_boundary"
"tiaret_mokhtari_algebrelineaire_pdf","https://fsecsg.univ-tiaret.dz/pubsenligne/M_Mokhtari_algebrelineaire.pdf","source-bodies/pdf/20260705T213000Z_arabic_source_canon_round2/downloads/tiaret_mokhtari_algebrelineaire.pdf","native-source-body","4651325","39517443FEFFB103C3E11250A675B033BD44785FA9F20F3CB0EF23277B476DEF","application/pdf","linear algebra; group structure; vector spaces","public web access observed; license/clearance not inferred unless explicit in downloaded metadata","downloaded-source-body","Arabic/RTL or Arabic math-rendering source where applicable; formula-neighboring QA still review-sensitive","Arabic only; does not cover Persian, Persianate, Dari, Tajik, Urdu, Ottoman, or Turkic rows.","source-canon/provenance bookkeeping only; no native review, accepted terminology, license clearance, gate promotion, source certification, or translation completion claim"
"hiast_kouba_algebra_vol2_pdf","https://hiast.edu.sy/sites/default/files/general/Algebra%20Vol.%202%20-O.%20Kouba-HIAST-2017.pdf","source-bodies/pdf/20260705T213000Z_arabic_source_canon_round2/downloads/hiast_kouba_algebra_vol2_2017.pdf","native-source-body","9490179","9E1A2EC4E2CD27889748DF75DCB9F631734F105A2E19BF542AD52F26470DB06F","application/pdf","linear algebra; vector spaces; linear maps","public web access observed; license/clearance not inferred unless explicit in downloaded metadata","downloaded-source-body","Arabic/RTL or Arabic math-rendering source where applicable; formula-neighboring QA still review-sensitive","Arabic only; does not cover Persian, Persianate, Dari, Tajik, Urdu, Ottoman, or Turkic rows.","source-canon/provenance bookkeeping only; no native review, accepted terminology, license clearance, gate promotion, source certification, or translation completion claim"
"arabacademy_math_dic_eng_ar_pdf","https://arabacademy-sy.org/uploads/academy_publication/books/math-dic-eng-ar.pdf","source-bodies/pdf/20260705T213000Z_arabic_source_canon_round2/downloads/arabacademy_math_dic_eng_ar.pdf","native-source-body","16718489","1B91C93F427CDB990343AA02249EDE091331AAF1D7B6B2D12A8453D3270E3045","application/pdf","math terminology dictionary; Arabic-English-French","public web access observed; license/clearance not inferred unless explicit in downloaded metadata","downloaded-source-body","Arabic/RTL or Arabic math-rendering source where applicable; formula-neighboring QA still review-sensitive","Arabic only; does not cover Persian, Persianate, Dari, Tajik, Urdu, Ottoman, or Turkic rows.","source-canon/provenance bookkeeping only; no native review, accepted terminology, license clearance, gate promotion, source certification, or translation completion claim"
"shamra_finite_fields_amp_html","https://shamra-academia.com/show/3821987fe6a645/amp","provenance/html/20260705T213000Z_arabic_source_canon_round2/downloads/shamra_finite_fields_serial_serial_amp.html","provenance-web-body","16111","4E6F488AB5FFE5F8E4E6EABCDF5336755A71F17C0D8502933EAF579E7B734098","text/html; charset=UTF-8","finite fields; groups; rings; polynomial rings","public web access observed; license/clearance not inferred unless explicit in downloaded metadata","downloaded-provenance","Arabic/RTL or Arabic math-rendering source where applicable; formula-neighboring QA still review-sensitive","Arabic only; does not cover Persian, Persianate, Dari, Tajik, Urdu, Ottoman, or Turkic rows.","source-canon/provenance bookkeeping only; no native review, accepted terminology, license clearance, gate promotion, source certification, or translation completion claim"
"nagwa_arabic_math_dtx","https://raw.githubusercontent.com/mofasuhu/nagwa-latex-cls/main/arabic-math.dtx","source-bodies/native-tex/20260705T213000Z_arabic_source_canon_round2/downloads/nagwa_arabic_math.dtx","native-source-body","20278","B52FA1D955D30E7B847800E470C1F30663113874CE9771EB2A32B4E5DA79846B","text/plain; charset=utf-8","Arabic math TeX source; formula rendering","public web access observed; license/clearance not inferred unless explicit in downloaded metadata","downloaded-source-body","Arabic/RTL or Arabic math-rendering source where applicable; formula-neighboring QA still review-sensitive","Arabic only; does not cover Persian, Persianate, Dari, Tajik, Urdu, Ottoman, or Turkic rows.","source-canon/provenance bookkeeping only; no native review, accepted terminology, license clearance, gate promotion, source certification, or translation completion claim"
"nagwa_readme","https://raw.githubusercontent.com/mofasuhu/nagwa-latex-cls/main/README.md","provenance/other/20260705T213000Z_arabic_source_canon_round2/downloads/nagwa_latex_cls_README.md","provenance","12","987B6B6668D0990983B371B14CB2CB6DA937ACACB825E4432515B1C6565B8329","text/plain; charset=utf-8","GitHub source package metadata","public web access observed; license/clearance not inferred unless explicit in downloaded metadata","downloaded-provenance","Arabic/RTL or Arabic math-rendering source where applicable; formula-neighboring QA still review-sensitive","Arabic only; does not cover Persian, Persianate, Dari, Tajik, Urdu, Ottoman, or Turkic rows.","source-canon/provenance bookkeeping only; no native review, accepted terminology, license clearance, gate promotion, source certification, or translation completion claim"
"omaritthawi_arabic_mathjax_readme","https://raw.githubusercontent.com/OmarIthawi/arabic-mathjax/master/README.md","provenance/other/20260705T213000Z_arabic_source_canon_round2/downloads/omaritthawi_arabic_mathjax_README.md","provenance","14","5D98BB66AD46326EBC2C8F26CB5A70B694A19ACAC23BDF3B87AA1D241D8D9FC6","text/plain; charset=utf-8","Arabic MathJax source package metadata","public web access observed; license/clearance not inferred unless explicit in downloaded metadata","downloaded-provenance","Arabic/RTL or Arabic math-rendering source where applicable; formula-neighboring QA still review-sensitive","Arabic only; does not cover Persian, Persianate, Dari, Tajik, Urdu, Ottoman, or Turkic rows.","source-canon/provenance bookkeeping only; no native review, accepted terminology, license clearance, gate promotion, source certification, or translation completion claim"
"omaritthawi_arabic_mathjax_license","https://raw.githubusercontent.com/OmarIthawi/arabic-mathjax/master/LICENSE","provenance/other/20260705T213000Z_arabic_source_canon_round2/downloads/omaritthawi_arabic_mathjax_LICENSE.txt","provenance-license","1112","84770F54B1D9D0FDE29F7C794F834E670849A86030B073A96EF3B449F0101F3F","text/plain; charset=utf-8","MIT license signal for Arabic MathJax","public web access observed; license/clearance not inferred unless explicit in downloaded metadata","downloaded-provenance","Arabic/RTL or Arabic math-rendering source where applicable; formula-neighboring QA still review-sensitive","Arabic only; does not cover Persian, Persianate, Dari, Tajik, Urdu, Ottoman, or Turkic rows.","source-canon/provenance bookkeeping only; no native review, accepted terminology, license clearance, gate promotion, source certification, or translation completion claim"
"extract_tiaret_mokhtari_algebrelineaire_pdf","derived from downloaded PDF in this round","extracted-ocr-witnesses/20260705T213000Z_arabic_source_canon_round2/extracted-text/tiaret_mokhtari_algebrelineaire.first8.txt","OCR-witness/extracted-text","28867","0559B1A023B0D6A948B0B1AF1BEC991314B93BFAA7CB4681D429C322C2A108B9","text/plain; derived","term hits: زمرة;زمر;جبر;فضاء;شعاعي;تطبيق","derived text extraction for source checking only; no reuse clearance","kept separate from native source bodies","PDF text extraction may preserve Arabic presentation forms imperfectly; use only as check witness","Arabic only; does not cover Persian, Persianate, Dari, Tajik, Urdu, Ottoman, or Turkic rows.","source-canon/provenance bookkeeping only; no native review, accepted terminology, license clearance, gate promotion, source certification, or translation completion claim"
"extract_hiast_kouba_algebra_vol2_2017_pdf","derived from downloaded PDF in this round","extracted-ocr-witnesses/20260705T213000Z_arabic_source_canon_round2/extracted-text/hiast_kouba_algebra_vol2_2017.first8.txt","OCR-witness/extracted-text","19398","E14F477DF73B6AF687EFF6B0E59B777452F9C6B694A0097D2AB97DBA8172DE54","text/plain; derived","term hits: ","derived text extraction for source checking only; no reuse clearance","kept separate from native source bodies","PDF text extraction may preserve Arabic presentation forms imperfectly; use only as check witness","Arabic only; does not cover Persian, Persianate, Dari, Tajik, Urdu, Ottoman, or Turkic rows.","source-canon/provenance bookkeeping only; no native review, accepted terminology, license clearance, gate promotion, source certification, or translation completion claim"
"extract_arabacademy_math_dic_eng_ar_pdf","derived from downloaded PDF in this round","extracted-ocr-witnesses/20260705T213000Z_arabic_source_canon_round2/extracted-text/arabacademy_math_dic_eng_ar.first8.txt","OCR-witness/extracted-text","8400","7EAFC93EBD7A24C841778A6659430E621B9F301AA6ECBA8885859432E3D10F66","text/plain; derived","term hits: ","derived text extraction for source checking only; no reuse clearance","kept separate from native source bodies","PDF text extraction may preserve Arabic presentation forms imperfectly; use only as check witness","Arabic only; does not cover Persian, Persianate, Dari, Tajik, Urdu, Ottoman, or Turkic rows.","source-canon/provenance bookkeeping only; no native review, accepted terminology, license clearance, gate promotion, source certification, or translation completion claim"
