relative_path,rule,ordinal,line,matched_utf8_bytes,matched_sha256,replacement
FAC_EDITORIAL_SELF_CORRECTION_LEDGER_PRIVACY_CLEAN.csv,internal_publication_staging_segment,1,219,25,C2C6B5546605A8A92F20AAB5F2E64BF1198CBDF18165A60CEE11BDB264F8AB89,<REDACTED_INTERNAL_PUBLICATION_STAGING>
FAC_EDITORIAL_SELF_CORRECTION_LEDGER_PRIVACY_CLEAN.csv,windows_absolute_root,1,178,3,2CD02E5158662F73A643BF79BB672F51A43D5CF4992F92084FEAE5A12C26670E,<REDACTED_LOCAL_ROOT>/
FAC_EDITORIAL_SELF_CORRECTION_LEDGER_PRIVACY_CLEAN.csv,windows_absolute_root,2,178,3,2CD02E5158662F73A643BF79BB672F51A43D5CF4992F92084FEAE5A12C26670E,<REDACTED_LOCAL_ROOT>/
FAC_EDITORIAL_SELF_CORRECTION_LEDGER_PRIVACY_CLEAN.csv,windows_absolute_root,3,182,3,2CD02E5158662F73A643BF79BB672F51A43D5CF4992F92084FEAE5A12C26670E,<REDACTED_LOCAL_ROOT>/
FAC_EDITORIAL_SELF_CORRECTION_LEDGER_PRIVACY_CLEAN.csv,windows_absolute_root,4,182,3,8545A81F99F36EDA523C5E88E45567D21AAF5EA733E5595596CB07DD7364E8E4,<REDACTED_LOCAL_ROOT>/
FAC_EDITORIAL_SELF_CORRECTION_LEDGER_PRIVACY_CLEAN.csv,windows_absolute_root,5,182,3,8545A81F99F36EDA523C5E88E45567D21AAF5EA733E5595596CB07DD7364E8E4,<REDACTED_LOCAL_ROOT>/
FAC_EDITORIAL_SELF_CORRECTION_LEDGER_PRIVACY_CLEAN.csv,windows_absolute_root,6,187,3,2CD02E5158662F73A643BF79BB672F51A43D5CF4992F92084FEAE5A12C26670E,<REDACTED_LOCAL_ROOT>/
FAC_PROJECT_LOGBOOK_SNAPSHOT.md,codex_task_id,1,56,36,3AE1BC7C4DFEE865F79A9E1F2E7D99F4BDE0B503789B41BC9FF23D48BF024015,<REDACTED_TASK_ID>
FAC_PROJECT_LOGBOOK_SNAPSHOT.md,codex_task_id,2,56,36,454837B83F85872A1F99A9CCEB1D88983911A0BC436DFDD3751AF6ADB6833780,<REDACTED_TASK_ID>
PROJECT_LOGBOOK_METHODOLOGY_REPLICATION_DOI_REQUIREMENT_20260802.md,codex_task_id,1,47,36,3AE1BC7C4DFEE865F79A9E1F2E7D99F4BDE0B503789B41BC9FF23D48BF024015,<REDACTED_TASK_ID>
PROJECT_LOGBOOK_METHODOLOGY_REPLICATION_DOI_REQUIREMENT_20260802.md,codex_task_id,2,48,36,2873143581D161A8A3B99E1E0F50552C827882560422757E58F8562877DF40C8,<REDACTED_TASK_ID>
PROJECT_LOGBOOK_METHODOLOGY_REPLICATION_DOI_REQUIREMENT_20260802.md,codex_task_id,3,49,36,4EF37A4438273A06D292DB9941744A3A37D3177586416F85AC7A80D312EE0B5F,<REDACTED_TASK_ID>
ZENODO_PAYLOAD_MANIFEST.csv,manifest_regenerated_after_privacy_projection,1,1,2035,F9A196A143AB004E2BB167FE46F1953F11A60A3505B15870EFE8C005EC920B8D,<REGENERATED_SELF_EXCLUDING_PUBLIC_MANIFEST>
