precondition_blocker_resolution_return_row_id,parent_precondition_blocker_resolution_request_row_id,parent_precondition_blocker_row_id,blocker_class,blocker_owner_class,precondition_name,return_fields_filled,return_received,resolution_evidence_pointer_reviewed,source_text_prohibition_confirmed,true_precondition_update_allowed_after_return,precondition_blocker_resolved_after_return,query_execution_allowed_after_return,surface_gate_opened,translation_gate_opened
DMOI-RF-LSS-BCRPBEDPBRL-RET-0001,DMOI-RF-LSS-BCRPBEDPBRR-REQ-0001,DMOI-RF-LSS-BCRPBEDPBLK-BLOCK-0001,approved_query_term_present,query_term_return_owner,decision_row_linkage_validated,0,false,false,false,false,false,false,false,false
DMOI-RF-LSS-BCRPBEDPBRL-RET-0002,DMOI-RF-LSS-BCRPBEDPBRR-REQ-0002,DMOI-RF-LSS-BCRPBEDPBLK-BLOCK-0002,approved_query_term_present,query_term_return_owner,all_decision_fields_filled,0,false,false,false,false,false,false,false,false
DMOI-RF-LSS-BCRPBEDPBRL-RET-0003,DMOI-RF-LSS-BCRPBEDPBRR-REQ-0003,DMOI-RF-LSS-BCRPBEDPBLK-BLOCK-0003,approved_query_term_present,query_term_return_owner,all_criteria_decisions_recorded,0,false,false,false,false,false,false,false,false
DMOI-RF-LSS-BCRPBEDPBRL-RET-0004,DMOI-RF-LSS-BCRPBEDPBRR-REQ-0004,DMOI-RF-LSS-BCRPBEDPBLK-BLOCK-0004,approved_query_term_present,query_term_return_owner,all_criteria_passed,0,false,false,false,false,false,false,false,false
DMOI-RF-LSS-BCRPBEDPBRL-RET-0005,DMOI-RF-LSS-BCRPBEDPBRR-REQ-0005,DMOI-RF-LSS-BCRPBEDPBLK-BLOCK-0005,approved_query_term_present,query_term_return_owner,no_criteria_failed,0,false,false,false,false,false,false,false,false
DMOI-RF-LSS-BCRPBEDPBRL-RET-0006,DMOI-RF-LSS-BCRPBEDPBRR-REQ-0006,DMOI-RF-LSS-BCRPBEDPBLK-BLOCK-0006,approved_query_term_present,query_term_return_owner,evidence_values_reviewed,0,false,false,false,false,false,false,false,false
DMOI-RF-LSS-BCRPBEDPBRL-RET-0007,DMOI-RF-LSS-BCRPBEDPBRR-REQ-0007,DMOI-RF-LSS-BCRPBEDPBLK-BLOCK-0007,approved_query_term_present,query_term_return_owner,evidence_source_pointers_reviewed,0,false,false,false,false,false,false,false,false
DMOI-RF-LSS-BCRPBEDPBRL-RET-0008,DMOI-RF-LSS-BCRPBEDPBRR-REQ-0008,DMOI-RF-LSS-BCRPBEDPBLK-BLOCK-0008,approved_query_term_present,query_term_return_owner,source_text_prohibition_confirmed,0,false,false,false,false,false,false,false,false
DMOI-RF-LSS-BCRPBEDPBRL-RET-0009,DMOI-RF-LSS-BCRPBEDPBRR-REQ-0009,DMOI-RF-LSS-BCRPBEDPBLK-BLOCK-0009,approved_query_term_present,query_term_return_owner,allowed_true_precondition_update_bounded,0,false,false,false,false,false,false,false,false
DMOI-RF-LSS-BCRPBEDPBRL-RET-0010,DMOI-RF-LSS-BCRPBEDPBRR-REQ-0010,DMOI-RF-LSS-BCRPBEDPBLK-BLOCK-0010,approved_query_term_present,query_term_return_owner,authority_role_validated,0,false,false,false,false,false,false,false,false
DMOI-RF-LSS-BCRPBEDPBRL-RET-0011,DMOI-RF-LSS-BCRPBEDPBRR-REQ-0011,DMOI-RF-LSS-BCRPBEDPBLK-BLOCK-0011,approved_query_term_present,query_term_return_owner,downstream_query_gate_separate,0,false,false,false,false,false,false,false,false
