precondition_blocker_resolution_precondition_row_id,parent_precondition_blocker_row_id,parent_precondition_blocker_return_row_id,blocker_class,blocker_owner_class,precondition_name,decision_rows_required,true_precondition_cells,false_precondition_cells,criteria_rows_unfilled,precondition_blocker_resolution_ready,blocker_resolution_allowed_now,true_precondition_update_allowed_now,query_execution_allowed_now,result_capture_allowed_now,surface_gate_opened,translation_gate_opened
DMOI-RF-LSS-BCRPBEDPC-BLOCK-001,DMOI-RF-LSS-BCRPBLK-BLOCK-001,DMOI-RF-LSS-BCRPBRL-RET-001,approved_query_term_present,query_term_return_owner,decision_row_linkage_validated,4,0,12,4,false,false,false,false,false,false,false
DMOI-RF-LSS-BCRPBEDPC-BLOCK-002,DMOI-RF-LSS-BCRPBLK-BLOCK-002,DMOI-RF-LSS-BCRPBRL-RET-002,approved_query_term_present,query_term_return_owner,all_decision_fields_filled,4,0,12,4,false,false,false,false,false,false,false
DMOI-RF-LSS-BCRPBEDPC-BLOCK-003,DMOI-RF-LSS-BCRPBLK-BLOCK-003,DMOI-RF-LSS-BCRPBRL-RET-003,approved_query_term_present,query_term_return_owner,all_criteria_decisions_recorded,4,0,12,4,false,false,false,false,false,false,false
DMOI-RF-LSS-BCRPBEDPC-BLOCK-004,DMOI-RF-LSS-BCRPBLK-BLOCK-004,DMOI-RF-LSS-BCRPBRL-RET-004,approved_query_term_present,query_term_return_owner,all_criteria_passed,4,0,12,4,false,false,false,false,false,false,false
DMOI-RF-LSS-BCRPBEDPC-BLOCK-005,DMOI-RF-LSS-BCRPBLK-BLOCK-005,DMOI-RF-LSS-BCRPBRL-RET-005,approved_query_term_present,query_term_return_owner,no_criteria_failed,4,0,12,4,false,false,false,false,false,false,false
DMOI-RF-LSS-BCRPBEDPC-BLOCK-006,DMOI-RF-LSS-BCRPBLK-BLOCK-006,DMOI-RF-LSS-BCRPBRL-RET-006,approved_query_term_present,query_term_return_owner,evidence_values_reviewed,4,0,12,4,false,false,false,false,false,false,false
DMOI-RF-LSS-BCRPBEDPC-BLOCK-007,DMOI-RF-LSS-BCRPBLK-BLOCK-007,DMOI-RF-LSS-BCRPBRL-RET-007,approved_query_term_present,query_term_return_owner,evidence_source_pointers_reviewed,4,0,12,4,false,false,false,false,false,false,false
DMOI-RF-LSS-BCRPBEDPC-BLOCK-008,DMOI-RF-LSS-BCRPBLK-BLOCK-008,DMOI-RF-LSS-BCRPBRL-RET-008,approved_query_term_present,query_term_return_owner,source_text_prohibition_confirmed,4,0,12,4,false,false,false,false,false,false,false
DMOI-RF-LSS-BCRPBEDPC-BLOCK-009,DMOI-RF-LSS-BCRPBLK-BLOCK-009,DMOI-RF-LSS-BCRPBRL-RET-009,approved_query_term_present,query_term_return_owner,allowed_update_scope_bounded,4,0,12,4,false,false,false,false,false,false,false
DMOI-RF-LSS-BCRPBEDPC-BLOCK-010,DMOI-RF-LSS-BCRPBLK-BLOCK-010,DMOI-RF-LSS-BCRPBRL-RET-010,approved_query_term_present,query_term_return_owner,authority_role_validated,4,0,12,4,false,false,false,false,false,false,false
DMOI-RF-LSS-BCRPBEDPC-BLOCK-011,DMOI-RF-LSS-BCRPBLK-BLOCK-011,DMOI-RF-LSS-BCRPBRL-RET-011,approved_query_term_present,query_term_return_owner,downstream_query_gate_separate,4,0,12,4,false,false,false,false,false,false,false
DMOI-RF-LSS-BCRPBEDPC-BLOCK-012,DMOI-RF-LSS-BCRPBLK-BLOCK-012,DMOI-RF-LSS-BCRPBRL-RET-012,approved_query_term_present,query_term_return_owner,downstream_surface_translation_gates_separate,4,0,12,4,false,false,false,false,false,false,false
DMOI-RF-LSS-BCRPBEDPC-BLOCK-013,DMOI-RF-LSS-BCRPBLK-BLOCK-013,DMOI-RF-LSS-BCRPBRL-RET-013,capture_policy_finalized,capture_policy_return_owner,decision_row_linkage_validated,4,0,12,4,false,false,false,false,false,false,false
DMOI-RF-LSS-BCRPBEDPC-BLOCK-014,DMOI-RF-LSS-BCRPBLK-BLOCK-014,DMOI-RF-LSS-BCRPBRL-RET-014,capture_policy_finalized,capture_policy_return_owner,all_decision_fields_filled,4,0,12,4,false,false,false,false,false,false,false
