"row_id","language_group","language","status","source_rank","source_id","title","topic_tags","source_level","format_provenance","url","license_signal","local_pdf_path","local_pdf_sha256","local_pdf_bytes","local_text_path","local_text_sha256","local_text_bytes","terms_evidenced","authority_boundary","next_action"
"blocked_interslavic_direct_math_publication","Constructed inter-Slavic","Interslavic/Panslavic","derived_witness_not_direct_publication","derived_from_broad_slavic_sources","interslavic_direct_math_source_gap","Direct Interslavic/Panslavic algebra terminology publication","broad legibility; derived terminology; missing direct authority","no direct mathematical TeX/PDF/source publication in local canon","Interslavic legibility currently triangulates Czech/Polish/Slovak/Slovenian/Serbian/Croatian/Bulgarian plus candidate Belarusian/Macedonian/Sorbian evidence","","not applicable; direct source missing","","","","","","","no direct publication; broad Slavic witnesses cover ring/field/module/group/algebra families","do not claim Interslavic authority completion; route sensitive families to qualified Interslavic/Panslavic review","preserve broad Slavic witness table and attach micro-packets for reviewer decisions"
"candidate_belarusian_bnt_1922","East Slavic","Belarusian","web_candidate_not_local_fulltext","candidate_dictionary","belarusian_bnt_elementary_math","Elementarnaja matematyka BNT 1922 via Slounik.org","general mathematics; algebra terminology","HTML/OCR web dictionary; no TeX/source package; no local content hash","web terminology dictionary page only","https://slounik.org/bnt01/","web-accessible historical terminology page; license not established; verify before reuse","","","","","","","arithmetic; algebra; geometry; trigonometry; analytic geometry; higher analysis (page-level claim)","candidate routing context only; not inspected local fulltext and not native review","obtain/hash scan or export before terminology use"
"candidate_belarusian_math_dictionary_1993_algebra_ring","East Slavic","Belarusian","web_candidate_ocr_not_local_fulltext","candidate_dictionary","belarusian_rubelmatslovar_1993_pages_2_10","Russko-belorusskij matematicheskij slovar Minsk 1993 pages 2 and 10","algebra terminology; rings; division rings; commutative rings","OCR web pages; no TeX/source package; no local content hash","web OCR dictionary pages with scan-level verification still needed","https://knihi-online.com/russko-bielorusskij-matiematicieskij-slovar.html?page=2 ; https://knihi-online.com/russko-bielorusskij-matiematicieskij-slovar.html?page=10","hosted OCR text; license not established; OCR warning logged in extension scan","","","","","","","abstract algebra families; ring; division ring; commutative ring; topological ring; endomorphism ring","candidate routing context only; verify scan before term mutation","download/inspect scan or corroborate with Belarusian reviewer before use"
"blocked_bosnian_math_algebra_source","South Slavic","Bosnian","missing_blocked","gap_row","bosnian_math_algebra_source_gap","Bosnian algebra/ring/module/group terminology source","missing math-specific algebra source","none in local canon","no dedicated Bosnian mathematical terminology source listed in current Slavic source-canon shelf","","not applicable; source content missing","","","","","","","none","do not infer Bosnian terminology authority from Serbian/Croatian rows","find and hash Bosnian-specific math/algebra source before use"
"mathref_bulgarian_sofia_noncommutative_body_problem","South Slavic","Bulgarian","local_fulltext_witness","primary_local_reference","bulgarian_sofia_noncommutative_body_problem","Sample problems on rings, Applied Math","rings; fields/Galois","PDF plus extracted text; TeX/source package not present in local canon","public web PDF downloaded into local Slavic math reference shelf; text extracted for term checks","https://store.fmi.uni-sofia.bg/fmi/algebra/syllabuses/va1/Sample_Problems_Rings_ApplMath_2011.pdf","public web PDF mirrored locally for reference; no explicit reuse license detected in extracted text; use as terminology witness only","C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources\interslavic_triangulation\20260624_slavic_math_reference\pdf\bulgarian_sofia_noncommutative_body_problem.pdf","9377AC5F2F3594AD2F0A7B014C72562D8E0E40007BA06E72B18D3E2B7C941E43","233234","C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources\interslavic_triangulation\20260624_slavic_math_reference\text\bulgarian_sofia_noncommutative_body_problem.txt","996E7E695AD04148AF2632AD9DF1F18A5C720B4958E85A9D495A875540CBC392","14872","некомутативно тяло; кватернионите; пръстен; поле; идеал","source-canon witness for broad Slavic mathematical terminology; not native review; not translation approval","prefer TeX/source package if later found; otherwise preserve PDF/text hash evidence and route any term change through review/accepted-correction gate"
"mathref_bulgarian_sofia_rings_lecture7","South Slavic","Bulgarian","local_fulltext_witness","primary_local_reference","bulgarian_sofia_rings_lecture7","Prasteni osnovni ponyatiya","rings; fields/Galois","PDF plus extracted text; TeX/source package not present in local canon","public web PDF downloaded into local Slavic math reference shelf; text extracted for term checks","https://store.fmi.uni-sofia.bg/fmi/algebra/lect_notes_nenov/07.pdf","public web PDF mirrored locally for reference; no explicit reuse license detected in extracted text; use as terminology witness only","C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources\interslavic_triangulation\20260624_slavic_math_reference\pdf\bulgarian_sofia_rings_lecture7.pdf","D5F91DCC5EAF4DFD1FE0949891A93117510C0D82E894E1FF254C4A78853AB503","163318","C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources\interslavic_triangulation\20260624_slavic_math_reference\text\bulgarian_sofia_rings_lecture7.txt","78275711414EC1B5113BCB8E7C5770E31F777F120362BDE9F9C15DD1CBB1C2DC","9220","пръстен; поле; комутативен","source-canon witness for broad Slavic mathematical terminology; not native review; not translation approval","prefer TeX/source package if later found; otherwise preserve PDF/text hash evidence and route any term change through review/accepted-correction gate"
"mathref_croatian_mathhr_algebra_structures_2024","South Slavic","Croatian","local_fulltext_witness","primary_local_reference","croatian_mathhr_algebra_structures_2024","Algebarske strukture","rings; fields/Galois; groups/representations/algebras","PDF plus extracted text; TeX/source package not present in local canon","public web PDF downloaded into local Slavic math reference shelf; text extracted for term checks","https://algprof.math.hr/wp-content/uploads/2025/03/AS-2024.pdf","local text contains possible license/copyright/ISBN signal; inspect source before reuse: S druge strane, jedan od velikih otvorenih problema Algebarske teorije brojeva je dokazati, ili opovrgnuti, glasovitu Gaussovu slutnju koja govori da postoji beskonačno mnogo","C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources\interslavic_triangulation\20260624_slavic_math_reference\pdf\croatian_mathhr_algebra_structures_2024.pdf","50A255D413C5411F02A4AB6DA487CF1A5CCF2AF0B933E89307FD036E34281124","793933","C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources\interslavic_triangulation\20260624_slavic_math_reference\text\croatian_mathhr_algebra_structures_2024.txt","806AC472D958476A1172C46B5F279984A7D89AACE2DAF422A13CD7EC5D151C0E","249584","prsten; polje; tijelo; komutativ","source-canon witness for broad Slavic mathematical terminology; not native review; not translation approval","prefer TeX/source package if later found; otherwise preserve PDF/text hash evidence and route any term change through review/accepted-correction gate"
"mathref_croatian_pmf_split_prsteni","South Slavic","Croatian","local_fulltext_witness","primary_local_reference","croatian_pmf_split_prsteni","Prsteni","rings; fields/Galois","PDF plus extracted text; TeX/source package not present in local canon","public web PDF downloaded into local Slavic math reference shelf; text extracted for term checks","https://mapmf.pmfst.unist.hr/~skresic/Algebra/Prezentacije/Prsteni.pdf","public web PDF mirrored locally for reference; no explicit reuse license detected in extracted text; use as terminology witness only","C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources\interslavic_triangulation\20260624_slavic_math_reference\pdf\croatian_pmf_split_prsteni.pdf","6F0B9C2563C86D99A16601ADB01B4280FDC30707CF2EC407A18E1383D6370E43","391214","C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources\interslavic_triangulation\20260624_slavic_math_reference\text\croatian_pmf_split_prsteni.txt","E3A85A42356649B1804704357197F1D0ABA56044299C29FF75012ABEFD7B4AD3","49244","prsten; polje; ireducibilan; podprsten","source-canon witness for broad Slavic mathematical terminology; not native review; not translation approval","prefer TeX/source package if later found; otherwise preserve PDF/text hash evidence and route any term change through review/accepted-correction gate"
"candidate_macedonian_math_lexicon_2021","South Slavic","Macedonian","web_candidate_pdf_not_local_fulltext","candidate_lexicon","macedonian_ukim_math_lexicon","Matematicki leksikon UKIM Skopje 2021","mathematical lexicon; algebra terminology","Google Drive/listed PDF candidate; not downloaded/hash-inspected in local canon","PMF/UKIM catalog and Drive URL","https://drive.google.com/file/d/1Brf89ljd87hw2KLl07--5F8j5z5w_OA3/view","listed PDF candidate; license/access not established; inspect before reuse","","","","","","","mathematical lexicon (catalog evidence only)","candidate routing context only; not source-canon fulltext yet","obtain stable file, hash, and extract relevant algebra/ring/module/group entries"
"candidate_macedonian_ukim_nary_algebra","South Slavic","Macedonian","web_candidate_pdf_not_local_fulltext","candidate_university_textbook","macedonian_ukim_nary_algebra","Algebarski n-arni strukturi UKIM PMF 2015","algebraic structures; n-ary algebra","PDF candidate; not downloaded/hash-inspected in local canon; no TeX/source package found","university PDF URL found via PMF/UKIM catalog","https://www.ukim.edu.mk/dokumenti_m/567_E-kniga%20AnS%20final.pdf","university PDF candidate; license not established; inspect before reuse","","","","","","","algebraic n-ary structures (catalog/source-title evidence only)","candidate routing context only; content not locally inspected","download/hash/extract text before using as terminology witness"
