"lane","delta_status","source_path","source_relative_path","bytes","sha256","source_last_write_utc","package_action","base_frontier","frontier_package","frontier_sha256","frontier_bytes"
"noether-r2-pan-turkic-hard-blockers","MISSING_FROM_PACKAGE_FRONTIER","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\full_capture_machine_text_scan_20260704\current_web_source_canon_20260704_CWS-KY-001_edu_gov_kg_matematika_curriculum.pdf.txt","sources\full_capture_machine_text_scan_20260704\current_web_source_canon_20260704_CWS-KY-001_edu_gov_kg_matematika_curriculum.pdf.txt","130629","55E810B006FCA02CB6F50C8E40AC719941866C0F905933F20740E91031151985","2026-07-04T17:37:13.8790316Z","omitted_raw_source_body","through package 299",,,
"noether-r2-pan-turkic-hard-blockers","MISSING_FROM_PACKAGE_FRONTIER","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\full_capture_machine_text_scan_20260704\current_web_source_canon_20260704_CWS-KY-002_daramet_algebra_8_klass.pdf.txt","sources\full_capture_machine_text_scan_20260704\current_web_source_canon_20260704_CWS-KY-002_daramet_algebra_8_klass.pdf.txt","104","29FAC0D79990BDF6525160630765B6D9F735CAF8548BDBEB67D6EDD70949456D","2026-07-04T17:37:13.9862312Z","omitted_raw_source_body","through package 299",,,
"noether-r2-pan-turkic-hard-blockers","MISSING_FROM_PACKAGE_FRONTIER","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\full_capture_machine_text_scan_20260704\current_web_source_canon_20260704_CWS-TT-001_edu_tatar_textbook_list_2015_2016.pdf.txt","sources\full_capture_machine_text_scan_20260704\current_web_source_canon_20260704_CWS-TT-001_edu_tatar_textbook_list_2015_2016.pdf.txt","35687","252DBE9A6CC2C9FF89B76C40093B0D2ADE8F7EF0A9F7D657F6B54DEE7659407B","2026-07-04T17:37:14.1324316Z","omitted_raw_source_body","through package 299",,,
"noether-r2-pan-turkic-hard-blockers","MISSING_FROM_PACKAGE_FRONTIER","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\full_capture_machine_text_scan_20260704\current_web_source_canon_20260704_CWS-TT-002_fanni_tatarstan_2025_math_tatar.pdf.txt","sources\full_capture_machine_text_scan_20260704\current_web_source_canon_20260704_CWS-TT-002_fanni_tatarstan_2025_math_tatar.pdf.txt","28410","2B3C41F775C62C6586452D3DA9339417CA0416BC0978C0473394D7AC07E89C10","2026-07-04T17:37:14.2226512Z","omitted_raw_source_body","through package 299",,,
"noether-r2-pan-turkic-hard-blockers","MISSING_FROM_PACKAGE_FRONTIER","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\full_capture_machine_text_scan_20260704\full_capture_pdf_text_extraction_inventory_20260704.csv","sources\full_capture_machine_text_scan_20260704\full_capture_pdf_text_extraction_inventory_20260704.csv","7165","A7D370C9C96DBBE235CF01CED93E4C35EE3D9F0605D76DE98B607F933C09FE23","2026-07-04T17:37:22.7317484Z","omitted_raw_source_body","through package 299",,,
"noether-r2-pan-turkic-hard-blockers","MISSING_FROM_PACKAGE_FRONTIER","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\full_capture_machine_text_scan_20260704\source_canon_gap_closure_20260704_GCS-KY-001_bizdin_math_terms_dictionary.pdf.txt","sources\full_capture_machine_text_scan_20260704\source_canon_gap_closure_20260704_GCS-KY-001_bizdin_math_terms_dictionary.pdf.txt","546335","99D7733A44131EAD77B49A42F2B7C5EAE2815C0CFD4637B1A8619EDE9D5BEF43","2026-07-04T17:37:15.0693724Z","omitted_raw_source_body","through package 299",,,
"noether-r2-pan-turkic-hard-blockers","MISSING_FROM_PACKAGE_FRONTIER","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\full_capture_machine_text_scan_20260704\source_canon_gap_closure_20260704_GCS-KY-002_okuma_math_reference_dictionary.pdf.txt","sources\full_capture_machine_text_scan_20260704\source_canon_gap_closure_20260704_GCS-KY-002_okuma_math_reference_dictionary.pdf.txt","102","418CA1F74D09193C4B854B5EDB18CEC91BE7D8311341BC6D8253C027C4E9CDD9","2026-07-04T17:37:15.1631029Z","omitted_raw_source_body","through package 299",,,
"noether-r2-pan-turkic-hard-blockers","MISSING_FROM_PACKAGE_FRONTIER","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\full_capture_machine_text_scan_20260704\source_canon_gap_closure_20260704_GCS-TK-001_kitaphana_book_10_download.pdf.txt","sources\full_capture_machine_text_scan_20260704\source_canon_gap_closure_20260704_GCS-TK-001_kitaphana_book_10_download.pdf.txt","188100","D5C6C0072CD91B5BF21399DA259804C75B486E6E92803F830B2A18735E765B4F","2026-07-04T17:37:16.5629749Z","omitted_raw_source_body","through package 299",,,
"noether-r2-pan-turkic-hard-blockers","MISSING_FROM_PACKAGE_FRONTIER","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\full_capture_machine_text_scan_20260704\source_canon_gap_closure_20260704_GCS-TK-002_kitaphana_book_13_download.pdf.pdftotext.stderr.txt","sources\full_capture_machine_text_scan_20260704\source_canon_gap_closure_20260704_GCS-TK-002_kitaphana_book_13_download.pdf.pdftotext.stderr.txt","38","CCEC1BCB142DAA90430DA35C32DB2E38107B029B88027FD894199F3EED6C26A0","2026-07-04T17:37:17.5797498Z","omitted_raw_source_body","through package 299",,,
"noether-r2-pan-turkic-hard-blockers","MISSING_FROM_PACKAGE_FRONTIER","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\full_capture_machine_text_scan_20260704\source_canon_gap_closure_20260704_GCS-TK-002_kitaphana_book_13_download.pdf.txt","sources\full_capture_machine_text_scan_20260704\source_canon_gap_closure_20260704_GCS-TK-002_kitaphana_book_13_download.pdf.txt","340172","EEA80E9A23FECC163565A92547B2130CD1D983A88F95028C363473D6B5267FDA","2026-07-04T17:37:17.5416683Z","omitted_raw_source_body","through package 299",,,
"noether-r2-pan-turkic-hard-blockers","MISSING_FROM_PACKAGE_FRONTIER","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\full_capture_machine_text_scan_20260704\source_canon_gap_closure_20260704_GCS-TT-001_fanni_tatarstan_2016_3_polynomial_operator.pdf.txt","sources\full_capture_machine_text_scan_20260704\source_canon_gap_closure_20260704_GCS-TT-001_fanni_tatarstan_2016_3_polynomial_operator.pdf.txt","823510","0D64D9171B87FB86EC8312108B32054797DE76310764899882D0E532049DC5AE","2026-07-04T17:37:18.4370282Z","omitted_raw_source_body","through package 299",,,
"noether-r2-pan-turkic-hard-blockers","MISSING_FROM_PACKAGE_FRONTIER","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\full_capture_machine_text_scan_20260704\source_canon_gap_closure_20260704_GCS-TT-002_fanni_tatarstan_2015_4_interpolation_polynomial.pdf.txt","sources\full_capture_machine_text_scan_20260704\source_canon_gap_closure_20260704_GCS-TT-002_fanni_tatarstan_2015_4_interpolation_polynomial.pdf.txt","763176","379004806E15E1EDAC0DE8A16C80F899AD842DF33F42A209C12833A2DF14F9E0","2026-07-04T17:37:19.2782673Z","omitted_raw_source_body","through package 299",,,
"noether-r2-pan-turkic-hard-blockers","MISSING_FROM_PACKAGE_FRONTIER","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\full_capture_machine_text_scan_20260704\source_package_gate_20260704_SPG-KY-001_oshsu_bulletin_3_1_2024_polynomial_context.pdf.txt","sources\full_capture_machine_text_scan_20260704\source_package_gate_20260704_SPG-KY-001_oshsu_bulletin_3_1_2024_polynomial_context.pdf.txt","1037227","20ABFCE7581CA453ED69707ACD3D591FEC5C81454FBC2B2F3EE6127C5947CE79","2026-07-04T17:37:22.4286972Z","omitted_raw_source_body","through package 299",,,
