"package_dir","last_write","manifest_sha256","manifest_size_bytes","sha_sidecar_sha256","sha_sidecar_size_bytes","path"
"NOETHER_SESSION_OUTPUT_PACKAGE320_20260704T205739_ROLLING_DELTA_AFTER_PACKAGE319","2026-07-04T20:57:39","FD6EDBF3E5C65CB5EB4DA6753AB04E504B14974EE381A5723A7157480567F79B","1033","97FE457C974C446D7C124AB1854F8798ADFF1991D629BCCA5C97BBD9BB2F583B","363","C:\Users\memo_\Documents\Codex\2026-06-29\updatede-goal-text-maintain-the-noether-2\work\github-checkouts\modern-latex-manuscripts-noether-pc-nocone-20260702\noether-slavic-handoff\20260629\cross-session-coordination\20260704\NOETHER_SESSION_OUTPUT_PACKAGE320_20260704T205739_ROLLING_DELTA_AFTER_PACKAGE319"
"NOETHER_SESSION_OUTPUT_PACKAGE321_20260704T210056_ROLLING_DELTA_AFTER_PACKAGE320","2026-07-04T21:00:57","6D39E497D5EBFEBC6656EC98BFE7581062C9FBA497C1ABAA5B4408B9BE5A9AA3","2671","33D35229106D3EAE32C41A03D64518C55373B6E19A44E6D9B1117547147E0441","1255","C:\Users\memo_\Documents\Codex\2026-06-29\updatede-goal-text-maintain-the-noether-2\work\github-checkouts\modern-latex-manuscripts-noether-pc-nocone-20260702\noether-slavic-handoff\20260629\cross-session-coordination\20260704\NOETHER_SESSION_OUTPUT_PACKAGE321_20260704T210056_ROLLING_DELTA_AFTER_PACKAGE320"
"NOETHER_SESSION_OUTPUT_PACKAGE322_20260704T210253_ROLLING_DELTA_AFTER_PACKAGE321","2026-07-04T21:02:54","6928ED74DF08046AA76107C288D89CBEEE99964B154D6ABC65B1868468F0A961","3623","79443599D8AEB798DEACC28373E222DC57935F5E24093655BF07A0B6931FA025","1487","C:\Users\memo_\Documents\Codex\2026-06-29\updatede-goal-text-maintain-the-noether-2\work\github-checkouts\modern-latex-manuscripts-noether-pc-nocone-20260702\noether-slavic-handoff\20260629\cross-session-coordination\20260704\NOETHER_SESSION_OUTPUT_PACKAGE322_20260704T210253_ROLLING_DELTA_AFTER_PACKAGE321"
"NOETHER_SESSION_OUTPUT_PACKAGE323_20260704T213026_ROLLING_DELTA_AFTER_PACKAGE322","2026-07-04T21:30:26","B5A873111173AB0A437A371A3851905D96B6B1ACB1AB3CED8680097DAD17E1DB","4562","2088F1B461B5AF5C148135D9ABB40D25EDDBBE392BEDD78B1E10D056980003DE","2018","C:\Users\memo_\Documents\Codex\2026-06-29\updatede-goal-text-maintain-the-noether-2\work\github-checkouts\modern-latex-manuscripts-noether-pc-nocone-20260702\noether-slavic-handoff\20260629\cross-session-coordination\20260704\NOETHER_SESSION_OUTPUT_PACKAGE323_20260704T213026_ROLLING_DELTA_AFTER_PACKAGE322"
"NOETHER_SESSION_OUTPUT_PACKAGE324_20260704T215004_ROLLING_DELTA_AFTER_PACKAGE323","2026-07-04T21:50:05","4AFDB052A3DD9FAAC92B876B01742DBF870B3C2B0295FBF7673CCE965768B82E","3813","04E8D5CA3BDD8B3896728C33762F3D982338E24FEDFE6E67EC093E8C2DDCD0FA","1630","C:\Users\memo_\Documents\Codex\2026-06-29\updatede-goal-text-maintain-the-noether-2\work\github-checkouts\modern-latex-manuscripts-noether-pc-nocone-20260702\noether-slavic-handoff\20260629\cross-session-coordination\20260704\NOETHER_SESSION_OUTPUT_PACKAGE324_20260704T215004_ROLLING_DELTA_AFTER_PACKAGE323"
"NOETHER_SESSION_OUTPUT_PACKAGE325_20260704T215157_ROLLING_DELTA_AFTER_PACKAGE324","2026-07-04T21:51:57","FE753A69CD4CAF4EE88C3A9D46EC06417648103A20885D897297C9384BAD88DD","530","E91878F4E4758CDA40D9B985AF849ADF1780F7639C2A6480E44005F9420986AD","189","C:\Users\memo_\Documents\Codex\2026-06-29\updatede-goal-text-maintain-the-noether-2\work\github-checkouts\modern-latex-manuscripts-noether-pc-nocone-20260702\noether-slavic-handoff\20260629\cross-session-coordination\20260704\NOETHER_SESSION_OUTPUT_PACKAGE325_20260704T215157_ROLLING_DELTA_AFTER_PACKAGE324"
"NOETHER_SESSION_OUTPUT_PACKAGE326_20260704T221012_ROLLING_DELTA_AFTER_PACKAGE325","2026-07-04T22:10:15","74F51464E674A40F8F1ABC9A970B1C3FF5470EFFD4A3768BDCC56776CB7008FC","36681","72642771F02877F1F4722B91859AF9AD1C9E39B39927C4F39A6757190668ED82","16522","C:\Users\memo_\Documents\Codex\2026-06-29\updatede-goal-text-maintain-the-noether-2\work\github-checkouts\modern-latex-manuscripts-noether-pc-nocone-20260702\noether-slavic-handoff\20260629\cross-session-coordination\20260704\NOETHER_SESSION_OUTPUT_PACKAGE326_20260704T221012_ROLLING_DELTA_AFTER_PACKAGE325"
"NOETHER_SESSION_OUTPUT_PACKAGE327_20260704T221228_ROLLING_DELTA_AFTER_PACKAGE326","2026-07-04T22:12:29","B6E361250DFDF0A5EA9E8F684FCD4808D59E1B217C75D7333FF1530864BA2C11","11781","94CFD063D636CED9EBA87FDD579AF7EF23C3EBB28605E954428EE1F09880AE5B","5016","C:\Users\memo_\Documents\Codex\2026-06-29\updatede-goal-text-maintain-the-noether-2\work\github-checkouts\modern-latex-manuscripts-noether-pc-nocone-20260702\noether-slavic-handoff\20260629\cross-session-coordination\20260704\NOETHER_SESSION_OUTPUT_PACKAGE327_20260704T221228_ROLLING_DELTA_AFTER_PACKAGE326"
"NOETHER_SESSION_OUTPUT_PACKAGE328_20260704T221405_ROLLING_DELTA_AFTER_PACKAGE327","2026-07-04T22:14:07","10BC79821A2FD2E74A10902DCC8A1E594C3A4B9BDCB9828D344B14D05E115473","15687","D21FB483A37ABC869D5E6699E7502206A4A7A0892AD329465774AA4988CD9B40","7405","C:\Users\memo_\Documents\Codex\2026-06-29\updatede-goal-text-maintain-the-noether-2\work\github-checkouts\modern-latex-manuscripts-noether-pc-nocone-20260702\noether-slavic-handoff\20260629\cross-session-coordination\20260704\NOETHER_SESSION_OUTPUT_PACKAGE328_20260704T221405_ROLLING_DELTA_AFTER_PACKAGE327"
"NOETHER_SESSION_OUTPUT_PACKAGE329_20260704T221650_ROLLING_DELTA_AFTER_PACKAGE328","2026-07-04T22:16:52","8DC5200E76FBDEC60E480D6E305A093FCFD5F60F74FC5AE7473CF97F731837E1","13930","7F09DB63372CDEA90067F6EF080CDD0A8B126B1307BA2728E5575F61E246575E","6329","C:\Users\memo_\Documents\Codex\2026-06-29\updatede-goal-text-maintain-the-noether-2\work\github-checkouts\modern-latex-manuscripts-noether-pc-nocone-20260702\noether-slavic-handoff\20260629\cross-session-coordination\20260704\NOETHER_SESSION_OUTPUT_PACKAGE329_20260704T221650_ROLLING_DELTA_AFTER_PACKAGE328"
