"file","extension","bytes","sha256","artifact_class","b3_raw_source_pattern","b3_zip_primary","b3_temp_cache_runtime_pattern","over_5_mib","package_action","payload_boundary","source_body_or_media_payload","license_or_authority_claim","translation_or_pilot_claim","ethics_authority_note"
"NOETHER_R6_ACCESS_AUTHORITY_MAP_20260704.md",".md","13009","f63e620c6cc8e4ac1677d6903d1e36cddccb58a80d7771e8dfeadcdbe3444b60","authority_or_routing_metadata","False","False","False","False","include_as_support_metadata_if_B3_selects_lane_delta","metadata_only_no_raw_source_body_no_media_no_translation_no_gate_promotion","false","false","false","R6 support metadata only; package inclusion does not imply source authority, reviewer approval, community consent, canonical approval, license clearance, media reuse permission, accepted terms/signs, translation, pilot, completion, or Git push."
"NOETHER_R6_ACCESS_SOURCE_SLICE_QUEUE_20260704.csv",".csv","8895","9f06c26aff011bee483a576aaa4ed103f80db6896094103ab538e75f474a6ad1","blocker_or_gate_metadata","False","False","False","False","include_as_support_metadata_if_B3_selects_lane_delta","metadata_only_no_raw_source_body_no_media_no_translation_no_gate_promotion","false","false","false","R6 support metadata only; package inclusion does not imply source authority, reviewer approval, community consent, canonical approval, license clearance, media reuse permission, accepted terms/signs, translation, pilot, completion, or Git push."
"NOETHER_R6_BLOCKED_ROW_SOURCE_GATE_SLICE_02_20260704.md",".md","9318","283baaf9cd1ce042d638154c41337042fba6605d8f49104574923a83aab45e1f","blocker_or_gate_metadata","False","False","False","False","include_as_support_metadata_if_B3_selects_lane_delta","metadata_only_no_raw_source_body_no_media_no_translation_no_gate_promotion","false","false","false","R6 support metadata only; package inclusion does not imply source authority, reviewer approval, community consent, canonical approval, license clearance, media reuse permission, accepted terms/signs, translation, pilot, completion, or Git push."
"NOETHER_R6_CORPUS_ACCESS_SUPPORT_NOTES_20260704.md",".md","9214","32ae95f0fb8b6cd6a9ced29eae030f149a014a3a7bb57a98070775ff21ee3898","metadata_support_sidecar","False","False","False","False","include_as_support_metadata_if_B3_selects_lane_delta","metadata_only_no_raw_source_body_no_media_no_translation_no_gate_promotion","false","false","false","R6 support metadata only; package inclusion does not imply source authority, reviewer approval, community consent, canonical approval, license clearance, media reuse permission, accepted terms/signs, translation, pilot, completion, or Git push."
"NOETHER_R6_CORPUS_SUPPORT_SLICE_01_EVIDENCE_ROWS_20260704.md",".md","11083","440acce83a9457aa2f85579a45f4bfb9536a52c92d33fd5ef5844a62b29e8acb","metadata_support_sidecar","False","False","False","False","include_as_support_metadata_if_B3_selects_lane_delta","metadata_only_no_raw_source_body_no_media_no_translation_no_gate_promotion","false","false","false","R6 support metadata only; package inclusion does not imply source authority, reviewer approval, community consent, canonical approval, license clearance, media reuse permission, accepted terms/signs, translation, pilot, completion, or Git push."
"NOETHER_R6_DURABILITY_AND_AUTHORITY_REFRESH_20260704.md",".md","7949","3b74433f82be2aee9c7a4fad238978d66e5bd45ac5351d8eb86242a4b368b558","authority_or_routing_metadata","False","False","False","False","include_as_support_metadata_if_B3_selects_lane_delta","metadata_only_no_raw_source_body_no_media_no_translation_no_gate_promotion","false","false","false","R6 support metadata only; package inclusion does not imply source authority, reviewer approval, community consent, canonical approval, license clearance, media reuse permission, accepted terms/signs, translation, pilot, completion, or Git push."
"NOETHER_R6_DURABLE_RUN_LOG_20260704.md",".md","29477","d904e0091602950384faf8bf48f53955c10b4e1fa2f890f51306e456f9950681","metadata_support_sidecar","False","False","False","False","include_as_support_metadata_if_B3_selects_lane_delta","metadata_only_no_raw_source_body_no_media_no_translation_no_gate_promotion","false","false","false","R6 support metadata only; package inclusion does not imply source authority, reviewer approval, community consent, canonical approval, license clearance, media reuse permission, accepted terms/signs, translation, pilot, completion, or Git push."
"NOETHER_R6_GATE_STATE_20260704.json",".json","6990","59aae7874c0bb0b5fc9a11dfa2934c953ce533e91b6a4487de1afd5a186cf397","blocker_or_gate_metadata","False","False","False","False","include_as_support_metadata_if_B3_selects_lane_delta","metadata_only_no_raw_source_body_no_media_no_translation_no_gate_promotion","false","false","false","R6 support metadata only; package inclusion does not imply source authority, reviewer approval, community consent, canonical approval, license clearance, media reuse permission, accepted terms/signs, translation, pilot, completion, or Git push."
"NOETHER_R6_NON_SOURCE_GUARDRAIL_ROWS_20260704.csv",".csv","8492","ce33fbdd2115f40d0d31576bb0cd7c4738d62f6e7901ff86d0ce4ad61664af5d","metadata_support_sidecar","False","False","False","False","include_as_support_metadata_if_B3_selects_lane_delta","metadata_only_no_raw_source_body_no_media_no_translation_no_gate_promotion","false","false","false","R6 support metadata only; package inclusion does not imply source authority, reviewer approval, community consent, canonical approval, license clearance, media reuse permission, accepted terms/signs, translation, pilot, completion, or Git push."
"NOETHER_R6_NON_STRICT_ROUTE_METADATA_ROWS_20260704.csv",".csv","1443","f515dd62afa7e5f87ab0a63a5927ad75cc90ce29963fb9411d4534f96bde6d75","metadata_support_sidecar","False","False","False","False","include_as_support_metadata_if_B3_selects_lane_delta","metadata_only_no_raw_source_body_no_media_no_translation_no_gate_promotion","false","false","false","R6 support metadata only; package inclusion does not imply source authority, reviewer approval, community consent, canonical approval, license clearance, media reuse permission, accepted terms/signs, translation, pilot, completion, or Git push."
