queue_id,priority,priority_lane,target_language_or_access_target,spine_id,row_ref,source_kind,title_or_subject,source_url,local_source_path,sha256_actual,pages,ocr_text_status,text_characters,ethiopic_characters,source_body_gate,source_gate_decision,license_or_access_signal,topic_language_tags,reviewer_or_source_owner_question,next_source_return_action,explicit_blocker,promotion_allowed
R9-OCR-SO-0001,P0,source_owner_license_reviewer_gate_for_text_layer_body,Amharic,R9-LSB-0014,14,chapter,Maths grade 2 in Amharic,https://files.ethiopialearning.com/textbooks/Grade%2002/Grade_2_Subject_MATHS_Chapter_10_Language_AMHARIC_Retrieved_20150101.pdf,C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources\non_slavic_reference_corpus\20260703T164546Z_r9_amharic_pass2\downloads\014_amharic_math_g2_chapter_10_8bf790e7.pdf,170FA81A9392CE4F1195BA50074A3D45B46301440E4158A8A99515A4875C1FB8,5,extractable_ethiopic_text,499,217,hashable_local_math_source_body_with_text_layer_needs_license_and_source_owner_gate,not_admitted_local_body_provenance_only,public web/source-return route signal only; no license approval or reuse clearance claimed,Amharic; Horn of Africa; Ethiopic; mathematics; source-kind=chapter,"Can a source-owner/reviewer confirm Amharic language/variety, topic scope, attribution, and allowed source-canon use for this hashable math body without treating it as approved translation evidence?","Preserve hash/path/URL; request source-owner or reviewer source-return on language/variety, topic tags, attribution, and access/license signal before any use.","Local hashable math body exists, but OCR/source-owner/license/reviewer gates remain open; do not use for accepted translation evidence.",false
R9-OCR-SO-0002,P0,source_owner_license_reviewer_gate_for_text_layer_body,Amharic,R9-LSB-0045,45,chapter,Math grade 6 in Amharic,https://files.ethiopialearning.com/textbooks/Grade%2006/Grade_6_Subject_MATH_Chapter_4_Language_AMHARIC_Retrieved_20150101.pdf,C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources\non_slavic_reference_corpus\20260703T164546Z_r9_amharic_pass2\downloads\045_amharic_math_g6_chapter_4_bf0b06b2.pdf,0F48856E47A0E74D91C110C0505F17E04E42B6CCDD030BA6411ED53B712A29A1,25,extractable_ethiopic_text,18403,4804,hashable_local_math_source_body_with_text_layer_needs_license_and_source_owner_gate,not_admitted_local_body_provenance_only,public web/source-return route signal only; no license approval or reuse clearance claimed,Amharic; Horn of Africa; Ethiopic; mathematics; source-kind=chapter,"Can a source-owner/reviewer confirm Amharic language/variety, topic scope, attribution, and allowed source-canon use for this hashable math body without treating it as approved translation evidence?","Preserve hash/path/URL; request source-owner or reviewer source-return on language/variety, topic tags, attribution, and access/license signal before any use.","Local hashable math body exists, but OCR/source-owner/license/reviewer gates remain open; do not use for accepted translation evidence.",false
R9-OCR-SO-0003,P0,source_owner_license_reviewer_gate_for_text_layer_body,Amharic,R9-LSB-0048,48,chapter,Math grade 6 in Amharic,https://files.ethiopialearning.com/textbooks/Grade%2006/Grade_6_Subject_MATH_Chapter_7_Language_AMHARIC_Retrieved_20150101.pdf,C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources\non_slavic_reference_corpus\20260703T164546Z_r9_amharic_pass2\downloads\048_amharic_math_g6_chapter_7_962d1aa7.pdf,424D2EC7478D987117AE06CA49E956ABF88B3E39BB2F39A9C4ECED995C21BED9,39,extractable_ethiopic_text,31077,15930,hashable_local_math_source_body_with_text_layer_needs_license_and_source_owner_gate,not_admitted_local_body_provenance_only,public web/source-return route signal only; no license approval or reuse clearance claimed,Amharic; Horn of Africa; Ethiopic; mathematics; source-kind=chapter,"Can a source-owner/reviewer confirm Amharic language/variety, topic scope, attribution, and allowed source-canon use for this hashable math body without treating it as approved translation evidence?","Preserve hash/path/URL; request source-owner or reviewer source-return on language/variety, topic tags, attribution, and access/license signal before any use.","Local hashable math body exists, but OCR/source-owner/license/reviewer gates remain open; do not use for accepted translation evidence.",false
R9-OCR-SO-0004,P0,source_owner_license_reviewer_gate_for_text_layer_body,Oromo,R9-LSB-0050,2,teacher_guide,Math grade 1 in Oromo,https://files.ethiopialearning.com/textbooks/Grade%2001/Grade_1_Subject_MATH_TEACHER_GUIDE_Language_OROMO_Retrieved_20150101.pdf,C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources\non_slavic_reference_corpus\20260703T170417Z_r9_somali_oromo_pass2\downloads\oromo\002_oromo_math_g1_teacher_guide_teacher_guide_baa02999.pdf,0A2C875C7F7C34B1A5D9127300F508983EE467EBEC2D20B4CF34AA7FF123F027,103,extractable_latin_text,155638,,hashable_local_math_source_body_with_text_layer_needs_license_and_source_owner_gate,not_admitted_local_body_provenance_only,public web/source-return route signal only; no license approval or reuse clearance claimed,Oromo; Horn of Africa; Latin or mixed; mathematics; source-kind=teacher_guide,"Can a source-owner/reviewer confirm Oromo language/variety, topic scope, attribution, and allowed source-canon use for this hashable math body without treating it as approved translation evidence?","Preserve hash/path/URL; request source-owner or reviewer source-return on language/variety, topic tags, attribution, and access/license signal before any use.","Local hashable math body exists, but OCR/source-owner/license/reviewer gates remain open; do not use for accepted translation evidence.",false
R9-OCR-SO-0005,P0,source_owner_license_reviewer_gate_for_text_layer_body,Oromo,R9-LSB-0064,16,full_textbook,Math grade 2 in Oromo,https://files.ethiopialearning.com/textbooks/Grade%2002/Grade_2_Subject_MATH_Language_OROMO_Retrieved_20150101.pdf,C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources\non_slavic_reference_corpus\20260703T170417Z_r9_somali_oromo_pass2\downloads\oromo\016_oromo_math_g2_full_textbook_full_textbook_3573d236.pdf,418FCB1577027798BB81FA3A4F82E03EFCD2ACB28AE4D5001C8F8DAA1505529A,117,extractable_latin_text,76668,,hashable_local_math_source_body_with_text_layer_needs_license_and_source_owner_gate,not_admitted_local_body_provenance_only,public web/source-return route signal only; no license approval or reuse clearance claimed,Oromo; Horn of Africa; Latin or mixed; mathematics; source-kind=full_textbook,"Can a source-owner/reviewer confirm Oromo language/variety, topic scope, attribution, and allowed source-canon use for this hashable math body without treating it as approved translation evidence?","Preserve hash/path/URL; request source-owner or reviewer source-return on language/variety, topic tags, attribution, and access/license signal before any use.","Local hashable math body exists, but OCR/source-owner/license/reviewer gates remain open; do not use for accepted translation evidence.",false
R9-OCR-SO-0006,P0,source_owner_license_reviewer_gate_for_text_layer_body,Oromo,R9-LSB-0065,17,teacher_guide,Math grade 2 in Oromo,https://files.ethiopialearning.com/textbooks/Grade%2002/Grade_2_Subject_MATH_TEACHER_GUIDE_Language_OROMO_Retrieved_20150101.pdf,C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources\non_slavic_reference_corpus\20260703T170417Z_r9_somali_oromo_pass2\downloads\oromo\017_oromo_math_g2_teacher_guide_teacher_guide_2499702b.pdf,A79CFC91D958D220C0EA97585237CBF8655366936AB8C23A847FB96CBFCA3B8C,95,extractable_latin_text,125465,,hashable_local_math_source_body_with_text_layer_needs_license_and_source_owner_gate,not_admitted_local_body_provenance_only,public web/source-return route signal only; no license approval or reuse clearance claimed,Oromo; Horn of Africa; Latin or mixed; mathematics; source-kind=teacher_guide,"Can a source-owner/reviewer confirm Oromo language/variety, topic scope, attribution, and allowed source-canon use for this hashable math body without treating it as approved translation evidence?","Preserve hash/path/URL; request source-owner or reviewer source-return on language/variety, topic tags, attribution, and access/license signal before any use.","Local hashable math body exists, but OCR/source-owner/license/reviewer gates remain open; do not use for accepted translation evidence.",false
R9-OCR-SO-0007,P0,source_owner_license_reviewer_gate_for_text_layer_body,Oromo,R9-LSB-0066,18,chapter,Maths grade 2 in Oromo,https://files.ethiopialearning.com/textbooks/Grade%2002/Grade_2_Subject_MATHS_Chapter_10_Language_OROMO_Retrieved_20150101.pdf,C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources\non_slavic_reference_corpus\20260703T170417Z_r9_somali_oromo_pass2\downloads\oromo\018_oromo_math_g2_chapter_10_0c20310c.pdf,0DA5C7DE04AFBA37584AFBE95ECCC52A5FFB6CFBA51F38EC5F866241A2CB1E2D,5,extractable_latin_text,1452,,hashable_local_math_source_body_with_text_layer_needs_license_and_source_owner_gate,not_admitted_local_body_provenance_only,public web/source-return route signal only; no license approval or reuse clearance claimed,Oromo; Horn of Africa; Latin or mixed; mathematics; source-kind=chapter,"Can a source-owner/reviewer confirm Oromo language/variety, topic scope, attribution, and allowed source-canon use for this hashable math body without treating it as approved translation evidence?","Preserve hash/path/URL; request source-owner or reviewer source-return on language/variety, topic tags, attribution, and access/license signal before any use.","Local hashable math body exists, but OCR/source-owner/license/reviewer gates remain open; do not use for accepted translation evidence.",false
R9-OCR-SO-0008,P0,source_owner_license_reviewer_gate_for_text_layer_body,Oromo,R9-LSB-0067,19,chapter,Maths grade 2 in Oromo,https://files.ethiopialearning.com/textbooks/Grade%2002/Grade_2_Subject_MATHS_Chapter_1_Language_OROMO_Retrieved_20150101.pdf,C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources\non_slavic_reference_corpus\20260703T170417Z_r9_somali_oromo_pass2\downloads\oromo\019_oromo_math_g2_chapter_1_d49dfabc.pdf,94E00F090D07116135EA38E2AE4BB4D2EEC9A8DF2575966B56614C795160B306,6,extractable_latin_text,6794,,hashable_local_math_source_body_with_text_layer_needs_license_and_source_owner_gate,not_admitted_local_body_provenance_only,public web/source-return route signal only; no license approval or reuse clearance claimed,Oromo; Horn of Africa; Latin or mixed; mathematics; source-kind=chapter,"Can a source-owner/reviewer confirm Oromo language/variety, topic scope, attribution, and allowed source-canon use for this hashable math body without treating it as approved translation evidence?","Preserve hash/path/URL; request source-owner or reviewer source-return on language/variety, topic tags, attribution, and access/license signal before any use.","Local hashable math body exists, but OCR/source-owner/license/reviewer gates remain open; do not use for accepted translation evidence.",false
R9-OCR-SO-0009,P0,source_owner_license_reviewer_gate_for_text_layer_body,Oromo,R9-LSB-0068,20,chapter,Maths grade 2 in Oromo,https://files.ethiopialearning.com/textbooks/Grade%2002/Grade_2_Subject_MATHS_Chapter_2_Language_OROMO_Retrieved_20150101.pdf,C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources\non_slavic_reference_corpus\20260703T170417Z_r9_somali_oromo_pass2\downloads\oromo\020_oromo_math_g2_chapter_2_c7625c83.pdf,E0457AAEC07B3F2AADA8D737DBA4819D6DD7966BA263EBE3D37C54D28A3192AD,40,extractable_latin_text,25953,,hashable_local_math_source_body_with_text_layer_needs_license_and_source_owner_gate,not_admitted_local_body_provenance_only,public web/source-return route signal only; no license approval or reuse clearance claimed,Oromo; Horn of Africa; Latin or mixed; mathematics; source-kind=chapter,"Can a source-owner/reviewer confirm Oromo language/variety, topic scope, attribution, and allowed source-canon use for this hashable math body without treating it as approved translation evidence?","Preserve hash/path/URL; request source-owner or reviewer source-return on language/variety, topic tags, attribution, and access/license signal before any use.","Local hashable math body exists, but OCR/source-owner/license/reviewer gates remain open; do not use for accepted translation evidence.",false
R9-OCR-SO-0010,P0,source_owner_license_reviewer_gate_for_text_layer_body,Oromo,R9-LSB-0069,21,chapter,Maths grade 2 in Oromo,https://files.ethiopialearning.com/textbooks/Grade%2002/Grade_2_Subject_MATHS_Chapter_3_Language_OROMO_Retrieved_20150101.pdf,C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources\non_slavic_reference_corpus\20260703T170417Z_r9_somali_oromo_pass2\downloads\oromo\021_oromo_math_g2_chapter_3_0cfb4133.pdf,9EEAA65F19939BB91F0A690A314CFA8A1F1CA4CA1631D5C4BE8EC6CEBEC41A6C,32,extractable_latin_text,21088,,hashable_local_math_source_body_with_text_layer_needs_license_and_source_owner_gate,not_admitted_local_body_provenance_only,public web/source-return route signal only; no license approval or reuse clearance claimed,Oromo; Horn of Africa; Latin or mixed; mathematics; source-kind=chapter,"Can a source-owner/reviewer confirm Oromo language/variety, topic scope, attribution, and allowed source-canon use for this hashable math body without treating it as approved translation evidence?","Preserve hash/path/URL; request source-owner or reviewer source-return on language/variety, topic tags, attribution, and access/license signal before any use.","Local hashable math body exists, but OCR/source-owner/license/reviewer gates remain open; do not use for accepted translation evidence.",false
