"lane","delta_status","source_relative_path","package_relative_path","bytes","sha256","source_last_write_utc","frontier_package","frontier_sha256","frontier_bytes"
"noether-arabic-rtl-source-evidence-draft-lane","HASH_CHANGED_AFTER_PACKAGE_FRONTIER","NOETHER_ARABIC_RTL_CORPUS_TRANSLATION_SHA256_20260704.txt","lane_outputs\noether-arabic-rtl-source-evidence-draft-lane\NOETHER_ARABIC_RTL_CORPUS_TRANSLATION_SHA256_20260704.txt","489","AD63C7EF51D3EB87AD33D2619CD0D40AB5520481666174463D236E24BF6EC742","2026-07-05T02:32:21.2556306Z","393","09EB68C337F7383B4A00D013A02BCBE5CC696C122BA341031741C424C2EF6AB2","489"
"noether-arabic-rtl-source-evidence-draft-lane","MISSING_FROM_PACKAGE_FRONTIER","NOETHER_ARABIC_RTL_DAMASCUS_LINEAR_ALGEBRA_SOURCE_PROBE_SHA256_20260705.txt","lane_outputs\noether-arabic-rtl-source-evidence-draft-lane\NOETHER_ARABIC_RTL_DAMASCUS_LINEAR_ALGEBRA_SOURCE_PROBE_SHA256_20260705.txt","1894","7020754B1BC6AD1B982CA4422829EC5FAD9CC3CBD5039428D48A265AA1FB4E01","2026-07-05T02:32:21.2883312Z",,,
"noether-arabic-rtl-source-evidence-draft-lane","HASH_CHANGED_AFTER_PACKAGE_FRONTIER","NOETHER_ARABIC_RTL_DURABLE_RUN_LOG_20260704.md","lane_outputs\noether-arabic-rtl-source-evidence-draft-lane\NOETHER_ARABIC_RTL_DURABLE_RUN_LOG_20260704.md","69535","780539FF6B6EF727BB5A56AE5A0E8FD51B609E399E1611E2469F5251D90D9885","2026-07-05T02:33:10.8875949Z","410","1744DAEF3D95B7B3114D5697D135F8AA24F5EFF3FBE05829D7C6B024D5EE5DF9","68779"
"noether-arabic-rtl-source-evidence-draft-lane","HASH_CHANGED_AFTER_PACKAGE_FRONTIER","NOETHER_ARABIC_RTL_GITHUB_SOURCE_ARCHIVE_PROBE_SHA256_20260704.txt","lane_outputs\noether-arabic-rtl-source-evidence-draft-lane\NOETHER_ARABIC_RTL_GITHUB_SOURCE_ARCHIVE_PROBE_SHA256_20260704.txt","364","1D23EF1D8F662C1496C54ADF69FBAD8A4E57B01B488949F22694EB92282C81AF","2026-07-05T02:32:21.2702108Z","393","A26B519F4D97F601CBE6BDA7E0DB986F9D255D72690EC4F7FB63FEAAD7BA8C64","364"
"noether-arabic-rtl-source-evidence-draft-lane","HASH_CHANGED_AFTER_PACKAGE_FRONTIER","NOETHER_ARABIC_RTL_MEDIAWIKI_SOURCE_TEXT_PROBE_SHA256_20260705.txt","lane_outputs\noether-arabic-rtl-source-evidence-draft-lane\NOETHER_ARABIC_RTL_MEDIAWIKI_SOURCE_TEXT_PROBE_SHA256_20260705.txt","2057","5D5222D78EE013EC65CD651D46D903CF05E59434D3AB1486357F7D3951996D12","2026-07-05T02:32:21.2722765Z","393","50CA6320510B0F86F38680CD44576041C5B7CDF65D573C3E0749FFDF07A51CAD","2057"
"noether-arabic-rtl-source-evidence-draft-lane","HASH_CHANGED_AFTER_PACKAGE_FRONTIER","NOETHER_ARABIC_RTL_OFFICIAL_PDF_SOURCE_PROBE_SHA256_20260705.txt","lane_outputs\noether-arabic-rtl-source-evidence-draft-lane\NOETHER_ARABIC_RTL_OFFICIAL_PDF_SOURCE_PROBE_SHA256_20260705.txt","1756","4027EF1A2533B3CBC2964932C61AA2671E3C7F2C444B9AA55B37A8DA10EF4C0E","2026-07-05T02:32:21.2742835Z","393","679F850F0EC0EDE507B1F7B474A557AFE99CB1DE51DE0CCCF9A142B01191EC36","1756"
"noether-arabic-rtl-source-evidence-draft-lane","HASH_CHANGED_AFTER_PACKAGE_FRONTIER","NOETHER_ARABIC_RTL_R3_CROSS_LANE_SYNC_INTAKE_SHA256_20260704.txt","lane_outputs\noether-arabic-rtl-source-evidence-draft-lane\NOETHER_ARABIC_RTL_R3_CROSS_LANE_SYNC_INTAKE_SHA256_20260704.txt","360","CBC5F8F6083B5C305A3D2FF3E5522FE76EC2881A1F2F6CDB61DCD1DD446B5B35","2026-07-05T02:32:21.2742835Z","393","833F2C0AE787F0747BF2A18ABEC25753E58182A1401356722287DF84DC2688D8","360"
"noether-arabic-rtl-source-evidence-draft-lane","HASH_CHANGED_AFTER_PACKAGE_FRONTIER","NOETHER_ARABIC_RTL_R3_CURRENT_POINTER_REFRESH_SHA256_20260704.txt","lane_outputs\noether-arabic-rtl-source-evidence-draft-lane\NOETHER_ARABIC_RTL_R3_CURRENT_POINTER_REFRESH_SHA256_20260704.txt","362","84ED73A1E36423CBC9B49B3606172C3A043216CB9872D08E0C830CF1E17589C0","2026-07-05T02:32:21.2742835Z","393","CEF61D3C54E4CA2DC1464FFE06CF70D47BF30981C35604DC4DF2C04CC325162F","362"
"noether-arabic-rtl-source-evidence-draft-lane","HASH_CHANGED_AFTER_PACKAGE_FRONTIER","NOETHER_ARABIC_RTL_R3_GAP_REFRESH_INTAKE_SHA256_20260704.txt","lane_outputs\noether-arabic-rtl-source-evidence-draft-lane\NOETHER_ARABIC_RTL_R3_GAP_REFRESH_INTAKE_SHA256_20260704.txt","352","EB75B9480A8F51DC26E288D607A7E0A2E845E2E3A96F88E9D400507EA577AC95","2026-07-05T02:32:21.2786045Z","393","CF49D325544289BA8315B10DEF1B0A3A0C90BBE59070D8AFF1BE2AF296429296","352"
"noether-arabic-rtl-source-evidence-draft-lane","HASH_CHANGED_AFTER_PACKAGE_FRONTIER","NOETHER_ARABIC_RTL_R3_GITHUB_ARCHIVE_PROBE_INTAKE_SHA256_20260704.txt","lane_outputs\noether-arabic-rtl-source-evidence-draft-lane\NOETHER_ARABIC_RTL_R3_GITHUB_ARCHIVE_PROBE_INTAKE_SHA256_20260704.txt","370","63AC2B1AF4E2E874C98B5BE10ADFD6893BC0F62844E53D0BBBB731A4802505F6","2026-07-05T02:32:21.2786045Z","393","FF08D544D24859425DB3E25CF77D2CA217B2F0D37D0921E40379F4A288D668F2","370"
"noether-arabic-rtl-source-evidence-draft-lane","HASH_CHANGED_AFTER_PACKAGE_FRONTIER","NOETHER_ARABIC_RTL_R3_POLICY_PAYLOAD_SYNC_INTAKE_SHA256_20260704.txt","lane_outputs\noether-arabic-rtl-source-evidence-draft-lane\NOETHER_ARABIC_RTL_R3_POLICY_PAYLOAD_SYNC_INTAKE_SHA256_20260704.txt","368","4A3BA5CE73F9790F2EFF8B1B573357830921C26EA470EEBB5C7D57CD07279B2D","2026-07-05T02:32:21.2806134Z","393","E2C93EA448835BDE5BC510D3BF1E25BE069515FC67F880344287FAAD3A1A4E18","368"
"noether-arabic-rtl-source-evidence-draft-lane","HASH_CHANGED_AFTER_PACKAGE_FRONTIER","NOETHER_ARABIC_RTL_SOURCE_CANON_COORDINATION_RECHECK_SHA256_20260704.txt","lane_outputs\noether-arabic-rtl-source-evidence-draft-lane\NOETHER_ARABIC_RTL_SOURCE_CANON_COORDINATION_RECHECK_SHA256_20260704.txt","520","B690314D02565698AD6430D576AC543B9E8DA488C7AE3FA22A335A00D6C702B6","2026-07-05T02:32:21.2806134Z","393","57EF55E23F03665764BE344C5467EFB92D0D14115C5DA9D8CED1906BECD8F2F8","520"
"noether-arabic-rtl-source-evidence-draft-lane","HASH_CHANGED_AFTER_PACKAGE_FRONTIER","NOETHER_ARABIC_RTL_SOURCE_CANON_CURRENT_ROLLUP_SHA256_20260704.txt","lane_outputs\noether-arabic-rtl-source-evidence-draft-lane\NOETHER_ARABIC_RTL_SOURCE_CANON_CURRENT_ROLLUP_SHA256_20260704.txt","364","4BFA32918853B1376621567ECBD19A055577F491C2AAE4DA9AC1872568962921","2026-07-05T02:32:21.2828083Z","393","2FA2C0161DB4E51A9642C1ECAC5BD6064C0896839FA9242535AD7F3931F3A31E","364"
"noether-arabic-rtl-source-evidence-draft-lane","HASH_CHANGED_AFTER_PACKAGE_FRONTIER","NOETHER_ARABIC_RTL_SOURCE_CANON_HEARTBEAT_PROBE_SHA256_20260705.txt","lane_outputs\noether-arabic-rtl-source-evidence-draft-lane\NOETHER_ARABIC_RTL_SOURCE_CANON_HEARTBEAT_PROBE_SHA256_20260705.txt","1729","FF0AA839EEE746F64395604BC0F811710AFE26BD6770442469CC2AF88BC23FE9","2026-07-05T02:32:21.2848147Z","393","8F5F74C430F2918A00F3E952D5B42944B3192476B4D30B3F6597607F36ED5BE3","1729"
"noether-arabic-rtl-source-evidence-draft-lane","HASH_CHANGED_AFTER_PACKAGE_FRONTIER","NOETHER_ARABIC_RTL_WIKIBOOKS_SOURCE_TEXT_PROBE_SHA256_20260705.txt","lane_outputs\noether-arabic-rtl-source-evidence-draft-lane\NOETHER_ARABIC_RTL_WIKIBOOKS_SOURCE_TEXT_PROBE_SHA256_20260705.txt","1927","5521AC25603C7E58C4D739FBAE6AAD2B8A8F6CAEC543AF65CF434595B9AD500A","2026-07-05T02:32:21.2883312Z","393","23CBA3E2C633B36927BBF5EF0671257689D2027AF68A955F10BD24B05B3603EF","1927"
