"file_manifest_id","source_frontier_id","route","source_repository_status","item_identifier","item_url","item_title_metadata","item_language_metadata","file_name","file_format","file_size_bytes","archive_md5","archive_sha1","file_url","local_item_metadata_path","local_item_metadata_sha256","source_fit_class","language_topic_tags","license_or_access_signal","blocker_or_reason","upload_policy","non_claim_boundary","created_utc"
"R3-IA-FILE-0001","R3-IA-001","Arabic RTL source-canon lane","metadata_hits_with_archive_file_hashes_needs_body_language_license_screen","ljs183","https://archive.org/details/ljs183","Student's notebook on arithmetic and algebra","Arabic","ljs183.pdf","Image Container PDF","49713059","4ce2abcf966573af14ce7e909ad20009","e39f997ae6a5eb71e4773179108c21bf3556de2a","https://archive.org/download/ljs183/ljs183.pdf","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\work\source_probe_payload_cache\R3_INTERNET_ARCHIVE_TEXT_FRONTIER_PROBE_20260705T024335Z\items\ljs183.metadata.json","FA44E78F482B3591889D4AC156EB287ACC0DB2DDB6BB422BC845107BBDE8B427","arabic_algebra_archive_top_hit_needs_screening","Arabic; Internet Archive; file manifest; algebra or linear-algebra candidate; metadata-only; no source body downloaded","Internet Archive item metadata licenseurl=http://creativecommons.org/publicdomain/mark/1.0/; no R3 license clearance","Archive item metadata and archive-provided md5/sha1 only; no file body was downloaded, independently hashed, language-screened, or license-cleared by R3.","manifest_archive_file_metadata_only_no_payload_until_fetch_hash_license_language_screen","Internet Archive file-manifest metadata only; no file-body download, translation, glossary expansion, bridge promotion, native review, canonical approval, license clearance, gate promotion, completion claim, lane package claim, Git staging, commit, or push.","20260705T033220Z"
"R3-IA-FILE-0002","R3-IA-001","Arabic RTL source-canon lane","metadata_hits_with_archive_file_hashes_needs_body_language_license_screen","ljs183","https://archive.org/details/ljs183","Student's notebook on arithmetic and algebra","Arabic","ljs183_djvu.txt","DjVuTXT","29421","911776f9d6382d05b78d13b4a944b5f3","d088175520eb1d0aa556fccd958d060c1a5cfbf7","https://archive.org/download/ljs183/ljs183_djvu.txt","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\work\source_probe_payload_cache\R3_INTERNET_ARCHIVE_TEXT_FRONTIER_PROBE_20260705T024335Z\items\ljs183.metadata.json","FA44E78F482B3591889D4AC156EB287ACC0DB2DDB6BB422BC845107BBDE8B427","arabic_algebra_archive_top_hit_needs_screening","Arabic; Internet Archive; file manifest; algebra or linear-algebra candidate; metadata-only; no source body downloaded","Internet Archive item metadata licenseurl=http://creativecommons.org/publicdomain/mark/1.0/; no R3 license clearance","Archive item metadata and archive-provided md5/sha1 only; no file body was downloaded, independently hashed, language-screened, or license-cleared by R3.","manifest_archive_file_metadata_only_no_payload_until_fetch_hash_license_language_screen","Internet Archive file-manifest metadata only; no file-body download, translation, glossary expansion, bridge promotion, native review, canonical approval, license clearance, gate promotion, completion claim, lane package claim, Git staging, commit, or push.","20260705T033220Z"
"R3-IA-FILE-0003","R3-IA-001","Arabic RTL source-canon lane","metadata_hits_with_archive_file_hashes_needs_body_language_license_screen","ljs183","https://archive.org/details/ljs183","Student's notebook on arithmetic and algebra","Arabic","ljs183_djvu.xml","Djvu XML","684209","0f4ca137b440941fcc27fd610c122d93","7f6526b0b939cc056d359f1e8192cc4fc991f0a7","https://archive.org/download/ljs183/ljs183_djvu.xml","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\work\source_probe_payload_cache\R3_INTERNET_ARCHIVE_TEXT_FRONTIER_PROBE_20260705T024335Z\items\ljs183.metadata.json","FA44E78F482B3591889D4AC156EB287ACC0DB2DDB6BB422BC845107BBDE8B427","arabic_algebra_archive_top_hit_needs_screening","Arabic; Internet Archive; file manifest; algebra or linear-algebra candidate; metadata-only; no source body downloaded","Internet Archive item metadata licenseurl=http://creativecommons.org/publicdomain/mark/1.0/; no R3 license clearance","Archive item metadata and archive-provided md5/sha1 only; no file body was downloaded, independently hashed, language-screened, or license-cleared by R3.","manifest_archive_file_metadata_only_no_payload_until_fetch_hash_license_language_screen","Internet Archive file-manifest metadata only; no file-body download, translation, glossary expansion, bridge promotion, native review, canonical approval, license clearance, gate promotion, completion claim, lane package claim, Git staging, commit, or push.","20260705T033220Z"
"R3-IA-FILE-0004","R3-IA-001","Arabic RTL source-canon lane","metadata_hits_with_archive_file_hashes_needs_body_language_license_screen","ljs183","https://archive.org/details/ljs183","Student's notebook on arithmetic and algebra","Arabic","ljs183_hocr_searchtext.txt.gz","OCR Search Text","15992","9ecc378dec4d3b1862f0e4a763b52a1b","5bc201ed8e893b04fbb92689a0439e80122910b0","https://archive.org/download/ljs183/ljs183_hocr_searchtext.txt.gz","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\work\source_probe_payload_cache\R3_INTERNET_ARCHIVE_TEXT_FRONTIER_PROBE_20260705T024335Z\items\ljs183.metadata.json","FA44E78F482B3591889D4AC156EB287ACC0DB2DDB6BB422BC845107BBDE8B427","arabic_algebra_archive_top_hit_needs_screening","Arabic; Internet Archive; file manifest; algebra or linear-algebra candidate; metadata-only; no source body downloaded","Internet Archive item metadata licenseurl=http://creativecommons.org/publicdomain/mark/1.0/; no R3 license clearance","Archive item metadata and archive-provided md5/sha1 only; no file body was downloaded, independently hashed, language-screened, or license-cleared by R3.","manifest_archive_file_metadata_only_no_payload_until_fetch_hash_license_language_screen","Internet Archive file-manifest metadata only; no file-body download, translation, glossary expansion, bridge promotion, native review, canonical approval, license clearance, gate promotion, completion claim, lane package claim, Git staging, commit, or push.","20260705T033220Z"
"R3-IA-FILE-0005","R3-IA-001","Arabic RTL source-canon lane","metadata_hits_with_archive_file_hashes_needs_body_language_license_screen","ljs183","https://archive.org/details/ljs183","Student's notebook on arithmetic and algebra","Arabic","ljs183_text.pdf","Additional Text PDF","5114287","14507121ad4bc0c379fa4b28993438b5","134421d004a05635f7fb39faa4efb8f510ac9588","https://archive.org/download/ljs183/ljs183_text.pdf","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\work\source_probe_payload_cache\R3_INTERNET_ARCHIVE_TEXT_FRONTIER_PROBE_20260705T024335Z\items\ljs183.metadata.json","FA44E78F482B3591889D4AC156EB287ACC0DB2DDB6BB422BC845107BBDE8B427","arabic_algebra_archive_top_hit_needs_screening","Arabic; Internet Archive; file manifest; algebra or linear-algebra candidate; metadata-only; no source body downloaded","Internet Archive item metadata licenseurl=http://creativecommons.org/publicdomain/mark/1.0/; no R3 license clearance","Archive item metadata and archive-provided md5/sha1 only; no file body was downloaded, independently hashed, language-screened, or license-cleared by R3.","manifest_archive_file_metadata_only_no_payload_until_fetch_hash_license_language_screen","Internet Archive file-manifest metadata only; no file-body download, translation, glossary expansion, bridge promotion, native review, canonical approval, license clearance, gate promotion, completion claim, lane package claim, Git staging, commit, or push.","20260705T033220Z"
"R3-IA-FILE-0006","R3-IA-001","Arabic RTL source-canon lane","metadata_hits_with_archive_file_hashes_needs_body_language_license_screen","ljs464","https://archive.org/details/ljs464","Taḥṣīl al-munā fī sharḥ Talkhīṣ Ibn al-Bannāʼ. تحصيل المنا في شرح تلخيص ابن البناء","Arabic","ljs464.pdf","Image Container PDF","63316813","2f9b16872ec3795cac33dd41e2dc0fde","550d780ddd4941f6822ddc581e979a4c4f9d14cd","https://archive.org/download/ljs464/ljs464.pdf","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\work\source_probe_payload_cache\R3_INTERNET_ARCHIVE_TEXT_FRONTIER_PROBE_20260705T024335Z\items\ljs464.metadata.json","E44B2D1E77FCF87ADB94D49E39EABE4E8C284154B4C20AA1AA79075547028D3D","arabic_algebra_archive_top_hit_needs_screening","Arabic; Internet Archive; file manifest; algebra or linear-algebra candidate; metadata-only; no source body downloaded","Internet Archive item metadata licenseurl=http://creativecommons.org/publicdomain/mark/1.0/; no R3 license clearance","Archive item metadata and archive-provided md5/sha1 only; no file body was downloaded, independently hashed, language-screened, or license-cleared by R3.","manifest_archive_file_metadata_only_no_payload_until_fetch_hash_license_language_screen","Internet Archive file-manifest metadata only; no file-body download, translation, glossary expansion, bridge promotion, native review, canonical approval, license clearance, gate promotion, completion claim, lane package claim, Git staging, commit, or push.","20260705T033220Z"
"R3-IA-FILE-0007","R3-IA-001","Arabic RTL source-canon lane","metadata_hits_with_archive_file_hashes_needs_body_language_license_screen","ljs464","https://archive.org/details/ljs464","Taḥṣīl al-munā fī sharḥ Talkhīṣ Ibn al-Bannāʼ. تحصيل المنا في شرح تلخيص ابن البناء","Arabic","ljs464_djvu.txt","DjVuTXT","422974","2e2c172e50b1b15adf2846cb816820c5","c0db218dcfb074dcd70c8a4e824e6547d890c222","https://archive.org/download/ljs464/ljs464_djvu.txt","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\work\source_probe_payload_cache\R3_INTERNET_ARCHIVE_TEXT_FRONTIER_PROBE_20260705T024335Z\items\ljs464.metadata.json","E44B2D1E77FCF87ADB94D49E39EABE4E8C284154B4C20AA1AA79075547028D3D","arabic_algebra_archive_top_hit_needs_screening","Arabic; Internet Archive; file manifest; algebra or linear-algebra candidate; metadata-only; no source body downloaded","Internet Archive item metadata licenseurl=http://creativecommons.org/publicdomain/mark/1.0/; no R3 license clearance","Archive item metadata and archive-provided md5/sha1 only; no file body was downloaded, independently hashed, language-screened, or license-cleared by R3.","manifest_archive_file_metadata_only_no_payload_until_fetch_hash_license_language_screen","Internet Archive file-manifest metadata only; no file-body download, translation, glossary expansion, bridge promotion, native review, canonical approval, license clearance, gate promotion, completion claim, lane package claim, Git staging, commit, or push.","20260705T033220Z"
"R3-IA-FILE-0008","R3-IA-001","Arabic RTL source-canon lane","metadata_hits_with_archive_file_hashes_needs_body_language_license_screen","ljs464","https://archive.org/details/ljs464","Taḥṣīl al-munā fī sharḥ Talkhīṣ Ibn al-Bannāʼ. تحصيل المنا في شرح تلخيص ابن البناء","Arabic","ljs464_djvu.xml","Djvu XML","3997785","47d442670660570b0f33d298cc893e93","31787e9eb576031b36d6c33eabf0fb0fa69cc737","https://archive.org/download/ljs464/ljs464_djvu.xml","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\work\source_probe_payload_cache\R3_INTERNET_ARCHIVE_TEXT_FRONTIER_PROBE_20260705T024335Z\items\ljs464.metadata.json","E44B2D1E77FCF87ADB94D49E39EABE4E8C284154B4C20AA1AA79075547028D3D","arabic_algebra_archive_top_hit_needs_screening","Arabic; Internet Archive; file manifest; algebra or linear-algebra candidate; metadata-only; no source body downloaded","Internet Archive item metadata licenseurl=http://creativecommons.org/publicdomain/mark/1.0/; no R3 license clearance","Archive item metadata and archive-provided md5/sha1 only; no file body was downloaded, independently hashed, language-screened, or license-cleared by R3.","manifest_archive_file_metadata_only_no_payload_until_fetch_hash_license_language_screen","Internet Archive file-manifest metadata only; no file-body download, translation, glossary expansion, bridge promotion, native review, canonical approval, license clearance, gate promotion, completion claim, lane package claim, Git staging, commit, or push.","20260705T033220Z"
"R3-IA-FILE-0009","R3-IA-001","Arabic RTL source-canon lane","metadata_hits_with_archive_file_hashes_needs_body_language_license_screen","ljs464","https://archive.org/details/ljs464","Taḥṣīl al-munā fī sharḥ Talkhīṣ Ibn al-Bannāʼ. تحصيل المنا في شرح تلخيص ابن البناء","Arabic","ljs464_hocr_searchtext.txt.gz","OCR Search Text","167451","ae58419352dc4f8aaafb9820d8fbd824","65402402c91dae9b04d2409b1ab53612ebc81b5a","https://archive.org/download/ljs464/ljs464_hocr_searchtext.txt.gz","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\work\source_probe_payload_cache\R3_INTERNET_ARCHIVE_TEXT_FRONTIER_PROBE_20260705T024335Z\items\ljs464.metadata.json","E44B2D1E77FCF87ADB94D49E39EABE4E8C284154B4C20AA1AA79075547028D3D","arabic_algebra_archive_top_hit_needs_screening","Arabic; Internet Archive; file manifest; algebra or linear-algebra candidate; metadata-only; no source body downloaded","Internet Archive item metadata licenseurl=http://creativecommons.org/publicdomain/mark/1.0/; no R3 license clearance","Archive item metadata and archive-provided md5/sha1 only; no file body was downloaded, independently hashed, language-screened, or license-cleared by R3.","manifest_archive_file_metadata_only_no_payload_until_fetch_hash_license_language_screen","Internet Archive file-manifest metadata only; no file-body download, translation, glossary expansion, bridge promotion, native review, canonical approval, license clearance, gate promotion, completion claim, lane package claim, Git staging, commit, or push.","20260705T033220Z"
"R3-IA-FILE-0010","R3-IA-001","Arabic RTL source-canon lane","metadata_hits_with_archive_file_hashes_needs_body_language_license_screen","ljs464","https://archive.org/details/ljs464","Taḥṣīl al-munā fī sharḥ Talkhīṣ Ibn al-Bannāʼ. تحصيل المنا في شرح تلخيص ابن البناء","Arabic","ljs464_text.pdf","Additional Text PDF","9215197","9dc8a5539e0da131b30b6081860ecd30","2ded632ef390b2f1e6afa8be1a68c28535b45980","https://archive.org/download/ljs464/ljs464_text.pdf","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\work\source_probe_payload_cache\R3_INTERNET_ARCHIVE_TEXT_FRONTIER_PROBE_20260705T024335Z\items\ljs464.metadata.json","E44B2D1E77FCF87ADB94D49E39EABE4E8C284154B4C20AA1AA79075547028D3D","arabic_algebra_archive_top_hit_needs_screening","Arabic; Internet Archive; file manifest; algebra or linear-algebra candidate; metadata-only; no source body downloaded","Internet Archive item metadata licenseurl=http://creativecommons.org/publicdomain/mark/1.0/; no R3 license clearance","Archive item metadata and archive-provided md5/sha1 only; no file body was downloaded, independently hashed, language-screened, or license-cleared by R3.","manifest_archive_file_metadata_only_no_payload_until_fetch_hash_license_language_screen","Internet Archive file-manifest metadata only; no file-body download, translation, glossary expansion, bridge promotion, native review, canonical approval, license clearance, gate promotion, completion claim, lane package claim, Git staging, commit, or push.","20260705T033220Z"
