type,n,name,lon_d,lon_m,lat_d,lat_m
region,1,Hibernia (Iuernia),13,0,58,30
region,2,Britannia (Albion),20,0,54,0
region,3,Hispania Baetica,9,20,38,20
region,4,Hispania Lusitania,8,0,39,20
region,5,Hispania Tarraconensis,11,0,42,0
region,6,Gallia Aquitania,18,0,45,30
region,7,Gallia Lugdunensis,20,40,48,2
region,8,Gallia Belgica,26,50,47,1
region,9,Gallia Narbonensis,22,0,44,30
region,10,Germania Magna,34,0,52,0
region,11,Raetia and Vindelicia,32,30,46,30
region,12,Noricum,36,0,46,0
region,13,Pannonia Superior,39,30,47,13
region,14,Pannonia Inferior,41,2,45,4
region,15,Illyria/Liburnia,45,0,44,0
region,16,Dalmatia,46,0,42,0
region,17,Italia (peninsula),36,40,41,40
region,18,Corsica (Qurnos),32,0,40,2
region,19,Sardinia,31,50,38,6
region,20,Sicilia,39,8,36,19
region,21,Sarmatia Europaea,57,0,49,0
region,22,Tauric Chersonese (Crimea),62,0,48,0
region,23,Iazyges Metanastae,43,0,48,0
region,24,Dacia,50,0,46,0
region,25,Moesia Superior,46,0,43,0
region,26,Moesia Inferior,53,0,45,0
region,27,Thrace (Constantinople region),52,0,43,0
region,28,Thracian Chersonese,54,0,41,0
region,29,Macedonia,50,0,41,0
region,30,Epirus,46,0,39,0
region,31,Achaia,50,0,38,30
region,32,Euboea (island),52,0,37,0
region,33,Peloponnesus,51,0,36,0
region,34,Crete (island),54,0,35,0
region,35,Mauretania Tingitana (Tangier),8,0,32,0
region,36,Mauretania Caesariensis,18,0,32,0
region,37,Africa (Ifriqiya),36,0,31,0
region,38,Numidia,30,30,30,0
region,39,Pentapolis,50,0,29,0
region,40,Marmarica,52,0,28,0
region,41,Libya,57,0,29,0
region,42,"Egypt (lower, Misr)",61,0,32,0
region,43,Thebais,62,0,24,0
region,44,Libya interior,38,0,22,0
region,45,Aethiopia above Egypt,62,0,16,0
region,46,Aethiopia beyond equator [S],50,0,12,0
region,47,Bithynia,58,0,42,0
region,48,Asia,58,0,38,0
region,49,Phrygia,63,0,38,0
region,50,Lycia,60,0,37,0
region,51,Galatia/Caria,62,0,41,0
region,52,Paphlagonia,63,0,44,0
region,53,Pamphylia,64,0,37,0
region,54,Cappadocia,67,0,41,0
region,55,Armenia Minor,71,0,39,0
region,56,Cilicia (Tarsus),68,0,37,0
region,57,Sarmatia Asiatica,74,0,47,0
region,58,Colchis,73,0,45,0
region,59,Iberia (Caucasus),75,0,45,0
region,60,Albania (al-Bab/Derbent),78,0,45,0
region,61,Armenia Maior,77,0,41,0
region,62,Cyprus (island),66,0,35,0
region,63,"Syria (Aleppo, al-Amq)",71,0,36,0
region,64,"Coele-Syria/Phoenicia (Damascus, al-Ghawr)",71,0,33,0
region,65,Judaea/Palestine (Filastin),67,0,31,0
region,66,Arabia Deserta,68,0,29,0
region,67,Babylonia (Babil),78,0,32,0
region,68,Assyria (Mosul),80,0,37,0
region,69,Azerbaijan (Atropatene),83,0,39,0
region,70,"Susiana (Ahwaz, al-Sus)",83,0,34,0
region,71,Persis (Fars),90,0,32,0
region,72,Isfahan,96,0,37,0
region,73,Carmania deserta (Kirman),96,0,32,0
region,74,Carmania inhabited (Kirman),99,0,25,0
region,75,"Arabia Felix (Yemen, Hijaz)",83,0,22,0
region,76,Hyrcania (Gurgan),95,0,40,0
region,77,Margiana (Marw ar-rudh),104,0,41,0
region,78,Bactria (Balkh),116,0,41,0
region,79,Sogdiana (al-Soghd),114,0,45,0
region,80,Tashkent (ash-Shash),133,0,43,0
region,81,Scythia within Imaus (Turk citra montem),120,0,56,0
region,82,Scythia beyond Imaus (Turk trans montem),150,0,48,0
region,83,Tabaristan,165,0,45,0
region,84,Herat,104,0,37,0
region,85,Fergana (Farghana),116,0,35,0
region,86,Sijistan,108,0,29,0
region,87,Arachosia (ar-Rukhkhaj),115,0,29,0
region,88,Sind (as-Sind),110,0,23,0
region,89,India within the Ganges,132,0,27,0
region,90,India beyond the Ganges,150,0,22,0
region,91,Ceylon (Sarandib),124,0,3,0
region,92,Himyar (center of Arabia Felix),82,0,12,30
region,93,China (as-Sin),177,0,22,0
city,94,Gira metropolis,36,30,18,0
city,95,Nigira,25,5,17,15
city,96,[Arabic name],80,0,16,30
city,97,Saffara (Zafar),78,0,14,30
city,98,Insula Sarafis,91,0,17,30
city,99,Thina,180,0,13,0
city,100,Diyusfulis maxima,62,0,23,50
city,101,Uwasis maior (oasis),59,50,28,30
city,102,[Arabic name],43,0,23,30
city,103,Mecca (al-mukarrama; probatum 77.53),77,53,21,40
city,104,Medina (Yathrib),75,0,25,0
city,105,Carthage (Karkhedon),34,10,32,40
city,106,Leptis Magna,41,0,31,0
city,107,Catabathmus maior,54,30,31,0
city,108,Uwasis maior (oasis),59,5,27,10
city,109,Alexandria (al-Iskandariyya),60,30,30,18
city,110,Caesarea (Qaysariya),67,25,33,20
city,111,Palestina (Filastin),66,15,32,30
city,112,[Arabic name],67,30,33,40
city,113,Ascalon (Asqalan),65,0,31,50
city,114,Sebaste/Samaria (Sabastiya),66,30,31,50
city,115,Ramla (ar-Ramleh),65,50,31,35
city,116,Laodicea (al-Ladhiqiya),59,45,38,40
city,117,Rhodes (island),58,40,36,0
city,118,[Arabic name],66,45,35,30
city,119,Tarsus (Tarasus),67,40,36,53
city,120,Adana (Adhanah),68,15,34,20
city,121,Mopsuestia (al-Massisah),68,50,36,0
city,122,Tripoli (Atrabulus),67,30,34,20
city,123,Arqa (Irqah),68,30,34,0
city,124,Tyre (Sur),67,0,33,20
city,125,Sidon (Sayda),67,20,33,30
city,126,Acre (Akka),66,50,33,0
city,127,Homs/Emesa (Hims),69,5,34,0
city,128,Arethusa (ar-Rastan),69,30,34,10
city,129,Hamah/Epiphania,69,30,34,20
city,131,Salamya (Salamiyyah),69,50,34,50
city,132,Apamea (Famiyah),70,0,34,45
city,133,Damascus (Dimashq),69,0,33,0
city,134,Baalbek (Balabakk),68,20,33,10
city,135,Palmyra (Tadmur),72,0,34,0
city,136,Aleppo (Halab),71,0,34,50
city,137,Chalcis (Qinnasrin),70,40,35,30
city,130,"[city — verify, page boundary]",?,?,?,?
