physical_page	printed_page	french_record_path	bytes	sha256	canonical_record_sha256
1	0	edition/source_freeze_final_v1/P0001.fr.txt	346	7D14786127A0A51E69CC43669D3461C2AEDDC6E0C0C709D3281F59E2F918A14D	38657A3FB862904F1B450F3C5E69E8E472239013A4BAAE3C6FEEAC183F30262F
2	273	edition/source_freeze_final_v1/P0002.fr.txt	2342	F1A103360915CAFCCB14761165B9D1AF2094C4DD69F621CDBB7EE2BD13013483	B003FC5A2C14BC65A7CB41ED6E09BCA7D4063023B982C3BA5DD8CE6F721622A7
3	274	edition/source_freeze_final_v1/P0003.fr.txt	2896	A3EA835E5B11084AA43656D55D6189CAC55DDA27F5A255C269830D1079FEE59D	7B99C4466A32B882B6053AAF63AB381EEB8526BA5536D0A64F97A13078CB2D99
4	275	edition/source_freeze_final_v1/P0004.fr.txt	2083	0358D44FC52FD9BD611642E7D29EDA9F6123002DBDB6B5FB7F5F9175F584C90B	AAF1CA10C34A9FC232D25BBB691FE9EC9C7EE23DE745038066FE584D9D869ADC
5	276	edition/source_freeze_final_v1/P0005.fr.txt	2433	43A0F856C7288494FB137040C5D2B9AF9694ED60077C850D4ABFF45B112BACCF	A45A496176793914DEA942984FBFB3A78A56DF9E7FB1F21AE750AF8F25BFE076
6	277	edition/source_freeze_final_v1/P0006.fr.txt	2693	41114C5A72F20A5E1FF8FEAC915129D1EC5D7837DB6C28AA9345F344852BD49C	CB9FBAB516FBF969B626DC78C5DA198B664E07F571E8C1769FCF2EA264A25043
7	278	edition/source_freeze_final_v1/P0007.fr.txt	2588	099872E2FCDA9EC08B90D1AE5D1EB8BC341053042B54C596DD55CDE3F56F1052	F5254AEEF8D1FC732D4EB67852331024F30EC965DB3B2DFFED0BC6FDE6B21A01
8	279	edition/source_freeze_final_v1/P0008.fr.txt	2119	B1ECDB44C2653462977BE8A4668AE68BA3E9644D183930A9C148DDE689A9D5E6	B2245B80781450E9F133D6CF32A408CBBC34FC1A899880E46B786D3D98D90C9E
9	280	edition/source_freeze_final_v1/P0009.fr.txt	2920	70650E3AD62855E8C0704759F92792A804E2FA551C882D2F77876E1D2DF0D5A3	DC71DBDAE2225728C5CA2E1B1FEFF2F922F9273D5F3EA6731CF6DE17192508EB
10	281	edition/source_freeze_final_v1/P0010.fr.txt	2258	F6F62048A95879127F1E747A7FEC8E2871726947C88CAD3345546930AFC3652E	C0FE1FBC24872A35DEEAACC1D66F60188DBFC774ABC08DD271E55B329A0E5D00
