physical_page	printed_page	source_record_sha256	english_record_sha256	apparatus_record_sha256	source_pdf_token_recall	english_pdf_token_recall	apparatus_pdf_token_recall	source_to_english_math_signature_recall	source_math_surfaces	english_math_surfaces	language_operation	programmatic_status	visual_status
1	80	674DC33503B22430D5ECEC192CFCE8036A8A49B9B5F889874A882ED1E213BDE7	17D63D8DF80D472579BDB0692697C2D1FBB37956D85B6B4550906EEDF6331C67	A2028685689FC3F861673D4B71FCD90E02AED2D8C9F23E140B6F49D122747FD5	1.00000000	1.00000000	1.00000000	1.00000000	9	9	TRANSLATION_FROM_FRENCH	PASS	PASS_ALL_PAGE_CONTACT_AND_CRITICAL_FORMULA_INSPECTION
2	81	DF9E79A8A0A0C23F7AB683A8400BACF7BB88F630879445A24A906D58C381A2FF	73F4B15EA14ECE31869C3CBF231AF3D23BC67206B04990A427912231A4972EFF	B576FF70F6690627EF0AEA10AC8E75A08E6F52A5A540151A99ADD196043FEC56	0.99541284	1.00000000	1.00000000	1.00000000	67	67	TRANSLATION_FROM_FRENCH	PASS	PASS_ALL_PAGE_CONTACT_AND_CRITICAL_FORMULA_INSPECTION
3	82	74E81277FEC0DCAECE77F4A6497BC0A91FFC26E43EF560A88C3EC23D5274DCBA	AF301AEA0B1B232971B56C0A4322C173DB9711E6050EDDD44711A5DB556691BC	750490A23E7DBF77A09D9EA2FAC019C9663D3DA63F763F36E30E22DC236844F7	0.98501873	0.98431373	1.00000000	1.00000000	45	45	TRANSLATION_FROM_FRENCH	PASS	PASS_ALL_PAGE_CONTACT_AND_CRITICAL_FORMULA_INSPECTION
4	83	FD485662C7B292E164CB76A74807B42BDF716629ED11402DA21712F424BE7899	21214A3E9B430792478F43E95E263C68E8DF7ECC2725B6E0C5EC42F91F908550	9BF14623B4D89BC3A671FC23578C5D7DC6D501A3F4A7D56066D3F1001F62A1D7	0.98245614	0.98101266	1.00000000	1.00000000	34	34	TRANSLATION_FROM_FRENCH	PASS	PASS_ALL_PAGE_CONTACT_AND_CRITICAL_FORMULA_INSPECTION
5	84	477ED68FF572C31302E682D9CA21CF1BAAC8190DCA51C1B5950033A64E0BF0AC	1A131AFC058CA9BB2A83D90BFB6F960BADA9A85C60AE77DB6498EAE8434BB96A	658F23E1D8495FC179DE63D8B7BC17FF25CE95992A194637DB4AC176CF25DE7C	0.99371069	0.99382716	1.00000000	0.97435897	39	38	TRANSLATION_FROM_FRENCH	PASS	PASS_ALL_PAGE_CONTACT_AND_CRITICAL_FORMULA_INSPECTION
6	85	7DD7F38B566767D438574FCF73A5D70BFD649397487732CA58816F6F51DB99EF	BE77146B5B9396D60F4C7D5F76DBC4AAA1016144DE29DC0E5C7F904B0B3674DA	9AF12B9EE599386D8F0D0A69E77AE2C521D330DFC05C08556EB86203870D2D38	0.97810219	0.97887324	1.00000000	1.00000000	57	55	TRANSLATION_FROM_FRENCH	PASS	PASS_ALL_PAGE_CONTACT_AND_CRITICAL_FORMULA_INSPECTION
7	86	DDE72D96FE0CFE734D310939E377334E310F974CACE868EA43B052306BDD97A3	796590A0D0F106223000ECEF95415794D7E3DE58C7E92080DA50627B6662E612	E97880664942BD46F73FEC5B879BE65A572F311F56F6187C3A79A05B672EF278	1.00000000	1.00000000	1.00000000	1.00000000	28	28	TRANSLATION_FROM_FRENCH	PASS	PASS_ALL_PAGE_CONTACT_AND_CRITICAL_FORMULA_INSPECTION
8	87	1245D5222DC7A4C3F5CB53456F4278492A6A6B8F7C65F5B4FCFC76D845A9FB46	C3F615B06BB63EC696CC5D6D48A7F945897867D67A737C0AC52BFA82EF2100E5	8DA536FD5666E43761971D8FB3F70DDC2CD67553B7070DD98D6350B9CF9C5369	1.00000000	1.00000000	1.00000000	0.97546012	53	58	TRANSLATION_FROM_FRENCH	PASS	PASS_ALL_PAGE_CONTACT_AND_CRITICAL_FORMULA_INSPECTION
9	88	DE796965F8A1F6CBA88623A04A25E603B96A6788FFAD9E9C54600A25E8A17720	E31DE9A840C1F227F5CAAA8631711ABD42AE1F81A3F49B001006CFF754B0EE28	213E4E772C1F02783AA33E866D302892DDF7315EE9F2D7569404E28C0C595E4C	1.00000000	1.00000000	1.00000000	1.00000000	109	99	TRANSLATION_FROM_FRENCH	PASS	PASS_ALL_PAGE_CONTACT_AND_CRITICAL_FORMULA_INSPECTION
10	89	5C3581DC856BEF9F5967B55F4E8F8AA449085A3A71BD29EE6FDDD6CC943F94BC	790F7160DCFF5E97B3AFE9052D154F3491309157B3E588B67BE836C5671351B2	70E423D0D12A92D5E49D76DC88BF208712DDED42199C82E50FF4CB49017B039E	1.00000000	1.00000000	1.00000000	1.00000000	67	66	TRANSLATION_FROM_FRENCH	PASS	PASS_ALL_PAGE_CONTACT_AND_CRITICAL_FORMULA_INSPECTION
11	90	1611246B299FBCCD05F5B123D9C9D42A170944E12BE52DC91B4B5601C3C90718	385A9257E4B84C6ABA288270FC66DD831E33BDD89458680F13797EC345EDFB21	2CB6CDEFA7DDED8314B67F85903E58B1F74918E3F2E03ECB1BFDFEB609677124	0.96638655	0.95433790	0.97619048	0.98412698	82	76	TRANSLATION_FROM_FRENCH	PASS	PASS_ALL_PAGE_CONTACT_AND_CRITICAL_FORMULA_INSPECTION
12	91	5C99A788EEF8D26350CA6B2522554D752C96073AC7AE1D692420F8904D2ABD3A	1CD5DDCF71905ACFD5339E7E462A6601491A78F8BC489B00CA4A8DFCEDDC8758	4E392E894B0A7B0619B16A0BB916435ADD6A01262AC29FFA38D11A378EF06685	0.98192771	0.98170732	0.98333333	0.98192771	56	61	TRANSLATION_FROM_FRENCH	PASS	PASS_ALL_PAGE_CONTACT_AND_CRITICAL_FORMULA_INSPECTION
13	92	3E86CB3688D3210587A6DA0DDC24CA1258B200125C6E3B150CF7044FEC0A17B8	572E50CF29F9EDFA9B97F392EE32CCBB111CC2361E53E37C53B1BDDFEE44F96A	06FD6BAC6A0E735F77A97C5FC4139603BF82D1332F6B37926DCB5618A3BEF9E5	0.91666667	0.91284404	1.00000000	1.00000000	46	47	TRANSLATION_FROM_FRENCH	PASS	PASS_ALL_PAGE_CONTACT_AND_CRITICAL_FORMULA_INSPECTION
14	93	E124A1953D646FAE1F5C19C9877B39B8F48E688E2CAA45169696636E26FD71FA	BE425D6BA2D39C062B04388344DD4833F0507AF6F6AE3A7CFC686CE7DFA8A0FD	FDBAB92F7F5491ABB7F7937340967A8D29826FB29F6C1543074164F0C193B708	0.97596154	0.97044335	1.00000000	1.00000000	50	44	TRANSLATION_FROM_FRENCH	PASS	PASS_ALL_PAGE_CONTACT_AND_CRITICAL_FORMULA_INSPECTION
15	94	C0F741FB66F5F64170F17AB73651DB2C12025856FB9577ED18D45149927204E3	3D6923BC854A14DE87E3E265B0647581B014B3F241FB0F3EFD1FA9DA91EE7678	CA7E425110BCF2B686768D6EE900A9D0111687887A87FB35CD831C034B34BB80	1.00000000	1.00000000	1.00000000	0.99415205	56	57	TRANSLATION_FROM_FRENCH	PASS	PASS_ALL_PAGE_CONTACT_AND_CRITICAL_FORMULA_INSPECTION
16	95	C4CD5A66973E223BEB7E6EEB812AA22BD85A33388DB06F5C57C1CF579411587F	AD425A1D75B912ABCB9FD4E7B28844AD33D4FE8111C65CE5EC656284A3C80A7D	DC27BB8656D52AEE29A78267A4165AA54FF78BBA1C915959B33BE376B62B6F54	0.97716895	0.97422680	0.96551724	1.00000000	51	51	TRANSLATION_FROM_FRENCH	PASS	PASS_ALL_PAGE_CONTACT_AND_CRITICAL_FORMULA_INSPECTION
17	96	2EAD9ED926F2F86DF0509F9E12CF608049E2BEE5CFC363CA00C4EC5670A87D0D	8BEC53B0914D4ADD714F4A2D74A19A5025619E56359877EFA88B5A81409A99AC	1E481F22658844BCC95E0ABD51A56385E63AE04570F9AAF9CC5A418A2DCE1D79	0.95336788	0.94767442	1.00000000	1.00000000	37	37	TRANSLATION_FROM_FRENCH	PASS	PASS_ALL_PAGE_CONTACT_AND_CRITICAL_FORMULA_INSPECTION
18	97	7AFD8C046DE3DBB515DCA729C123CFAB6E39341C825C3B8F6EB2CF6874D99354	ED19AC67656307A1B0F3E7EEC9725DFB880AE294BC050570A13512DF6FEF64B3	47FDC29B65F374961522CC5E310CC9808473E537EF3FCB3951CEF6F3BB754EBC	0.99404762	0.99382716	1.00000000	0.97887324	48	50	TRANSLATION_FROM_FRENCH	PASS	PASS_ALL_PAGE_CONTACT_AND_CRITICAL_FORMULA_INSPECTION
19	98	FF351EE8E2034B5D54AB695CC007B683D610F8BA74E4A3B61335246B508B0BDD	4741C4115316A8D632B09E06B56658E4E526AE64C894054FE0176B1CFFCB60F5	D2577A2E02AA72C686547D43D22AC12CC3D7412C7436A83E1D7CFC5289A94459	0.97080292	0.96875000	1.00000000	0.99418605	54	52	TRANSLATION_FROM_FRENCH	PASS	PASS_ALL_PAGE_CONTACT_AND_CRITICAL_FORMULA_INSPECTION
20	99	E54F85B9B929D5DCC111B0041EB5D504D85355720788BA8CCCD9E37D65BABF1C	5E33B51FF613509B80648C949006EEA7B0E45F8867726C0F4A306708E9A1C8ED	698BDA748402FD5793ACA6D50C008DCBCB5C50D7E045FEA6654447E43C2F5DB7	0.96598639	0.96621622	1.00000000	1.00000000	56	56	TRANSLATION_FROM_FRENCH	PASS	PASS_ALL_PAGE_CONTACT_AND_CRITICAL_FORMULA_INSPECTION
21	100	1E4CF5B373CF50E80F9EFC1313FA92B9BC3D24FBF7F0DE5AC6385F4ED5BC8557	2ED8742A3E16FA40BA84526BCE0753F0C20288740BF6157A693A327632015F6F	D5EE41B6A3DEFE6E4F8B28A5F52FD857BF0BCF30C0467D0556387A78A8CE604C	0.91304348	0.91860465	1.00000000	0.96484375	48	56	TRANSLATION_FROM_FRENCH	PASS	PASS_ALL_PAGE_CONTACT_AND_CRITICAL_FORMULA_INSPECTION
22	101	40449B09BA29FBDDA2DBF25D321ECD86E926363064ADE5B80E4A503BDA3EB062	52C2DC639FCF2FADEB7615D8CCD9CD212A09A3F01720557BE9D5519C5262D3F4	6627A1F2C4E45D8BCC6A5F2368CAE7242055A0C8DA450AC7772AF4DBE04CDC74	0.95575221	0.95652174	1.00000000	1.00000000	74	74	TRANSLATION_FROM_FRENCH	PASS	PASS_ALL_PAGE_CONTACT_AND_CRITICAL_FORMULA_INSPECTION
23	102	280355AEFC2B4BFDBD7589F03527088AB4F8C85BCCC7A3F103476E7E5D27BB69	226230DD5E58CA9C4A715FEE056F2A54E88400DDC1120C5F74AC2741AA0AEF0E	776E495BD74F7976422B994122AABF8D55E10C860368C6004B3D2A034A7C732D	1.00000000	1.00000000	1.00000000	1.00000000	71	72	TRANSLATION_FROM_FRENCH	PASS	PASS_ALL_PAGE_CONTACT_AND_CRITICAL_FORMULA_INSPECTION
24	103	3D4589DF546A411FE046129B066A4AB3185A1071354DCDDB4114F15112C4B0D6	F79F95E76AB39F2023254F1E4D1B4DB458B0B9AA3198F7569A8F856303B33AC0	F5EFC3F196AC1A3F172FCE04057E1691AD59A7EA89A6747D31F94326E17C9AB6	0.94202899	0.95035461	1.00000000	1.00000000	73	73	TRANSLATION_FROM_FRENCH	PASS	PASS_ALL_PAGE_CONTACT_AND_CRITICAL_FORMULA_INSPECTION
25	104	5061EF887AA2CF6242FAD8AA48B2624E29C5FB2FC4787589A88F9A0A7542D9D7	3FF3491611082D3597A95855204FA29770F3BFBAD68DE70DF874670F7DAAB1C8	78C21FCB01FEB70E6241FB47AEF1891513271302D5D8029E493AB882CE02837C	0.98657718	0.98648649	0.98630137	1.00000000	65	65	TRANSLATION_FROM_FRENCH	PASS	PASS_ALL_PAGE_CONTACT_AND_CRITICAL_FORMULA_INSPECTION
26	105	2DB77F523FA1AE4292C38A6AA2EEBF9F81E5572C69AB4BB1907EBDCD45261F8C	C9165A312494DF72F8D2ED31FFAB9E0987C8B349D5C6C1F69E62FDFBCFF761AC	3497A56D04EFFB8F0DFD81DFE662CEFAE429306BB68FC11D3E46251B116F4A01	0.98750000	0.99350649	1.00000000	1.00000000	23	24	TRANSLATION_FROM_FRENCH	PASS	PASS_ALL_PAGE_CONTACT_AND_CRITICAL_FORMULA_INSPECTION
27	106	E6CEBDF34DC001EC7B26A5BA581F08AD0C849948A80ED517A52741B9B27B5922	EE16EB469ABA917162641E858B25065E5719D64B7B4A8577873C2C226E245480	33E1086FE96B14F29D779514E09C1E6556795A70544EC73234B04BE32207A989	0.98522167	0.99489796	1.00000000	1.00000000	101	102	TRANSLATION_FROM_FRENCH	PASS	PASS_ALL_PAGE_CONTACT_AND_CRITICAL_FORMULA_INSPECTION
28	107	CD2627B1B9CB8B4562F5A8C6C8625DA6BFB4B5AF3EA9225DF7E502948856202C	5F5785BC9688D407182ED8B0E84FFD657ACC952AED7E15A17D9804C045610D96	7401CE4F14C7E9AB3A9176E247F2CBCE5A85A8BA4BFDD251FFD98DB30AA8DC03	1.00000000	1.00000000	1.00000000	1.00000000	74	75	TRANSLATION_FROM_FRENCH	PASS	PASS_ALL_PAGE_CONTACT_AND_CRITICAL_FORMULA_INSPECTION
29	108	1A18F06112F4F99E52BFFDDFF727799313CB20A5AA64BF7D0DC1EF1FFBD30DFB	2D4A60755AE384B1BFB1CF1FFAE871EFA955546084EE2A1E40C849CF376F4EC1	30E9104C33897464D2FE1B12739065339E74C7CE9F48AE2C625E9D61E775EAFA	0.99438202	0.98726115	1.00000000	1.00000000	35	36	TRANSLATION_FROM_FRENCH	PASS	PASS_ALL_PAGE_CONTACT_AND_CRITICAL_FORMULA_INSPECTION
30	109	D4CA3278FA52EEA99033DC9E7A6160B5A986D8D829AF0A7874A6B7870835CD07	F77A08F76C0C16B5743D2BCE4398C233CD51E2B5CD386F18DD9A8F1ACFD6E2AC	DE0365BD408AD8C49A274CC988C6904E35DC5C8DA9F1EF1F790D4A7E44BB596D	0.98305085	0.98290598	1.00000000	1.00000000	55	56	TRANSLATION_FROM_FRENCH	PASS	PASS_ALL_PAGE_CONTACT_AND_CRITICAL_FORMULA_INSPECTION
31	110	2FC5BFCFA43548C84E36A7AA93E85DE5000FD6FCA4F240E16F70033823023576	3DB6F2C8E9ED3087FC0CF39C061CB962AD69EFD2FFE90C3A43ED1D080FE54F6A	36C2433DF10E44DD66CA779874482D89A932B7655AD7DB6E64DF2C07F40FFFB4	0.98496241	0.98425197	1.00000000	1.00000000	57	57	TRANSLATION_FROM_FRENCH	PASS	PASS_ALL_PAGE_CONTACT_AND_CRITICAL_FORMULA_INSPECTION
32	111	E42629F16A9203B86A8E2A3EEBD307530E233F5E4D1CE083618354CD26C0407F	4DD7E34552E7998EDDC80F73C2410BE0926B81517985A547FC7140212202C4C9	18C0D4A4B1DD1073F51AC151DB3012C5EE89C6BCCB7F9BF9834E31861C3418A8	0.99470899	1.00000000	0.98591549	1.00000000	57	58	TRANSLATION_FROM_FRENCH	PASS	PASS_ALL_PAGE_CONTACT_AND_CRITICAL_FORMULA_INSPECTION
33	112	B28965870DCCF162FB355DEC016700AA018485C808CB5B0C44E7E57409FADE1C	0A22FE5F0C56149790DC1BAC60631C5C9D515832C4D0F2BAAB67B5F203679D75	C99E5E8CEF9C86F011E35F41E91E80BA1E3428F34042C0A0C5E2F562422595FA	1.00000000	1.00000000	1.00000000	0.99456522	61	60	TRANSLATION_FROM_FRENCH	PASS	PASS_ALL_PAGE_CONTACT_AND_CRITICAL_FORMULA_INSPECTION
34	113	108FD34991E93FD1C72FD47E21C6F7DB26904FD888D43350FAF5E8178B1820BF	8D8DB565874FA2125CFA34BF6067829BDA6977A894618D8313C8FAD9EE0CC2BA	4E4780DF7CEBF2BE72838455CA1B4A90381C13EBFDBB7C2E1AADD8BBB125EF27	1.00000000	1.00000000	1.00000000	1.00000000	70	70	TRANSLATION_FROM_FRENCH	PASS	PASS_ALL_PAGE_CONTACT_AND_CRITICAL_FORMULA_INSPECTION
35	114	C0A7AC184FDBFDD8841C12D1827249B9F5B17A8EF539855A657473EB821C62D6	8AA2B57E33358F7A5D9EEE264D682D664E5D3F5BAC74279CEDB3EEC92084E401	DD4658A4F50ECAD57261F47F8FD8718FC3983EC23BDF400143C25E23F0BDA2E6	0.98360656	0.98412698	1.00000000	1.00000000	81	81	TRANSLATION_FROM_FRENCH	PASS	PASS_ALL_PAGE_CONTACT_AND_CRITICAL_FORMULA_INSPECTION
36	115	913776A8386A39FA70A6C77ADBD3684AAC894F0CC02FB02913AFF3AD326FB50D	F8F34096875FB97F4DAC5C00AE76EB0F4BE6DD75AB02993C3525141BE99EF166	599F36225D7F3C83734EF861A4CF84BEBD1923C7CAF229793FA81BBDC9642A12	1.00000000	1.00000000	1.00000000	0.97345133	36	33	TRANSLATION_FROM_FRENCH	PASS	PASS_ALL_PAGE_CONTACT_AND_CRITICAL_FORMULA_INSPECTION
37	116	0E1724A2B47EC85EBC138E7033079D9C0D82E019E657752B430AC6EC740236D5	F7D659ED5DECEE55090F00F5708CE16960B49944B1F37B5EBF83E487EF36354F	5BBC5FE9D5941FF1D996C63BAABCE19D4463F4179623C56D8D57E28F7F6E4122	1.00000000	1.00000000	1.00000000	1.00000000	54	54	TRANSLATION_FROM_FRENCH	PASS	PASS_ALL_PAGE_CONTACT_AND_CRITICAL_FORMULA_INSPECTION
38	117	9DBC40BF1F630FE2CA08768E9868E7C1B1151F3C9876C9C7AB152F4FEDB15BF0	DE90D3F41D4C70CBAD79DF3F1BA93AC6427E336ACC0DE340BAF1374D0E29CF14	0B719A809C0D51FA9EFCF9D9DAACD4BA98D4B8D17FFAE4B531EC80D22E90B338	1.00000000	1.00000000	1.00000000	1.00000000	44	44	TRANSLATION_FROM_FRENCH	PASS	PASS_ALL_PAGE_CONTACT_AND_CRITICAL_FORMULA_INSPECTION
39	118	E9C1035A847C972D18AE4CCA6C58B41DB2876B7BF6D1C2E52D7FC0BA4E7705D9	1F1D7E7B67D56BA6D8D87270549010C7FD434002F8CDF4A5825AF7EFD50B1066	644088CEBFF4EE617BF8E765A40090244FD6AA612981323F16DCA2E459D2E58D	1.00000000	1.00000000	1.00000000	0.99514563	24	24	TRANSLATION_FROM_FRENCH	PASS	PASS_ALL_PAGE_CONTACT_AND_CRITICAL_FORMULA_INSPECTION
40	119	69F523240E09FC9748C6AD6A3FC0B223D3004D51B3C9D9689A58C92CD288C0D1	74648BF5CA5810EE5C2EC0FAA4DE2AEADB2795D23D465BF037114A8C579F611C	3F964A79C61F127C78BB6C6112EDA870FBFF0B825485887C7FABE753DE4419E0	0.99386503	1.00000000	1.00000000	1.00000000	46	46	TRANSLATION_FROM_FRENCH	PASS	PASS_ALL_PAGE_CONTACT_AND_CRITICAL_FORMULA_INSPECTION
41	120	DBB349091D4E2E076D6BB433B9E9E2D9057F45CB194EF17D2B44C571FE8C68D7	940314488FE70702DC6F47DA6541853DF8888D27ECD506CD93C6EA2884CEB252	602370A8549821EF4EE854375EEC51163597415AB657CCD7BA579B82C24BE927	1.00000000	1.00000000	1.00000000	1.00000000	31	31	TRANSLATION_FROM_FRENCH	PASS	PASS_ALL_PAGE_CONTACT_AND_CRITICAL_FORMULA_INSPECTION
42	121	B6EB708B69C0EA43567F6F7A5055A12A5E90379F422DF154962AEE9DB838441C	C4831BCAD071722F20CC2694CFD95DB8C1A4FECEDD554F1BABD4BE6AB4B43914	DA24B46B75D748284F03284EE5E745268E3D9B01BFD60E16031DE8ADFCE7684D	1.00000000	0.98837209	1.00000000	1.00000000	37	37	TRANSLATION_FROM_FRENCH	PASS	PASS_ALL_PAGE_CONTACT_AND_CRITICAL_FORMULA_INSPECTION
43	122	94DAA380DAA935936843B78432E693EA05DF57277CF73B3B7454D0C1FE32745D	5A58A38E68CAFB0A6DF17882BCF7329C4FFA580E3AD4C2096AFB01E2DA54F2C4	19ECB1C4EBE9D10F3199D678F3856D78C142A2E33E5C6BEF2D6D5942AF450AE6	0.95854922	0.95767196	0.95238095	0.96202532	56	59	TRANSLATION_FROM_FRENCH	PASS	PASS_ALL_PAGE_CONTACT_AND_CRITICAL_FORMULA_INSPECTION
