reader	font	type	embedded
readers/PAPER_IV_FR_PP065_074.pdf	ZUPWXF+LMRoman10-Regular-Identity-H	Type0	YES
readers/PAPER_IV_FR_PP065_074.pdf	WASECJ+LMRomanCaps10-Regular-Identity-H	Type0	YES
readers/PAPER_IV_FR_PP065_074.pdf	PBKHCT+LMRoman10-Italic-Identity-H	Type0	YES
readers/PAPER_IV_FR_PP065_074.pdf	TRQWYX+CMMI10	Type1	YES
readers/PAPER_IV_FR_PP065_074.pdf	ICTVZJ+CMR8	Type1	YES
readers/PAPER_IV_FR_PP065_074.pdf	ZZKLOE+CMSY10	Type1	YES
readers/PAPER_IV_FR_PP065_074.pdf	LVLAPI+CMR10	Type1	YES
readers/PAPER_IV_FR_PP065_074.pdf	OAAVOB+CMMI6	Type1	YES
readers/PAPER_IV_FR_PP065_074.pdf	QVODVT+CMSY6	Type1	YES
readers/PAPER_IV_FR_PP065_074.pdf	UCDFGW+CMR6	Type1	YES
readers/PAPER_IV_FR_PP065_074.pdf	AVSCSU+CMSY8	Type1	YES
readers/PAPER_IV_FR_PP065_074.pdf	PSHEQC+CMMI8	Type1	YES
readers/PAPER_IV_FR_PP065_074.pdf	PAGDYW+CMEX10	Type1	YES
readers/PAPER_IV_FR_PP065_074.pdf	TXFXPS+CMMI9	Type1	YES
readers/PAPER_IV_FR_PP065_074.pdf	QFLWJI+CMSY9	Type1	YES
readers/PAPER_IV_FR_PP065_074.pdf	FDGOWT+CMR9	Type1	YES
readers/PAPER_IV_EN_PP065_074.pdf	ZUPWXF+LMRoman10-Regular-Identity-H	Type0	YES
readers/PAPER_IV_EN_PP065_074.pdf	WASECJ+LMRomanCaps10-Regular-Identity-H	Type0	YES
readers/PAPER_IV_EN_PP065_074.pdf	PBKHCT+LMRoman10-Italic-Identity-H	Type0	YES
readers/PAPER_IV_EN_PP065_074.pdf	TRQWYX+CMMI10	Type1	YES
readers/PAPER_IV_EN_PP065_074.pdf	ICTVZJ+CMR8	Type1	YES
readers/PAPER_IV_EN_PP065_074.pdf	ZZKLOE+CMSY10	Type1	YES
readers/PAPER_IV_EN_PP065_074.pdf	LVLAPI+CMR10	Type1	YES
readers/PAPER_IV_EN_PP065_074.pdf	OAAVOB+CMMI6	Type1	YES
readers/PAPER_IV_EN_PP065_074.pdf	QVODVT+CMSY6	Type1	YES
readers/PAPER_IV_EN_PP065_074.pdf	UCDFGW+CMR6	Type1	YES
readers/PAPER_IV_EN_PP065_074.pdf	AVSCSU+CMSY8	Type1	YES
readers/PAPER_IV_EN_PP065_074.pdf	PSHEQC+CMMI8	Type1	YES
readers/PAPER_IV_EN_PP065_074.pdf	PAGDYW+CMEX10	Type1	YES
readers/PAPER_IV_EN_PP065_074.pdf	TXFXPS+CMMI9	Type1	YES
readers/PAPER_IV_EN_PP065_074.pdf	QFLWJI+CMSY9	Type1	YES
readers/PAPER_IV_EN_PP065_074.pdf	FDGOWT+CMR9	Type1	YES
readers/PAPER_IV_APPARATUS_S01.pdf	ZUPWXF+LMRoman10-Regular-Identity-H	Type0	YES
readers/PAPER_IV_APPARATUS_S01.pdf	WASECJ+LMRoman10-Bold-Identity-H	Type0	YES
readers/PAPER_IV_APPARATUS_S01.pdf	PBKHCT+LMRoman10-Italic-Identity-H	Type0	YES
readers/PAPER_IV_APPARATUS_S01.pdf	ICTVZJ+CMMI10	Type1	YES
readers/PAPER_IV_APPARATUS_S01.pdf	ZZKLOE+CMR10	Type1	YES
readers/PAPER_IV_APPARATUS_S01.pdf	LVLAPI+CMSY8	Type1	YES
readers/PAPER_IV_APPARATUS_S01.pdf	OAAVOB+CMR8	Type1	YES
readers/PAPER_IV_APPARATUS_S01.pdf	QVODVT+CMSY10	Type1	YES
readers/PAPER_IV_APPARATUS_S01.pdf	TRQWYX+LMMono10-Regular-Identity-H	Type0	YES
