reader	font	type	embedded	font_file_shared
readers/PAPER_IV_FR_PP065_086.pdf	ZUPWXF+LMRoman10-Regular-Identity-H	Type0	YES	NO
readers/PAPER_IV_FR_PP065_086.pdf	WASECJ+LMRomanCaps10-Regular-Identity-H	Type0	YES	NO
readers/PAPER_IV_FR_PP065_086.pdf	PBKHCT+LMRoman10-Italic-Identity-H	Type0	YES	NO
readers/PAPER_IV_FR_PP065_086.pdf	TRQWYX+CMMI10	Type1	YES	NO
readers/PAPER_IV_FR_PP065_086.pdf	ICTVZJ+CMR8	Type1	YES	NO
readers/PAPER_IV_FR_PP065_086.pdf	ZZKLOE+CMSY10	Type1	YES	NO
readers/PAPER_IV_FR_PP065_086.pdf	LVLAPI+CMR10	Type1	YES	NO
readers/PAPER_IV_FR_PP065_086.pdf	OAAVOB+CMMI6	Type1	YES	NO
readers/PAPER_IV_FR_PP065_086.pdf	QVODVT+CMSY6	Type1	YES	NO
readers/PAPER_IV_FR_PP065_086.pdf	UCDFGW+CMR6	Type1	YES	NO
readers/PAPER_IV_FR_PP065_086.pdf	AVSCSU+CMSY8	Type1	YES	NO
readers/PAPER_IV_FR_PP065_086.pdf	PSHEQC+CMMI8	Type1	YES	NO
readers/PAPER_IV_FR_PP065_086.pdf	PAGDYW+CMEX10	Type1	YES	NO
readers/PAPER_IV_FR_PP065_086.pdf	TXFXPS+CMMI9	Type1	YES	NO
readers/PAPER_IV_FR_PP065_086.pdf	QFLWJI+CMSY9	Type1	YES	NO
readers/PAPER_IV_FR_PP065_086.pdf	FDGOWT+CMR9	Type1	YES	NO
readers/PAPER_IV_EN_PP065_086.pdf	ZUPWXF+LMRoman10-Regular-Identity-H	Type0	YES	NO
readers/PAPER_IV_EN_PP065_086.pdf	WASECJ+LMRomanCaps10-Regular-Identity-H	Type0	YES	NO
readers/PAPER_IV_EN_PP065_086.pdf	PBKHCT+LMRoman10-Italic-Identity-H	Type0	YES	NO
readers/PAPER_IV_EN_PP065_086.pdf	TRQWYX+CMMI10	Type1	YES	NO
readers/PAPER_IV_EN_PP065_086.pdf	ICTVZJ+CMR8	Type1	YES	NO
readers/PAPER_IV_EN_PP065_086.pdf	ZZKLOE+CMSY10	Type1	YES	NO
readers/PAPER_IV_EN_PP065_086.pdf	LVLAPI+CMR10	Type1	YES	NO
readers/PAPER_IV_EN_PP065_086.pdf	OAAVOB+CMMI6	Type1	YES	NO
readers/PAPER_IV_EN_PP065_086.pdf	QVODVT+CMSY6	Type1	YES	NO
readers/PAPER_IV_EN_PP065_086.pdf	UCDFGW+CMR6	Type1	YES	NO
readers/PAPER_IV_EN_PP065_086.pdf	AVSCSU+CMSY8	Type1	YES	NO
readers/PAPER_IV_EN_PP065_086.pdf	PSHEQC+CMMI8	Type1	YES	NO
readers/PAPER_IV_EN_PP065_086.pdf	PAGDYW+CMEX10	Type1	YES	NO
readers/PAPER_IV_EN_PP065_086.pdf	TXFXPS+CMMI9	Type1	YES	NO
readers/PAPER_IV_EN_PP065_086.pdf	QFLWJI+CMSY9	Type1	YES	NO
readers/PAPER_IV_EN_PP065_086.pdf	FDGOWT+CMR9	Type1	YES	NO
readers/PAPER_IV_APPARATUS_S02.pdf	ZUPWXF+LMRoman10-Regular-Identity-H	Type0	YES	NO
readers/PAPER_IV_APPARATUS_S02.pdf	WASECJ+LMRoman10-Bold-Identity-H	Type0	YES	NO
readers/PAPER_IV_APPARATUS_S02.pdf	PBKHCT+LMRoman10-Italic-Identity-H	Type0	YES	NO
readers/PAPER_IV_APPARATUS_S02.pdf	ICTVZJ+CMMI10	Type1	YES	NO
readers/PAPER_IV_APPARATUS_S02.pdf	ZZKLOE+CMR10	Type1	YES	NO
readers/PAPER_IV_APPARATUS_S02.pdf	LVLAPI+CMSY8	Type1	YES	NO
readers/PAPER_IV_APPARATUS_S02.pdf	OAAVOB+CMR8	Type1	YES	NO
readers/PAPER_IV_APPARATUS_S02.pdf	QVODVT+CMSY10	Type1	YES	NO
readers/PAPER_IV_APPARATUS_S02.pdf	TRQWYX+LMMono10-Regular-Identity-H	Type0	YES	NO
readers/PAPER_IV_APPARATUS_S02.pdf	UCDFGW+CMMI12	Type1	YES	NO
readers/PAPER_IV_APPARATUS_S02.pdf	AVSCSU+CMEX10	Type1	YES	NO
readers/PAPER_IV_APPARATUS_S02.pdf	PSHEQC+CMMI8	Type1	YES	NO
