witness_id,archive_filename,entry_path,source_filename,physical_pdf_page,printed_page,crop_region,crop_bbox_parent_pixels,nominal_dpi,width_pixels,height_pixels,png_x_pixels_per_meter,png_y_pixels_per_meter,rotation_degrees,bytes,sha256,parent_scan_sha256,linked_tex_unit,qa_disposition,public_disposition,notes
EGA4-IV4-P005-BOTTOMBAND_1800DPI,84 EGA IV - Source Image Witnesses Printed 005-045 (600-9000dpi) 20260731.zip,EGA4_Source_Image_Witnesses_Printed005_045_20260731/images/authority_physical004_printed005_bottomband_1800dpi.png,authority_physical004_printed005_bottomband_1800dpi.png,4,5,bottom_band,not_preserved_by_producer_command,1800,15100,9000,70866,70866,0,1288973,7D0E353024C7401699431977E67D976885EB2379D6355C4DC1797571DA2DF1DC,B4277FB99C6EDF8FEEC5B01F54368E4B8521BCD52871316C0EDF6FF4AE69389E,source/source_aligned/ega4-16.tex,source_alignment_and_manual_review_complete_through_r23,public_scan_derived_source_witness,Publicly available scan-derived witness; underlying-source rights and attribution remain unaffected.
EGA4-IV4-P005-FULL_600DPI,84 EGA IV - Source Image Witnesses Printed 005-045 (600-9000dpi) 20260731.zip,EGA4_Source_Image_Witnesses_Printed005_045_20260731/images/authority_physical004_printed005_full_600dpi.png,authority_physical004_printed005_full_600dpi.png,4,5,full_page,not_preserved_by_producer_command,600,5034,7067,23622,23622,0,1291746,0E7F285BA8E3DFD80A94E3696939E491F035DBE15E5FC61E9AF17DA7B7EE7739,B4277FB99C6EDF8FEEC5B01F54368E4B8521BCD52871316C0EDF6FF4AE69389E,source/source_aligned/ega4-16.tex,source_alignment_and_manual_review_complete_through_r23,public_scan_derived_source_witness,Publicly available scan-derived witness; underlying-source rights and attribution remain unaffected.
EGA4-IV4-P005-MIDDLEBAND_1800DPI,84 EGA IV - Source Image Witnesses Printed 005-045 (600-9000dpi) 20260731.zip,EGA4_Source_Image_Witnesses_Printed005_045_20260731/images/authority_physical004_printed005_middleband_1800dpi.png,authority_physical004_printed005_middleband_1800dpi.png,4,5,middle_band,not_preserved_by_producer_command,1800,15100,9000,70866,70866,0,2067173,599184622712192257176D2B698A98AF314C362A774B554C5FE0E70E4E095DB2,B4277FB99C6EDF8FEEC5B01F54368E4B8521BCD52871316C0EDF6FF4AE69389E,source/source_aligned/ega4-16.tex,source_alignment_and_manual_review_complete_through_r23,public_scan_derived_source_witness,Publicly available scan-derived witness; underlying-source rights and attribution remain unaffected.
EGA4-IV4-P005-TOPBAND_1800DPI,84 EGA IV - Source Image Witnesses Printed 005-045 (600-9000dpi) 20260731.zip,EGA4_Source_Image_Witnesses_Printed005_045_20260731/images/authority_physical004_printed005_topband_1800dpi.png,authority_physical004_printed005_topband_1800dpi.png,4,5,top_band_or_detail,not_preserved_by_producer_command,1800,15100,8200,70866,70866,0,916506,EC64D7422F6C0D1125B97C68DB43D6D426A8B5D6B57B101F917B3E4C953A84F7,B4277FB99C6EDF8FEEC5B01F54368E4B8521BCD52871316C0EDF6FF4AE69389E,source/source_aligned/ega4-16.tex,source_alignment_and_manual_review_complete_through_r23,public_scan_derived_source_witness,Publicly available scan-derived witness; underlying-source rights and attribution remain unaffected.
EGA4-IV4-P006-BOTTOMBAND_1800DPI,84 EGA IV - Source Image Witnesses Printed 005-045 (600-9000dpi) 20260731.zip,EGA4_Source_Image_Witnesses_Printed005_045_20260731/images/authority_physical005_printed006_bottomband_1800dpi.png,authority_physical005_printed006_bottomband_1800dpi.png,5,6,bottom_band,not_preserved_by_producer_command,1800,15125,9000,70866,70866,0,2985885,18F1E92F97C187306ECBA655B2AD997AFD4F86501DAF8161E62FD1693FD57E7E,B4277FB99C6EDF8FEEC5B01F54368E4B8521BCD52871316C0EDF6FF4AE69389E,source/source_aligned/ega4-16.tex,source_alignment_and_manual_review_complete_through_r23,public_scan_derived_source_witness,Publicly available scan-derived witness; underlying-source rights and attribution remain unaffected.
EGA4-IV4-P006-FULL_600DPI,84 EGA IV - Source Image Witnesses Printed 005-045 (600-9000dpi) 20260731.zip,EGA4_Source_Image_Witnesses_Printed005_045_20260731/images/authority_physical005_printed006_full_600dpi.png,authority_physical005_printed006_full_600dpi.png,5,6,full_page,not_preserved_by_producer_command,600,5042,7075,23622,23622,0,1904411,6BEA240941EAAA67046BD9B66E323ED45A1B5383A3BE9385B293DBB39F943A98,B4277FB99C6EDF8FEEC5B01F54368E4B8521BCD52871316C0EDF6FF4AE69389E,source/source_aligned/ega4-16.tex,source_alignment_and_manual_review_complete_through_r23,public_scan_derived_source_witness,Publicly available scan-derived witness; underlying-source rights and attribution remain unaffected.
EGA4-IV4-P006-MIDDLEBAND_1800DPI,84 EGA IV - Source Image Witnesses Printed 005-045 (600-9000dpi) 20260731.zip,EGA4_Source_Image_Witnesses_Printed005_045_20260731/images/authority_physical005_printed006_middleband_1800dpi.png,authority_physical005_printed006_middleband_1800dpi.png,5,6,middle_band,not_preserved_by_producer_command,1800,15125,9000,70866,70866,0,5593589,26331DE2336E86E72E58A1A06CC9A60257C4A9936746A21AC5FB05D7F1F57B6A,B4277FB99C6EDF8FEEC5B01F54368E4B8521BCD52871316C0EDF6FF4AE69389E,source/source_aligned/ega4-16.tex,source_alignment_and_manual_review_complete_through_r23,public_scan_derived_source_witness,Publicly available scan-derived witness; underlying-source rights and attribution remain unaffected.
EGA4-IV4-P006-TOPBAND_1800DPI,84 EGA IV - Source Image Witnesses Printed 005-045 (600-9000dpi) 20260731.zip,EGA4_Source_Image_Witnesses_Printed005_045_20260731/images/authority_physical005_printed006_topband_1800dpi.png,authority_physical005_printed006_topband_1800dpi.png,5,6,top_band_or_detail,not_preserved_by_producer_command,1800,15125,8500,70866,70866,0,3917970,567B034E1A119A27B32CF6B5597EA30FC9FF9E339A79257FCC0D1BEBD1B10101,B4277FB99C6EDF8FEEC5B01F54368E4B8521BCD52871316C0EDF6FF4AE69389E,source/source_aligned/ega4-16.tex,source_alignment_and_manual_review_complete_through_r23,public_scan_derived_source_witness,Publicly available scan-derived witness; underlying-source rights and attribution remain unaffected.
EGA4-IV4-P006-TRANSITION_FORMULA_5000DPI,84 EGA IV - Source Image Witnesses Printed 005-045 (600-9000dpi) 20260731.zip,EGA4_Source_Image_Witnesses_Printed005_045_20260731/images/authority_physical005_printed006_transition_formula_5000dpi.png,authority_physical005_printed006_transition_formula_5000dpi.png,5,6,formula_detail,not_preserved_by_producer_command,5000,16000,6500,196850,196850,0,315454,79BDE3C8AC492C1EA923B8AB6DC04F037A1E11449B6B89356FDA531E8E8F8BC8,B4277FB99C6EDF8FEEC5B01F54368E4B8521BCD52871316C0EDF6FF4AE69389E,source/source_aligned/ega4-16.tex,source_alignment_and_manual_review_complete_through_r23,public_scan_derived_source_witness,Publicly available scan-derived witness; underlying-source rights and attribution remain unaffected.
EGA4-IV4-P006-TRANSITION_FORMULA_9000DPI,84 EGA IV - Source Image Witnesses Printed 005-045 (600-9000dpi) 20260731.zip,EGA4_Source_Image_Witnesses_Printed005_045_20260731/images/authority_physical005_printed006_transition_formula_9000dpi.png,authority_physical005_printed006_transition_formula_9000dpi.png,5,6,formula_detail,not_preserved_by_producer_command,9000,24000,7500,354330,354330,0,539343,68108AC14140EDBD0803D4593C4B2F998130D3E91193735F8C53F8F91EAEFC74,B4277FB99C6EDF8FEEC5B01F54368E4B8521BCD52871316C0EDF6FF4AE69389E,source/source_aligned/ega4-16.tex,source_alignment_and_manual_review_complete_through_r23,public_scan_derived_source_witness,Publicly available scan-derived witness; underlying-source rights and attribution remain unaffected.
