witness_id,archive_filename,entry_path,source_filename,physical_pdf_page,printed_page,crop_region,crop_bbox_parent_pixels,nominal_dpi,width_pixels,height_pixels,png_x_pixels_per_meter,png_y_pixels_per_meter,rotation_degrees,bytes,sha256,parent_scan_sha256,linked_tex_unit,qa_disposition,public_disposition,notes
EGA4-IV4-P106-BOTTOM_1800DPI,87 EGA IV - Source Image Witnesses Printed 106-118 (600-1800dpi) 20260731.zip,EGA4_Source_Image_Witnesses_Printed106_118_20260731/images/authority_physical105_printed106_bottom_1800dpi.png,authority_physical105_printed106_bottom_1800dpi.png,105,106,bottom_band,not_preserved_by_producer_command,1800,14775,7873,70866,70866,0,2266145,3828C2231E6B9144A74BEEB49079B4386CBBEF65CB2D970105671EA3FA3B735B,B4277FB99C6EDF8FEEC5B01F54368E4B8521BCD52871316C0EDF6FF4AE69389E,source/source_aligned/ega4-18.tex,source_alignment_ledger_complete_checkpoint_printed111_r31,public_scan_derived_source_witness,Publicly available scan-derived witness; underlying-source rights and attribution remain unaffected.
EGA4-IV4-P106-FULL_600DPI,87 EGA IV - Source Image Witnesses Printed 106-118 (600-1800dpi) 20260731.zip,EGA4_Source_Image_Witnesses_Printed106_118_20260731/images/authority_physical105_printed106_full_600dpi.png,authority_physical105_printed106_full_600dpi.png,105,106,full_page,not_preserved_by_producer_command,600,4959,7009,23622,23622,0,2112603,205AC455D85A626553A45CE034B6DA2CA94B2090B0A38555C536FB0E207157AC,B4277FB99C6EDF8FEEC5B01F54368E4B8521BCD52871316C0EDF6FF4AE69389E,source/source_aligned/ega4-18.tex,source_alignment_ledger_complete_checkpoint_printed111_r31,public_scan_derived_source_witness,Publicly available scan-derived witness; underlying-source rights and attribution remain unaffected.
EGA4-IV4-P106-MIDDLE_1800DPI,87 EGA IV - Source Image Witnesses Printed 106-118 (600-1800dpi) 20260731.zip,EGA4_Source_Image_Witnesses_Printed106_118_20260731/images/authority_physical105_printed106_middle_1800dpi.png,authority_physical105_printed106_middle_1800dpi.png,105,106,middle_band,not_preserved_by_producer_command,1800,14775,8000,70866,70866,0,5181107,06570E3AD90F6554BC7A3370445A7E79C736DB4B4957C151A8E116DD7BD2D0B8,B4277FB99C6EDF8FEEC5B01F54368E4B8521BCD52871316C0EDF6FF4AE69389E,source/source_aligned/ega4-18.tex,source_alignment_ledger_complete_checkpoint_printed111_r31,public_scan_derived_source_witness,Publicly available scan-derived witness; underlying-source rights and attribution remain unaffected.
EGA4-IV4-P106-TOP_1800DPI,87 EGA IV - Source Image Witnesses Printed 106-118 (600-1800dpi) 20260731.zip,EGA4_Source_Image_Witnesses_Printed106_118_20260731/images/authority_physical105_printed106_top_1800dpi.png,authority_physical105_printed106_top_1800dpi.png,105,106,top_band_or_detail,not_preserved_by_producer_command,1800,14775,7900,70866,70866,0,4482565,E293C5A37B74E1CC0A391116188F90B766FD666516F32AFD2F8B9A0D1B784C46,B4277FB99C6EDF8FEEC5B01F54368E4B8521BCD52871316C0EDF6FF4AE69389E,source/source_aligned/ega4-18.tex,source_alignment_ledger_complete_checkpoint_printed111_r31,public_scan_derived_source_witness,Publicly available scan-derived witness; underlying-source rights and attribution remain unaffected.
EGA4-IV4-P107-BOTTOM_1800DPI,87 EGA IV - Source Image Witnesses Printed 106-118 (600-1800dpi) 20260731.zip,EGA4_Source_Image_Witnesses_Printed106_118_20260731/images/authority_physical106_printed107_bottom_1800dpi.png,authority_physical106_printed107_bottom_1800dpi.png,106,107,bottom_band,not_preserved_by_producer_command,1800,14950,8023,70866,70866,0,2261594,58DD8A0A46ADE0C5B168942A474A8BC4AB47F5B21288CE3E00268DD824CCCABB,B4277FB99C6EDF8FEEC5B01F54368E4B8521BCD52871316C0EDF6FF4AE69389E,source/source_aligned/ega4-18.tex,source_alignment_ledger_complete_checkpoint_printed111_r31,public_scan_derived_source_witness,Publicly available scan-derived witness; underlying-source rights and attribution remain unaffected.
EGA4-IV4-P107-FULL_600DPI,87 EGA IV - Source Image Witnesses Printed 106-118 (600-1800dpi) 20260731.zip,EGA4_Source_Image_Witnesses_Printed106_118_20260731/images/authority_physical106_printed107_full_600dpi.png,authority_physical106_printed107_full_600dpi.png,106,107,full_page,not_preserved_by_producer_command,600,5017,7059,23622,23622,0,2034018,D027E1D2870703C1C61D4991D8BCC2663748B1A8115455F90BA5A8FFCE572C98,B4277FB99C6EDF8FEEC5B01F54368E4B8521BCD52871316C0EDF6FF4AE69389E,source/source_aligned/ega4-18.tex,source_alignment_ledger_complete_checkpoint_printed111_r31,public_scan_derived_source_witness,Publicly available scan-derived witness; underlying-source rights and attribution remain unaffected.
EGA4-IV4-P107-MIDDLE_1800DPI,87 EGA IV - Source Image Witnesses Printed 106-118 (600-1800dpi) 20260731.zip,EGA4_Source_Image_Witnesses_Printed106_118_20260731/images/authority_physical106_printed107_middle_1800dpi.png,authority_physical106_printed107_middle_1800dpi.png,106,107,middle_band,not_preserved_by_producer_command,1800,14950,8000,70866,70866,0,4991060,D06D7260A94016E7094B862C27B0A5E7AD21B5ACE8F8AAA08857B33FD3C21F6F,B4277FB99C6EDF8FEEC5B01F54368E4B8521BCD52871316C0EDF6FF4AE69389E,source/source_aligned/ega4-18.tex,source_alignment_ledger_complete_checkpoint_printed111_r31,public_scan_derived_source_witness,Publicly available scan-derived witness; underlying-source rights and attribution remain unaffected.
EGA4-IV4-P107-TOP_1800DPI,87 EGA IV - Source Image Witnesses Printed 106-118 (600-1800dpi) 20260731.zip,EGA4_Source_Image_Witnesses_Printed106_118_20260731/images/authority_physical106_printed107_top_1800dpi.png,authority_physical106_printed107_top_1800dpi.png,106,107,top_band_or_detail,not_preserved_by_producer_command,1800,14950,7900,70866,70866,0,4257339,0F3063D8370F04DDCBBD60B47CE137435660A21A0D815828030A4383716BBFAA,B4277FB99C6EDF8FEEC5B01F54368E4B8521BCD52871316C0EDF6FF4AE69389E,source/source_aligned/ega4-18.tex,source_alignment_ledger_complete_checkpoint_printed111_r31,public_scan_derived_source_witness,Publicly available scan-derived witness; underlying-source rights and attribution remain unaffected.
EGA4-IV4-P108-BOTTOM_1800DPI,87 EGA IV - Source Image Witnesses Printed 106-118 (600-1800dpi) 20260731.zip,EGA4_Source_Image_Witnesses_Printed106_118_20260731/images/authority_physical107_printed108_bottom_1800dpi.png,authority_physical107_printed108_bottom_1800dpi.png,107,108,bottom_band,not_preserved_by_producer_command,1800,14775,7873,70866,70866,0,2347329,EAEFE130B9DD77FE4B4D8A681A032C6351F0B1747D0C8058CCA282AE7DDC3377,B4277FB99C6EDF8FEEC5B01F54368E4B8521BCD52871316C0EDF6FF4AE69389E,source/source_aligned/ega4-18.tex,source_alignment_ledger_complete_checkpoint_printed111_r31,public_scan_derived_source_witness,Publicly available scan-derived witness; underlying-source rights and attribution remain unaffected.
EGA4-IV4-P108-FULL_600DPI,87 EGA IV - Source Image Witnesses Printed 106-118 (600-1800dpi) 20260731.zip,EGA4_Source_Image_Witnesses_Printed106_118_20260731/images/authority_physical107_printed108_full_600dpi.png,authority_physical107_printed108_full_600dpi.png,107,108,full_page,not_preserved_by_producer_command,600,4959,7009,23622,23622,0,2081224,83E6BC8311EF608DF8F75D6A293B762C8B8637EA895330BADCC3F9FB624761D0,B4277FB99C6EDF8FEEC5B01F54368E4B8521BCD52871316C0EDF6FF4AE69389E,source/source_aligned/ega4-18.tex,source_alignment_ledger_complete_checkpoint_printed111_r31,public_scan_derived_source_witness,Publicly available scan-derived witness; underlying-source rights and attribution remain unaffected.
