target_id,entity_id,target_kind,canonical_label,source_number,source_span_id,volume_id,parent_id,language_neutral_status,notes
ILL-RT-0001,ILL-CCD:LNM239:FM:COVER,cover,Cotangent Complex and Deformations I,cover,ILL-SP-239-001-01,ILL-CCD:LNM239:VOL,ILL-CCD:LNM239:FM:FRONT,verified,Stable pre-Stacks target; no official Stacks tag is asserted.
ILL-RT-0002,ILL-CCD:LNM239:SUB:COVER:SERIES,publisher_series,Lecture Notes in Mathematics,Lecture Notes in Mathematics,ILL-SP-239-001-02,ILL-CCD:LNM239:VOL,ILL-CCD:LNM239:FM:COVER,verified,Stable pre-Stacks target; no official Stacks tag is asserted.
ILL-RT-0003,ILL-CCD:LNM239:SUB:COVER:EDITORS,editor_statement,Edited by A. Dold and B. Eckmann,Edited by A. Dold and B. Eckmann,ILL-SP-239-001-03,ILL-CCD:LNM239:VOL,ILL-CCD:LNM239:FM:COVER,verified,Stable pre-Stacks target; no official Stacks tag is asserted.
ILL-RT-0004,ILL-CCD:LNM239:SUB:COVER:NUMBER,series_number,239,239,ILL-SP-239-001-04,ILL-CCD:LNM239:VOL,ILL-CCD:LNM239:FM:COVER,verified,Stable pre-Stacks target; no official Stacks tag is asserted.
ILL-RT-0005,ILL-CCD:LNM239:SUB:COVER:AUTHOR,person_credit,Luc Illusie,Luc Illusie,ILL-SP-239-001-05,ILL-CCD:LNM239:VOL,ILL-CCD:LNM239:FM:COVER,verified,Stable pre-Stacks target; no official Stacks tag is asserted.
ILL-RT-0006,ILL-CCD:LNM239:SUB:COVER:TITLE,title,Cotangent Complex and Deformations I,Complexe Cotangent et Déformations I,ILL-SP-239-001-06,ILL-CCD:LNM239:VOL,ILL-CCD:LNM239:FM:COVER,verified,Stable pre-Stacks target; no official Stacks tag is asserted.
ILL-RT-0007,ILL-CCD:LNM239:DGM:p001:d01,diagram,Springer-Verlag emblem,unnumbered Springer-Verlag emblem,ILL-SP-239-001-07,ILL-CCD:LNM239:VOL,ILL-CCD:LNM239:FM:COVER,verified,Stable pre-Stacks target; no official Stacks tag is asserted.
ILL-RT-0008,ILL-CCD:LNM239:SUB:COVER:IMPRINT,publisher_imprint,Springer-Verlag Berlin · Heidelberg · New York,Springer-Verlag Berlin · Heidelberg · New York,ILL-SP-239-001-08,ILL-CCD:LNM239:VOL,ILL-CCD:LNM239:FM:COVER,verified,Stable pre-Stacks target; no official Stacks tag is asserted.
ILL-RT-0009,ILL-CCD:LNM239:FM:IC,front_matter,Publisher series statement and Lecture Notes in Physics catalogue,physical p. 2,ILL-SP-239-002-01,ILL-CCD:LNM239:VOL,ILL-CCD:LNM239:FM:FRONT,verified,Stable pre-Stacks target; no official Stacks tag is asserted.
ILL-RT-0010,ILL-CCD:LNM239:SUB:IC:POLICY,publisher_statement,This series aims to report new developments in mathematical research and teaching,,ILL-SP-239-002-02,ILL-CCD:LNM239:VOL,ILL-CCD:LNM239:FM:IC,verified,Stable pre-Stacks target; no official Stacks tag is asserted.
ILL-RT-0011,ILL-CCD:LNM239:SUB:IC:POLICY:01,subitem,Preliminary drafts of original papers and monographs,1,ILL-SP-239-002-03,ILL-CCD:LNM239:VOL,ILL-CCD:LNM239:SUB:IC:POLICY,verified,Stable pre-Stacks target; no official Stacks tag is asserted.
ILL-RT-0012,ILL-CCD:LNM239:SUB:IC:POLICY:02,subitem,"Lectures on a new field, or presenting a new angle on a classical field",2,ILL-SP-239-002-04,ILL-CCD:LNM239:VOL,ILL-CCD:LNM239:SUB:IC:POLICY,verified,Stable pre-Stacks target; no official Stacks tag is asserted.
ILL-RT-0013,ILL-CCD:LNM239:SUB:IC:POLICY:03,subitem,Seminar work-outs,3,ILL-SP-239-002-05,ILL-CCD:LNM239:VOL,ILL-CCD:LNM239:SUB:IC:POLICY,verified,Stable pre-Stacks target; no official Stacks tag is asserted.
ILL-RT-0014,ILL-CCD:LNM239:SUB:IC:POLICY:04,subitem,"Reports of meetings, provided they are",4,ILL-SP-239-002-06,ILL-CCD:LNM239:VOL,ILL-CCD:LNM239:SUB:IC:POLICY,verified,Stable pre-Stacks target; no official Stacks tag is asserted.
ILL-RT-0015,ILL-CCD:LNM239:SUB:IC:POLICY:04:a,subitem,of exceptional interest,a,ILL-SP-239-002-07,ILL-CCD:LNM239:VOL,ILL-CCD:LNM239:SUB:IC:POLICY:04,verified,Stable pre-Stacks target; no official Stacks tag is asserted.
ILL-RT-0016,ILL-CCD:LNM239:SUB:IC:POLICY:04:b,subitem,devoted to a single topic,b,ILL-SP-239-002-08,ILL-CCD:LNM239:VOL,ILL-CCD:LNM239:SUB:IC:POLICY:04,verified,Stable pre-Stacks target; no official Stacks tag is asserted.
ILL-RT-0017,ILL-CCD:LNM239:SUB:IC:OUTPRINT,publisher_statement,Texts which are out of print but still in demand,,ILL-SP-239-002-09,ILL-CCD:LNM239:VOL,ILL-CCD:LNM239:FM:IC,verified,Stable pre-Stacks target; no official Stacks tag is asserted.
ILL-RT-0018,ILL-CCD:LNM239:SUB:IC:TIMELINESS,publisher_statement,The timeliness of a manuscript is more important than its form,,ILL-SP-239-002-10,ILL-CCD:LNM239:VOL,ILL-CCD:LNM239:FM:IC,verified,Stable pre-Stacks target; no official Stacks tag is asserted.
ILL-RT-0019,ILL-CCD:LNM239:SUB:IC:MINPAGES,publisher_statement,Manuscripts should comprise not less than 100 pages,,ILL-SP-239-002-11,ILL-CCD:LNM239:VOL,ILL-CCD:LNM239:FM:IC,verified,Stable pre-Stacks target; no official Stacks tag is asserted.
ILL-RT-0020,ILL-CCD:LNM239:SUB:IC:SERVICE,publisher_statement,Publication of Lecture Notes is intended as a service,,ILL-SP-239-002-12,ILL-CCD:LNM239:VOL,ILL-CCD:LNM239:FM:IC,verified,Stable pre-Stacks target; no official Stacks tag is asserted.
ILL-RT-0021,ILL-CCD:LNM239:SUB:IC:MS,publisher_statement,Manuscripts,,ILL-SP-239-002-13,ILL-CCD:LNM239:VOL,ILL-CCD:LNM239:FM:IC,verified,Stable pre-Stacks target; no official Stacks tag is asserted.
ILL-RT-0022,ILL-CCD:LNM239:SUB:IC:MS:PHOTO,publisher_statement,Manuscripts are reproduced by a photographic process,,ILL-SP-239-002-14,ILL-CCD:LNM239:VOL,ILL-CCD:LNM239:SUB:IC:MS,verified,Stable pre-Stacks target; no official Stacks tag is asserted.
ILL-RT-0023,ILL-CCD:LNM239:SUB:IC:MS:SYMBOLS,publisher_statement,Symbols not on the typewriter should be inserted by hand,,ILL-SP-239-002-15,ILL-CCD:LNM239:VOL,ILL-CCD:LNM239:SUB:IC:MS,verified,Stable pre-Stacks target; no official Stacks tag is asserted.
