occurrence_id,entity_id,source_span_id,occurrence_role,language_or_layer,reader_file,tex_anchor,render_page,status
ILL-OCC-239-001-01-SRC,ILL-CCD:LNM239:FM:COVER,ILL-SP-239-001-01,source,source_authority,SOURCE_AUTHORITY.csv,physical:p001,1,verified
ILL-OCC-239-001-01-FD,ILL-CCD:LNM239:FM:COVER,ILL-SP-239-001-01,reader,fr_diplomatic,readers/volume_I_fr_diplomatic_checkpoint.tex,illusie:I:cover:cover,1,verified
ILL-OCC-239-001-01-FC,ILL-CCD:LNM239:FM:COVER,ILL-SP-239-001-01,reader,fr_corrected,readers/volume_I_fr_corrected_checkpoint.tex,illusie:I:cover:cover,1,verified
ILL-OCC-239-001-01-EN,ILL-CCD:LNM239:FM:COVER,ILL-SP-239-001-01,reader,source_aligned_english,readers/volume_I_en_checkpoint.tex,illusie:I:cover:cover,1,verified
ILL-OCC-239-001-01-BI,ILL-CCD:LNM239:FM:COVER,ILL-SP-239-001-01,reader,bilingual,readers/volume_I_bilingual_checkpoint.tex,illusie:I:cover:cover:bilingual,1,verified
ILL-OCC-239-001-02-SRC,ILL-CCD:LNM239:SUB:COVER:SERIES,ILL-SP-239-001-02,source,source_authority,SOURCE_AUTHORITY.csv,physical:p001,1,verified
ILL-OCC-239-001-02-FD,ILL-CCD:LNM239:SUB:COVER:SERIES,ILL-SP-239-001-02,reader,fr_diplomatic,readers/volume_I_fr_diplomatic_checkpoint.tex,illusie:I:cover:series,1,verified
ILL-OCC-239-001-02-FC,ILL-CCD:LNM239:SUB:COVER:SERIES,ILL-SP-239-001-02,reader,fr_corrected,readers/volume_I_fr_corrected_checkpoint.tex,illusie:I:cover:series,1,verified
ILL-OCC-239-001-02-EN,ILL-CCD:LNM239:SUB:COVER:SERIES,ILL-SP-239-001-02,reader,source_aligned_english,readers/volume_I_en_checkpoint.tex,illusie:I:cover:series,1,verified
ILL-OCC-239-001-02-BI,ILL-CCD:LNM239:SUB:COVER:SERIES,ILL-SP-239-001-02,reader,bilingual,readers/volume_I_bilingual_checkpoint.tex,illusie:I:cover:series:bilingual,1,verified
ILL-OCC-239-001-03-SRC,ILL-CCD:LNM239:SUB:COVER:EDITORS,ILL-SP-239-001-03,source,source_authority,SOURCE_AUTHORITY.csv,physical:p001,1,verified
ILL-OCC-239-001-03-FD,ILL-CCD:LNM239:SUB:COVER:EDITORS,ILL-SP-239-001-03,reader,fr_diplomatic,readers/volume_I_fr_diplomatic_checkpoint.tex,illusie:I:cover:editors,1,verified
ILL-OCC-239-001-03-FC,ILL-CCD:LNM239:SUB:COVER:EDITORS,ILL-SP-239-001-03,reader,fr_corrected,readers/volume_I_fr_corrected_checkpoint.tex,illusie:I:cover:editors,1,verified
ILL-OCC-239-001-03-EN,ILL-CCD:LNM239:SUB:COVER:EDITORS,ILL-SP-239-001-03,reader,source_aligned_english,readers/volume_I_en_checkpoint.tex,illusie:I:cover:editors,1,verified
