authority_sha256,target_document_sha256,paper,source_chars,target_chars,char_ratio,source_displays,target_displays,source_display_rows,target_display_rows,source_inline_math_openers,target_inline_math_openers,source_math_tokens,target_math_tokens,math_token_ratio,source_commands,target_commands,status,note
EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21,073368D0421BBF37232EF4F2F474398AE45DA6A66CCE97942F3D653A82B45F8D,1,8090,7831,0.9680,7,8,2,3,36,34,447,412,0.9217,145,127,present-structural-review,
EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21,073368D0421BBF37232EF4F2F474398AE45DA6A66CCE97942F3D653A82B45F8D,2,145644,149006,1.0231,271,284,543,541,1840,1848,33838,35438,1.0473,7734,7720,present-structural-review,
EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21,073368D0421BBF37232EF4F2F474398AE45DA6A66CCE97942F3D653A82B45F8D,3,8196,8999,1.0980,0,2,1,1,104,104,170,404,2.3765,109,124,present-structural-review,
EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21,073368D0421BBF37232EF4F2F474398AE45DA6A66CCE97942F3D653A82B45F8D,4,99794,103537,1.0375,119,120,57,55,1282,1284,15937,15963,1.0016,3587,3541,present-structural-review,
EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21,073368D0421BBF37232EF4F2F474398AE45DA6A66CCE97942F3D653A82B45F8D,5,8037,8632,1.0740,1,1,0,0,30,30,47,43,0.9149,33,60,present-structural-review,
EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21,073368D0421BBF37232EF4F2F474398AE45DA6A66CCE97942F3D653A82B45F8D,6,92254,95817,1.0386,141,144,25,24,1808,1808,12307,11515,0.9356,2570,2545,present-structural-review,
EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21,073368D0421BBF37232EF4F2F474398AE45DA6A66CCE97942F3D653A82B45F8D,7,8361,8401,1.0048,12,12,3,4,106,106,1219,1223,1.0033,226,222,present-structural-review,
EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21,073368D0421BBF37232EF4F2F474398AE45DA6A66CCE97942F3D653A82B45F8D,8,24863,25539,1.0272,50,50,7,7,604,604,3897,3895,0.9995,893,893,present-structural-review,
EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21,073368D0421BBF37232EF4F2F474398AE45DA6A66CCE97942F3D653A82B45F8D,9,76608,77929,1.0172,43,48,6,2,1936,1930,5580,5430,0.9731,2002,2031,present-structural-review,
EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21,073368D0421BBF37232EF4F2F474398AE45DA6A66CCE97942F3D653A82B45F8D,10,27817,28426,1.0219,26,26,9,9,349,702,2624,2591,0.9874,600,614,present-structural-review,
EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21,073368D0421BBF37232EF4F2F474398AE45DA6A66CCE97942F3D653A82B45F8D,11,25376,25633,1.0101,28,28,2,0,416,408,2838,2669,0.9405,670,639,present-structural-review,
EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21,073368D0421BBF37232EF4F2F474398AE45DA6A66CCE97942F3D653A82B45F8D,12,18482,19450,1.0524,7,22,19,18,135,133,1208,2269,1.8783,507,551,present-structural-review,
EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21,073368D0421BBF37232EF4F2F474398AE45DA6A66CCE97942F3D653A82B45F8D,13,57116,58861,1.0306,75,89,11,9,498,497,6282,7058,1.1235,1960,2033,present-structural-review,
EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21,073368D0421BBF37232EF4F2F474398AE45DA6A66CCE97942F3D653A82B45F8D,14,62807,65019,1.0352,5,16,0,1,437,426,1832,1893,1.0333,803,706,present-structural-review,
EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21,073368D0421BBF37232EF4F2F474398AE45DA6A66CCE97942F3D653A82B45F8D,15,45628,44972,0.9856,64,107,14,12,466,914,5384,7043,1.3081,1314,1264,present-structural-review,
EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21,073368D0421BBF37232EF4F2F474398AE45DA6A66CCE97942F3D653A82B45F8D,16,16351,17426,1.0657,10,21,14,9,244,246,1184,1957,1.6529,431,485,present-structural-review,
EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21,073368D0421BBF37232EF4F2F474398AE45DA6A66CCE97942F3D653A82B45F8D,17,92646,94167,1.0164,145,146,41,36,2033,2078,11098,10873,0.9797,3298,3290,present-structural-review,
EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21,073368D0421BBF37232EF4F2F474398AE45DA6A66CCE97942F3D653A82B45F8D,18,2452,2664,1.0865,0,2,1,1,51,48,218,228,1.0459,57,56,present-structural-review,
EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21,073368D0421BBF37232EF4F2F474398AE45DA6A66CCE97942F3D653A82B45F8D,19,129835,134100,1.0328,95,137,20,25,2866,2811,13034,13448,1.0318,3894,3562,present-structural-review,
EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21,073368D0421BBF37232EF4F2F474398AE45DA6A66CCE97942F3D653A82B45F8D,20,20862,22001,1.0546,12,29,9,7,474,470,1549,2678,1.7289,539,583,present-structural-review,
EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21,073368D0421BBF37232EF4F2F474398AE45DA6A66CCE97942F3D653A82B45F8D,21,9885,12471,1.2616,5,12,6,5,98,96,432,960,2.2222,271,448,present-structural-review,
EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21,073368D0421BBF37232EF4F2F474398AE45DA6A66CCE97942F3D653A82B45F8D,22,79209,94042,1.1873,105,105,20,20,2271,2285,12695,12718,1.0018,2630,3454,present-structural-review,
