"visual_id","relative_path","parent_pdf_sha256","pdf_page","width_px","height_px","generation_dpi","embedded_dpi_x","embedded_dpi_y","rotation_degrees","bounding_box","sha256","bytes","linked_structural_unit","generation_basis","publication_disposition","qa_disposition"
"VE-NOE-GER-P02P04-001","rendered_current/paper02/page-005.png","572CF1EAA7F4895D0DA3644AE872D228AE40F6BCD81EC87DC3DEE1ADC9183C92","5","3308","4678","400","399.999","399.999","0","0,0,3308,4678","091E879B218DB6F9AB1E571F82A167BA5239F053CA5810B76EC071DDE0B841A0","818063","paper02_printed_pp28_34","producer_final_after_render","open_payload","accepted_no_visible_defect_independent_rebuild_render_byte_match"
"VE-NOE-GER-P02P04-002","rendered_current/paper02/page-006.png","572CF1EAA7F4895D0DA3644AE872D228AE40F6BCD81EC87DC3DEE1ADC9183C92","6","3308","4678","400","399.999","399.999","0","0,0,3308,4678","14A649B6C2C111053FD582A78272298205D9ACB7E0539EEA3345C767380AC2DD","836084","paper02_printed_pp28_34","producer_final_after_render","open_payload","accepted_no_visible_defect_independent_rebuild_render_byte_match"
"VE-NOE-GER-P02P04-003","rendered_current/paper02/page-007.png","572CF1EAA7F4895D0DA3644AE872D228AE40F6BCD81EC87DC3DEE1ADC9183C92","7","3308","4678","400","399.999","399.999","0","0,0,3308,4678","F24232279F363EDA6B1F0AC79C6AC48CC69BF85833812D6D432655872AA20DDC","708198","paper02_printed_pp28_34","producer_final_after_render","open_payload","accepted_no_visible_defect_independent_rebuild_render_byte_match"
"VE-NOE-GER-P02P04-004","rendered_current/paper02/page-008.png","572CF1EAA7F4895D0DA3644AE872D228AE40F6BCD81EC87DC3DEE1ADC9183C92","8","3308","4678","400","399.999","399.999","0","0,0,3308,4678","FDC049700FC087C2EED0BBD8B5B90176E5AD4D58DF8641ED84068E7BEEE4A92E","988130","paper02_printed_pp28_34","producer_final_after_render","open_payload","accepted_no_visible_defect_independent_rebuild_render_byte_match"
"VE-NOE-GER-P02P04-005","rendered_current/paper02/page-009.png","572CF1EAA7F4895D0DA3644AE872D228AE40F6BCD81EC87DC3DEE1ADC9183C92","9","3308","4678","400","399.999","399.999","0","0,0,3308,4678","197CB77F60EFCAF293675A2E76CA793A509FE1556C43BB9D68A6EB375A00D688","843010","paper02_printed_pp28_34","producer_final_after_render","open_payload","accepted_no_visible_defect_independent_rebuild_render_byte_match"
"VE-NOE-GER-P02P04-006","rendered_current/paper02/page-010.png","572CF1EAA7F4895D0DA3644AE872D228AE40F6BCD81EC87DC3DEE1ADC9183C92","10","3308","4678","400","399.999","399.999","0","0,0,3308,4678","55271ADA5A39DA66DCE0160DAE885FA0EB443DE04D916CBD9FD011C1E5C48C33","665961","paper02_printed_pp28_34","producer_final_after_render","open_payload","accepted_no_visible_defect_independent_rebuild_render_byte_match"
"VE-NOE-GER-P02P04-007","rendered_current/paper04/page-049.png","572CF1EAA7F4895D0DA3644AE872D228AE40F6BCD81EC87DC3DEE1ADC9183C92","49","3308","4678","400","399.999","399.999","0","0,0,3308,4678","AF2FD359F548CA0AE000861402FE1D7E7D8D8424CE82B84E079A336C64B5FE51","941186","paper04_printed_pp118_143","producer_final_after_render","open_payload","accepted_no_visible_defect_independent_rebuild_render_byte_match"
"VE-NOE-GER-P02P04-008","rendered_current/paper04/page-050.png","572CF1EAA7F4895D0DA3644AE872D228AE40F6BCD81EC87DC3DEE1ADC9183C92","50","3308","4678","400","399.999","399.999","0","0,0,3308,4678","B9AD75347495B95C436E54EDC148819097CE58B9504A9EED08BDA1A2B4F2B15A","1001135","paper04_printed_pp118_143","producer_final_after_render","open_payload","accepted_no_visible_defect_independent_rebuild_render_byte_match"
"VE-NOE-GER-P02P04-009","rendered_current/paper04/page-051.png","572CF1EAA7F4895D0DA3644AE872D228AE40F6BCD81EC87DC3DEE1ADC9183C92","51","3308","4678","400","399.999","399.999","0","0,0,3308,4678","A3028AC47EEE615EABFB8C84C7E42A9EFC60B951F6B660AC5C707F45D5859CA3","765384","paper04_printed_pp118_143","producer_final_after_render","open_payload","accepted_no_visible_defect_independent_rebuild_render_byte_match"
"VE-NOE-GER-P02P04-010","rendered_current/paper04/page-052.png","572CF1EAA7F4895D0DA3644AE872D228AE40F6BCD81EC87DC3DEE1ADC9183C92","52","3308","4678","400","399.999","399.999","0","0,0,3308,4678","4D5B3D9CC896CDF0291BC4237FC6C952EF31E9F9707A2A5B52B6E1846275A71A","378765","paper04_printed_pp118_143","producer_final_after_render","open_payload","accepted_no_visible_defect_independent_rebuild_render_byte_match"
