const,const_lat,const_ar,const_artr,const_zh,n,bayer,common,lon_d,lon_m,lat_d,lat_m,dir,mag,arabic,note,english
UrsaMinor,Ursa Minor,الدب الأصغر,ad-dubb al-asghar,小熊座,1,α,Polaris,71,20,66,0,N,3,الكوكب الذي على طرف ذنب الدب الأصغر,Polaris,the star at the tip of the tail of the Lesser Bear
UrsaMinor,Ursa Minor,الدب الأصغر,ad-dubb al-asghar,小熊座,2,ε,,87,10,74,20,N,4,الذي على أصل ذنب هذا الدب الأصغر,cod.long 101.20,the star at the root of the tail of this Bear
UrsaMinor,Ursa Minor,الدب الأصغر,ad-dubb al-asghar,小熊座,3,β,,118,20,72,50,N,2,الذي من ناحية جنوب الجنب الثاني من المربعة,Kochab; cod.long 153 lat50->10,
UrsaMinor,Ursa Minor,الدب الأصغر,ad-dubb al-asghar,小熊座,4,γ,,127,20,74,50,N,2,الشمالي من هذا الجنب الثاني من المربعة,Pherkad; cod.long 157,
UrsaMajor,Ursa Major,الدب الأكبر,ad-dubb al-akbar,大熊座,1,ο,,96,30,39,50,N,4,الكوكب الذي على خطم الدب الأكبر,cod.long 176,the star in the front part of the mouth of the Greater Bear
UrsaMajor,Ursa Major,الدب الأكبر,ad-dubb al-akbar,大熊座,2,θ,,111,50,35,0,N,3,الذي على ركبة هذا الدب اليسرى,,the one in the left knee of this Bear
UrsaMajor,Ursa Major,الدب الأكبر,ad-dubb al-akbar,大熊座,3,ι,,106,40,29,20,N,3,الشمالي الذي على طرف رجله اليسرى المقدمة,,the northern one at the tip of the front left foot
UrsaMajor,Ursa Major,الدب الأكبر,ad-dubb al-akbar,大熊座,4,κ,,107,30,28,20,N,3,الكوكب الجنوبي منه,,the southern one in this foot
UrsaMajor,Ursa Major,الدب الأكبر,ad-dubb al-akbar,大熊座,5,α,Dubhe,118,50,49,0,N,2,الكوكب الذي على ظهره في المربعة,Dubhe,the star on the back of the Bear in the square
UrsaMajor,Ursa Major,الدب الأكبر,ad-dubb al-akbar,大熊座,6,β,Merak,123,20,44,30,N,2,الذي على مراق بطن هذا الدب الأكبر,Merak,the one in the thinner part of the belly
UrsaMajor,Ursa Major,الدب الأكبر,ad-dubb al-akbar,大熊座,7,δ,Megrez,134,20,51,0,N,3,الكوكب الذي في أصل ذنبه,Megrez,the one at the root of the tail
UrsaMajor,Ursa Major,الدب الأكبر,ad-dubb al-akbar,大熊座,8,γ,Phecda,134,10,46,30,N,2,الذي في أصل فخذه اليسرى المؤخرة,Phecda,the one at the root of the back of the left knee
UrsaMajor,Ursa Major,الدب الأكبر,ad-dubb al-akbar,大熊座,9,λ,,123,50,29,20,N,3,المقدم الذي على طرف رجله اليسرى المؤخرة,,the front one at the tip of the back left foot
UrsaMajor,Ursa Major,الدب الأكبر,ad-dubb al-akbar,大熊座,10,μ,,125,20,28,15,N,3,الكوكب الذي يلو هذا,,the one that follows it
UrsaMajor,Ursa Major,الدب الأكبر,ad-dubb al-akbar,大熊座,11,ν,,141,0,25,50,N,3,الجنوبي الذي على طرف رجله اليسرى المؤخرة,,the northern one of those at the tip of the back right foot
UrsaMajor,Ursa Major,الدب الأكبر,ad-dubb al-akbar,大熊座,12,ξ,,141,30,25,0,N,3,الكوكب الجنوبي عن هؤلاء,,the southern one of those
UrsaMajor,Ursa Major,الدب الأكبر,ad-dubb al-akbar,大熊座,13,ε,Alioth,143,20,53,30,N,2,المقدم من الثلثة على ذنبه,Alioth,the front one of the three in the tail
UrsaMajor,Ursa Major,الدب الأكبر,ad-dubb al-akbar,大熊座,14,ζ,Mizar,149,10,55,40,N,2,المتوسط من هذه الثلثة,Mizar,the middle one of these three
UrsaMajor,Ursa Major,الدب الأكبر,ad-dubb al-akbar,大熊座,15,η,Alkaid,161,0,54,0,N,2,الثالث الذي على طرف ذنبه,Alkaid,the third one at the tip of the tail
UrsaMajor,Ursa Major,الدب الأكبر,ad-dubb al-akbar,大熊座,16,12Canum,,159,0,39,45,N,3,الذي تحت الذنب من الجنوب,,the one under the tail on the southern part
UrsaMajor,Ursa Major,الدب الأكبر,ad-dubb al-akbar,大熊座,17,40Lyncis,,116,10,17,15,N,4,الذي بين رجلي الدب المقدمة وبين رأس الأسد,,the one between the front foot of the Bear and the head of Leo
UrsaMajor,Ursa Major,الدب الأكبر,ad-dubb al-akbar,大熊座,18,10LeoMi,,117,20,20,0,N,obsc,المظلم الذي يلو الثلثة المظلمة الباقية,,the obscure one that follows the other three obscure ones
UrsaMajor,Ursa Major,الدب الأكبر,ad-dubb al-akbar,大熊座,19,,,113,20,22,50,N,obsc,المظلم المتقدم لهذا الكوكب,,the obscure one preceding this
UrsaMajor,Ursa Major,الدب الأكبر,ad-dubb al-akbar,大熊座,20,,,112,20,20,20,N,obsc,الذي بين يدي هذا الكوكب من المظلمة,,the obscure one before this
UrsaMajor,Ursa Major,الدب الأكبر,ad-dubb al-akbar,大熊座,21,31Lyncis,,101,10,22,15,N,obsc,,,"the one before this, between it and Gemini"
Draco,Draco,التنين,at-tinnin,天龙座,1,μ,,217,50,76,30,N,4,الكوكب الذي على طرف لسان التنين,-,the star at the tip of the tongue of the Dragon
Draco,Draco,التنين,at-tinnin,天龙座,2,γ,,250,50,75,30,N,3,الكوكب الذي فوق رأسه,-,the star above the head
Draco,Draco,التنين,at-tinnin,天龙座,3,β,,234,20,75,40,N,3,الذي فوق عين التنين,-,the star above the eye of the Dragon
Draco,Draco,التنين,at-tinnin,天龙座,4,ζ,,169,30,84,50,N,3,الذي في المغرب من الثلاثة,-,the star from the triangle on the western side
Draco,Draco,التنين,at-tinnin,天龙座,5,η,,171,10,78,0,N,3,الشمالي من الاثنين مما يلي المغرب,-,the northern one of the two following toward the west
Draco,Draco,التنين,at-tinnin,天龙座,6,α,Thuban,142,20,65,30,N,3,الذي يلو المقدم البعيد من الاثنين,Thuban,one of the two that follow the distant preceding one
Draco,Draco,التنين,at-tinnin,天龙座,7,κ,,120,20,61,15,N,3,الذي يلو هذا الكوكب,-,the one that follows this star
Draco,Draco,التنين,at-tinnin,天龙座,8,λ,,114,20,56,15,N,3,الكوكب الذي على طرف ذنب التنين,-,the star at the tip of the tail of the Dragon
Cephaeus,Cepheus,قيفاوس,qifawus / al-multahib,仙王座,1,α,,357,50,69,0,N,3,الكوكب المضاف الذي على كتفه اليمنى,-,
Cephaeus,Cepheus,قيفاوس,qifawus / al-multahib,仙王座,2,η,,350,30,72,0,N,4,المضاف الذي على مرفقه الأيمن,-,
Cephaeus,Cepheus,قيفاوس,qifawus / al-multahib,仙王座,3,ι,,18,40,62,30,N,4,الكوكب الذي على ساعده الأيسر,codLong 68.13,
Cephaeus,Cepheus,قيفاوس,qifawus / al-multahib,仙王座,4,ε,,357,30,60,15,N,5,المتوسط من الثلثة التي على قلنسوته,-,
Bootes,Bootes,العواء,al-baqqar / al-awwa,牧夫座,1,γ,,180,50,49,0,N,3,الذي على كفه اليسرى,-,the one in the left shoulder
Bootes,Bootes,العواء,al-baqqar / al-awwa,牧夫座,2,β,,187,50,53,50,N,4,الكوكب الذي على رأسه,-,the star in the head
Bootes,Bootes,العواء,al-baqqar / al-awwa,牧夫座,3,δ,,196,50,48,40,N,4,الكوكب الذي على كتفه اليمنى,-,the star in the right shoulder
Bootes,Bootes,العواء,al-baqqar / al-awwa,牧夫座,4,,,198,50,46,30,N,4,الكوكب الذي تحت كتفه الشمالية,-,the star under the left shoulder
Bootes,Bootes,العواء,al-baqqar / al-awwa,牧夫座,5,ε,,191,10,40,15,N,3,الذي على فخذه اليمنى في المنطقة,-,"the one in the right knee, in the belt and binding"
Bootes,Bootes,العواء,al-baqqar / al-awwa,牧夫座,6,ρ,,186,10,42,10,N,4,المقدم من الاثنين اللذين في منطقته,-,the preceding one of the two in the belt
Bootes,Bootes,العواء,al-baqqar / al-awwa,牧夫座,7,ζ,,196,30,28,0,N,3,الكوكب الذي على عرقوبه الأيمن,-,the star in the right ankle
Bootes,Bootes,العواء,al-baqqar / al-awwa,牧夫座,8,η,,182,30,28,0,N,3,الشمالي من الثلثة في ساقه اليسرى,-,the northern one of the three in the left leg
Bootes,Bootes,العواء,al-baqqar / al-awwa,牧夫座,9,τ,,181,40,26,30,N,4,الكوكب المتوسط من هذه الثلثة,-,the middle one of these three
Bootes,Bootes,العواء,al-baqqar / al-awwa,牧夫座,10,υ,,182,30,25,0,N,4,الجنوبي من هذه الثلثة,-,the southern one of these three
Bootes,Bootes,العواء,al-baqqar / al-awwa,牧夫座,11,α,Arcturus,188,40,31,30,N,1,السِّمَاك الرامح وهو بين فخذي العوّاء,Arcturus,"Simak the spear-bearer, between the thighs of the daemon, outside the figure"
CoronaBorealis,Corona Borealis,الفكة,al-fakkah,北冕座,1,α,Alphecca,205,50,44,30,N,2,المنيّر من كواكب الفكّة,Alphecca,the bright one of the stars of the Crown
CoronaBorealis,Corona Borealis,الفكة,al-fakkah,北冕座,2,β,,202,50,46,30,N,4,المقدم من كواكب الفكّة,-,the preceding one of the stars of the Crown
Hercules,Hercules,الجاثي,al-jathi,武仙座,1,α,Rasalgethi,238,50,37,30,N,3,الذي على رأس الجاثي,Rasalgethi,the star in Hercules' head
Hercules,Hercules,الجاثي,al-jathi,武仙座,2,β,,224,50,43,0,N,3,الذي على كتفه اليمنى عند الإبط,-,the star in the right shoulder near the armpit
Hercules,Hercules,الجاثي,al-jathi,武仙座,3,γ,,222,50,40,10,N,3,الذي على ذراعه اليمنى,-,the star in the right arm
Hercules,Hercules,الجاثي,al-jathi,武仙座,4,δ,,237,50,48,0,N,3,الذي على كتفه اليسرى,-,the star in the left shoulder
Hercules,Hercules,الجاثي,al-jathi,武仙座,5,λ,,243,10,49,30,N,4,الذي على ذراعه اليمنى,-,the star in the left arm
Hercules,Hercules,الجاثي,al-jathi,武仙座,6,μ,,248,50,52,0,N,4,الذي على مرفقه الأيسر,-,the star in the left elbow
Hercules,Hercules,الجاثي,al-jathi,武仙座,7,ξ,,252,40,53,0,N,3,الجنوبي من الثلثة على ساعده الأيسر,-,the southern star of three in the left wrist
Hercules,Hercules,الجاثي,al-jathi,武仙座,8,ζ,,224,50,50,40,N,3,الكوكب الذي في الخط الأيمن,-,the star in the right side
Hercules,Hercules,الجاثي,al-jathi,武仙座,9,,,232,20,58,30,N,3,الذي على أصل فخذه اليسرى,-,the star at the base of the left knee
Hercules,Hercules,الجاثي,al-jathi,武仙座,10,ρ,,237,30,61,15,N,4,الذي تلو هذا في فخذه اليسرى,-,"one of three in the left knee, following the previous"
Hercules,Hercules,الجاثي,al-jathi,武仙座,11,η,,221,50,64,0,N,4,الذي على أصل فخذه اليمنى,-,the star at the base of the right knee
Hercules,Hercules,الجاثي,al-jathi,武仙座,12,τ,,206,50,65,30,N,4,الذي على ركبته اليسرى,-,the star in the right knee
Lyra,Lyra,النسر الواقع,an-nasr al-waqi,天琴座,1,α,Vega,268,30,62,0,N,1,,Vega,the bright star in the tiara of the one holding the lyre; called the Eagle
Lyra,Lyra,النسر الواقع,an-nasr al-waqi,天琴座,2,ε,,271,30,62,40,N,4,,-,the northern star of two near it
Lyra,Lyra,النسر الواقع,an-nasr al-waqi,天琴座,3,ζ,,271,30,61,0,N,4,,-,the southern star of two near it
Lyra,Lyra,النسر الواقع,an-nasr al-waqi,天琴座,4,ν1,,272,0,55,0,N,4,,-,the southern star of two in the front part of the preceding scale pan of the Balance
Lyra,Lyra,النسر الواقع,an-nasr al-waqi,天琴座,5,λ,,272,10,54,45,N,4,,-,the southern star of two in the front part of the posterior scale pan of the Balance
Lyra,Lyra,النسر الواقع,an-nasr al-waqi,天琴座,6,β,Sheliak,272,10,56,10,N,3,,Sheliak,the northern prior star of two in the posterior scale pan of the Balance
Lyra,Lyra,النسر الواقع,an-nasr al-waqi,天琴座,7,γ,Sulafat,276,20,55,20,N,3,,Sulafat,the northern posterior star of two in the posterior scale pan of the Balance
Cygnus,Cygnus,الدجاجة,ad-dajajah,天鹅座,1,β,Albireo,281,50,49,20,N,3,الذي على منقار الدجاجة,Albireo,the star in the beak
Cygnus,Cygnus,الدجاجة,ad-dajajah,天鹅座,2,η,,297,30,54,30,N,4,الذي في وسط عنق الدجاجة,-,the star in the middle of the neck
Cygnus,Cygnus,الدجاجة,ad-dajajah,天鹅座,3,γ,Sadr,309,40,57,20,N,3,الذي في صدر الدجاجة,Sadr,the star in the breast
Cygnus,Cygnus,الدجاجة,ad-dajajah,天鹅座,4,α,Deneb,320,20,60,0,N,2,الكوكب المنيّر الذي على ذنب الدجاجة,Deneb,the bright star in the tail
Cygnus,Cygnus,الدجاجة,ad-dajajah,天鹅座,5,δ,,300,30,64,40,N,3,الكوكب الذي على مرفق جناحها الأيمن,-,the star in the elbow of the right wing
Cygnus,Cygnus,الدجاجة,ad-dajajah,天鹅座,6,ι2,,302,20,71,30,N,4,المتوسط من الثلثة في الجناح الأيسر,-,the middle star of three in the left wing
Cygnus,Cygnus,الدجاجة,ad-dajajah,天鹅座,7,κ,,297,50,74,0,N,4,الشمالي من هذا على طرف الجناح,-,"the star to the north of it, at the tip of the wing"
Cygnus,Cygnus,الدجاجة,ad-dajajah,天鹅座,8,ε,,312,0,49,30,N,3,الذي على طرف الجناح الأيسر,-,the star in the elbow of the left wing
Cygnus,Cygnus,الدجاجة,ad-dajajah,天鹅座,9,ν,,321,10,55,10,N,4,الذي على رجلها اليسرى,-,the star in the left foot
Cygnus,Cygnus,الدجاجة,ad-dajajah,天鹅座,10,ξ,,325,40,57,0,N,4,الذي على ركبتها اليسرى,-,the star in the left knee
Cassiopeia,Cassiopeia,ذات الكرسي,dhat al-kursi,仙后座,1,ζ,,19,0,45,20,N,3,الكوكب الذي على رأس ذات الكرسي,-,
Cassiopeia,Cassiopeia,ذات الكرسي,dhat al-kursi,仙后座,2,α,Schedar,22,0,46,45,N,3,الكوكب الذي في صدرها,Schedar,
Cassiopeia,Cassiopeia,ذات الكرسي,dhat al-kursi,仙后座,3,η,,24,10,47,50,N,4,الشمالي منها وهو على شِقّتها,-,
Cassiopeia,Cassiopeia,ذات الكرسي,dhat al-kursi,仙后座,4,δ,,31,50,45,30,N,3,الكوكب الذي على ركبتيها,-,
Cassiopeia,Cassiopeia,ذات الكرسي,dhat al-kursi,仙后座,5,β,Caph,19,0,51,40,N,3,الكوكب الذي في وسط الكرسي,Caph,
Cassiopeia,Cassiopeia,ذات الكرسي,dhat al-kursi,仙后座,6,κ,,26,10,52,40,N,4,الذي في فوق رِجل الكرسي,-,
Perseus,Perseus,حامل رأس الغول,hamil ras al-ghul / barshawush,英仙座,1,χ,,37,50,40,30,N,neb,الذي على طرف يد الفارس اليمنى وهو ممسك رأس الغول,DoubleCluster,the star at the tip of the right hand of the knight
Perseus,Perseus,حامل رأس الغول,hamil ras al-ghul / barshawush,英仙座,2,α,Mirfak,46,0,30,0,N,2,المضيء الذي في شقّه الأيمن,Mirfak,the bright star in the right side
Perseus,Perseus,حامل رأس الغول,hamil ras al-ghul / barshawush,英仙座,3,γ,,43,50,34,30,N,3,الذي على كتفه اليمنى,-,the star in the right shoulder
Perseus,Perseus,حامل رأس الغول,hamil ras al-ghul / barshawush,英仙座,4,δ,,48,50,27,20,N,4,المؤخر من الثلثة التي في شقّه الأيمن,-,the posterior star of three in the right side
Perseus,Perseus,حامل رأس الغول,hamil ras al-ghul / barshawush,英仙座,5,,,48,0,21,50,N,4,الذي على فخذه اليسرى,-,the star in the left thigh
Perseus,Perseus,حامل رأس الغول,hamil ras al-ghul / barshawush,英仙座,6,β,Algol,40,50,23,0,N,2,المنير من التي في رأس الغول,Algol,the bright star of those in the head of the demon
Perseus,Perseus,حامل رأس الغول,hamil ras al-ghul / barshawush,英仙座,7,ο,,45,20,12,0,N,3,الكوكب الذي على عرقوبه الأيسر,-,the star in the left ankle
Perseus,Perseus,حامل رأس الغول,hamil ras al-ghul / barshawush,英仙座,8,ζ,,47,30,11,0,N,3,الذي يتلو هذا وهو على قدمه اليسرى,-,"the one following it, in the left foot"
Auriga,Auriga,ممسك الأعنة,mumsik al-ainnah,御夫座,1,δ,,73,40,30,0,N,4,الكوكب الذي على رأس ذي الأعنّة,-,the star in the head of the charioteer
Auriga,Auriga,ممسك الأعنة,mumsik al-ainnah,御夫座,2,α,Capella,66,10,22,30,N,1,الكوكب الذي في كتفه اليسرى (العَيُّوق),Capella,"the star in the left shoulder, called the goat"
Auriga,Auriga,ممسك الأعنة,mumsik al-ainnah,御夫座,3,β,Menkalinan,74,0,20,0,N,2,الذي على كتفه اليمنى,Menkalinan,the star in the right shoulder
Auriga,Auriga,ممسك الأعنة,mumsik al-ainnah,御夫座,4,ι,,61,0,10,10,N,3,الكوكب الذي على عرقوبه الأيسر,-,the star in the left ankle bone
Auriga,Auriga,ممسك الأعنة,mumsik al-ainnah,御夫座,5,γ,,66,50,5,0,N,3,الذي على عرقوبه الأيمن,-,the star in the right ankle bone
Ophiuchus,Ophiuchus,الحواء,al-hawwa,蛇夫座,1,α,Rasalhague,246,0,36,0,N,3,الكوكب الذي على رأس الحوّاء وهو يمسك الحية,Rasalhague,the star in the head of the serpent-holder
Ophiuchus,Ophiuchus,الحواء,al-hawwa,蛇夫座,2,β,,249,10,27,15,N,4,المقدم من الاثنين اللذين في كتفه اليمنى,-,the preceding star of two in the right shoulder
Ophiuchus,Ophiuchus,الحواء,al-hawwa,蛇夫座,3,δ,,226,10,17,0,N,3,الأول من الاثنين اللذين على طرف يده اليسرى,-,the first of two at the end of the left hand
Ophiuchus,Ophiuchus,الحواء,al-hawwa,蛇夫座,4,ε,,227,10,16,30,N,3,الكوكب الذي يلو هذا في طرف اليد,-,the one following it at the end of the hand
Ophiuchus,Ophiuchus,الحواء,al-hawwa,蛇夫座,5,η,,242,20,2,15,N,3,الكوكب الذي على ركبته اليمنى,-,the star in the right knee
Ophiuchus,Ophiuchus,الحواء,al-hawwa,蛇夫座,6,,,244,50,2,15,N,3,الكوكب الذي على ساقه اليمنى,40Ophiuchi,the star in the right leg
Ophiuchus,Ophiuchus,الحواء,al-hawwa,蛇夫座,7,,,245,30,1,30,N,4,الثاني من الاربعة التي على رجله,-,the second of four that are in the foot
Ophiuchus,Ophiuchus,الحواء,al-hawwa,蛇夫座,8,ζ,,233,20,11,50,N,3,الشمالي الذي في خط الثلثة الشمالية,-,the northern star in the line of three northern stars
Serpens,Serpens,الحية,al-hayyah,巨蛇座,1,γ,,215,30,36,0,N,3,الكوكب الذي في صدغ الحية التي يمسكها الحوّاء,-,the star in the temple of the serpent which the serpent-holder holds
Serpens,Serpens,الحية,al-hayyah,巨蛇座,2,ρ,,212,50,40,0,N,4,المضاف الذي في منخري الحية,-,adjacent to the nostrils of the serpent
Serpens,Serpens,الحية,al-hayyah,巨蛇座,3,β,,213,10,34,15,N,3,الذي عند مخرج عنق الحية,-,
Serpens,Serpens,الحية,al-hayyah,巨蛇座,4,ε,,212,50,20,15,N,3,الذي بعد الخرزة المتقدمة التي في عنق الحية,-,
Serpens,Serpens,الحية,al-hayyah,巨蛇座,5,,,215,30,25,20,N,3,المتوسط من الثلثة التي بعدها,-,
Serpens,Serpens,الحية,al-hayyah,巨蛇座,6,,,217,30,24,0,N,3,الكوكب الجنوبي منها,-,
Serpens,Serpens,الحية,al-hayyah,巨蛇座,7,ν,,244,50,10,30,N,4,الكوكب الجنوبي الذي وراء فخذ الحوّاء,-,
Serpens,Serpens,الحية,al-hayyah,巨蛇座,8,,,259,50,21,15,N,4,الذي يلي الأول من الثلثة التي على ذنب الحية,-,
Serpens,Serpens,الحية,al-hayyah,巨蛇座,9,θ,,269,30,27,0,N,4,الذي على طرف ذنب الحية,-,
Sagitta,Sagitta,السهم,as-sahm,天箭座,1,γ,,291,20,39,20,N,4,الكوكب الفريد الذي على سهمه,-,The solitary star in the arrow
Sagitta,Sagitta,السهم,as-sahm,天箭座,2,β,,284,30,38,40,N,5,الكوكب الذي على آخر السهم,-,The star which is at the tip of the arrow
Aquila,Aquila,النسر الطائر,an-nasr at-tair,天鹰座,1,γ,Tarazed,284,20,31,30,N,3,المقدم من الاثنين اللذين في كتفيه,Tarazed,The preceding one of two stars in the left shoulder
Aquila,Aquila,النسر الطائر,an-nasr at-tair,天鹰座,2,β,,286,0,27,10,N,3,الذي على عنقه,-,"The one that follows the star in the middle of the head, in the neck"
Aquila,Aquila,النسر الطائر,an-nasr at-tair,天鹰座,3,α,Altair,285,0,29,10,N,2,النَّسْر الطائر وهو المنيّر الذي بين كتفيه,Altair,The bright flying eagle between the shoulders
Aquila,Aquila,النسر الطائر,an-nasr at-tair,天鹰座,4,,,285,50,30,0,N,3,الكوكب الشمالي القريب من النسر الطائر,-,The northern star near the flying eagle
Aquila,Aquila,النسر الطائر,an-nasr at-tair,天鹰座,5,ζ,,273,20,36,20,N,3,الذي تحت النسر في زِقّ المجرّة,-,"The star below the flying eagle, far from this, on the side of the Milky Way"
Delphinus,Delphinus,الدلفين,ad-dulfin,海豚座,1,ε,,298,50,29,10,N,3,المقدم من الثلثة التي على ذنب الدلفين,-,The preceding one of three stars in the tail
Delphinus,Delphinus,الدلفين,ad-dulfin,海豚座,2,β,,299,40,32,0,N,3,الجنوبي المقدم من الضلع الأول,-,The southern preceding star on the first side
Delphinus,Delphinus,الدلفين,ad-dulfin,海豚座,3,δ,,302,30,32,0,N,3,المضاف الجنوبي في خط سند المنقار,-,The adjacent southern star in the line of the beak's fulcrum
Delphinus,Delphinus,الدلفين,ad-dulfin,海豚座,4,γ,,304,40,33,10,N,3,الشمالي من الضلع المؤخر,-,The northern star on the posterior side
Delphinus,Delphinus,الدلفين,ad-dulfin,海豚座,5,α,,301,20,33,50,N,3,الشمالي من الضلع الأول,-,The northern star on the first side
Equuleus,Equuleus,قطعة الفرس,qitat al-faras,小马座,1,α,,307,30,20,30,N,obsc,الأول المقدم من اللذين في رأس قطعة الفرس,-,The first anterior of two stars in the head of the little horse
Equuleus,Equuleus,قطعة الفرس,qitat al-faras,小马座,2,β,,309,10,20,40,N,obsc,الثاني وهو المؤخر منهما,-,"The second, the posterior of these two"
Equuleus,Equuleus,قطعة الفرس,qitat al-faras,小马座,3,γ,,307,30,25,30,N,obsc,المقدم من الاثنين اللذين في فمه,-,The preceding one of two stars in the mouth
Equuleus,Equuleus,قطعة الفرس,qitat al-faras,小马座,4,δ,,308,50,25,0,N,obsc,الكوكب المؤخر منهما,-,The posterior one of these
Pegasus,Pegasus,الفرس الأعظم,al-faras al-azam,飞马座,1,alphaAnd,Alpheratz,358,30,26,0,N,2,المتوسط من التي في رأس اندروميدس وهي المرأة التي ليس لها بعل,Alpheratz,"The middle one of those in the head of Andromeda, the woman without a husband"
