member_path,bytes,sha256,role,privacy_result,supersession_state,methodology_concept_doi,replication_concept_doi
controls/LOGBOOK_PRIVACY_CLEAN.md,5113,21C44B1CB9A53ABABD07AD793A689D93AA3E3C679A81126D8874076F0ED5008A,privacy-clean producer logbook,PASS privacy-clean public projection,current SGA producer decision surface,10.5281/zenodo.21124403,10.5281/zenodo.20461174
controls/DECISION_LOG.csv,3923,6442BD42915A035EDE93DCCDF17C178038AE54FF0BE14FCA4A81C916E9CCBBB1,producer decision ledger,PASS privacy-clean public projection,current SGA producer decision surface,10.5281/zenodo.21124403,10.5281/zenodo.20461174
controls/REVISION_HISTORY.csv,2151,6BCFE1B93B394A94E447E6420CC08FA7C3CD44225604894CAEF902EDEB779425,producer revision/reversal history,PASS privacy-clean public projection,current SGA producer decision surface,10.5281/zenodo.21124403,10.5281/zenodo.20461174
controls/PROJECT_LOGBOOK_METHODOLOGY_REPLICATION_DOI_REQUIREMENT_20260802.md,2296,BFA1E3A3EDA94E8C3425BAE50C842610A47D508FB260BF761BA3206883012679,controlling dual-DOI provenance requirement,PASS exact mandated public control,authoritative exact public control; explicit identifier exception,10.5281/zenodo.21124403,10.5281/zenodo.20461174
archive/00_ENGLISH_GERMANIC_DECISION_LOG_1_PUBLIC_PRIVACY_CLEAN_v2.jsonl,3151969,4D789AD4A9E588CFCDDA4CFD39EB7810BED7EC39E37BD03D22D8F49F7AF5B641,privacy-clean append-only English/Germanic decision log,PASS privacy-clean public projection,current public projection; raw predecessor retained as adverse history,10.5281/zenodo.21124403,10.5281/zenodo.20461174
archive/00_ENGLISH_GERMANIC_DECISION_LOG_2_PRIVACY_TRANSFORMATIONS_v2_20260803.csv,441869,B4B34D51216E64EEF1ED9CEB2CAFCEA511DB78BC6503CB92A57DE5B54B3AF582,event-level privacy transformation ledger,PASS privacy-clean public projection,current public projection control,10.5281/zenodo.21124403,10.5281/zenodo.20461174
archive/ENGLISH_GERMANIC_DECISION_LOG_PRIVACY_VALIDATION_v2_20260803.json,1552,6B3A795FBC35B956E7D08C3F2CBBBDEFD34239BEF87689D6F031DB00EEEF4385,privacy projection validation,PASS privacy-clean public projection,current public projection control,10.5281/zenodo.21124403,10.5281/zenodo.20461174
archive/ENGLISH_GERMANIC_DECISION_LOG_PRIVACY_REMEDIATION_v2_20260803.md,2436,498203133AE9E909BD6F74B4996604208A200AB0D823D243A8376017B33797F1,human-readable privacy remediation and adverse-history note,PASS privacy-clean public projection,current public projection control,10.5281/zenodo.21124403,10.5281/zenodo.20461174
archive/ARCHIVE_DECISION_RECORD_SGA_GITHUB_PR257_MERGED_20260803_2025.json,3548,554AE87A8353B319721BAF797367EC40B605DD3B4DC3FC712CB5DDFFA59949EC,archive decision/error/reversal record,PASS privacy-clean public projection,bound in privacy-clean append-only log,10.5281/zenodo.21124403,10.5281/zenodo.20461174
archive/ARCHIVE_DECISION_RECORD_SGA_PRESENTATION_CLEAN_DUAL_DOI_PUBLISHED_20260803_2025.json,5884,42B6EDF07C42521B5EFF7F88915649A3425B2D7D5F095773E61935741B730112,archive decision/error/reversal record,PASS privacy-clean public projection,bound in privacy-clean append-only log,10.5281/zenodo.21124403,10.5281/zenodo.20461174
archive/ARCHIVE_DECISION_RECORD_SGA_PRIVACY_REMEDIATION_PUBLISHED_20260803_2025.json,6525,EAFE4BCC4A4DE30786FC45267DEBDD0D671B0818F8D76E7BBC99C024425ED706,archive decision/error/reversal record,PASS privacy-clean public projection,bound in privacy-clean append-only log,10.5281/zenodo.21124403,10.5281/zenodo.20461174
archive/ARCHIVE_DECISION_RECORD_ENGLISH_GERMANIC_LOG_PRIVACY_REMEDIATION_20260803.json,6888,53EF234B509498F5A2035E617DE203331CAA51C5668D20F1A9C180662A91C239,archive decision/error/reversal record,PASS privacy-clean public projection,bound in privacy-clean append-only log,10.5281/zenodo.21124403,10.5281/zenodo.20461174
archive/ARCHIVE_DECISION_RECORD_ENGLISH_GERMANIC_LOG_PRIVACY_COUNT_CORRECTION_20260803.json,5028,CE3835AC819402FC68BB65E4B1260FBD8E92FBC2A34618CB75B790367021020D,archive decision/error/reversal record,PASS privacy-clean public projection,bound in privacy-clean append-only log,10.5281/zenodo.21124403,10.5281/zenodo.20461174
archive/ARCHIVE_DECISION_RECORD_ENGLISH_GERMANIC_LOG_PRIVACY_RESIDUAL_TASK_ID_REMEDIATION_20260803.json,7434,E7600C038F72098974A879EA0F93BEFA9BD35ECE007755F77DBEEF0EE74E6631,archive decision/error/reversal record,PASS privacy-clean public projection,bound in privacy-clean append-only log,10.5281/zenodo.21124403,10.5281/zenodo.20461174
