residual_id,candidate_id,source_relpath,source_line,source_column,visible_text,normalized_locator,classification,target_label,target_id,reason,context,context_sha256,source_sha256_at_adjudication,status
sga1.residual.sha256.ba1e83aa8d5412d7f9608f084682413bbcc277220e575f809a5c9d03a068520d,sga1.candidate.sha256.ba1e83aa8d5412d7f9608f084682413bbcc277220e575f809a5c9d03a068520d,SGA1_English_source_sync_workpass.tex,197,33,Exposé~VII,VII,unavailable_expose_reference,,,Exposé VII does not exist in SGA 1,arXiv \texttt{math/0206203v2}.  Exposé~VII does not exist in the source; the,F6579AEAA33443E864559D496443D6A9D56B399A706E4F97C8D52DFD471AD438,06114099C877EC706E65485574F7BA1E1FDE6C64DDD83BAFFF6346C2C9DF1B99,reviewed_positive_residual
sga1.residual.sha256.766024d79dce7b635c7c19150ce7ec938425bf6340c125effe3559a6358900ce,sga1.candidate.sha256.766024d79dce7b635c7c19150ce7ec938425bf6340c125effe3559a6358900ce,SGA1_English_source_sync_workpass.tex,243,49,IV~16.3,IV.16.3,external_work_reference,,,nearby work identifier scopes locator outside SGA 1,"trivial, although rather long\footnote{Cf.\ EGA IV~16.3.}; it would be",83305D1D6BD1C17E51CC768C41457E1C007AEDE6F60C8F98FB7A4A58E8DCFEEE,06114099C877EC706E65485574F7BA1E1FDE6C64DDD83BAFFF6346C2C9DF1B99,reviewed_positive_residual
sga1.residual.sha256.63969c0b8cc8116c7bf161cb508028352386d95c7094ff642ff986fd4ae33287,sga1.candidate.sha256.63969c0b8cc8116c7bf161cb508028352386d95c7094ff642ff986fd4ae33287,SGA1_English_source_sync_workpass.tex,277,30,II~6.2.3,II.6.2.3,external_work_reference,,,nearby work identifier scopes locator outside SGA 1,every point.\footnote{In EGA~II~6.2.3 one assumes in addition that \(f\) is,1546D9D2D23287E0417AE58B4DAF45C439146EB4C3393400055751CE9F9508A4,06114099C877EC706E65485574F7BA1E1FDE6C64DDD83BAFFF6346C2C9DF1B99,reviewed_positive_residual
sga1.residual.sha256.bf33b687cbeb2f4c43cc05e9496d2f0fc0c9fa163f32fdca6aab2b824d30978e,sga1.candidate.sha256.bf33b687cbeb2f4c43cc05e9496d2f0fc0c9fa163f32fdca6aab2b824d30978e,drafts/SGA1_III_1_OPENING_THROUGH_1_3_English.texfrag,34,35,19.3.1,III.19.3.1,external_work_reference,,,nearby work identifier scopes locator outside SGA 1,"EGA~\(\mathrm{0}_{\mathrm{IV}}\), 19.3.1.}",F12934F750F741C27CB24EFABAD7C1216410B713BE884A20084957BB5E033D8E,AE81FB748406FC673680ED1704DA8206E5A2D0AE069CDDA1DFCA82BEC73313D8,reviewed_positive_residual
sga1.residual.sha256.db8e971e51fbd96ea68946bb255067a908b3d1ad5ddac542f2deecfad8c51ef6,sga1.candidate.sha256.db8e971e51fbd96ea68946bb255067a908b3d1ad5ddac542f2deecfad8c51ef6,drafts/SGA1_III_1_OPENING_THROUGH_1_3_English.texfrag,67,47,"IV, 18.6.1",IV.18.6.1,external_work_reference,,,nearby work identifier scopes locator outside SGA 1,"\lq\lq essentially étale\rq\rq{}; compare EGA~IV, 18.6.1.}",696E60D4A75E2A15E1E4EF75E2E261F62152ECC6C914D387D2F134619A662C2A,AE81FB748406FC673680ED1704DA8206E5A2D0AE069CDDA1DFCA82BEC73313D8,reviewed_positive_residual
sga1.residual.sha256.444d901bce7607db396d677bcb40cb2bd9f209e1eb2cf63ba56073b5cad33b27,sga1.candidate.sha256.444d901bce7607db396d677bcb40cb2bd9f209e1eb2cf63ba56073b5cad33b27,drafts/SGA1_III_2_OPENING_THROUGH_PROOF_I_TO_III_English.texfrag,38,58,19.3,III.19.3,external_work_reference,,,nearby work identifier scopes locator outside SGA 1,"theorems,\footnote{See EGA~\(\mathrm{0}_{\mathrm{IV}}\), 19.3 and",5ABB78CECC8CC9795185DC1EF947D031D35CFA6440ACFE5F3115444C580437A6,007C7C3F81878CA0851685671B24593EBDB69A57CB0E2CBEA4BB89201AEA7C21,reviewed_positive_residual
sga1.residual.sha256.42339ea75e3615ee7f5ed454f4cf04e3a66381897f0befd0872cf381107bb2f7,sga1.candidate.sha256.42339ea75e3615ee7f5ed454f4cf04e3a66381897f0befd0872cf381107bb2f7,drafts/SGA1_III_2_OPENING_THROUGH_PROOF_I_TO_III_English.texfrag,39,1,19.8,III.19.8,external_work_reference,,,nearby work identifier scopes locator outside SGA 1,19.8.} property \textup{(ii)} or \textup{(iii)} becomes the definition,5C156204D32CD164B8FED724312CD9158772E91BFC97EBEC87313BF2037D4CB1,007C7C3F81878CA0851685671B24593EBDB69A57CB0E2CBEA4BB89201AEA7C21,reviewed_positive_residual
sga1.residual.sha256.a0bd324ee0304ff0fd476097f7d32f84519c39ce06f692b42bfcc5d84176c403,sga1.candidate.sha256.a0bd324ee0304ff0fd476097f7d32f84519c39ce06f692b42bfcc5d84176c403,drafts/SGA1_III_5_3_THROUGH_END_English.texfrag,169,41,"III, 5.4.1",III.5.4.1,external_work_reference,,,nearby work identifier scopes locator outside SGA 1,"(see Bourbaki Seminar, no.~182, and EGA~III, 5.4.1) gives a bijection",D374A1BB37819888A2809380D7758E985D30F02C38889E4385CA00146E069ECC,6D807915F3E17298842B3342A84BB8878630CF109B0323A48033D0FDF047AF77,reviewed_positive_residual
sga1.residual.sha256.5586ebcfedbde0f2bc9026da11634be0cd9755c83314ca31f2fbf48324a49bd0,sga1.candidate.sha256.5586ebcfedbde0f2bc9026da11634be0cd9755c83314ca31f2fbf48324a49bd0,drafts/SGA1_III_7_English.texfrag,99,29,"III, 4.7.1",III.4.7.1,external_work_reference,,,nearby work identifier scopes locator outside SGA 1,"Bourbaki Seminar and in EGA~III, 4.7.1, is the following. Suppose that",6B584448ABBA120A0ACFF8338C9A182B82D4B62F19CF41980E78C4AFA229BAE1,99C803A82918720C98B866299E05F279C14A0A43770E1E592A0E5D7707DCB50F,reviewed_positive_residual
sga1.residual.sha256.df56dc459defa6f262df500c37017626744c5db01d79756876fbcb68b3da004e,sga1.candidate.sha256.df56dc459defa6f262df500c37017626744c5db01d79756876fbcb68b3da004e,drafts/SGA1_II_1_English.texfrag,64,52,"IV, 18.6.1",IV.18.6.1,external_work_reference,,,nearby work identifier scopes locator outside SGA 1,"\footnote{It is preferable in this case, as in EGA~IV, 18.6.1, to say that",DFAB462D407F6FFA8E76E2EF3D0356BB0BBD0DA5B8225E9B052568FA6ACF6448,010BF42AB03E90FA6D36EBA959276E2F829E38A64B5CA4F533427645034E4E8C,reviewed_positive_residual
