"payload_id","file_name","role","include","status","bytes","sha256","scope","license_caveat","supersedes","record_revision"
"SGA2-VIII-III-IV-PUB-001","SGA2_Expose_VIII_Third_Step_iii_Equivalent_iv_English_SourceAligned.tex","editable_target_tex","yes","independently_reviewed_public_candidate","2218","6C5BBC56388F226DFE46E39593AFD1E54BD099D76EDB4499EDB46E506F48CEA7","SGA2 Expose VIII corrected French lines2807-2819; cursor2820","bounded checkpoint; underlying French rights not conveyed; not a complete expose or volume","none_known_for_this_bounded_unit","1"
"SGA2-VIII-III-IV-PUB-002","SGA2_Expose_VIII_Third_Step_iii_Equivalent_iv_English_SourceAligned.pdf","bounded_target_pdf","yes","independently_reviewed_public_candidate","233031","4AE4E00EFBF7BFBEA6AAB13DFD682514CCFD1347F2E234CBFE9EA17C51EB389D","SGA2 Expose VIII corrected French lines2807-2819; cursor2820","bounded checkpoint; underlying French rights not conveyed; not a complete expose or volume","none_known_for_this_bounded_unit","1"
"SGA2-VIII-III-IV-PUB-003","BUILD_PASS1_PUBLIC_SANITIZED.log","sanitized_build_log_pass1","yes","independently_reviewed_public_candidate","23786","99DCD6C6B176F1070F8F719413B399228E4C5179D22C30465627AC988FBE4DF9","SGA2 Expose VIII corrected French lines2807-2819; cursor2820","bounded checkpoint; underlying French rights not conveyed; not a complete expose or volume","none_known_for_this_bounded_unit","1"
"SGA2-VIII-III-IV-PUB-004","BUILD_PASS2_PUBLIC_SANITIZED.log","sanitized_build_log_pass2","yes","independently_reviewed_public_candidate","23786","99DCD6C6B176F1070F8F719413B399228E4C5179D22C30465627AC988FBE4DF9","SGA2 Expose VIII corrected French lines2807-2819; cursor2820","bounded checkpoint; underlying French rights not conveyed; not a complete expose or volume","none_known_for_this_bounded_unit","1"
"SGA2-VIII-III-IV-PUB-005","PDFINFO.txt","pdf_metadata_evidence","yes","independently_reviewed_public_candidate","684","7BF70D6A0EE751F5282D4A0FAF797E1FCA678391485A72F2410EEE79EBFEE168","SGA2 Expose VIII corrected French lines2807-2819; cursor2820","bounded checkpoint; underlying French rights not conveyed; not a complete expose or volume","none_known_for_this_bounded_unit","1"
"SGA2-VIII-III-IV-PUB-006","PDFFONTS.txt","pdf_font_evidence","yes","independently_reviewed_public_candidate","1520","8E8B39DF4F238F5A00A74A0D7DD4A58AAFDBC3D194C516A12C466E3AEA8FC5D4","SGA2 Expose VIII corrected French lines2807-2819; cursor2820","bounded checkpoint; underlying French rights not conveyed; not a complete expose or volume","none_known_for_this_bounded_unit","1"
"SGA2-VIII-III-IV-PUB-007","TARGET_TEXT_PUBLIC_QA.txt","searchable_text_qa_evidence","yes","independently_reviewed_public_candidate","1658","0C7D084E98F7D10117572FEE789B02FBB02A50241552C41CC3769E998B5E5BA6","SGA2 Expose VIII corrected French lines2807-2819; cursor2820","bounded checkpoint; underlying French rights not conveyed; not a complete expose or volume","none_known_for_this_bounded_unit","1"
"SGA2-VIII-III-IV-PUB-008","target-page-1.png","rendered_target_visual_qa","yes","independently_reviewed_public_candidate","278962","67269B362A03C8B92B2C219539DA1EC5AFCB76A2DD7C6080977B2C38CDC57645","SGA2 Expose VIII corrected French lines2807-2819; cursor2820","bounded checkpoint; underlying French rights not conveyed; not a complete expose or volume","none_known_for_this_bounded_unit","1"
"SGA2-VIII-III-IV-PUB-009","AUTHORITY_ARTIFACT_HASHES.csv","authority_hash_ledger","yes","independently_reviewed_public_candidate","1269","3668BC2C502411A103E861BB4ED688543214E31BB600A75B5BA38A503B51E02F","SGA2 Expose VIII corrected French lines2807-2819; cursor2820","bounded checkpoint; underlying French rights not conveyed; not a complete expose or volume","none_known_for_this_bounded_unit","1"
"SGA2-VIII-III-IV-PUB-010","SOURCE_ALIGNMENT_COVERAGE.csv","source_alignment_ledger","yes","independently_reviewed_public_candidate","4966","CCD6034AD89BBFE10D7034356361CBF37E049D203BD0831EF445B36289660BC6","SGA2 Expose VIII corrected French lines2807-2819; cursor2820","bounded checkpoint; underlying French rights not conveyed; not a complete expose or volume","none_known_for_this_bounded_unit","1"
"SGA2-VIII-III-IV-PUB-011","FORMULA_SYMBOL_NOTE_STRUCTURE_COMPARISON.csv","formula_symbol_note_structure_ledger","yes","independently_reviewed_public_candidate","5880","EBB06C521380F0D58C8AB009537A6D0BA03050A3CAEBDE91497984BD046F5E99","SGA2 Expose VIII corrected French lines2807-2819; cursor2820","bounded checkpoint; underlying French rights not conveyed; not a complete expose or volume","none_known_for_this_bounded_unit","1"
"SGA2-VIII-III-IV-PUB-012","TERMINOLOGY_NORMALIZATION_ADVERSE_CHOICES.csv","terminology_and_adverse_choice_ledger","yes","independently_reviewed_public_candidate","5177","8C1E7515E8001E7FC77BB7F2EC5E8095C5D186F8733B6E88170C11D51ABBD975","SGA2 Expose VIII corrected French lines2807-2819; cursor2820","bounded checkpoint; underlying French rights not conveyed; not a complete expose or volume","none_known_for_this_bounded_unit","1"
