"payload_id","file_name","role","include","status","bytes","sha256","scope","license_caveat","supersedes","record_revision"
"SGA2-VIII-IV-II-N1-PUB-001","SGA2_Expose_VIII_Fourth_Step_iv_Implies_ii_Induction_n1_English_SourceAligned.tex","editable_target_tex","yes","independently_reviewed_public_candidate","3329","C3EE7A146335E9C685D5B0E1AB0264580E6BE61EDAC1A085065625CEE55811EB","SGA2 Expose VIII corrected French lines2828-2854; blank2855 excluded; cursor2856","bounded checkpoint; underlying French rights not conveyed; not a complete expose or volume","none_known_for_this_bounded_unit","1"
"SGA2-VIII-IV-II-N1-PUB-002","SGA2_Expose_VIII_Fourth_Step_iv_Implies_ii_Induction_n1_English_SourceAligned.pdf","bounded_target_pdf","yes","independently_reviewed_public_candidate","237675","74E7182A077EF8B8BE3B374BA9A02740818FED947665E40442E43D035B5A9543","SGA2 Expose VIII corrected French lines2828-2854; blank2855 excluded; cursor2856","bounded checkpoint; underlying French rights not conveyed; not a complete expose or volume","none_known_for_this_bounded_unit","1"
"SGA2-VIII-IV-II-N1-PUB-003","BUILD_PASS1_PUBLIC_SANITIZED.log","sanitized_build_log_pass1","yes","independently_reviewed_public_candidate","7223","18DCB5DCBB8D1B747B09397A1104F6A17E9E366F6A2649807A8093F6DF8E8DB7","SGA2 Expose VIII corrected French lines2828-2854; blank2855 excluded; cursor2856","bounded checkpoint; underlying French rights not conveyed; not a complete expose or volume","none_known_for_this_bounded_unit","1"
"SGA2-VIII-IV-II-N1-PUB-004","BUILD_PASS2_PUBLIC_SANITIZED.log","sanitized_build_log_pass2","yes","independently_reviewed_public_candidate","7223","18DCB5DCBB8D1B747B09397A1104F6A17E9E366F6A2649807A8093F6DF8E8DB7","SGA2 Expose VIII corrected French lines2828-2854; blank2855 excluded; cursor2856","bounded checkpoint; underlying French rights not conveyed; not a complete expose or volume","none_known_for_this_bounded_unit","1"
"SGA2-VIII-IV-II-N1-PUB-005","PDFINFO.txt","pdf_metadata_evidence","yes","independently_reviewed_public_candidate","704","307435D45AD22339BA0545A6D40D9A92B10F9E0733BFC6A0EF4A816159CEA488","SGA2 Expose VIII corrected French lines2828-2854; blank2855 excluded; cursor2856","bounded checkpoint; underlying French rights not conveyed; not a complete expose or volume","none_known_for_this_bounded_unit","1"
"SGA2-VIII-IV-II-N1-PUB-006","PDFFONTS.txt","pdf_font_evidence","yes","independently_reviewed_public_candidate","1710","89E6A824C474606EAA15A211145515F7907A7E21AD4F27C66F9C8CB22BBDFF17","SGA2 Expose VIII corrected French lines2828-2854; blank2855 excluded; cursor2856","bounded checkpoint; underlying French rights not conveyed; not a complete expose or volume","none_known_for_this_bounded_unit","1"
"SGA2-VIII-IV-II-N1-PUB-007","TARGET_TEXT_PUBLIC_QA.txt","searchable_text_qa_evidence","yes","independently_reviewed_public_candidate","3152","198C19CC484BFF826015E3182C6A7C45B6B4EEA39554C10389AED2D81C42525D","SGA2 Expose VIII corrected French lines2828-2854; blank2855 excluded; cursor2856","bounded checkpoint; underlying French rights not conveyed; not a complete expose or volume","none_known_for_this_bounded_unit","1"
"SGA2-VIII-IV-II-N1-PUB-008","target-page-1.png","rendered_target_visual_qa","yes","independently_reviewed_public_candidate","413329","65C14CCD2B73E4021496A6B1256AC28893A14C86F1DDFF6DD83FE10377E2EEF9","SGA2 Expose VIII corrected French lines2828-2854; blank2855 excluded; cursor2856","bounded checkpoint; underlying French rights not conveyed; not a complete expose or volume","none_known_for_this_bounded_unit","1"
"SGA2-VIII-IV-II-N1-PUB-009","AUTHORITY_ARTIFACT_HASHES.csv","authority_hash_ledger","yes","independently_reviewed_public_candidate","1285","D030A6E52C3B83987C71506CA5EDEDCB45AF4575F334CD6C4A526946C64BB48E","SGA2 Expose VIII corrected French lines2828-2854; blank2855 excluded; cursor2856","bounded checkpoint; underlying French rights not conveyed; not a complete expose or volume","none_known_for_this_bounded_unit","1"
"SGA2-VIII-IV-II-N1-PUB-010","SOURCE_ALIGNMENT_COVERAGE.csv","source_alignment_ledger","yes","independently_reviewed_public_candidate","8097","B8B2E459545C6D0A54B9450A4EC355BEA7A5925DE0FD09DD404A4550F5F23DA4","SGA2 Expose VIII corrected French lines2828-2854; blank2855 excluded; cursor2856","bounded checkpoint; underlying French rights not conveyed; not a complete expose or volume","none_known_for_this_bounded_unit","1"
