"payload_id","relative_path","bytes","sha256","role","authority_basis","scope","continuation_cursor","public_caveat_code","supersedes"
"SGA2-VIII-IV-II-NGT1-PUBLIC-001","ARTIFACT_TOOL_MANIFEST_QA.md","1252","DC38A646BCF15C40737DB01122BD4DF95902CF51289E73C82292F14244307EAB","review_documentation","corrected_French_TeX_math0511279v1_same-edition_PDF_locator_only","French2856-2872_print95-96_physical83-84_running75-76","French_line2874","bounded_checkpoint_not_complete_volume_rights_caveat_line2865_F_vs_Fpp_open_calligraphic_F_normalization","none_new_bounded_checkpoint"
"SGA2-VIII-IV-II-NGT1-PUBLIC-002","ARTIFACT_TOOL_RECEIPT.ndjson","3132","F8099439628A1AD2EEA08526DE7CD4EA1A18A3E737C2BAE1DCE8544C050877FB","machine_readable_evidence","corrected_French_TeX_math0511279v1_same-edition_PDF_locator_only","French2856-2872_print95-96_physical83-84_running75-76","French_line2874","bounded_checkpoint_not_complete_volume_rights_caveat_line2865_F_vs_Fpp_open_calligraphic_F_normalization","none_new_bounded_checkpoint"
"SGA2-VIII-IV-II-NGT1-PUBLIC-003","AUTHORITY_ARTIFACT_HASHES.csv","1635","FCA2C46732D38DFE89DE586DFB730F52EF89E17D1E0C7C7325F1D8D526006274","machine_readable_evidence","corrected_French_TeX_math0511279v1_same-edition_PDF_locator_only","French2856-2872_print95-96_physical83-84_running75-76","French_line2874","bounded_checkpoint_not_complete_volume_rights_caveat_line2865_F_vs_Fpp_open_calligraphic_F_normalization","none_new_bounded_checkpoint"
"SGA2-VIII-IV-II-NGT1-PUBLIC-004","AUTHORITY_ARTIFACT_HASHES_ID_QA.png","78817","53F60EC22FB9EA9C431F5D9DD4259649C47A175E8A521033004803DBAB0C9190","machine_ledger_visual_QA","corrected_French_TeX_math0511279v1_same-edition_PDF_locator_only","French2856-2872_print95-96_physical83-84_running75-76","French_line2874","bounded_checkpoint_not_complete_volume_rights_caveat_line2865_F_vs_Fpp_open_calligraphic_F_normalization","none_new_bounded_checkpoint"
"SGA2-VIII-IV-II-NGT1-PUBLIC-005","BUILD_PASS1_PUBLIC_SANITIZED.log","6592","80846B96EA8EEEC47233B32D2C154DB11084D064ED7D21FDB8C4F9E64DAF5F41","public_safe_build_evidence","corrected_French_TeX_math0511279v1_same-edition_PDF_locator_only","French2856-2872_print95-96_physical83-84_running75-76","French_line2874","bounded_checkpoint_not_complete_volume_rights_caveat_line2865_F_vs_Fpp_open_calligraphic_F_normalization","none_new_bounded_checkpoint"
"SGA2-VIII-IV-II-NGT1-PUBLIC-006","BUILD_PASS2_PUBLIC_SANITIZED.log","6431","81C1C152A737D8E541E98DE8D2B87C6DF9018CF8310DC2831915374FB5E89BA7","public_safe_build_evidence","corrected_French_TeX_math0511279v1_same-edition_PDF_locator_only","French2856-2872_print95-96_physical83-84_running75-76","French_line2874","bounded_checkpoint_not_complete_volume_rights_caveat_line2865_F_vs_Fpp_open_calligraphic_F_normalization","none_new_bounded_checkpoint"
"SGA2-VIII-IV-II-NGT1-PUBLIC-007","BUILD_VALIDATION.md","1576","9E321F55C82C90AAB95A475F84A5C7E1E35E4A7877AC8AE91F34E8FE0B8FC916","review_documentation","corrected_French_TeX_math0511279v1_same-edition_PDF_locator_only","French2856-2872_print95-96_physical83-84_running75-76","French_line2874","bounded_checkpoint_not_complete_volume_rights_caveat_line2865_F_vs_Fpp_open_calligraphic_F_normalization","none_new_bounded_checkpoint"
"SGA2-VIII-IV-II-NGT1-PUBLIC-008","DIFFICULTY_REVISION_LEDGER.jsonl","8199","7EA3FB36E2697EA23EACA5E9262C4B6904B369DF5B87E962F15B6537D6C20767","machine_readable_evidence","corrected_French_TeX_math0511279v1_same-edition_PDF_locator_only","French2856-2872_print95-96_physical83-84_running75-76","French_line2874","bounded_checkpoint_not_complete_volume_rights_caveat_line2865_F_vs_Fpp_open_calligraphic_F_normalization","none_new_bounded_checkpoint"
"SGA2-VIII-IV-II-NGT1-PUBLIC-009","DRAFT_SOURCE_AUDIT.md","2842","87C4C54909DDAED4E90CB02AB8C5EF4BF06BB324998A0094105740E251F76A84","review_documentation","corrected_French_TeX_math0511279v1_same-edition_PDF_locator_only","French2856-2872_print95-96_physical83-84_running75-76","French_line2874","bounded_checkpoint_not_complete_volume_rights_caveat_line2865_F_vs_Fpp_open_calligraphic_F_normalization","none_new_bounded_checkpoint"
"SGA2-VIII-IV-II-NGT1-PUBLIC-010","FORMULA_SYMBOL_NOTE_STRUCTURE_COMPARISON.csv","10474","1E235DEF089F881832BF7C62F7A0CEBD9088B34559B5C1D4213B327E21260638","machine_readable_evidence","corrected_French_TeX_math0511279v1_same-edition_PDF_locator_only","French2856-2872_print95-96_physical83-84_running75-76","French_line2874","bounded_checkpoint_not_complete_volume_rights_caveat_line2865_F_vs_Fpp_open_calligraphic_F_normalization","none_new_bounded_checkpoint"
