ordinal,relative_path,bytes,sha256,multimode_hits,status
1,BUILD_PASS1_PUBLIC_SAFE.log,599,6621D9A9F087AE22E51E225483CB94BDAB240731CC524C802D1FF2AF7AA4D102,0,PASS
2,BUILD_PASS2_PUBLIC_SAFE.log,572,0E1B690C21141026C117F589E68F53FA6C94C4CD7E14D47BE76FA8DA76FEB6D7,0,PASS
3,BUILD_PASS3_PUBLIC_SAFE.log,572,337C13B109BFA3E248233C5BD753478A0103239FF7C4A255FC3391A51403752F,0,PASS
4,ENGINE_LOG_PUBLIC_SAFE.log,544,890294C40BBA2FED498A0345AF2DF33DDFC411E16BC0410071489AAC13262B7D,0,PASS
5,generate_and_validate_r2.py,28698,916CE08860173412CDC62A46020A4A0225F621B15CCB58B33B952B248065FCE4,0,PASS
6,INDEPENDENT_FAIL_BINDING.csv,5288,B749B6BECDBD7FF25D5BCDE8ACB909C89CD464B8A55569D7DDAAE46BB45586B5,0,PASS
7,INDEPENDENT_FAIL_BINDING.json,759,F713DCD8201E2C6A1B9E1026E8BE98180F4D11F3FB62CC7C6F19070D42AC0192,0,PASS
8,MACHINE_EVIDENCE.csv,11580,5D65C62419BA8399B14E4E904C9447E8A2871B337CA36ADF8C0628CEF312E4FB,0,PASS
9,MACHINE_EVIDENCE.jsonl,18872,06C1E1E7A629161A1ED7F4D7C248FAEB743DCC2FD13F3B3E8E4E3BD67C38E643,0,PASS
10,PREDECESSOR_CONTAMINATION_MANIFEST.csv,2580,C9EC8A4E176E0C66F425AA6F5307F428B7765ABC6A21E426FF34E4CBE89784F5,0,PASS
11,PREDECESSOR_CONTAMINATION_VALIDATION.json,587,8BBABA8F2D286CF28C80B857F3AF3D934DE224D9BDC0ADC84593C6104E8612A7,0,PASS
12,PREDECESSOR_TOPLEVEL_BINDING.csv,4080,FA84FB252E6A67618151D99F9C24744A52A019C2C3D05D0B317550319CBA27D8,0,PASS
13,PRIVACY_SCAN.csv,3389,2C406ECF07338880D1326715356A53B3F393E3877A163E99E261EAE852E4C9CC,0,PASS
14,RIGHTS_AND_RELEASE_LEDGER.csv,3219,A6DB27B6325D9924A53F4E7BE58CA976E31614F0C6CB937F0353934EE3CCE75A,0,PASS
15,SGA2_Expose_X_Purity_Theorem_Part_II_Proof_English_SourceAligned.pdf,210031,4A4200DE92635B265CDCA1BE28DFBAA7D318E09217EC481149B1E5B358B288CA,0,PASS
16,SGA2_Expose_X_Purity_Theorem_Part_II_Proof_English_SourceAligned.tex,3063,385556B1AE857E855163EF2A7F26A9BA69010BD054616C01AFD48BD54BAB5499,0,PASS
17,SHA256SUMS.csv,3554,69FACFC8E8FE52FBAD06F3578632908D513FBA57AAE8EB227A38EF4A27864618,0,PASS
18,SOURCE_COMPARISON_AND_TRANSLATION_AUDIT_R2.md,3868,0CE55BE7E42FA21F320D53AA63A400C90AEA89D3C6E5FA7990029241ABD7B6DF,0,PASS
19,TARGET_EXTRACTED_TEXT.txt,2414,A24A9DC808A2F2973A6E615BD0429BA584CC01B40D7D576D058539448BD23F47,0,PASS
20,TARGET_PAGE_001.png,239911,BD5809F281B9EDE4E7A67C2A69D649B5EFF759D445386B118FBDA891C4EB5CA7,0,PASS
21,TARGET_PDFFONTS.txt,1520,D2AA774D353B6F3571C040B86D8952EF6A16C12824EDC7BFB120DC6403485DAE,0,PASS
22,TARGET_PDFINFO.txt,681,A7545154DAE65AB51519A1DAC1208DCA80D85355A46899C4962DF218A30E6730,0,PASS
23,VALIDATION.json,3292,2BC25E4C9A0D98BFEEC9D3CC5A98F979C675B566FA8829D2A3DCE9B132897425,0,PASS
