record_id,source_line,source_role,printed_page,physical_pdf_page,running_page,target_locator,status,authority_sha256,scope_slice_sha256,notes
SGA2-X-L39P-ALIGN-L3555@1,3555,scheme_and_formal_completion_definitions,120,104,96,scheme_and_formal_completion_definitions,mapped,C2F899E92A904E312B550C6452A117FF23D30AF984B2254A0961D2DF0DACD042,63C502072142A4EB0648176F8744C9BE11453BD0FE089C41098D2146C3DBB289,French bytes unchanged
SGA2-X-L39P-ALIGN-L3556@1,3556,blank_paragraph_separator,120,104,96,blank_paragraph_separator,mapped,C2F899E92A904E312B550C6452A117FF23D30AF984B2254A0961D2DF0DACD042,63C502072142A4EB0648176F8744C9BE11453BD0FE089C41098D2146C3DBB289,French bytes unchanged
SGA2-X-L39P-ALIGN-L3557@1,3557,three_category_equivalences_and_printed121_marker,121,104,96,three_category_equivalences_and_printed121_marker,mapped,C2F899E92A904E312B550C6452A117FF23D30AF984B2254A0961D2DF0DACD042,63C502072142A4EB0648176F8744C9BE11453BD0FE089C41098D2146C3DBB289,French bytes unchanged
SGA2-X-L39P-ALIGN-L3558@1,3558,blank_paragraph_separator,121,104,96,blank_paragraph_separator,mapped,C2F899E92A904E312B550C6452A117FF23D30AF984B2254A0961D2DF0DACD042,63C502072142A4EB0648176F8744C9BE11453BD0FE089C41098D2146C3DBB289,French bytes unchanged
SGA2-X-L39P-ALIGN-L3559@1,3559,part_i_diagram_introduction,121,104,96,part_i_diagram_introduction,mapped,C2F899E92A904E312B550C6452A117FF23D30AF984B2254A0961D2DF0DACD042,63C502072142A4EB0648176F8744C9BE11453BD0FE089C41098D2146C3DBB289,French bytes unchanged
SGA2-X-L39P-ALIGN-L3560@1,3560,display_open,121,104,96,display_open,mapped,C2F899E92A904E312B550C6452A117FF23D30AF984B2254A0961D2DF0DACD042,63C502072142A4EB0648176F8744C9BE11453BD0FE089C41098D2146C3DBB289,French bytes unchanged
SGA2-X-L39P-ALIGN-L3561@1,3561,diagram_top_rows,121,104,96,diagram_top_rows,mapped,C2F899E92A904E312B550C6452A117FF23D30AF984B2254A0961D2DF0DACD042,63C502072142A4EB0648176F8744C9BE11453BD0FE089C41098D2146C3DBB289,French bytes unchanged
SGA2-X-L39P-ALIGN-L3562@1,3562,diagram_bottom_rows,121,104,96,diagram_bottom_rows,mapped,C2F899E92A904E312B550C6452A117FF23D30AF984B2254A0961D2DF0DACD042,63C502072142A4EB0648176F8744C9BE11453BD0FE089C41098D2146C3DBB289,French bytes unchanged
SGA2-X-L39P-ALIGN-L3563@1,3563,display_close,121,104,96,display_close,mapped,C2F899E92A904E312B550C6452A117FF23D30AF984B2254A0961D2DF0DACD042,63C502072142A4EB0648176F8744C9BE11453BD0FE089C41098D2146C3DBB289,French bytes unchanged
SGA2-X-L39P-ALIGN-L3564@1,3564,part_i_equivalence_and_fully_faithful_argument,121,104,96,part_i_equivalence_and_fully_faithful_argument,mapped,C2F899E92A904E312B550C6452A117FF23D30AF984B2254A0961D2DF0DACD042,63C502072142A4EB0648176F8744C9BE11453BD0FE089C41098D2146C3DBB289,French bytes unchanged
SGA2-X-L39P-ALIGN-L3565@1,3565,blank_paragraph_separator,121,104,96,blank_paragraph_separator,mapped,C2F899E92A904E312B550C6452A117FF23D30AF984B2254A0961D2DF0DACD042,63C502072142A4EB0648176F8744C9BE11453BD0FE089C41098D2146C3DBB289,French bytes unchanged
SGA2-X-L39P-ALIGN-L3566@1,3566,part_ii_argument_and_conclusion,121,104-105,96-97,part_ii_argument_and_conclusion,mapped,C2F899E92A904E312B550C6452A117FF23D30AF984B2254A0961D2DF0DACD042,63C502072142A4EB0648176F8744C9BE11453BD0FE089C41098D2146C3DBB289,French bytes unchanged; line3566 spans physical page boundary
