archive_path,source_basename,bytes,sha256,width_px,height_px,color_mode,embedded_dpi_x,embedded_dpi_y,modified_utc,category,public_disposition,parent_pdf_index_0based,parent_pdf_page_1based,printed_page_from_audit,linked_tex_object,linked_audit_entry,generator_script_basename,generator_script_sha256,generator_script_modified_utc,association_seconds,provenance_status,bbox_coordinate_system,bbox_x0,bbox_y0,bbox_x1,bbox_y1,render_dpi,processing_profile,qa_disposition,parent_scan_sha256
,cve0p349_a.png,252826,47FACF82774280CC4FA1993A006ADE1D38C6FE88BA7385093D398B96FA457EED,14029,5948,L,,,2026-07-23T23:13:38.413469+00:00,routine_page_derivative,rights_blocked_not_public,349,350,336,sga6_fr_workpass.tex,1101,cve0p349.py,499B3BB02F005E5CC48B81D979D3E05F79348C528400E10BD643DFC1074EAEFC,2026-07-23T23:13:19.066130+00:00,19.347339,exact_generator_output_recovered,fraction_of_parent_page,0.03,0.03,0.98,0.29,2400,grayscale;autocontrast;contrast_enhancement;sharpness_enhancement,used_in_sga6_source_audit_not_translation_certification,73FBBAD41340C12ECCDCFCF6C3A1656953FE3D712AA8E391678458CCD17B4BAA
,cve0p349_b.png,274632,772AB266D4E13AE757D103B21959F4348B2ACC4B56038F40685CA112938A6780,14029,5948,L,,,2026-07-23T23:13:40.664083+00:00,routine_page_derivative,rights_blocked_not_public,349,350,336,sga6_fr_workpass.tex,1101,cve0p349.py,499B3BB02F005E5CC48B81D979D3E05F79348C528400E10BD643DFC1074EAEFC,2026-07-23T23:13:19.066130+00:00,21.597953,exact_generator_output_recovered,fraction_of_parent_page,0.03,0.27,0.98,0.53,2400,grayscale;autocontrast;contrast_enhancement;sharpness_enhancement,used_in_sga6_source_audit_not_translation_certification,73FBBAD41340C12ECCDCFCF6C3A1656953FE3D712AA8E391678458CCD17B4BAA
,cve0p349_c.png,248672,9200D4B2035653791A11BB41DE7DF055139F6B637D34CDEA528E942D39494507,14029,5948,L,,,2026-07-23T23:13:42.912690+00:00,routine_page_derivative,rights_blocked_not_public,349,350,336,sga6_fr_workpass.tex,1101,cve0p349.py,499B3BB02F005E5CC48B81D979D3E05F79348C528400E10BD643DFC1074EAEFC,2026-07-23T23:13:19.066130+00:00,23.84656,exact_generator_output_recovered,fraction_of_parent_page,0.03,0.51,0.98,0.77,2400,grayscale;autocontrast;contrast_enhancement;sharpness_enhancement,used_in_sga6_source_audit_not_translation_certification,73FBBAD41340C12ECCDCFCF6C3A1656953FE3D712AA8E391678458CCD17B4BAA
,cve0p349_d.png,187726,C212BEF058F789FB791E5FBD0B593D5B26E783B5E1276ACE87B3C18808A0202F,14029,5490,L,,,2026-07-23T23:13:45.064701+00:00,routine_page_derivative,rights_blocked_not_public,349,350,336,sga6_fr_workpass.tex,1101,cve0p349.py,499B3BB02F005E5CC48B81D979D3E05F79348C528400E10BD643DFC1074EAEFC,2026-07-23T23:13:19.066130+00:00,25.998571,exact_generator_output_recovered,fraction_of_parent_page,0.03,0.75,0.98,0.99,2400,grayscale;autocontrast;contrast_enhancement;sharpness_enhancement,used_in_sga6_source_audit_not_translation_certification,73FBBAD41340C12ECCDCFCF6C3A1656953FE3D712AA8E391678458CCD17B4BAA
,cve0p349_top.png,57238,E423A9A475EC383753DCDF8444567ADCBDFAAC85C9D1DE811FEB5D7870BF5AB2,14029,1945,L,,,2026-07-23T23:13:36.242536+00:00,routine_page_derivative,rights_blocked_not_public,349,350,336,sga6_fr_workpass.tex,1101,cve0p349.py,499B3BB02F005E5CC48B81D979D3E05F79348C528400E10BD643DFC1074EAEFC,2026-07-23T23:13:19.066130+00:00,17.176406,exact_generator_output_recovered,fraction_of_parent_page,0.03,0.015,0.98,0.1,2400,grayscale;autocontrast;contrast_enhancement;sharpness_enhancement,used_in_sga6_source_audit_not_translation_certification,73FBBAD41340C12ECCDCFCF6C3A1656953FE3D712AA8E391678458CCD17B4BAA
,cve0p350_a.png,274187,B01DAE12C9B2FA6A901C9483CE40820080738AAAF975A2F5F41E46EF43687090,14029,5948,L,,,2026-07-23T23:21:35.923882+00:00,routine_page_derivative,rights_blocked_not_public,350,351,337,sga6_fr_workpass.tex,1102,cve0p350.py,FA5927B0ADE460BF809321EA4704F5390E097D12E797DDA73842963DE79B3EE6,2026-07-23T23:21:20.880604+00:00,15.043278,exact_generator_output_recovered,fraction_of_parent_page,0.03,0.03,0.98,0.29,2400,grayscale;autocontrast;contrast_enhancement;sharpness_enhancement,used_in_sga6_source_audit_not_translation_certification,73FBBAD41340C12ECCDCFCF6C3A1656953FE3D712AA8E391678458CCD17B4BAA
,cve0p350_b.png,293149,477FE0D66A0635E12A374767ED25F8A9BDE69C497E8B99358A07D04529631AA9,14029,5948,L,,,2026-07-23T23:21:38.203736+00:00,routine_page_derivative,rights_blocked_not_public,350,351,337,sga6_fr_workpass.tex,1102,cve0p350.py,FA5927B0ADE460BF809321EA4704F5390E097D12E797DDA73842963DE79B3EE6,2026-07-23T23:21:20.880604+00:00,17.323132,exact_generator_output_recovered,fraction_of_parent_page,0.03,0.27,0.98,0.53,2400,grayscale;autocontrast;contrast_enhancement;sharpness_enhancement,used_in_sga6_source_audit_not_translation_certification,73FBBAD41340C12ECCDCFCF6C3A1656953FE3D712AA8E391678458CCD17B4BAA
,cve0p350_c.png,268772,8ADF1895414F86E9ECE0F29D572F54BFB65A0DF7EEF4F5E0677D7F846A3E624C,14029,5948,L,,,2026-07-23T23:21:40.580657+00:00,routine_page_derivative,rights_blocked_not_public,350,351,337,sga6_fr_workpass.tex,1102,cve0p350.py,FA5927B0ADE460BF809321EA4704F5390E097D12E797DDA73842963DE79B3EE6,2026-07-23T23:21:20.880604+00:00,19.700053,exact_generator_output_recovered,fraction_of_parent_page,0.03,0.51,0.98,0.77,2400,grayscale;autocontrast;contrast_enhancement;sharpness_enhancement,used_in_sga6_source_audit_not_translation_certification,73FBBAD41340C12ECCDCFCF6C3A1656953FE3D712AA8E391678458CCD17B4BAA
,cve0p350_d.png,196214,826DF27F63CA206188953706CC9542A598D9FC581ADB5A4BBD08616B7D5F5705,14029,5490,L,,,2026-07-23T23:21:42.792451+00:00,routine_page_derivative,rights_blocked_not_public,350,351,337,sga6_fr_workpass.tex,1102,cve0p350.py,FA5927B0ADE460BF809321EA4704F5390E097D12E797DDA73842963DE79B3EE6,2026-07-23T23:21:20.880604+00:00,21.911848,exact_generator_output_recovered,fraction_of_parent_page,0.03,0.75,0.98,0.99,2400,grayscale;autocontrast;contrast_enhancement;sharpness_enhancement,used_in_sga6_source_audit_not_translation_certification,73FBBAD41340C12ECCDCFCF6C3A1656953FE3D712AA8E391678458CCD17B4BAA
,cve0p350_top.png,66574,B2397C5E92E219D3CB8DF8E0AB4E6DED2B8A98177D57D5F1BFE5DE30CD166B3A,14029,1945,L,,,2026-07-23T23:21:33.732332+00:00,routine_page_derivative,rights_blocked_not_public,350,351,337,sga6_fr_workpass.tex,1102,cve0p350.py,FA5927B0ADE460BF809321EA4704F5390E097D12E797DDA73842963DE79B3EE6,2026-07-23T23:21:20.880604+00:00,12.851729,exact_generator_output_recovered,fraction_of_parent_page,0.03,0.015,0.98,0.1,2400,grayscale;autocontrast;contrast_enhancement;sharpness_enhancement,used_in_sga6_source_audit_not_translation_certification,73FBBAD41340C12ECCDCFCF6C3A1656953FE3D712AA8E391678458CCD17B4BAA
,cve0p351_a.png,329998,2CB47F2C17510446C3B583E3B95FF82368C7E68B30EACC88F5C09BE8FB6F9799,14029,5948,L,,,2026-07-23T23:27:29.291402+00:00,routine_page_derivative,rights_blocked_not_public,351,352,338,sga6_fr_workpass.tex,1103,cve0p351.py,1777FB36FC77B46FD7166EFFA6350F38A910694C12B06E80993F2CAD18FC3554,2026-07-23T23:27:16.199245+00:00,13.092157,exact_generator_output_recovered,fraction_of_parent_page,0.03,0.03,0.98,0.29,2400,grayscale;autocontrast;contrast_enhancement;sharpness_enhancement,used_in_sga6_source_audit_not_translation_certification,73FBBAD41340C12ECCDCFCF6C3A1656953FE3D712AA8E391678458CCD17B4BAA
