"evidence_id","archive","member_path","bytes","sha256","width_px","height_px","mode","dpi_x","dpi_y","source_scan_index","printed_folio","expose","scope","evidence_role","qa_disposition","parent_scan_sha256"
"SGA7II-XX-SRCIMG-0001","SGA7II_ExposeXX_SourceAudit_Images_idx348_363_Through_4_3_20260802.zip","translated_through_4_3/expose_XX_diagrams_direct_5000dpi_mono/idx348_diagram_1001.png","55941","B4221039416776C4233F38393CF1BF71B14575B2DD1B7D560B5F7B09481CDBDE","17000","13000","1","5000","5000","348","341","XX","Expose XX opening through Section 4.3","targeted_source_crop","used_for_translated_checkpoint_qa","FA679DEBFC8ADA3232D7E752A1837FC6CE474488E20A44D7641CF296876E1297"
"SGA7II-XX-SRCIMG-0002","SGA7II_ExposeXX_SourceAudit_Images_idx348_363_Through_4_3_20260802.zip","translated_through_4_3/expose_XX_diagrams_direct_5000dpi_mono/idx350_diagram_121.png","122480","446EECD2A9CABCA960D21F297B8B127AC658A494493F5385BEECFFBA6097BE64","21000","19000","1","5000","5000","350","343","XX","Expose XX opening through Section 4.3","targeted_source_crop","used_for_translated_checkpoint_qa","FA679DEBFC8ADA3232D7E752A1837FC6CE474488E20A44D7641CF296876E1297"
"SGA7II-XX-SRCIMG-0003","SGA7II_ExposeXX_SourceAudit_Images_idx348_363_Through_4_3_20260802.zip","translated_through_4_3/expose_XX_diagrams_direct_5000dpi_mono/idx352_connector_z.png","95689","9A9BFD0F0B489D75CCBFA28306A7DF84414E4AD3E3C248275BB81A5A6DEB96AE","12000","14000","1","5000","5000","352","345","XX","Expose XX opening through Section 4.3","targeted_source_crop","used_for_translated_checkpoint_qa","FA679DEBFC8ADA3232D7E752A1837FC6CE474488E20A44D7641CF296876E1297"
"SGA7II-XX-SRCIMG-0004","SGA7II_ExposeXX_SourceAudit_Images_idx348_363_Through_4_3_20260802.zip","translated_through_4_3/expose_XX_diagrams_direct_5000dpi_mono/idx352_diagram_1211.png","133588","EA8076F2D19FF20364584B484EDA3F7B6373B0068A7E4BCFE9CA688991F202E7","24000","17500","1","5000","5000","352","345","XX","Expose XX opening through Section 4.3","targeted_source_crop","used_for_translated_checkpoint_qa","FA679DEBFC8ADA3232D7E752A1837FC6CE474488E20A44D7641CF296876E1297"
"SGA7II-XX-SRCIMG-0005","SGA7II_ExposeXX_SourceAudit_Images_idx348_363_Through_4_3_20260802.zip","translated_through_4_3/expose_XX_diagrams_direct_5000dpi_mono/idx353_diagram_142.png","225536","E8DCF285717AAC129EF433315E39A5BEB76CBB3050E2CC49D436FCE7E6C3AC1F","26000","18000","1","5000","5000","353","346","XX","Expose XX opening through Section 4.3","targeted_source_crop","used_for_translated_checkpoint_qa","FA679DEBFC8ADA3232D7E752A1837FC6CE474488E20A44D7641CF296876E1297"
"SGA7II-XX-SRCIMG-0006","SGA7II_ExposeXX_SourceAudit_Images_idx348_363_Through_4_3_20260802.zip","translated_through_4_3/expose_XX_idx348_353_1100dpi/Number12-349.png","2063831","BBAE138816310051A2D0B987A387B1F966AB837BE1817D228397348CE8D7CBE2","7380","11000","RGB","1099.998","1099.998","348","341","XX","Expose XX opening through Section 4.3","full_source_page","used_for_translated_checkpoint_qa","FA679DEBFC8ADA3232D7E752A1837FC6CE474488E20A44D7641CF296876E1297"
"SGA7II-XX-SRCIMG-0007","SGA7II_ExposeXX_SourceAudit_Images_idx348_363_Through_4_3_20260802.zip","translated_through_4_3/expose_XX_idx348_353_1100dpi/Number12-350.png","1531330","4BE055874360356F6DD871C10D6168FBB239EB00B7B0EE5ED148544D9E629D58","7380","11000","RGB","1099.998","1099.998","349","342","XX","Expose XX opening through Section 4.3","full_source_page","used_for_translated_checkpoint_qa","FA679DEBFC8ADA3232D7E752A1837FC6CE474488E20A44D7641CF296876E1297"
"SGA7II-XX-SRCIMG-0008","SGA7II_ExposeXX_SourceAudit_Images_idx348_363_Through_4_3_20260802.zip","translated_through_4_3/expose_XX_idx348_353_1100dpi/Number12-351.png","1694200","24F6A1B107A1E9F46BB719F4ADCF9C9F48AF21730DC87FED7A91EA92FB9B7322","7380","11000","RGB","1099.998","1099.998","350","343","XX","Expose XX opening through Section 4.3","full_source_page","used_for_translated_checkpoint_qa","FA679DEBFC8ADA3232D7E752A1837FC6CE474488E20A44D7641CF296876E1297"
"SGA7II-XX-SRCIMG-0009","SGA7II_ExposeXX_SourceAudit_Images_idx348_363_Through_4_3_20260802.zip","translated_through_4_3/expose_XX_idx348_353_1100dpi/Number12-352.png","1766667","1C30F452D618A6ED9E2E8F4834B1649DF7DFB496F29AAD14A6B8A9971F312562","7380","11000","RGB","1099.998","1099.998","351","344","XX","Expose XX opening through Section 4.3","full_source_page","used_for_translated_checkpoint_qa","FA679DEBFC8ADA3232D7E752A1837FC6CE474488E20A44D7641CF296876E1297"
"SGA7II-XX-SRCIMG-0010","SGA7II_ExposeXX_SourceAudit_Images_idx348_363_Through_4_3_20260802.zip","translated_through_4_3/expose_XX_idx348_353_1100dpi/Number12-353.png","1654230","CA72C82D9875ACC3B0EA49730C93B1D0E76B65AAF84803C3317A38F98D9D986C","7380","11000","RGB","1099.998","1099.998","352","345","XX","Expose XX opening through Section 4.3","full_source_page","used_for_translated_checkpoint_qa","FA679DEBFC8ADA3232D7E752A1837FC6CE474488E20A44D7641CF296876E1297"
"SGA7II-XX-SRCIMG-0011","SGA7II_ExposeXX_SourceAudit_Images_idx348_363_Through_4_3_20260802.zip","translated_through_4_3/expose_XX_idx348_353_1100dpi/Number12-354.png","1768718","37742EF7934E32D41CD9D6408752414CD05752BA8A1409103A63742800A992FB","7380","11000","RGB","1099.998","1099.998","353","346","XX","Expose XX opening through Section 4.3","full_source_page","used_for_translated_checkpoint_qa","FA679DEBFC8ADA3232D7E752A1837FC6CE474488E20A44D7641CF296876E1297"
"SGA7II-XX-SRCIMG-0012","SGA7II_ExposeXX_SourceAudit_Images_idx348_363_Through_4_3_20260802.zip","translated_through_4_3/expose_XX_idx353_word_variable_recheck_1100dpi/prop_1_5_3_crop.png","152349","ED0C37294600592059324B770CC7C6D4B1F0DD006C479F320B0D514A0AD506DF","3300","1700","L","1099.998","1099.998","353","346","XX","Expose XX opening through Section 4.3","targeted_source_crop","used_for_translated_checkpoint_qa","FA679DEBFC8ADA3232D7E752A1837FC6CE474488E20A44D7641CF296876E1297"
"SGA7II-XX-SRCIMG-0013","SGA7II_ExposeXX_SourceAudit_Images_idx348_363_Through_4_3_20260802.zip","translated_through_4_3/expose_XX_idx353_word_variable_recheck_1100dpi/prop_1_5_3_variable_crop.png","116203","3D30A300D26798D8CE9D504C5B7F69CE2F53E99B39D7C1F534FA8FE3D79C1E6E","4000","900","L","1099.998","1099.998","353","346","XX","Expose XX opening through Section 4.3","targeted_source_crop","used_for_translated_checkpoint_qa","FA679DEBFC8ADA3232D7E752A1837FC6CE474488E20A44D7641CF296876E1297"
"SGA7II-XX-SRCIMG-0014","SGA7II_ExposeXX_SourceAudit_Images_idx348_363_Through_4_3_20260802.zip","translated_through_4_3/expose_XX_idx354_356_1100dpi/Number12-355.png","1470945","43AD9A82EE380BCC38E4A25B80757B4AFDA483CBB4254568C3B6DA8451C54629","7380","11000","RGB","1099.998","1099.998","354","347","XX","Expose XX opening through Section 4.3","full_source_page","used_for_translated_checkpoint_qa","FA679DEBFC8ADA3232D7E752A1837FC6CE474488E20A44D7641CF296876E1297"
"SGA7II-XX-SRCIMG-0015","SGA7II_ExposeXX_SourceAudit_Images_idx348_363_Through_4_3_20260802.zip","translated_through_4_3/expose_XX_idx354_356_1100dpi/Number12-356.png","1526826","CD840182EC99E668A81C5B250295730769BA5D72C05073CF662EE1C01177E91F","7380","11000","RGB","1099.998","1099.998","355","348","XX","Expose XX opening through Section 4.3","full_source_page","used_for_translated_checkpoint_qa","FA679DEBFC8ADA3232D7E752A1837FC6CE474488E20A44D7641CF296876E1297"
"SGA7II-XX-SRCIMG-0016","SGA7II_ExposeXX_SourceAudit_Images_idx348_363_Through_4_3_20260802.zip","translated_through_4_3/expose_XX_idx354_356_1100dpi/Number12-357.png","1502655","ABCDE94E6A6B3F3D907F7A0EA32A1FF18DDF8C466DB8FBB623F9D5BD37E0075A","7380","11000","RGB","1099.998","1099.998","356","349","XX","Expose XX opening through Section 4.3","full_source_page","used_for_translated_checkpoint_qa","FA679DEBFC8ADA3232D7E752A1837FC6CE474488E20A44D7641CF296876E1297"
"SGA7II-XX-SRCIMG-0017","SGA7II_ExposeXX_SourceAudit_Images_idx348_363_Through_4_3_20260802.zip","translated_through_4_3/expose_XX_idx354_diagram_1_6_0_direct_5000dpi/diagram_1_6_0.png","180370","8176EFFB53A815CFB23AD70583D4119C6FA8F751CDDB15E392FDC6A901CBCFD9","9000","6000","RGB","4999.990","4999.990","354","347","XX","Expose XX opening through Section 4.3","targeted_source_crop","used_for_translated_checkpoint_qa","FA679DEBFC8ADA3232D7E752A1837FC6CE474488E20A44D7641CF296876E1297"
"SGA7II-XX-SRCIMG-0018","SGA7II_ExposeXX_SourceAudit_Images_idx348_363_Through_4_3_20260802.zip","translated_through_4_3/expose_XX_idx354_diagram_1_6_0_direct_5000dpi/diagram_1_6_0_complete.png","306605","7BF62FE547E893A8208C3B8524A0447B6951B7814D643FBBB96D111037BBB912","12000","8000","RGB","4999.990","4999.990","354","347","XX","Expose XX opening through Section 4.3","targeted_source_crop","used_for_translated_checkpoint_qa","FA679DEBFC8ADA3232D7E752A1837FC6CE474488E20A44D7641CF296876E1297"
"SGA7II-XX-SRCIMG-0019","SGA7II_ExposeXX_SourceAudit_Images_idx348_363_Through_4_3_20260802.zip","translated_through_4_3/expose_XX_idx354_diagram_1_6_0_direct_5000dpi/diagram_1_6_0_full.png","250466","42896D8B259ABD2063FFBEFA1674A30316F2BCEA4D1B868DD3F590F0F5D9344E","12000","6500","RGB","4999.990","4999.990","354","347","XX","Expose XX opening through Section 4.3","targeted_source_crop","used_for_translated_checkpoint_qa","FA679DEBFC8ADA3232D7E752A1837FC6CE474488E20A44D7641CF296876E1297"
"SGA7II-XX-SRCIMG-0020","SGA7II_ExposeXX_SourceAudit_Images_idx348_363_Through_4_3_20260802.zip","translated_through_4_3/expose_XX_idx357_359_1100dpi/Number12-358.png","2024219","947A2B1E91134B8799F98DEE59D008A9367BC2CD93472BB09D0E8215BB7239E5","7380","11000","RGB","1099.998","1099.998","357","350","XX","Expose XX opening through Section 4.3","full_source_page","used_for_translated_checkpoint_qa","FA679DEBFC8ADA3232D7E752A1837FC6CE474488E20A44D7641CF296876E1297"
"SGA7II-XX-SRCIMG-0021","SGA7II_ExposeXX_SourceAudit_Images_idx348_363_Through_4_3_20260802.zip","translated_through_4_3/expose_XX_idx357_359_1100dpi/Number12-359.png","2240652","26C6C53B56EDA4774276639353A8556A4B93F37FF73C5C4F225250CCA6DFE8EA","7380","11000","RGB","1099.998","1099.998","358","351","XX","Expose XX opening through Section 4.3","full_source_page","used_for_translated_checkpoint_qa","FA679DEBFC8ADA3232D7E752A1837FC6CE474488E20A44D7641CF296876E1297"
"SGA7II-XX-SRCIMG-0022","SGA7II_ExposeXX_SourceAudit_Images_idx348_363_Through_4_3_20260802.zip","translated_through_4_3/expose_XX_idx357_359_1100dpi/Number12-360.png","1861152","2262694A50BDA142023D16992C5B30FE918560E352B259C3B1EFD85E46B06ABF","7380","11000","RGB","1099.998","1099.998","359","352","XX","Expose XX opening through Section 4.3","full_source_page","used_for_translated_checkpoint_qa","FA679DEBFC8ADA3232D7E752A1837FC6CE474488E20A44D7641CF296876E1297"
"SGA7II-XX-SRCIMG-0023","SGA7II_ExposeXX_SourceAudit_Images_idx348_363_Through_4_3_20260802.zip","translated_through_4_3/expose_XX_idx360_361_1100dpi/Number12-361.png","2208663","5FCEE77F5259A7C4BF1CEECF8FA30802735E9C7CC308B4AE2698BE1384177239","7380","11000","RGB","1099.998","1099.998","360","353","XX","Expose XX opening through Section 4.3","full_source_page","used_for_translated_checkpoint_qa","FA679DEBFC8ADA3232D7E752A1837FC6CE474488E20A44D7641CF296876E1297"
"SGA7II-XX-SRCIMG-0024","SGA7II_ExposeXX_SourceAudit_Images_idx348_363_Through_4_3_20260802.zip","translated_through_4_3/expose_XX_idx360_361_1100dpi/Number12-362.png","1871532","112A3B893E950C3D42EC2DD3738817B275B05B8321CE700C594728B71DA38135","7380","11000","RGB","1099.998","1099.998","361","354","XX","Expose XX opening through Section 4.3","full_source_page","used_for_translated_checkpoint_qa","FA679DEBFC8ADA3232D7E752A1837FC6CE474488E20A44D7641CF296876E1297"
"SGA7II-XX-SRCIMG-0025","SGA7II_ExposeXX_SourceAudit_Images_idx348_363_Through_4_3_20260802.zip","translated_through_4_3/expose_XX_idx362_1100dpi/Number12-363.png","2976105","FB382A7AFB1F190E7A628A1ED9438B50A760EDCAEAACFD403F419748BBE41708","7380","11000","RGB","1099.998","1099.998","362","355","XX","Expose XX opening through Section 4.3","full_source_page","used_for_translated_checkpoint_qa","FA679DEBFC8ADA3232D7E752A1837FC6CE474488E20A44D7641CF296876E1297"
"SGA7II-XX-SRCIMG-0026","SGA7II_ExposeXX_SourceAudit_Images_idx348_363_Through_4_3_20260802.zip","translated_through_4_3/expose_XX_idx363_1100dpi/Number12-364.png","2538835","1E7845BC8D26F6D854545755355F93FD69CE8F08E0CA47D8218469270F090888","7380","11000","RGB","1099.998","1099.998","363","356","XX","Expose XX opening through Section 4.3","full_source_page","used_for_translated_checkpoint_qa","FA679DEBFC8ADA3232D7E752A1837FC6CE474488E20A44D7641CF296876E1297"
"SGA7II-XX-SRCIMG-0027","SGA7II_ExposeXX_Preparatory_SourceAudit_Images_idx364_367_20260802.zip","preparatory_4_4/expose_XX_idx364_1100dpi/Number12-365.png","2170487","416A76E44E05C2A44BAA1A3C4AE2E7FF92DBB8073F2200E9308815D14C331844","7380","11000","RGB","1099.998","1099.998","364","357","XX","Expose XX Section 4.4 preparatory source review","full_source_page","preparatory_witness_no_translation_claim","FA679DEBFC8ADA3232D7E752A1837FC6CE474488E20A44D7641CF296876E1297"
"SGA7II-XX-SRCIMG-0028","SGA7II_ExposeXX_Preparatory_SourceAudit_Images_idx364_367_20260802.zip","preparatory_4_4/expose_XX_idx364_details_5000dpi/bottom_mstar_Q.png","574812","967F75D9685B733FCE92D2DD4726E8D21277EA5D589009C6986B51CD3358CED5","29545","6364","RGB","4999.990","4999.990","364","357","XX","Expose XX Section 4.4 preparatory source review","targeted_source_crop","preparatory_witness_no_translation_claim","FA679DEBFC8ADA3232D7E752A1837FC6CE474488E20A44D7641CF296876E1297"
"SGA7II-XX-SRCIMG-0029","SGA7II_ExposeXX_Preparatory_SourceAudit_Images_idx364_367_20260802.zip","preparatory_4_4/expose_XX_idx364_details_5000dpi/formula_4_4_6.png","356533","4B1A822A8DA0A7BFA964448672859112C61AD1678CB3B1F099E5E9EF4939E200","28182","4091","RGB","4999.990","4999.990","364","357","XX","Expose XX Section 4.4 preparatory source review","targeted_source_crop","preparatory_witness_no_translation_claim","FA679DEBFC8ADA3232D7E752A1837FC6CE474488E20A44D7641CF296876E1297"
"SGA7II-XX-SRCIMG-0030","SGA7II_ExposeXX_Preparatory_SourceAudit_Images_idx364_367_20260802.zip","preparatory_4_4/expose_XX_idx365_1100dpi/Number12-366.png","1874859","9FA407A8101AE72662BFC64EDBDD50E62D8F5C70DE03F7997C6AA67A0F5D224E","7380","11000","RGB","1099.998","1099.998","365","358","XX","Expose XX Section 4.4 preparatory source review","full_source_page","preparatory_witness_no_translation_claim","FA679DEBFC8ADA3232D7E752A1837FC6CE474488E20A44D7641CF296876E1297"
"SGA7II-XX-SRCIMG-0031","SGA7II_ExposeXX_Preparatory_SourceAudit_Images_idx364_367_20260802.zip","preparatory_4_4/expose_XX_idx365_details_5000dpi/formula_4_4_10.png","546808","F1D95BEDE2E973A91A7DB03F36C4B1EC66FBA2FFA8CF1F4DC76031751EA899F6","30000","5909","RGB","4999.990","4999.990","365","358","XX","Expose XX Section 4.4 preparatory source review","targeted_source_crop","preparatory_witness_no_translation_claim","FA679DEBFC8ADA3232D7E752A1837FC6CE474488E20A44D7641CF296876E1297"
"SGA7II-XX-SRCIMG-0032","SGA7II_ExposeXX_Preparatory_SourceAudit_Images_idx364_367_20260802.zip","preparatory_4_4/expose_XX_idx366_1100dpi/Number12-367.png","1641332","8A80CE9CC5C3CFD79D7B3AA7D64512D0FC80BDA6D9167BC2B4A962223D745594","7380","11000","RGB","1099.998","1099.998","366","359","XX","Expose XX Section 4.4 preparatory source review","full_source_page","preparatory_witness_no_translation_claim","FA679DEBFC8ADA3232D7E752A1837FC6CE474488E20A44D7641CF296876E1297"
"SGA7II-XX-SRCIMG-0033","SGA7II_ExposeXX_Preparatory_SourceAudit_Images_idx364_367_20260802.zip","preparatory_4_4/expose_XX_idx367_1100dpi/Number12-368.png","1772153","E452380B0A3BA5D6E67BB9C537BDDDB8E2D90019B15F5A285866BF47D34CF846","7380","11000","RGB","1099.998","1099.998","367","360","XX","Expose XX Section 4.4 preparatory source review","full_source_page","preparatory_witness_no_translation_claim","FA679DEBFC8ADA3232D7E752A1837FC6CE474488E20A44D7641CF296876E1297"
"SGA7II-XX-SRCIMG-0034","SGA7II_ExposeXX_Preparatory_SourceAudit_Images_idx364_367_20260802.zip","preparatory_4_4/expose_XX_idx367_diagram_5000dpi/A_top_left.png","342336","067FA1BAD45535D5775BBAB9DD9A9BD82F0F437A0E493D15E0A920203B4960DA","15000","7273","RGB","4999.990","4999.990","367","360","XX","Expose XX Section 4.4 preparatory source review","targeted_source_crop","preparatory_witness_no_translation_claim","FA679DEBFC8ADA3232D7E752A1837FC6CE474488E20A44D7641CF296876E1297"
