schema_version,visual_id,series,kind,publication_disposition,source_type,relative_path,bytes,sha256,width_px,height_px,dpi_x,dpi_y,rotation_degrees,bounding_box_px,parent_artifact_path,parent_artifact_sha256,parent_page,linked_tex_path,linked_structural_unit,review_outputs,qa_disposition,rights_basis
sga_visual_evidence.v1,VE-SGA2-VI-TARGET-001,SGA2 Expose VI,target_pdf_page_render,open_payload,project_generated_target_or_qa_render,target_pages/target-page-1.png,542224,CEFF4E93FFA438DF1B0FDEBB95BADCEA4F89C0321F73311824B6EA3C55F3CD69,2481,3508,299.9994,299.9994,0,"[0,0,2481,3508]",00c_SGA2_English_ExposeVI_SourceAligned_WorkingCheckpoint_20260719.pdf,666C3423BCEB860305F74E3FAC9386CBD7F6045A3AA6B9A7AB8F32046E075C93,1,SGA2_Expose_VI_English_SourceAligned_Cumulative_Checkpoint.tex,SGA2-VI-PAGE-001,render_qa/VISUAL_QA.md;INDEPENDENT_PACKAGE_AUDIT_20260719.md,accepted_no_visible_defect,project-generated output; contains no French source pixels
sga_visual_evidence.v1,VE-SGA2-VI-TARGET-002,SGA2 Expose VI,target_pdf_page_render,open_payload,project_generated_target_or_qa_render,target_pages/target-page-2.png,569132,7422EABF1DAC15EDB2F5A7CA7D16B2F71E9DA05683FD591430F846CBED82F058,2481,3508,299.9994,299.9994,0,"[0,0,2481,3508]",00c_SGA2_English_ExposeVI_SourceAligned_WorkingCheckpoint_20260719.pdf,666C3423BCEB860305F74E3FAC9386CBD7F6045A3AA6B9A7AB8F32046E075C93,2,SGA2_Expose_VI_English_SourceAligned_Cumulative_Checkpoint.tex,SGA2-VI-PAGE-002,render_qa/VISUAL_QA.md;INDEPENDENT_PACKAGE_AUDIT_20260719.md,accepted_no_visible_defect,project-generated output; contains no French source pixels
sga_visual_evidence.v1,VE-SGA2-VI-TARGET-003,SGA2 Expose VI,target_pdf_page_render,open_payload,project_generated_target_or_qa_render,target_pages/target-page-3.png,607528,69837A67AD8A55688C51F3195F836B67EC540938926E42C6C84458A2EC3052AF,2481,3508,299.9994,299.9994,0,"[0,0,2481,3508]",00c_SGA2_English_ExposeVI_SourceAligned_WorkingCheckpoint_20260719.pdf,666C3423BCEB860305F74E3FAC9386CBD7F6045A3AA6B9A7AB8F32046E075C93,3,SGA2_Expose_VI_English_SourceAligned_Cumulative_Checkpoint.tex,SGA2-VI-PAGE-003,render_qa/VISUAL_QA.md;INDEPENDENT_PACKAGE_AUDIT_20260719.md,accepted_no_visible_defect,project-generated output; contains no French source pixels
sga_visual_evidence.v1,VE-SGA2-VI-TARGET-004,SGA2 Expose VI,target_pdf_page_render,open_payload,project_generated_target_or_qa_render,target_pages/target-page-4.png,336520,2D793FB07EFFE97CE34231F30734EF4D615CCA31290340176B9FBE88D9219742,2481,3508,299.9994,299.9994,0,"[0,0,2481,3508]",00c_SGA2_English_ExposeVI_SourceAligned_WorkingCheckpoint_20260719.pdf,666C3423BCEB860305F74E3FAC9386CBD7F6045A3AA6B9A7AB8F32046E075C93,4,SGA2_Expose_VI_English_SourceAligned_Cumulative_Checkpoint.tex,SGA2-VI-PAGE-004,render_qa/VISUAL_QA.md;INDEPENDENT_PACKAGE_AUDIT_20260719.md,accepted_no_visible_defect,project-generated output; contains no French source pixels
sga_visual_evidence.v1,VE-SGA2-VI-LEDGER-001,SGA2 Expose VI,machine_readable_ledger_preview,open_payload,project_generated_target_or_qa_render,ledger_previews/COMPONENT_UNIT_INTEGRATION.preview.png,204871,1237BE63564A6447D5528B1BEBA9432FD7FBDCF3715C734E96F8F8D195EAC949,3340,338,71.9836,71.9836,0,"[0,0,3340,338]",ledgers/COMPONENT_UNIT_INTEGRATION.csv,D25C0E66F7EB0D5B10E1E2EBD98ABE7B06B8F502BC0A57CC4BF94281B3D3A929,,SGA2_Expose_VI_English_SourceAligned_Cumulative_Checkpoint.tex,SGA2-VI-LEDGER-COMPONENT_UNIT_INTEGRATION,render_qa/VISUAL_QA.md;INDEPENDENT_PACKAGE_AUDIT_20260719.md,accepted_no_visible_defect,project-generated output; contains no French source pixels
sga_visual_evidence.v1,VE-SGA2-VI-LEDGER-002,SGA2 Expose VI,machine_readable_ledger_preview,open_payload,project_generated_target_or_qa_render,ledger_previews/AUTHORITY_ARTIFACT_HASHES.preview.png,66759,D73A311503A15ED3CEAE5CCB4586A465D113DF5790982484FC829C5C79AC4EDC,1888,206,71.9836,71.9836,0,"[0,0,1888,206]",ledgers/AUTHORITY_ARTIFACT_HASHES.csv,2D6F0600F1F6B7F01F05B93B04DEA3891593195B26B56F73E8CA9B2099EFC8C0,,SGA2_Expose_VI_English_SourceAligned_Cumulative_Checkpoint.tex,SGA2-VI-LEDGER-AUTHORITY_ARTIFACT_HASHES,render_qa/VISUAL_QA.md;INDEPENDENT_PACKAGE_AUDIT_20260719.md,accepted_no_visible_defect,project-generated output; contains no French source pixels
sga_visual_evidence.v1,VE-SGA2-VI-LEDGER-003,SGA2 Expose VI,machine_readable_ledger_preview,open_payload,project_generated_target_or_qa_render,ledger_previews/SOURCE_ALIGNMENT_COVERAGE.preview.png,289125,925096D51ADDECB9D01BC2555D9FA19A512B040403C60FE05D1F650A3C4D6212,3076,602,71.9836,71.9836,0,"[0,0,3076,602]",ledgers/SOURCE_ALIGNMENT_COVERAGE.csv,F7AE024A9B0778B1E89F7115D8F52C3FF27A5FEE61C7F828ED9E9094104AD411,,SGA2_Expose_VI_English_SourceAligned_Cumulative_Checkpoint.tex,SGA2-VI-LEDGER-SOURCE_ALIGNMENT_COVERAGE,render_qa/VISUAL_QA.md;INDEPENDENT_PACKAGE_AUDIT_20260719.md,accepted_no_visible_defect,project-generated output; contains no French source pixels
sga_visual_evidence.v1,VE-SGA2-VI-LEDGER-004,SGA2 Expose VI,machine_readable_ledger_preview,open_payload,project_generated_target_or_qa_render,ledger_previews/FORMULA_SYMBOL_NOTE_STRUCTURE_COMPARISON.preview.png,294295,27442E1E8744D98EA1FAE791044FFFE66A75D586ACF1238F41F39056919041A6,3340,602,71.9836,71.9836,0,"[0,0,3340,602]",ledgers/FORMULA_SYMBOL_NOTE_STRUCTURE_COMPARISON.csv,53F0588DCD802CD0DBBCF1FDB1D24C268C2A9268EF25473908854512433A2F24,,SGA2_Expose_VI_English_SourceAligned_Cumulative_Checkpoint.tex,SGA2-VI-LEDGER-FORMULA_SYMBOL_NOTE_STRUCTURE_COMPARISON,render_qa/VISUAL_QA.md;INDEPENDENT_PACKAGE_AUDIT_20260719.md,accepted_no_visible_defect,project-generated output; contains no French source pixels
sga_visual_evidence.v1,VE-SGA2-VI-LEDGER-005,SGA2 Expose VI,machine_readable_ledger_preview,open_payload,project_generated_target_or_qa_render,ledger_previews/TERMINOLOGY_NORMALIZATION_ADVERSE_CHOICES.preview.png,279124,4FD96334AC6E84BF239E76F64D1C8EA5FAE474223A9A7D721AAFF70605AF9405,3604,602,71.9836,71.9836,0,"[0,0,3604,602]",ledgers/TERMINOLOGY_NORMALIZATION_ADVERSE_CHOICES.csv,1123B01426993F4EDA157FA537EF220100BCAF43AA6939B81C1200A0751049AA,,SGA2_Expose_VI_English_SourceAligned_Cumulative_Checkpoint.tex,SGA2-VI-LEDGER-TERMINOLOGY_NORMALIZATION_ADVERSE_CHOICES,render_qa/VISUAL_QA.md;INDEPENDENT_PACKAGE_AUDIT_20260719.md,accepted_no_visible_defect,project-generated output; contains no French source pixels
sga_visual_evidence.v1,VE-SGA2-VI-LEDGER-006,SGA2 Expose VI,machine_readable_ledger_preview,open_payload,project_generated_target_or_qa_render,ledger_previews/BUILD_RENDER_EVIDENCE.preview.png,270069,7876D40FDBC87EF40EF0AB443D40DF7A693EEF436BB0882DCC9911E65BE96859,2416,602,71.9836,71.9836,0,"[0,0,2416,602]",ledgers/BUILD_RENDER_EVIDENCE.csv,4E29E5B41D1A272E5258D49D228175DBCE914354AA50497F5B5D9F763E67849E,,SGA2_Expose_VI_English_SourceAligned_Cumulative_Checkpoint.tex,SGA2-VI-LEDGER-BUILD_RENDER_EVIDENCE,render_qa/VISUAL_QA.md;INDEPENDENT_PACKAGE_AUDIT_20260719.md,accepted_no_visible_defect,project-generated output; contains no French source pixels
