book_page,source_pdf_page,image_file
76,94,page_images/book_p076_pdf_p094.png
77,95,page_images/book_p077_pdf_p095.png
78,96,page_images/book_p078_pdf_p096.png
79,97,page_images/book_p079_pdf_p097.png
80,98,page_images/book_p080_pdf_p098.png
81,99,page_images/book_p081_pdf_p099.png
82,100,page_images/book_p082_pdf_p100.png
83,101,page_images/book_p083_pdf_p101.png
84,102,page_images/book_p084_pdf_p102.png
85,103,page_images/book_p085_pdf_p103.png
86,104,page_images/book_p086_pdf_p104.png
87,105,page_images/book_p087_pdf_p105.png
88,106,page_images/book_p088_pdf_p106.png
89,107,page_images/book_p089_pdf_p107.png
90,108,page_images/book_p090_pdf_p108.png
