"Label","Source","Dest","Bytes","SHA256","Note"
"R3 8BE81510 frontier correction","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_8BE81510_FRONTIER_CORRECTION_20260706\R3_8BE81510_FRONTIER_CORRECTION_20260706T085228Z\B3_UPLOADER_READY_SUMMARY.csv","interlanguage-sidecar/rtl-persianate-arabic-8be81510-frontier-correction-20260706/R3_8BE81510_FRONTIER_CORRECTION_20260706T085228Z/B3_UPLOADER_READY_SUMMARY.csv","701","1DDFFBC0A04F2FC56393FB92466E525D7EF1BFC71630158EAB899C3A8CDAC242","R3 frontier correction/source-status carry-forward; R3 authority effect none by implication"
"R3 8BE81510 frontier correction","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_8BE81510_FRONTIER_CORRECTION_20260706\R3_8BE81510_FRONTIER_CORRECTION_20260706T085228Z\MANIFEST.csv","interlanguage-sidecar/rtl-persianate-arabic-8be81510-frontier-correction-20260706/R3_8BE81510_FRONTIER_CORRECTION_20260706T085228Z/MANIFEST.csv","3948","57F696AA2CDE5DB4ECB11D2623C0846759F9395F67DAD364727EB5FFF34AD597","R3 frontier correction/source-status carry-forward; R3 authority effect none by implication"
"R3 8BE81510 frontier correction","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_8BE81510_FRONTIER_CORRECTION_20260706\R3_8BE81510_FRONTIER_CORRECTION_20260706T085228Z\PACKAGE_VALIDATION.json","interlanguage-sidecar/rtl-persianate-arabic-8be81510-frontier-correction-20260706/R3_8BE81510_FRONTIER_CORRECTION_20260706T085228Z/PACKAGE_VALIDATION.json","934","B4B71D78F790E42E9F38B6416C82CBEB64A8BFE4D3BCADDC30591CA57DA178D7","R3 frontier correction/source-status carry-forward; R3 authority effect none by implication"
"R3 8BE81510 frontier correction","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_8BE81510_FRONTIER_CORRECTION_20260706\R3_8BE81510_FRONTIER_CORRECTION_20260706T085228Z\R3_8BE81510_BLOCKERS_RECOVERY_ROWS.csv","interlanguage-sidecar/rtl-persianate-arabic-8be81510-frontier-correction-20260706/R3_8BE81510_FRONTIER_CORRECTION_20260706T085228Z/R3_8BE81510_BLOCKERS_RECOVERY_ROWS.csv","181592","5753BA204C5A35688DA60F112AE1BB92BE303A093B00FD2C9F87A2D43E55C2F3","R3 frontier correction/source-status carry-forward; R3 authority effect none by implication"
"R3 8BE81510 frontier correction","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_8BE81510_FRONTIER_CORRECTION_20260706\R3_8BE81510_FRONTIER_CORRECTION_20260706T085228Z\R3_8BE81510_DELTA_FROM_1A1110EB.csv","interlanguage-sidecar/rtl-persianate-arabic-8be81510-frontier-correction-20260706/R3_8BE81510_FRONTIER_CORRECTION_20260706T085228Z/R3_8BE81510_DELTA_FROM_1A1110EB.csv","17448","097B61230F11AC2C96749E1C7ADF980BBDFDB25A9B304EBEFCB12ED3D3C7E8AB","R3 frontier correction/source-status carry-forward; R3 authority effect none by implication"
"R3 8BE81510 frontier correction","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_8BE81510_FRONTIER_CORRECTION_20260706\R3_8BE81510_FRONTIER_CORRECTION_20260706T085228Z\R3_8BE81510_FABLE_SOURCE_USE_ADVERSE_DO_NOT_USE_LEDGER.csv","interlanguage-sidecar/rtl-persianate-arabic-8be81510-frontier-correction-20260706/R3_8BE81510_FRONTIER_CORRECTION_20260706T085228Z/R3_8BE81510_FABLE_SOURCE_USE_ADVERSE_DO_NOT_USE_LEDGER.csv","165891","8EDC32A8B5F5F62F8D07240E411F7DCBD9A8DF17299169C9106041549449E808","R3 frontier correction/source-status carry-forward; R3 authority effect none by implication"
"R3 8BE81510 frontier correction","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_8BE81510_FRONTIER_CORRECTION_20260706\R3_8BE81510_FRONTIER_CORRECTION_20260706T085228Z\R3_8BE81510_LANGUAGE_BOUNDARY_GUARDS.csv","interlanguage-sidecar/rtl-persianate-arabic-8be81510-frontier-correction-20260706/R3_8BE81510_FRONTIER_CORRECTION_20260706T085228Z/R3_8BE81510_LANGUAGE_BOUNDARY_GUARDS.csv","2631","9C33271A83BF2F06106685A67E7C0677774D1F13BD214D594B8666F1139142DB","R3 frontier correction/source-status carry-forward; R3 authority effect none by implication"
"R3 8BE81510 frontier correction","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_8BE81510_FRONTIER_CORRECTION_20260706\R3_8BE81510_FRONTIER_CORRECTION_20260706T085228Z\R3_8BE81510_SOURCE_BODY_SOURCE_WITNESS_STATUS_REFRESH.csv","interlanguage-sidecar/rtl-persianate-arabic-8be81510-frontier-correction-20260706/R3_8BE81510_FRONTIER_CORRECTION_20260706T085228Z/R3_8BE81510_SOURCE_BODY_SOURCE_WITNESS_STATUS_REFRESH.csv","6704","1227B4DDE54546964116D89BA2392FD128A604083E9ECDF90F1848B4456C596B","R3 frontier correction/source-status carry-forward; R3 authority effect none by implication"
"R3 8BE81510 frontier correction","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_8BE81510_FRONTIER_CORRECTION_20260706\R3_8BE81510_FRONTIER_CORRECTION_20260706T085228Z\R3_8BE81510_SOURCE_GATED_DRAFT_PRETRANSLATION_REFRESH.csv","interlanguage-sidecar/rtl-persianate-arabic-8be81510-frontier-correction-20260706/R3_8BE81510_FRONTIER_CORRECTION_20260706T085228Z/R3_8BE81510_SOURCE_GATED_DRAFT_PRETRANSLATION_REFRESH.csv","185519","7C5438F815971256C7BB0DB22756B6A66EAE5D6330CA3088DB767C9EF81F52A6","R3 frontier correction/source-status carry-forward; R3 authority effect none by implication"
"R3 8BE81510 frontier correction","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_8BE81510_FRONTIER_CORRECTION_20260706\R3_8BE81510_FRONTIER_CORRECTION_20260706T085228Z\README.md","interlanguage-sidecar/rtl-persianate-arabic-8be81510-frontier-correction-20260706/R3_8BE81510_FRONTIER_CORRECTION_20260706T085228Z/README.md","693","8E63969E0F056525C21590A24A61C4FE3D9A5E24333FB420AB8D0EB26FD24969","R3 frontier correction/source-status carry-forward; R3 authority effect none by implication"
"R3 8BE81510 frontier correction","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_8BE81510_FRONTIER_CORRECTION_20260706\R3_8BE81510_FRONTIER_CORRECTION_20260706T085228Z\SHA256SUMS.txt","interlanguage-sidecar/rtl-persianate-arabic-8be81510-frontier-correction-20260706/R3_8BE81510_FRONTIER_CORRECTION_20260706T085228Z/SHA256SUMS.txt","958","329DA18A74F3F79F6C07306C4A103BB9EF8B5027B5BA0C462CC2754AE0C01186","R3 frontier correction/source-status carry-forward; R3 authority effect none by implication"
"R6 8BE81510 frontier-correction source-recovery carry-forward","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r6-indigenous-creole-sign\outputs\R6_8BE81510_FRONTIER_CORRECTION_SOURCE_RECOVERY_CARRYFORWARD_20260706\b3\B3_ROUTE.csv","uploader-transfer/r6-8be81510-frontier-correction-source-recovery-carryforward-20260706/R6_8BE81510_FRONTIER_CORRECTION_SOURCE_RECOVERY_CARRYFORWARD_20260706/b3/B3_ROUTE.csv","699","5DB240ABCABC46712D7296A18231B2C41F241641CAFB9AB48CD1B29BAD1CD4B5","R6 frontier correction/carry-forward packet; no new source bodies or draft widening"
"R6 8BE81510 frontier-correction source-recovery carry-forward","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r6-indigenous-creole-sign\outputs\R6_8BE81510_FRONTIER_CORRECTION_SOURCE_RECOVERY_CARRYFORWARD_20260706\blockers\R6_8BE81510_BLOCKERS_AND_NEXT_ACTIONS_CARRY_FORWARD.csv","uploader-transfer/r6-8be81510-frontier-correction-source-recovery-carryforward-20260706/R6_8BE81510_FRONTIER_CORRECTION_SOURCE_RECOVERY_CARRYFORWARD_20260706/blockers/R6_8BE81510_BLOCKERS_AND_NEXT_ACTIONS_CARRY_FORWARD.csv","4889","65AD03BFF3A17F48126864420E0B7EBFBCB8AFA0C75DDAE44BB805A0E70EB78F","R6 frontier correction/carry-forward packet; no new source bodies or draft widening"
"R6 8BE81510 frontier-correction source-recovery carry-forward","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r6-indigenous-creole-sign\outputs\R6_8BE81510_FRONTIER_CORRECTION_SOURCE_RECOVERY_CARRYFORWARD_20260706\carry-forward\R6_8BE81510_PACKET_COUNTS.csv","uploader-transfer/r6-8be81510-frontier-correction-source-recovery-carryforward-20260706/R6_8BE81510_FRONTIER_CORRECTION_SOURCE_RECOVERY_CARRYFORWARD_20260706/carry-forward/R6_8BE81510_PACKET_COUNTS.csv","1019","1ABF324A692F3B91ADB13C94FBB405297A78723BCA3C34F37C7982841F67AE86","R6 frontier correction/carry-forward packet; no new source bodies or draft widening"
