"root","local_path","repo_path","bytes","sha256","boundary"
"R3_5C87F666_2B1_CURRENT_HEAD_SOURCE_USE_GAP_AUDIT","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_5C87F666_2B1_CURRENT_HEAD_SOURCE_USE_GAP_AUDIT_20260706\R3_5C87F666_2B1_CURRENT_HEAD_SOURCE_USE_GAP_AUDIT_20260706_20260706T213604Z\B3_UPLOADER_READY_SUMMARY.csv","interlanguage-sidecar/rtl-persianate-arabic-5c87f666-2b1-current-head-source-use-gap-audit-20260706/R3_5C87F666_2B1_CURRENT_HEAD_SOURCE_USE_GAP_AUDIT_20260706_20260706T213604Z/B3_UPLOADER_READY_SUMMARY.csv","854","bea5c92c1252c5a5e764235e9d3b98e2b7140af419e33abbd30af122dd848e0e","source-use/gap/draft-noncanonical review-only; Arabic/fa_IR/Dari/Tajik/Urdu-Hindustani/Ottoman/Pan-Turkic gates separate; no review/license/gate/final claims"
"R3_5C87F666_2B1_CURRENT_HEAD_SOURCE_USE_GAP_AUDIT","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_5C87F666_2B1_CURRENT_HEAD_SOURCE_USE_GAP_AUDIT_20260706\R3_5C87F666_2B1_CURRENT_HEAD_SOURCE_USE_GAP_AUDIT_20260706_20260706T213604Z\MANIFEST.csv","interlanguage-sidecar/rtl-persianate-arabic-5c87f666-2b1-current-head-source-use-gap-audit-20260706/R3_5C87F666_2B1_CURRENT_HEAD_SOURCE_USE_GAP_AUDIT_20260706_20260706T213604Z/MANIFEST.csv","2666","75548fa6cca13c6cea3ddd41b1fe85bf2e0c4d18841339f482e3127ca6b0b593","source-use/gap/draft-noncanonical review-only; Arabic/fa_IR/Dari/Tajik/Urdu-Hindustani/Ottoman/Pan-Turkic gates separate; no review/license/gate/final claims"
"R3_5C87F666_2B1_CURRENT_HEAD_SOURCE_USE_GAP_AUDIT","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_5C87F666_2B1_CURRENT_HEAD_SOURCE_USE_GAP_AUDIT_20260706\R3_5C87F666_2B1_CURRENT_HEAD_SOURCE_USE_GAP_AUDIT_20260706_20260706T213604Z\PACKAGE_VALIDATION.json","interlanguage-sidecar/rtl-persianate-arabic-5c87f666-2b1-current-head-source-use-gap-audit-20260706/R3_5C87F666_2B1_CURRENT_HEAD_SOURCE_USE_GAP_AUDIT_20260706_20260706T213604Z/PACKAGE_VALIDATION.json","1076","fd97ed6c873cc25fcd05371c151b16d508fd43a108ac5675c4f0d5e06c0f0f5f","source-use/gap/draft-noncanonical review-only; Arabic/fa_IR/Dari/Tajik/Urdu-Hindustani/Ottoman/Pan-Turkic gates separate; no review/license/gate/final claims"
"R3_5C87F666_2B1_CURRENT_HEAD_SOURCE_USE_GAP_AUDIT","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_5C87F666_2B1_CURRENT_HEAD_SOURCE_USE_GAP_AUDIT_20260706\R3_5C87F666_2B1_CURRENT_HEAD_SOURCE_USE_GAP_AUDIT_20260706_20260706T213604Z\R3_5C87F666_BLOCKERS_AND_RECOVERY_ROWS.csv","interlanguage-sidecar/rtl-persianate-arabic-5c87f666-2b1-current-head-source-use-gap-audit-20260706/R3_5C87F666_2B1_CURRENT_HEAD_SOURCE_USE_GAP_AUDIT_20260706_20260706T213604Z/R3_5C87F666_BLOCKERS_AND_RECOVERY_ROWS.csv","846","1cbe52039838bc3b38ea46c490486ee7a416e6440e65b7f8e467b0ba1960d52f","source-use/gap/draft-noncanonical review-only; Arabic/fa_IR/Dari/Tajik/Urdu-Hindustani/Ottoman/Pan-Turkic gates separate; no review/license/gate/final claims"
"R3_5C87F666_2B1_CURRENT_HEAD_SOURCE_USE_GAP_AUDIT","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_5C87F666_2B1_CURRENT_HEAD_SOURCE_USE_GAP_AUDIT_20260706\R3_5C87F666_2B1_CURRENT_HEAD_SOURCE_USE_GAP_AUDIT_20260706_20260706T213604Z\R3_5C87F666_BRANCH_COMMITS_FROM_2B1FED31.csv","interlanguage-sidecar/rtl-persianate-arabic-5c87f666-2b1-current-head-source-use-gap-audit-20260706/R3_5C87F666_2B1_CURRENT_HEAD_SOURCE_USE_GAP_AUDIT_20260706_20260706T213604Z/R3_5C87F666_BRANCH_COMMITS_FROM_2B1FED31.csv","123","e68bb117387a4209523857b00cb2f4393ac1d292f0c91578867149a373f4c80c","source-use/gap/draft-noncanonical review-only; Arabic/fa_IR/Dari/Tajik/Urdu-Hindustani/Ottoman/Pan-Turkic gates separate; no review/license/gate/final claims"
"R3_5C87F666_2B1_CURRENT_HEAD_SOURCE_USE_GAP_AUDIT","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_5C87F666_2B1_CURRENT_HEAD_SOURCE_USE_GAP_AUDIT_20260706\R3_5C87F666_2B1_CURRENT_HEAD_SOURCE_USE_GAP_AUDIT_20260706_20260706T213604Z\R3_5C87F666_BRANCH_DELTA_FROM_2B1FED31.csv","interlanguage-sidecar/rtl-persianate-arabic-5c87f666-2b1-current-head-source-use-gap-audit-20260706/R3_5C87F666_2B1_CURRENT_HEAD_SOURCE_USE_GAP_AUDIT_20260706_20260706T213604Z/R3_5C87F666_BRANCH_DELTA_FROM_2B1FED31.csv","30044","e14f2350135b151f7e3be8569a7a63181d9ef97078869ea2d1f7b638e86db2da","source-use/gap/draft-noncanonical review-only; Arabic/fa_IR/Dari/Tajik/Urdu-Hindustani/Ottoman/Pan-Turkic gates separate; no review/license/gate/final claims"
"R3_5C87F666_2B1_CURRENT_HEAD_SOURCE_USE_GAP_AUDIT","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_5C87F666_2B1_CURRENT_HEAD_SOURCE_USE_GAP_AUDIT_20260706\R3_5C87F666_2B1_CURRENT_HEAD_SOURCE_USE_GAP_AUDIT_20260706_20260706T213604Z\R3_5C87F666_BRANCH_VISIBLE_2B1_MANIFEST_ROWS.csv","interlanguage-sidecar/rtl-persianate-arabic-5c87f666-2b1-current-head-source-use-gap-audit-20260706/R3_5C87F666_2B1_CURRENT_HEAD_SOURCE_USE_GAP_AUDIT_20260706_20260706T213604Z/R3_5C87F666_BRANCH_VISIBLE_2B1_MANIFEST_ROWS.csv","2918","1717fbb1cf313da3db14029627613d6263997964bf49adc58074079af3da5972","source-use/gap/draft-noncanonical review-only; Arabic/fa_IR/Dari/Tajik/Urdu-Hindustani/Ottoman/Pan-Turkic gates separate; no review/license/gate/final claims"
"R3_5C87F666_2B1_CURRENT_HEAD_SOURCE_USE_GAP_AUDIT","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_5C87F666_2B1_CURRENT_HEAD_SOURCE_USE_GAP_AUDIT_20260706\R3_5C87F666_2B1_CURRENT_HEAD_SOURCE_USE_GAP_AUDIT_20260706_20260706T213604Z\R3_5C87F666_BRANCH_VISIBLE_2B1_PACKET_HASH_CHECK.csv","interlanguage-sidecar/rtl-persianate-arabic-5c87f666-2b1-current-head-source-use-gap-audit-20260706/R3_5C87F666_2B1_CURRENT_HEAD_SOURCE_USE_GAP_AUDIT_20260706_20260706T213604Z/R3_5C87F666_BRANCH_VISIBLE_2B1_PACKET_HASH_CHECK.csv","8829","1fe696a53cb203fb8d9608fce868f05b38e544007c2e9825910b1d2ddd08d9f6","source-use/gap/draft-noncanonical review-only; Arabic/fa_IR/Dari/Tajik/Urdu-Hindustani/Ottoman/Pan-Turkic gates separate; no review/license/gate/final claims"
"R3_5C87F666_2B1_CURRENT_HEAD_SOURCE_USE_GAP_AUDIT","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_5C87F666_2B1_CURRENT_HEAD_SOURCE_USE_GAP_AUDIT_20260706\R3_5C87F666_2B1_CURRENT_HEAD_SOURCE_USE_GAP_AUDIT_20260706_20260706T213604Z\R3_5C87F666_CARRIED_FORWARD_2B1_SOURCE_USE_GAP_ROWS.csv","interlanguage-sidecar/rtl-persianate-arabic-5c87f666-2b1-current-head-source-use-gap-audit-20260706/R3_5C87F666_2B1_CURRENT_HEAD_SOURCE_USE_GAP_AUDIT_20260706_20260706T213604Z/R3_5C87F666_CARRIED_FORWARD_2B1_SOURCE_USE_GAP_ROWS.csv","1818","a923801f02eb4dbef1a8c5520d7e8e29070b6ccae8237e88efddb4f48345bfbb","source-use/gap/draft-noncanonical review-only; Arabic/fa_IR/Dari/Tajik/Urdu-Hindustani/Ottoman/Pan-Turkic gates separate; no review/license/gate/final claims"
"R3_5C87F666_2B1_CURRENT_HEAD_SOURCE_USE_GAP_AUDIT","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_5C87F666_2B1_CURRENT_HEAD_SOURCE_USE_GAP_AUDIT_20260706\R3_5C87F666_2B1_CURRENT_HEAD_SOURCE_USE_GAP_AUDIT_20260706_20260706T213604Z\R3_5C87F666_INCOMING_WAKE_DEDUP.csv","interlanguage-sidecar/rtl-persianate-arabic-5c87f666-2b1-current-head-source-use-gap-audit-20260706/R3_5C87F666_2B1_CURRENT_HEAD_SOURCE_USE_GAP_AUDIT_20260706_20260706T213604Z/R3_5C87F666_INCOMING_WAKE_DEDUP.csv","476","68aa30b630d0834e96b69aff59a13c85280d0dcd365a53eeb3d7fe6adc6cbdbf","source-use/gap/draft-noncanonical review-only; Arabic/fa_IR/Dari/Tajik/Urdu-Hindustani/Ottoman/Pan-Turkic gates separate; no review/license/gate/final claims"
"R3_5C87F666_2B1_CURRENT_HEAD_SOURCE_USE_GAP_AUDIT","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_5C87F666_2B1_CURRENT_HEAD_SOURCE_USE_GAP_AUDIT_20260706\R3_5C87F666_2B1_CURRENT_HEAD_SOURCE_USE_GAP_AUDIT_20260706_20260706T213604Z\R3_5C87F666_SOURCE_USE_FACT_CHANGE_AUDIT.csv","interlanguage-sidecar/rtl-persianate-arabic-5c87f666-2b1-current-head-source-use-gap-audit-20260706/R3_5C87F666_2B1_CURRENT_HEAD_SOURCE_USE_GAP_AUDIT_20260706_20260706T213604Z/R3_5C87F666_SOURCE_USE_FACT_CHANGE_AUDIT.csv","1059","347fa8fc92bb92daaafe7155ca849c581b071d5ddf104e52b1ec17a0513ced0e","source-use/gap/draft-noncanonical review-only; Arabic/fa_IR/Dari/Tajik/Urdu-Hindustani/Ottoman/Pan-Turkic gates separate; no review/license/gate/final claims"
"R3_5C87F666_2B1_CURRENT_HEAD_SOURCE_USE_GAP_AUDIT","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_5C87F666_2B1_CURRENT_HEAD_SOURCE_USE_GAP_AUDIT_20260706\R3_5C87F666_2B1_CURRENT_HEAD_SOURCE_USE_GAP_AUDIT_20260706_20260706T213604Z\README.md","interlanguage-sidecar/rtl-persianate-arabic-5c87f666-2b1-current-head-source-use-gap-audit-20260706/R3_5C87F666_2B1_CURRENT_HEAD_SOURCE_USE_GAP_AUDIT_20260706_20260706T213604Z/README.md","1179","27f6df047fe09729d32978d9568bb7f4035628204209dc9df24081fc72001428","source-use/gap/draft-noncanonical review-only; Arabic/fa_IR/Dari/Tajik/Urdu-Hindustani/Ottoman/Pan-Turkic gates separate; no review/license/gate/final claims"
"R3_5C87F666_2B1_CURRENT_HEAD_SOURCE_USE_GAP_AUDIT","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_5C87F666_2B1_CURRENT_HEAD_SOURCE_USE_GAP_AUDIT_20260706\R3_5C87F666_2B1_CURRENT_HEAD_SOURCE_USE_GAP_AUDIT_20260706_20260706T213604Z\SHA256SUMS.txt","interlanguage-sidecar/rtl-persianate-arabic-5c87f666-2b1-current-head-source-use-gap-audit-20260706/R3_5C87F666_2B1_CURRENT_HEAD_SOURCE_USE_GAP_AUDIT_20260706_20260706T213604Z/SHA256SUMS.txt","2046","47e94057fc4b022bf29b8dba6389aafb4775338a2bb154caaaac2943fdf53c41","source-use/gap/draft-noncanonical review-only; Arabic/fa_IR/Dari/Tajik/Urdu-Hindustani/Ottoman/Pan-Turkic gates separate; no review/license/gate/final claims"
