ordinal,branch_path,cjk_signal,source_use_decision,delta_base,delta_head,non_claim_boundary
1,transfer-audits/session12-20260705/B3_WHOLE_CORPUS_33B23_PACKAGE_QUEUE_20260706/B3_POST_91556CC1_NONSLAVIC_RECHECK_OLP_BOUNDARY_BATCH_20260707/BRANCH_AND_ROUTE_CONTEXT.csv,no,post-08BC branch/route context only unless paired with local CJK source witness/codepoint row,91556cc180a9b5f5ca686933aa14ebddd9e3bfdb,e29c04c47fbbdf2ec1a0c152413bc5b00d08bede,"CJK native/source evidence, source-use, codepoint, and gap recovery only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, pan-CJK authority, Korean-school authority, public/native signoff, visual inventory, term spine, sign rendering, or translation completion claim."
2,transfer-audits/session12-20260705/B3_WHOLE_CORPUS_33B23_PACKAGE_QUEUE_20260706/B3_POST_91556CC1_NONSLAVIC_RECHECK_OLP_BOUNDARY_BATCH_20260707/MANIFEST.csv,no,post-08BC branch/route context only unless paired with local CJK source witness/codepoint row,91556cc180a9b5f5ca686933aa14ebddd9e3bfdb,e29c04c47fbbdf2ec1a0c152413bc5b00d08bede,"CJK native/source evidence, source-use, codepoint, and gap recovery only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, pan-CJK authority, Korean-school authority, public/native signoff, visual inventory, term spine, sign rendering, or translation completion claim."
3,transfer-audits/session12-20260705/B3_WHOLE_CORPUS_33B23_PACKAGE_QUEUE_20260706/B3_POST_91556CC1_NONSLAVIC_RECHECK_OLP_BOUNDARY_BATCH_20260707/MANIFEST_REPLAY.csv,no,post-08BC branch/route context only unless paired with local CJK source witness/codepoint row,91556cc180a9b5f5ca686933aa14ebddd9e3bfdb,e29c04c47fbbdf2ec1a0c152413bc5b00d08bede,"CJK native/source evidence, source-use, codepoint, and gap recovery only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, pan-CJK authority, Korean-school authority, public/native signoff, visual inventory, term spine, sign rendering, or translation completion claim."
4,transfer-audits/session12-20260705/B3_WHOLE_CORPUS_33B23_PACKAGE_QUEUE_20260706/B3_POST_91556CC1_NONSLAVIC_RECHECK_OLP_BOUNDARY_BATCH_20260707/PACKAGE_FILE_LEDGER.csv,no,post-08BC branch/route context only unless paired with local CJK source witness/codepoint row,91556cc180a9b5f5ca686933aa14ebddd9e3bfdb,e29c04c47fbbdf2ec1a0c152413bc5b00d08bede,"CJK native/source evidence, source-use, codepoint, and gap recovery only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, pan-CJK authority, Korean-school authority, public/native signoff, visual inventory, term spine, sign rendering, or translation completion claim."
5,transfer-audits/session12-20260705/B3_WHOLE_CORPUS_33B23_PACKAGE_QUEUE_20260706/B3_POST_91556CC1_NONSLAVIC_RECHECK_OLP_BOUNDARY_BATCH_20260707/README.md,no,post-08BC branch/route context only unless paired with local CJK source witness/codepoint row,91556cc180a9b5f5ca686933aa14ebddd9e3bfdb,e29c04c47fbbdf2ec1a0c152413bc5b00d08bede,"CJK native/source evidence, source-use, codepoint, and gap recovery only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, pan-CJK authority, Korean-school authority, public/native signoff, visual inventory, term spine, sign rendering, or translation completion claim."
6,transfer-audits/session12-20260705/B3_WHOLE_CORPUS_33B23_PACKAGE_QUEUE_20260706/B3_POST_91556CC1_NONSLAVIC_RECHECK_OLP_BOUNDARY_BATCH_20260707/ROOT_PACKAGE_SUMMARY.csv,no,post-08BC branch/route context only unless paired with local CJK source witness/codepoint row,91556cc180a9b5f5ca686933aa14ebddd9e3bfdb,e29c04c47fbbdf2ec1a0c152413bc5b00d08bede,"CJK native/source evidence, source-use, codepoint, and gap recovery only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, pan-CJK authority, Korean-school authority, public/native signoff, visual inventory, term spine, sign rendering, or translation completion claim."
7,transfer-audits/session12-20260705/B3_WHOLE_CORPUS_33B23_PACKAGE_QUEUE_20260706/B3_POST_91556CC1_NONSLAVIC_RECHECK_OLP_BOUNDARY_BATCH_20260707/SAFETY_SCAN_HITS.csv,no,post-08BC branch/route context only unless paired with local CJK source witness/codepoint row,91556cc180a9b5f5ca686933aa14ebddd9e3bfdb,e29c04c47fbbdf2ec1a0c152413bc5b00d08bede,"CJK native/source evidence, source-use, codepoint, and gap recovery only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, pan-CJK authority, Korean-school authority, public/native signoff, visual inventory, term spine, sign rendering, or translation completion claim."
8,transfer-audits/session12-20260705/B3_WHOLE_CORPUS_33B23_PACKAGE_QUEUE_20260706/B3_POST_91556CC1_NONSLAVIC_RECHECK_OLP_BOUNDARY_BATCH_20260707/SHA256SUMS.txt,no,post-08BC branch/route context only unless paired with local CJK source witness/codepoint row,91556cc180a9b5f5ca686933aa14ebddd9e3bfdb,e29c04c47fbbdf2ec1a0c152413bc5b00d08bede,"CJK native/source evidence, source-use, codepoint, and gap recovery only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, pan-CJK authority, Korean-school authority, public/native signoff, visual inventory, term spine, sign rendering, or translation completion claim."
9,transfer-audits/session12-20260705/B3_WHOLE_CORPUS_33B23_PACKAGE_QUEUE_20260706/B3_POST_91556CC1_NONSLAVIC_RECHECK_OLP_BOUNDARY_BATCH_20260707/SHA256SUMS_REPLAY.csv,no,post-08BC branch/route context only unless paired with local CJK source witness/codepoint row,91556cc180a9b5f5ca686933aa14ebddd9e3bfdb,e29c04c47fbbdf2ec1a0c152413bc5b00d08bede,"CJK native/source evidence, source-use, codepoint, and gap recovery only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, pan-CJK authority, Korean-school authority, public/native signoff, visual inventory, term spine, sign rendering, or translation completion claim."
10,transfer-audits/session12-20260705/B3_WHOLE_CORPUS_33B23_PACKAGE_QUEUE_20260706/B3_POST_91556CC1_NONSLAVIC_RECHECK_OLP_BOUNDARY_BATCH_20260707/SUMMARY.json,no,post-08BC branch/route context only unless paired with local CJK source witness/codepoint row,91556cc180a9b5f5ca686933aa14ebddd9e3bfdb,e29c04c47fbbdf2ec1a0c152413bc5b00d08bede,"CJK native/source evidence, source-use, codepoint, and gap recovery only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, pan-CJK authority, Korean-school authority, public/native signoff, visual inventory, term spine, sign rendering, or translation completion claim."
