"alias","branch_path","packet_copy","bytes","sha256","csv_rows","use_in_r3"
"non_slavic_7b_summary","coordination/non-slavic-core-7b34ec91-eight-lane-current-routing-20260707/NON_SLAVIC_CORE_7B34EC91_EIGHT_LANE_CURRENT_ROUTING_20260707/SUMMARY.json","branch-visible-inputs/non_slavic_7b_summary__SUMMARY.json","1569","db877d43167400bbb8281b1fb2f9b67d96869c7737fa5c4ce39cb4706c9b474d","0","parent eight-lane route context only"
"non_slavic_7b_source_use_gap_rollup","coordination/non-slavic-core-7b34ec91-eight-lane-current-routing-20260707/NON_SLAVIC_CORE_7B34EC91_EIGHT_LANE_CURRENT_ROUTING_20260707/SOURCE_USE_GAP_FABLE_ADVERSE_ROLLUP_7B34EC91.csv","branch-visible-inputs/non_slavic_7b_source_use_gap_rollup__SOURCE_USE_GAP_FABLE_ADVERSE_ROLLUP_7B34EC91.csv","6312","8b06dacf8e4064f9d340a0dae2c61878458c5189a1cc06b392ad09412e85816e","8","source-use/gap/Fable rollup context; no R3 gate promotion"
"non_slavic_7b_blockers","coordination/non-slavic-core-7b34ec91-eight-lane-current-routing-20260707/NON_SLAVIC_CORE_7B34EC91_EIGHT_LANE_CURRENT_ROUTING_20260707/EXACT_BLOCKER_RECOVERY_ROWS_7B34EC91.csv","branch-visible-inputs/non_slavic_7b_blockers__EXACT_BLOCKER_RECOVERY_ROWS_7B34EC91.csv","7829","bae55fd7ce25acd80d8020793556db209f35e26f03f9c774d408f8cc8fa50111","11","parent blocker/recovery context"
"non_slavic_7b_route_status","coordination/non-slavic-core-7b34ec91-eight-lane-current-routing-20260707/NON_SLAVIC_CORE_7B34EC91_EIGHT_LANE_CURRENT_ROUTING_20260707/EIGHT_LANE_ROUTE_STATUS_ROWS_7B34EC91.csv","branch-visible-inputs/non_slavic_7b_route_status__EIGHT_LANE_ROUTE_STATUS_ROWS_7B34EC91.csv","7425","21d0bd57044e59e9f5075aa66b4e8e38f8228f38cf604dde31139e357801d35b","8","route status context only"
"non_slavic_a55_summary","coordination/non-slavic-core-a55a9d0f-r3-r6-accounting-refresh-route-20260707/NON_SLAVIC_CORE_A55A9D0F_R3_R6_ACCOUNTING_REFRESH_ROUTE_20260707/SUMMARY.json","branch-visible-inputs/non_slavic_a55_summary__SUMMARY.json","1253","245c923ce1e2cf9a29566a065aab0dc59579e28f717bc4c74abb0e0bea265add","0","A55 R3/R6 accounting route context only"
"non_slavic_a55_source_use_gap_rollup","coordination/non-slavic-core-a55a9d0f-r3-r6-accounting-refresh-route-20260707/NON_SLAVIC_CORE_A55A9D0F_R3_R6_ACCOUNTING_REFRESH_ROUTE_20260707/SOURCE_USE_GAP_FABLE_ADVERSE_ROLLUP_A55A9D0F.csv","branch-visible-inputs/non_slavic_a55_source_use_gap_rollup__SOURCE_USE_GAP_FABLE_ADVERSE_ROLLUP_A55A9D0F.csv","1375","f38aecbe21bfd1b897f69eed1648de08b2c01684c998265761b182693fa7087c","4","A55 source-use/gap/Fable rollup context; no authority merge"
"non_slavic_a55_blockers","coordination/non-slavic-core-a55a9d0f-r3-r6-accounting-refresh-route-20260707/NON_SLAVIC_CORE_A55A9D0F_R3_R6_ACCOUNTING_REFRESH_ROUTE_20260707/EXACT_BLOCKER_RECOVERY_ROWS_A55A9D0F.csv","branch-visible-inputs/non_slavic_a55_blockers__EXACT_BLOCKER_RECOVERY_ROWS_A55A9D0F.csv","1653","c1c19787f8f855419b21c187fbed4be8c4931402395237dee32a536d1724a8e9","6","A55 blocker/recovery route context"
"non_slavic_a55_child_inventory","coordination/non-slavic-core-a55a9d0f-r3-r6-accounting-refresh-route-20260707/NON_SLAVIC_CORE_A55A9D0F_R3_R6_ACCOUNTING_REFRESH_ROUTE_20260707/CHILD_PACKAGE_INVENTORY_A55A9D0F.csv","branch-visible-inputs/non_slavic_a55_child_inventory__CHILD_PACKAGE_INVENTORY_A55A9D0F.csv","1575","dacaa6d8f8542e939179f1f57a17e6bdcc1b33dd3361aee3104a189b4b89e0f0","4","child package inventory context"
"branch_visible_r3_7b_package_validation","interlanguage-sidecar/r3-7b34ec91-branch-visible-1a-persianate-route-source-use-gap-20260707/R3_7B34EC91_BRANCH_VISIBLE_1A_PERSIANATE_ROUTE_SOURCE_USE_GAP_20260707_20260707T035624Z/PACKAGE_VALIDATION.json","branch-visible-inputs/branch_visible_r3_7b_package_validation__PACKAGE_VALIDATION.json","1357","431b7670176c6da42ebea5df0f42fe7f1b2ac192f6925318c07e8b53207ea012","0","R3 branch-visible prior packet validation witness"
"branch_visible_r3_7b_source_use_gap","interlanguage-sidecar/r3-7b34ec91-branch-visible-1a-persianate-route-source-use-gap-20260707/R3_7B34EC91_BRANCH_VISIBLE_1A_PERSIANATE_ROUTE_SOURCE_USE_GAP_20260707_20260707T035624Z/R3_7B34EC91_SOURCE_USE_GAP_RECOVERY_ROWS.csv","branch-visible-inputs/branch_visible_r3_7b_source_use_gap__R3_7B34EC91_SOURCE_USE_GAP_RECOVERY_ROWS.csv","1656","212041331a7f95de07ed10f8fb5c045bca938bfef0b2057262d34e1cd0536de3","5","R3 source-use/gap carryforward"
