"current_frontier","label","lane","path","exists","file_count","csv_count","boundary"
"49d0983c2d071a6885d18d969bc85f26f14033e8","non_slavic_61f_route_packet","non_slavic_core","C:\Users\memo_\Documents\Codex\2026-07-04\noether-non-slavic-core-lane\outputs\NON_SLAVIC_CORE_61F213FA_9F_OLP_SOURCE_USE_INTERLINEAR_ROUTE_20260707","True","18","14","61F route packet now branch-visible at 49D; no source-body promotion"
"49d0983c2d071a6885d18d969bc85f26f14033e8","b3_61f_olp_review_boundary","b3_package_steward","C:\Users\memo_\Documents\Codex\2026-07-04\noether-github-package-steward-b3\outputs\B3_POST_61F213FA_OLP_REVIEW_BOUNDARY_VISIBILITY_BATCH_20260707","True","12","9","B3 package audit/provenance only"
"49d0983c2d071a6885d18d969bc85f26f14033e8","b3_a942_nonslavic_61f_route","b3_package_steward","C:\Users\memo_\Documents\Codex\2026-07-04\noether-github-package-steward-b3\outputs\B3_POST_A942E99D_NONSLAVIC_61F_OLP_SOURCE_USE_INTERLINEAR_ROUTE_20260707","True","11","8","B3 package audit/provenance only"
"49d0983c2d071a6885d18d969bc85f26f14033e8","olp_61f_review_boundary","olp_relation_function_support","C:\Users\memo_\Documents\Codex\2026-07-04\noether-olp-relation-function-support\outputs\OLP_61F213FA_REVIEW_BOUNDARY_9F_PACKAGE_VISIBILITY_20260707","True","14","10","review-boundary visibility; reviewer/mapping/translation/approval deltas zero"
"49d0983c2d071a6885d18d969bc85f26f14033e8","olp_61f_source_use_fable","olp_relation_function_support","C:\Users\memo_\Documents\Codex\2026-07-04\noether-olp-relation-function-support\outputs\OLP_61F213FA_SOURCE_USE_FABLE_9F_PACKAGE_VISIBILITY_20260707","True","16","12","source-use/Fable package visibility; no approval"
"49d0983c2d071a6885d18d969bc85f26f14033e8","olp_61f_interlinear_terminology","olp_relation_function_support","C:\Users\memo_\Documents\Codex\2026-07-04\noether-olp-relation-function-support\outputs\OLP_61F213FA_INTERLINEAR_TERMINOLOGY_9F_PACKAGE_VISIBILITY_20260707","True","15","11","generated-draft/non-canonical interlinear support"
"49d0983c2d071a6885d18d969bc85f26f14033e8","cjk_61f_source_use_codepoint","cjk_native_source","C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-native-source-evidence\outputs\CJK_NATIVE_61F213FA_FRONTIER_ADVANCE_SOURCE_USE_CODEPOINT_FABLE_20260707","True","22","15","CJK source-use/codepoint carryforward; no pan-CJK authority"
"49d0983c2d071a6885d18d969bc85f26f14033e8","r9_61f_recovery","r9_africa_horn_west","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r9-africa-horn-west\outputs\R9_61F213FA_FRONTIER_CORRECTION_RECOVERY_20260707","True","14","9","source-use/gap/Fable/adverse carryforward"
"49d0983c2d071a6885d18d969bc85f26f14033e8","r2_61f_accounting","r2_pan_turkic","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\R2_61F213FA_CURRENT_FRONTIER_SOURCE_USE_ACCOUNTING_20260707","True","76","60","hard-blocker carryforward; no bridge/pilot"
"49d0983c2d071a6885d18d969bc85f26f14033e8","r7_61f_carryforward","r7_malay_sea_pacific","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r7-malay-sea-pacific\outputs\R7_61F213FA_FRONTIER_CORRECTION_AFTER_REPORTED_9F_SOURCE_USE_GAP_20260707","True","14","10","source-use/gap carryforward"
"49d0983c2d071a6885d18d969bc85f26f14033e8","interlanguage_61f_governance","interlanguage_fable_authority","C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\INTERLANGUAGE_FABLE_61F213FA_E29_TO_9F_CURRENT_FRONTIER_GOVERNANCE_20260707","True","41","21","governance/source-use/adverse; no approval"
"49d0983c2d071a6885d18d969bc85f26f14033e8","slavic_61f_watcher","slavic_baseline_context","C:\Users\memo_\Documents\Codex\2026-07-04\noether-slavic-canonical-baseline\outputs\SLAVIC_61F213FA_9F_OLP_INTERLINEAR_ROUTE_WATCHER_20260707","False","0","0","watcher context only"
