"prior_frontier","current_frontier","filename","status","additions","deletions","changes","category","source_body_impact"
"9f97502ef4bb6fdb94bfe95290a3cecbe5c064e8","61f213fafabc80e526dcb5a169b9a5e47732e4d8","transfer-audits/session12-20260705/B3_WHOLE_CORPUS_33B23_PACKAGE_QUEUE_20260706/B3_POST_9F97502E_OLP_SOURCE_USE_INTERLINEAR_ROUTE_REFRESH_BATCH_20260707/BRANCH_AND_ROUTE_CONTEXT.csv","added","7","0","7","olp_relation_function_support","support/source-use/interlinear route context; no source-body promotion"
"9f97502ef4bb6fdb94bfe95290a3cecbe5c064e8","61f213fafabc80e526dcb5a169b9a5e47732e4d8","transfer-audits/session12-20260705/B3_WHOLE_CORPUS_33B23_PACKAGE_QUEUE_20260706/B3_POST_9F97502E_OLP_SOURCE_USE_INTERLINEAR_ROUTE_REFRESH_BATCH_20260707/MANIFEST.csv","added","10","0","10","olp_relation_function_support","support/source-use/interlinear route context; no source-body promotion"
"9f97502ef4bb6fdb94bfe95290a3cecbe5c064e8","61f213fafabc80e526dcb5a169b9a5e47732e4d8","transfer-audits/session12-20260705/B3_WHOLE_CORPUS_33B23_PACKAGE_QUEUE_20260706/B3_POST_9F97502E_OLP_SOURCE_USE_INTERLINEAR_ROUTE_REFRESH_BATCH_20260707/MANIFEST_REPLAY.csv","added","26","0","26","olp_relation_function_support","support/source-use/interlinear route context; no source-body promotion"
"9f97502ef4bb6fdb94bfe95290a3cecbe5c064e8","61f213fafabc80e526dcb5a169b9a5e47732e4d8","transfer-audits/session12-20260705/B3_WHOLE_CORPUS_33B23_PACKAGE_QUEUE_20260706/B3_POST_9F97502E_OLP_SOURCE_USE_INTERLINEAR_ROUTE_REFRESH_BATCH_20260707/PACKAGE_FILE_LEDGER.csv","added","34","0","34","olp_relation_function_support","support/source-use/interlinear route context; no source-body promotion"
"9f97502ef4bb6fdb94bfe95290a3cecbe5c064e8","61f213fafabc80e526dcb5a169b9a5e47732e4d8","transfer-audits/session12-20260705/B3_WHOLE_CORPUS_33B23_PACKAGE_QUEUE_20260706/B3_POST_9F97502E_OLP_SOURCE_USE_INTERLINEAR_ROUTE_REFRESH_BATCH_20260707/README.md","added","11","0","11","olp_relation_function_support","support/source-use/interlinear route context; no source-body promotion"
"9f97502ef4bb6fdb94bfe95290a3cecbe5c064e8","61f213fafabc80e526dcb5a169b9a5e47732e4d8","transfer-audits/session12-20260705/B3_WHOLE_CORPUS_33B23_PACKAGE_QUEUE_20260706/B3_POST_9F97502E_OLP_SOURCE_USE_INTERLINEAR_ROUTE_REFRESH_BATCH_20260707/ROOT_PACKAGE_SUMMARY.csv","added","3","0","3","olp_relation_function_support","support/source-use/interlinear route context; no source-body promotion"
"9f97502ef4bb6fdb94bfe95290a3cecbe5c064e8","61f213fafabc80e526dcb5a169b9a5e47732e4d8","transfer-audits/session12-20260705/B3_WHOLE_CORPUS_33B23_PACKAGE_QUEUE_20260706/B3_POST_9F97502E_OLP_SOURCE_USE_INTERLINEAR_ROUTE_REFRESH_BATCH_20260707/SAFETY_SCAN_HITS.csv","added","0","0","0","olp_relation_function_support","support/source-use/interlinear route context; no source-body promotion"
"9f97502ef4bb6fdb94bfe95290a3cecbe5c064e8","61f213fafabc80e526dcb5a169b9a5e47732e4d8","transfer-audits/session12-20260705/B3_WHOLE_CORPUS_33B23_PACKAGE_QUEUE_20260706/B3_POST_9F97502E_OLP_SOURCE_USE_INTERLINEAR_ROUTE_REFRESH_BATCH_20260707/SHA256SUMS.txt","added","9","0","9","olp_relation_function_support","support/source-use/interlinear route context; no source-body promotion"
"9f97502ef4bb6fdb94bfe95290a3cecbe5c064e8","61f213fafabc80e526dcb5a169b9a5e47732e4d8","transfer-audits/session12-20260705/B3_WHOLE_CORPUS_33B23_PACKAGE_QUEUE_20260706/B3_POST_9F97502E_OLP_SOURCE_USE_INTERLINEAR_ROUTE_REFRESH_BATCH_20260707/SHA256SUMS_REPLAY.csv","added","28","0","28","olp_relation_function_support","support/source-use/interlinear route context; no source-body promotion"
"9f97502ef4bb6fdb94bfe95290a3cecbe5c064e8","61f213fafabc80e526dcb5a169b9a5e47732e4d8","transfer-audits/session12-20260705/B3_WHOLE_CORPUS_33B23_PACKAGE_QUEUE_20260706/B3_POST_9F97502E_OLP_SOURCE_USE_INTERLINEAR_ROUTE_REFRESH_BATCH_20260707/SUMMARY.json","added","14","0","14","olp_relation_function_support","support/source-use/interlinear route context; no source-body promotion"
"9f97502ef4bb6fdb94bfe95290a3cecbe5c064e8","61f213fafabc80e526dcb5a169b9a5e47732e4d8","transfer-audits/session12-20260705/B3_WHOLE_CORPUS_33B23_PACKAGE_QUEUE_20260706/B3_POST_9F97502E_OLP_SOURCE_USE_INTERLINEAR_ROUTE_REFRESH_BATCH_20260707/TRANSFER_NOTE_LEDGER.csv","added","3","0","3","olp_relation_function_support","support/source-use/interlinear route context; no source-body promotion"
"9f97502ef4bb6fdb94bfe95290a3cecbe5c064e8","61f213fafabc80e526dcb5a169b9a5e47732e4d8","uploader-transfer/olp-9f97502e-interlinear-terminology-d214-route-refresh-20260707/OLP_9F97502E_INTERLINEAR_TERMINOLOGY_D214_ROUTE_REFRESH_20260707.md","added","19","0","19","olp_relation_function_support","support/source-use/interlinear route context; no source-body promotion"
"9f97502ef4bb6fdb94bfe95290a3cecbe5c064e8","61f213fafabc80e526dcb5a169b9a5e47732e4d8","uploader-transfer/olp-9f97502e-interlinear-terminology-d214-route-refresh-20260707/OLP_9F97502E_INTERLINEAR_TERMINOLOGY_D214_ROUTE_REFRESH_20260707/BLOCKER_RECOVERY_ROWS_9F97502E.csv","added","5","0","5","olp_relation_function_support","support/source-use/interlinear route context; no source-body promotion"
"9f97502ef4bb6fdb94bfe95290a3cecbe5c064e8","61f213fafabc80e526dcb5a169b9a5e47732e4d8","uploader-transfer/olp-9f97502e-interlinear-terminology-d214-route-refresh-20260707/OLP_9F97502E_INTERLINEAR_TERMINOLOGY_D214_ROUTE_REFRESH_20260707/BRANCH_WEIGHT_MARGINAL_WITNESS_ROWS_9F97502E.csv","added","15","0","15","olp_relation_function_support","support/source-use/interlinear route context; no source-body promotion"
"9f97502ef4bb6fdb94bfe95290a3cecbe5c064e8","61f213fafabc80e526dcb5a169b9a5e47732e4d8","uploader-transfer/olp-9f97502e-interlinear-terminology-d214-route-refresh-20260707/OLP_9F97502E_INTERLINEAR_TERMINOLOGY_D214_ROUTE_REFRESH_20260707/DO_NOT_USE_ADVERSE_GUARD_ROWS_9F97502E.csv","added","12","0","12","olp_relation_function_support","support/source-use/interlinear route context; no source-body promotion"
"9f97502ef4bb6fdb94bfe95290a3cecbe5c064e8","61f213fafabc80e526dcb5a169b9a5e47732e4d8","uploader-transfer/olp-9f97502e-interlinear-terminology-d214-route-refresh-20260707/OLP_9F97502E_INTERLINEAR_TERMINOLOGY_D214_ROUTE_REFRESH_20260707/FORMULA_CONTEXT_SUMMARY_SOURCE_9F97502E.csv","added","6","0","6","olp_relation_function_support","support/source-use/interlinear route context; no source-body promotion"
"9f97502ef4bb6fdb94bfe95290a3cecbe5c064e8","61f213fafabc80e526dcb5a169b9a5e47732e4d8","uploader-transfer/olp-9f97502e-interlinear-terminology-d214-route-refresh-20260707/OLP_9F97502E_INTERLINEAR_TERMINOLOGY_D214_ROUTE_REFRESH_20260707/FORMULA_NEIGHBORING_USAGE_NOTES_9F97502E.csv","added","11","0","11","olp_relation_function_support","support/source-use/interlinear route context; no source-body promotion"
"9f97502ef4bb6fdb94bfe95290a3cecbe5c064e8","61f213fafabc80e526dcb5a169b9a5e47732e4d8","uploader-transfer/olp-9f97502e-interlinear-terminology-d214-route-refresh-20260707/OLP_9F97502E_INTERLINEAR_TERMINOLOGY_D214_ROUTE_REFRESH_20260707/INTERLINEAR_SCAFFOLD_ROWS_9F97502E.csv","added","11","0","11","olp_relation_function_support","support/source-use/interlinear route context; no source-body promotion"
"9f97502ef4bb6fdb94bfe95290a3cecbe5c064e8","61f213fafabc80e526dcb5a169b9a5e47732e4d8","uploader-transfer/olp-9f97502e-interlinear-terminology-d214-route-refresh-20260707/OLP_9F97502E_INTERLINEAR_TERMINOLOGY_D214_ROUTE_REFRESH_20260707/LOGBOOK_EXCERPT.md","added","16","0","16","olp_relation_function_support","support/source-use/interlinear route context; no source-body promotion"
"9f97502ef4bb6fdb94bfe95290a3cecbe5c064e8","61f213fafabc80e526dcb5a169b9a5e47732e4d8","uploader-transfer/olp-9f97502e-interlinear-terminology-d214-route-refresh-20260707/OLP_9F97502E_INTERLINEAR_TERMINOLOGY_D214_ROUTE_REFRESH_20260707/MANIFEST.csv","added","13","0","13","olp_relation_function_support","support/source-use/interlinear route context; no source-body promotion"
"9f97502ef4bb6fdb94bfe95290a3cecbe5c064e8","61f213fafabc80e526dcb5a169b9a5e47732e4d8","uploader-transfer/olp-9f97502e-interlinear-terminology-d214-route-refresh-20260707/OLP_9F97502E_INTERLINEAR_TERMINOLOGY_D214_ROUTE_REFRESH_20260707/PACKAGE_VALIDATION.json","added","27","0","27","olp_relation_function_support","support/source-use/interlinear route context; no source-body promotion"
"9f97502ef4bb6fdb94bfe95290a3cecbe5c064e8","61f213fafabc80e526dcb5a169b9a5e47732e4d8","uploader-transfer/olp-9f97502e-interlinear-terminology-d214-route-refresh-20260707/OLP_9F97502E_INTERLINEAR_TERMINOLOGY_D214_ROUTE_REFRESH_20260707/README.md","added","13","0","13","olp_relation_function_support","support/source-use/interlinear route context; no source-body promotion"
"9f97502ef4bb6fdb94bfe95290a3cecbe5c064e8","61f213fafabc80e526dcb5a169b9a5e47732e4d8","uploader-transfer/olp-9f97502e-interlinear-terminology-d214-route-refresh-20260707/OLP_9F97502E_INTERLINEAR_TERMINOLOGY_D214_ROUTE_REFRESH_20260707/ROUTE_CONTEXT_9F97502E.csv","added","18","0","18","olp_relation_function_support","support/source-use/interlinear route context; no source-body promotion"
