"lane","packet_frontier","packet_path","csv_name","row_count","bytes","sha256","source_use_label"
"B3","d9ea29b008edeac55aba342edb6948440bdb145d","C:\Users\memo_\Documents\Codex\2026-07-04\noether-github-package-steward-b3\outputs\B3_POST_C0CB1DB1_SLAVIC_OLP_INTERLANGUAGE_PERSIANATE_86B2_BATCH_20260707","B3_ACTION_SUMMARY.csv","1","322","7F92452AB9586A2F584A10DBD8DA6534FC4E26A7CA22D69945755983877D8F55","row-count inventory; not source certification"
"B3","d9ea29b008edeac55aba342edb6948440bdb145d","C:\Users\memo_\Documents\Codex\2026-07-04\noether-github-package-steward-b3\outputs\B3_POST_C0CB1DB1_SLAVIC_OLP_INTERLANGUAGE_PERSIANATE_86B2_BATCH_20260707","BRANCH_PR_STATE.csv","9","429","61E04593F1EDDADD65D9140986788E3AD4F313F18BD69DDBE5ECC5557C01F849","row-count inventory; not source certification"
"B3","d9ea29b008edeac55aba342edb6948440bdb145d","C:\Users\memo_\Documents\Codex\2026-07-04\noether-github-package-steward-b3\outputs\B3_POST_C0CB1DB1_SLAVIC_OLP_INTERLANGUAGE_PERSIANATE_86B2_BATCH_20260707","HELD_ROOTS_AND_BLOCKERS.csv","1","751","EE618A7619526E001D5FB83D524E6F9C293CF5A892D2BEA1A99C5A74C5D15FD8","row-count inventory; not source certification"
"B3","d9ea29b008edeac55aba342edb6948440bdb145d","C:\Users\memo_\Documents\Codex\2026-07-04\noether-github-package-steward-b3\outputs\B3_POST_C0CB1DB1_SLAVIC_OLP_INTERLANGUAGE_PERSIANATE_86B2_BATCH_20260707","MANIFEST_REPLAY.csv","107","27959","4D6AD920314B5DE7866E0A3C72FA19BA4EA1470942E6E1CA270EB22381CCA318","row-count inventory; not source certification"
"B3","d9ea29b008edeac55aba342edb6948440bdb145d","C:\Users\memo_\Documents\Codex\2026-07-04\noether-github-package-steward-b3\outputs\B3_POST_C0CB1DB1_SLAVIC_OLP_INTERLANGUAGE_PERSIANATE_86B2_BATCH_20260707","MANIFEST.csv","10","1966","1DD868788AE5F5609BF7897B94AD5969D70ECEE0B75404607707ABCD11D7C001","row-count inventory; not source certification"
"B3","d9ea29b008edeac55aba342edb6948440bdb145d","C:\Users\memo_\Documents\Codex\2026-07-04\noether-github-package-steward-b3\outputs\B3_POST_C0CB1DB1_SLAVIC_OLP_INTERLANGUAGE_PERSIANATE_86B2_BATCH_20260707","PACKAGE_FILE_LEDGER.csv","122","69135","937DE8FFAF9F88597DC00DE00F31A5D077ECF7D4F76677296EF3EBCED6869521","row-count inventory; not source certification"
"B3","d9ea29b008edeac55aba342edb6948440bdb145d","C:\Users\memo_\Documents\Codex\2026-07-04\noether-github-package-steward-b3\outputs\B3_POST_C0CB1DB1_SLAVIC_OLP_INTERLANGUAGE_PERSIANATE_86B2_BATCH_20260707","PACKAGE_ROOT_SUMMARY.csv","5","2632","B6085097AA1FBC7E7C8D319BD33080FB72BB7A37F221E4DB352211D0FCA9A299","row-count inventory; not source certification"
"B3","d9ea29b008edeac55aba342edb6948440bdb145d","C:\Users\memo_\Documents\Codex\2026-07-04\noether-github-package-steward-b3\outputs\B3_POST_C0CB1DB1_SLAVIC_OLP_INTERLANGUAGE_PERSIANATE_86B2_BATCH_20260707","POST_PUSH_BRANCH_BLOB_VERIFICATION_BY_FROZEN_OID.csv","133","37364","2CAB64B74E809FCAA2D83F35639B9938110C6AE5A52996478D2B37BA9E1D6E19","row-count inventory; not source certification"
"B3","d9ea29b008edeac55aba342edb6948440bdb145d","C:\Users\memo_\Documents\Codex\2026-07-04\noether-github-package-steward-b3\outputs\B3_POST_C0CB1DB1_SLAVIC_OLP_INTERLANGUAGE_PERSIANATE_86B2_BATCH_20260707","SAFETY_SCAN_HITS.csv","0","0","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","row-count inventory; not source certification"
"B3","d9ea29b008edeac55aba342edb6948440bdb145d","C:\Users\memo_\Documents\Codex\2026-07-04\noether-github-package-steward-b3\outputs\B3_POST_C0CB1DB1_SLAVIC_OLP_INTERLANGUAGE_PERSIANATE_86B2_BATCH_20260707","SHA256SUMS_REPLAY.csv","110","26757","89E46415569CA38EBE05F0BF43CCB6AFD76897EBA3D898190CEAFCB85D9E453F","row-count inventory; not source certification"
"B3","d9ea29b008edeac55aba342edb6948440bdb145d","C:\Users\memo_\Documents\Codex\2026-07-04\noether-github-package-steward-b3\outputs\B3_POST_D9EA29B0_R9_INTERLANGUAGE_HEARTBEAT_RECOVERY_BATCH_20260707","B3_ACTION_SUMMARY.csv","1","304","A6468C8E59A6EFFD8EF69422202A0485E8AA005C7B7A1AC26734B40A75449B24","row-count inventory; not source certification"
"B3","d9ea29b008edeac55aba342edb6948440bdb145d","C:\Users\memo_\Documents\Codex\2026-07-04\noether-github-package-steward-b3\outputs\B3_POST_D9EA29B0_R9_INTERLANGUAGE_HEARTBEAT_RECOVERY_BATCH_20260707","BRANCH_PR_STATE.csv","9","429","71409E13AEA351B5AAAAA17F9A88FF33F8DEC148F530F8AC259667437ED1CFC9","row-count inventory; not source certification"
"B3","d9ea29b008edeac55aba342edb6948440bdb145d","C:\Users\memo_\Documents\Codex\2026-07-04\noether-github-package-steward-b3\outputs\B3_POST_D9EA29B0_R9_INTERLANGUAGE_HEARTBEAT_RECOVERY_BATCH_20260707","MANIFEST_REPLAY.csv","35","8998","34B353EA695E55B6CA917757B2FFD2BEDBB1AA0DCC2D170B2C3A1C6FCCAF8DD5","row-count inventory; not source certification"
"B3","d9ea29b008edeac55aba342edb6948440bdb145d","C:\Users\memo_\Documents\Codex\2026-07-04\noether-github-package-steward-b3\outputs\B3_POST_D9EA29B0_R9_INTERLANGUAGE_HEARTBEAT_RECOVERY_BATCH_20260707","MANIFEST.csv","9","1769","30B4634B063B84F737EFB4F3C92D91B53EB380064240A08E907E5CEAEDF0AE42","row-count inventory; not source certification"
"B3","d9ea29b008edeac55aba342edb6948440bdb145d","C:\Users\memo_\Documents\Codex\2026-07-04\noether-github-package-steward-b3\outputs\B3_POST_D9EA29B0_R9_INTERLANGUAGE_HEARTBEAT_RECOVERY_BATCH_20260707","PACKAGE_FILE_LEDGER.csv","43","23178","7D18701D3322732585701364B81AE81A082B8BA9957EE1B3BE180E23D757AEA2","row-count inventory; not source certification"
"B3","d9ea29b008edeac55aba342edb6948440bdb145d","C:\Users\memo_\Documents\Codex\2026-07-04\noether-github-package-steward-b3\outputs\B3_POST_D9EA29B0_R9_INTERLANGUAGE_HEARTBEAT_RECOVERY_BATCH_20260707","PACKAGE_ROOT_SUMMARY.csv","3","1594","92E022ECBC1077173ACD37A470C77A837879D1B488B25BB5BF84B50B656BA839","row-count inventory; not source certification"
"B3","d9ea29b008edeac55aba342edb6948440bdb145d","C:\Users\memo_\Documents\Codex\2026-07-04\noether-github-package-steward-b3\outputs\B3_POST_D9EA29B0_R9_INTERLANGUAGE_HEARTBEAT_RECOVERY_BATCH_20260707","POST_PUSH_BRANCH_BLOB_VERIFICATION_BY_FROZEN_OID.csv","53","14465","2C51E3E6223BE14068D9D8BB3921763967DC56BA1AC31D89022FF56D2C34D310","row-count inventory; not source certification"
"B3","d9ea29b008edeac55aba342edb6948440bdb145d","C:\Users\memo_\Documents\Codex\2026-07-04\noether-github-package-steward-b3\outputs\B3_POST_D9EA29B0_R9_INTERLANGUAGE_HEARTBEAT_RECOVERY_BATCH_20260707","SAFETY_SCAN_HITS.csv","0","0","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","row-count inventory; not source certification"
"B3","d9ea29b008edeac55aba342edb6948440bdb145d","C:\Users\memo_\Documents\Codex\2026-07-04\noether-github-package-steward-b3\outputs\B3_POST_D9EA29B0_R9_INTERLANGUAGE_HEARTBEAT_RECOVERY_BATCH_20260707","SHA256SUMS_REPLAY.csv","35","8497","301E5E3E2CF19A4C15092726413838FAF5EAC76ECB4E1484A6F4FF1020DDFB6F","row-count inventory; not source certification"
"R9","d9ea29b008edeac55aba342edb6948440bdb145d","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r9-africa-horn-west\outputs\R9_D9EA29B0_FRONTIER_CORRECTION_RECOVERY_20260707","MANIFEST.csv","12","2135","5B08683D2C005A2694BA831206ECD7433207F9BC90EED9974DDB63077FBBB41E","row-count inventory; not source certification"
"R9","d9ea29b008edeac55aba342edb6948440bdb145d","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r9-africa-horn-west\outputs\R9_D9EA29B0_FRONTIER_CORRECTION_RECOVERY_20260707","PACKAGE_VALIDATION_20260707.csv","3","500","B36625422EFAE8516B9A4B0CDB25F46FA193EE1252C327A554E5C2DBFE1B0DE2","row-count inventory; not source certification"
"R9","d9ea29b008edeac55aba342edb6948440bdb145d","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r9-africa-horn-west\outputs\R9_D9EA29B0_FRONTIER_CORRECTION_RECOVERY_20260707","R9_D9EA29B0_B3_HANDOFF_BOUNDARIES_20260707.csv","1","1267","0E213E948D6696F8A39F43B9245C39384F949C74D723647B5E2C6283760D78C6","row-count inventory; not source certification"
"R9","d9ea29b008edeac55aba342edb6948440bdb145d","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r9-africa-horn-west\outputs\R9_D9EA29B0_FRONTIER_CORRECTION_RECOVERY_20260707","R9_D9EA29B0_BRANCH_INSTRUCTION_READ_ROWS_20260707.csv","9","4732","F06D09C07AD86D36E3C8139D6ED20F0ABA2B7438C932BCE3F16118B0A0BD2622","row-count inventory; not source certification"
"R9","d9ea29b008edeac55aba342edb6948440bdb145d","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r9-africa-horn-west\outputs\R9_D9EA29B0_FRONTIER_CORRECTION_RECOVERY_20260707","R9_D9EA29B0_BRANCH_ROUTE_ROWS_20260707.csv","1","904","31E13D7C71712146F10C72134665563AF259D05DAF8458B58D12CB6D45827741","row-count inventory; not source certification"
"R9","d9ea29b008edeac55aba342edb6948440bdb145d","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r9-africa-horn-west\outputs\R9_D9EA29B0_FRONTIER_CORRECTION_RECOVERY_20260707","R9_D9EA29B0_BRANCH_VISIBLE_PATH_ROWS_20260707.csv","133","94216","9C09A02CF4D475B40775E408C7BBE153E0F81F364230EAF2E086EF21F2EDBEF1","row-count inventory; not source certification"
"R9","d9ea29b008edeac55aba342edb6948440bdb145d","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r9-africa-horn-west\outputs\R9_D9EA29B0_FRONTIER_CORRECTION_RECOVERY_20260707","R9_D9EA29B0_EXACT_BLOCKER_RECOVERY_ROWS_20260707.csv","4","2784","2B62B59859C033E8BC4790772139AA81EEBD24F3160DE7308BB3A39EB270D629","row-count inventory; not source certification"
"R9","d9ea29b008edeac55aba342edb6948440bdb145d","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r9-africa-horn-west\outputs\R9_D9EA29B0_FRONTIER_CORRECTION_RECOVERY_20260707","R9_D9EA29B0_R9_SOURCE_RETURN_CARRYFORWARD_ROWS_20260707.csv","7","6671","28B5D91F5191115A31F3E09FA7E56AB5246E9CB80A72B55F64362E2DAD6F29BF","row-count inventory; not source certification"
"R9","d9ea29b008edeac55aba342edb6948440bdb145d","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r9-africa-horn-west\outputs\R9_D9EA29B0_FRONTIER_CORRECTION_RECOVERY_20260707","R9_D9EA29B0_SOURCE_USE_GAP_FABLE_ADVERSE_ROWS_20260707.csv","7","5336","A15D114DD3D94153D8D02D5A765902B86936E49EA1223B3D5C1EC5407C5DA5B1","row-count inventory; not source certification"
"R9","c0cb1db12e5a4288159b0cd030eab8c05c53ce91","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r9-africa-horn-west\outputs\R9_C0CB1DB1_HEARTBEAT_INSTRUCTION_RECOVERY_20260707","MANIFEST.csv","12","2211","9787AAFA2EEE683F91873FB0424DD1B88832DC64B3F1A2C36FF5140FF26FCA31","row-count inventory; not source certification"
"R9","c0cb1db12e5a4288159b0cd030eab8c05c53ce91","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r9-africa-horn-west\outputs\R9_C0CB1DB1_HEARTBEAT_INSTRUCTION_RECOVERY_20260707","PACKAGE_VALIDATION_20260707.csv","2","332","EEA12DE91FCDCF95579D66D0338E6ECB6A5DBEF3F8432C80F2BBD58DC8E78EBD","row-count inventory; not source certification"
"R9","c0cb1db12e5a4288159b0cd030eab8c05c53ce91","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r9-africa-horn-west\outputs\R9_C0CB1DB1_HEARTBEAT_INSTRUCTION_RECOVERY_20260707","R9_C0CB1DB1_BRANCH_INSTRUCTION_READ_ROWS_20260707.csv","9","4732","F06D09C07AD86D36E3C8139D6ED20F0ABA2B7438C932BCE3F16118B0A0BD2622","row-count inventory; not source certification"
"R9","c0cb1db12e5a4288159b0cd030eab8c05c53ce91","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r9-africa-horn-west\outputs\R9_C0CB1DB1_HEARTBEAT_INSTRUCTION_RECOVERY_20260707","R9_C0CB1DB1_HEARTBEAT_B3_HANDOFF_BOUNDARIES_20260707.csv","1","1147","7A174065B5B21B6DDEFC9D8C8D23BA43A84DFB9EEDC7A76DF5C39BE73AE98D41","row-count inventory; not source certification"
