"Root","FileCount","TotalBytes","PackagePathCount"
"""interlanguage-sidecar/20260704","11","359907","0"
"coordination/UPLOAD_THE_WHOLE_CORPUS_AS_IS_REPEATED_DIRECTIVE_20260705","100","190100","0"
"coordination/URGENT_OTHER_AI_UPLOAD_EVERY_LATEX_SOURCE_BODY_20260705T111935.md","1","949","0"
"docs/pending-zenodo-uploads.md","1","1213388","0"
"docs/zenodo-records.md","1","89159","0"
"formalization/lean","1","1462","0"
"handoff-bodies/olp-relation-function-support-20260705","12","125916","0"
"interlanguage-sidecar/20260704","297","238369668","7"
"interlanguage-sidecar/20260705","60","12374442","0"
"interlanguage-sidecar/20260706","412","204284267","0"
"interlanguage-sidecar/fable-ledger-block-20260705","1","3095","0"
"interlanguage-sidecar/fable-turkic-gap-frontier-source-canon-20260705T210239Z","19","163985","0"
"interlanguage-sidecar/fable-turkic-source-canon-pass-20260705","28","47950446","0"
"interlanguage-sidecar/interlanguage-ac6f4e-arabic-authority-support-20260706","2","26980","0"
"interlanguage-sidecar/interlanguage-authority-c7fb-body-linked-standardization-20260706","37","2269973","0"
"interlanguage-sidecar/rtl-persianate-arabic-1a1110eb-current-head-comparison-20260706","1","6703","0"
"interlanguage-sidecar/rtl-persianate-arabic-212df-branch-advance-source-payload-20260706","1","18843","0"
"interlanguage-sidecar/rtl-persianate-arabic-212dfb-authority-enforcement-response-20260706","1","2146","0"
"interlanguage-sidecar/rtl-persianate-arabic-212dfb-branch-advance-gap-audit-20260706","2","6368","0"
"interlanguage-sidecar/rtl-persianate-arabic-8be81510-frontier-correction-20260706","1","6704","0"
"interlanguage-sidecar/rtl-persianate-arabic-9d7db086-current-head-followup-20260706","1","6704","0"
"interlanguage-sidecar/rtl-persianate-arabic-9d7db086-recovery-scaffold-increment-20260706","1","10372","0"
"interlanguage-sidecar/rtl-persianate-arabic-a2c52a42-branch-advance-delta-20260706","1","7149","0"
"interlanguage-sidecar/rtl-persianate-arabic-ac6f4-branch-head-alignment-20260706","1","2804","0"
"interlanguage-sidecar/rtl-persianate-arabic-ac6f4e-arabic-authority-support-integration-20260706","1","8715","0"
"interlanguage-sidecar/rtl-persianate-arabic-ad3e3aa-branch-drift-followup-20260706","1","6829","0"
"interlanguage-sidecar/rtl-persianate-arabic-authority-routing-integration-20260706","1","12414","0"
"interlanguage-sidecar/rtl-persianate-arabic-c7fb-current-head-continuation-20260706","1","11766","0"
"interlanguage-sidecar/rtl-persianate-arabic-c7fb-mutual-wake-source-backed-payload-20260706","3","350042","0"
"interlanguage-sidecar/rtl-persianate-arabic-exact-8f7-authority-replay-20260706","1","13084","0"
"interlanguage-sidecar/rtl-persianate-arabic-postpush-source-gated-pretranslation-20260706","1","7847","0"
"interlanguage-sidecar/whole-corpus-authority-routing-continuation-20260706","53","12058077","0"
"language-source-bodies/arabic-rtl-source-bodies-20260705","93","30812236","0"
"language-source-bodies/cjk","6","99692","0"
"language-source-bodies/cjk-draft-source-evidence-20260705","1","34583","0"
"language-source-bodies/cjk-native-source-evidence-20260705","3","476553","0"
"language-source-bodies/pan-turkic-source-bodies-20260705","34","33311619","0"
"language-source-bodies/persianate-tajik-source-bodies-20260705","3","85753","0"
"language-source-bodies/r6-indigenous-creole-sign-20260705","12","708690","0"
"language-source-bodies/r7-malay-sea-pacific-20260705","1","7482702","0"
"language-source-bodies/romance-b3-transfer-ready-20260706","13","1150946270","0"
"language-source-bodies/rtl-persianate-arabic","189","64873718","0"
"language-source-bodies/rtl-persianate-arabic-20260705-r3-full-source-bodies","42","15170730","0"
"language-source-bodies/rtl-persianate-arabic-20260705-r3-witness-layer","15","18559223","0"
"language-source-bodies/slavic-non-ru-uk-20260705","16","177494","0"
"manifests/author_level_zenodo_split_plan_20260603.md","1","6699","0"
"manifests/pending-zenodo-uploads","823","2297900","0"
"manifests/published-zenodo","6","7190","0"
"manifests/source_witness_quick_audit_20260604.md","1","34471","0"
"manifests/source-intake","30","268432","0"
"manifests/zenodo_public_record_coherence_audit_20260529.md","1","4137","0"
"manifests/zenodo_publish_log_20260603.md","1","12994","0"
"manifests/zenodo_upgrade_sweep_20260603.md","1","24722","0"
"manifests/zenodo-public-surface-audit.md","1","2948","0"
"manifests/zenodo-record-concept-doi-map.json","1","10005","0"
"manifests/zenodo-record-url-audit-map.json","1","10432","0"
"manifests/zenodo-records-current.json","1","11503","0"
"noether-slavic-handoff/20260629","1663","44677039","1662"
"noether-slavic-source-canon/20260704","509","23718775","0"
"noether-slavic-source-canon/FABLE_INTERLANGUAGE_PROGRAM_BLOCKING_DIRECTIVE_20260705.md","1","8476","0"
"noether-slavic-source-canon/UPLOAD_ALL_LATEX_SOURCE_BODIES_NOW_20260705.md","1","1901","0"
"noether-source-corpus-provenance/20260704","550","140644842","0"
"noether-source-corpus-provenance/FABLE_INTERLANGUAGE_PROGRAM_BLOCKING_DIRECTIVE_20260705.md","1","8476","0"
"noether-source-corpus-provenance/UPLOAD_ALL_LATEX_SOURCE_BODIES_NOW_20260705.md","1","2568","0"
"OTHER_AI_IMMEDIATE_LATEX_SOURCE_BODY_DIRECTIVE_20260704.md","1","3004","0"
"OTHER_AI_NATIVE_TEX_CORPUS_REQUIREMENT_20260705.md","1","2828","0"
"other-pc-coordination/20260705","1","4116","0"
"other-pc-coordination/non-slavic-core-20260705","1","3879","0"
"outputs/R3_WHOLE_CORPUS_33B23_FINAL_PACKET_INTEGRATION_20260706","12","209707","0"
"publish_staging/interlanguage-methodology","1","36627","0"
"scripts/source_intake","1","8669","0"
"session-pursued-goals/20260705","1","313","0"
"SOURCE_BODY_UPLOAD_QUEUE.md","1","4116","0"
"sources/classical","16","4634745","0"
"sources/deligne","201","67873119","0"
