"branch_head","claim","value","evidence_basis"
"2c2df6b09c48aa13b0341219929ae89ff3d5fe33","mapping","zero_or_false","No direct reviewer/source-return evidence changed counts in this pass."
"2c2df6b09c48aa13b0341219929ae89ff3d5fe33","translation","zero_or_false","No direct reviewer/source-return evidence changed counts in this pass."
"2c2df6b09c48aa13b0341219929ae89ff3d5fe33","approval","zero_or_false","No direct reviewer/source-return evidence changed counts in this pass."
"2c2df6b09c48aa13b0341219929ae89ff3d5fe33","native_review","zero_or_false","No direct reviewer/source-return evidence changed counts in this pass."
"2c2df6b09c48aa13b0341219929ae89ff3d5fe33","accepted_terminology","zero_or_false","No direct reviewer/source-return evidence changed counts in this pass."
"2c2df6b09c48aa13b0341219929ae89ff3d5fe33","license_clearance","zero_or_false","No direct reviewer/source-return evidence changed counts in this pass."
"2c2df6b09c48aa13b0341219929ae89ff3d5fe33","gate_promotion","zero_or_false","No direct reviewer/source-return evidence changed counts in this pass."
"2c2df6b09c48aa13b0341219929ae89ff3d5fe33","source_certification","zero_or_false","No direct reviewer/source-return evidence changed counts in this pass."
"2c2df6b09c48aa13b0341219929ae89ff3d5fe33","final_status","zero_or_false","No direct reviewer/source-return evidence changed counts in this pass."
"2c2df6b09c48aa13b0341219929ae89ff3d5fe33","bridge_pilot","zero_or_false","No direct reviewer/source-return evidence changed counts in this pass."
"2c2df6b09c48aa13b0341219929ae89ff3d5fe33","translation_completion","zero_or_false","No direct reviewer/source-return evidence changed counts in this pass."
