"field","value","source","boundary"
"current_live_frontier","516abae30cca69f3372944d9e320593d467bfa82","user delegation, OLP 516 README, and Non-Slavic 516 README","current head for this wake"
"prior_local_frontier","aab4cc97a4894c046ea9bb153f73210d8d0d2fa3","ACTIVE_SESSION_STATE before 516 build and previous packet README","local Persianate/Tajik packet lineage"
"intermediate_frontier","7748c119590f7f3937be5ed8aa5dfd3eca4ea7ed","user delegation and Non-Slavic 516 README","route context only"
"branch_delta_aab4_to_516_ahead_by","2","user delegation and Non-Slavic 516 README","route delta count only"
"branch_delta_aab4_to_516_changed_paths","187","user delegation and Non-Slavic 516 README","route delta count only"
"commit_1","7748C119 Add 32E OLP Persianate Tajik returns batch","user delegation","route/package visibility only"
"commit_2","516ABAE3 Add 2DE R3 Non-Slavic route context returns","user delegation and OLP 516 README","route/package visibility only"
"b3_7748_package","B3_POST_7748C119_2DE_R3_NONSLAVIC_ROUTE_CONTEXT_RETURNS_20260707","sibling B3 output","source-use/provenance/gap only"
"b3_7748_boundary","2DE R3/Non-Slavic route-context source-use/provenance/gap only; no source-body promotion or canonical translation rows","B3_ACTION_SUMMARY.csv and README.md","zero-promotion boundary"
"b3_7748_packaged_roots","2","B3_ACTION_SUMMARY.csv","package replay context only"
"b3_7748_package_files","70","B3_ACTION_SUMMARY.csv","package replay context only"
"b3_7748_manifest_bad","0","B3_ACTION_SUMMARY.csv","package replay context only"
"b3_7748_sha_bad","0","B3_ACTION_SUMMARY.csv","package replay context only"
"b3_7748_safety_hits","0","B3_ACTION_SUMMARY.csv","package replay context only"
"non_slavic_516_package","NON_SLAVIC_CORE_516ABAE3_AAB4_7748_ROUTE_CONTEXT_RECOVERY_20260707","sibling Non-Slavic output","route/source-use/provenance/gap only"
"non_slavic_516_no_local_child_packet","true","Non-Slavic 516 README","absence recorded as blocker/recovery evidence"
"non_slavic_516_persian_farsi_status","generated-draft/manual-review only; fa_IR manual-review rows 4; source-use/Fable rows 5","EIGHT_LANE_ROUTING_ROWS_516ABAE3.csv","fa_IR carryforward only"
"non_slavic_516_dari_status","independent blocker; prs_AF blocker rows 4","EIGHT_LANE_ROUTING_ROWS_516ABAE3.csv","prs_AF blocker only"
"non_slavic_516_tajik_status","source-discovery-only; tg_Cyrl_TJ discovery rows 12; promoted term rows 0","EIGHT_LANE_ROUTING_ROWS_516ABAE3.csv","tg_Cyrl_TJ discovery-only"
"olp_zero_reviewer_mapping_translation_approval","0/0/0/0","OLP_516ABAE3_REVIEW_BOUNDARY_7748_ROUTE_20260707 README","zero-claim boundary"
"direct_persianate_source_body_evidence_changed","false","B3 7748 README, Non-Slavic 516 README, OLP 516 README files, and local packet scan","no fa_IR/prs_AF/tg_Cyrl_TJ promotion"
"local_git_verification","blocked: not a git repository in this language-lane workspace","git status in local workspace","record blocker; do not push"
"language_lane_push","no","user instruction and packet policy","handoff only"
