artifact_id,branch_head,remote_path,tree_sha,bytes,category,required_action,source_use_label,boundary
212DFB-B3-0001,212dfb1c7728f7c23274714434aa35d590e1aab7,audits/r3-branch-reconciliation-b3-delta-audit-20260706/BRANCH_R3_VISIBLE_PATHS.csv,6ff9f78219a3c1886b33547dc27cd96e477a53cf,901055,b3-package-artifact,route to B3 package/safety inspection,branch-visible-packaged-artifact-index,index only; B3 owns staging/push/source-publication decisions
212DFB-B3-0002,212dfb1c7728f7c23274714434aa35d590e1aab7,audits/r3-branch-reconciliation-b3-delta-audit-20260706/BRANCH_RECONCILIATION_MATRIX.csv,295060f38f629be06d19b2128817acf5033d6001,12461,b3-package-artifact,route to B3 package/safety inspection,branch-visible-packaged-artifact-index,index only; B3 owns staging/push/source-publication decisions
212DFB-B3-0003,212dfb1c7728f7c23274714434aa35d590e1aab7,audits/r3-branch-reconciliation-b3-delta-audit-20260706/BRANCH_STATE_AND_VALIDATION.json,8bf577d091e5ab94f01de97143b41b5507cec0dc,977,b3-package-artifact,route to B3 package/safety inspection,branch-visible-packaged-artifact-index,index only; B3 owns staging/push/source-publication decisions
212DFB-B3-0004,212dfb1c7728f7c23274714434aa35d590e1aab7,audits/r3-branch-reconciliation-b3-delta-audit-20260706/EXACT_BRANCH_ROOT_FILE_COMPARISON.csv,8c0242a17fef8c4e7174185478d463e29ac2a79a,161940,b3-package-artifact,route to B3 package/safety inspection,branch-visible-packaged-artifact-index,index only; B3 owns staging/push/source-publication decisions
212DFB-B3-0005,212dfb1c7728f7c23274714434aa35d590e1aab7,audits/r3-branch-reconciliation-b3-delta-audit-20260706/EXACT_BRANCH_ROOT_ROLLUP.csv,45ca2dd2b07035d0ea34eebb7a391e72b48cebcb,562,b3-package-artifact,route to B3 package/safety inspection,branch-visible-packaged-artifact-index,index only; B3 owns staging/push/source-publication decisions
212DFB-B3-0006,212dfb1c7728f7c23274714434aa35d590e1aab7,audits/r3-branch-reconciliation-b3-delta-audit-20260706/LANGUAGE_BOUNDARY_AND_SCRIPT_GUARDS.csv,ef6239f49ba541079e8a5b3633dee8c44f178b18,1396,b3-package-artifact,route to B3 package/safety inspection,branch-visible-packaged-artifact-index,index only; B3 owns staging/push/source-publication decisions
212DFB-B3-0007,212dfb1c7728f7c23274714434aa35d590e1aab7,audits/r3-branch-reconciliation-b3-delta-audit-20260706/LOCAL_R3_ARTIFACT_INVENTORY.csv,d0f8c275903357eee65d1f53becedc00ed94c26b,4057,b3-package-artifact,route to B3 package/safety inspection,branch-visible-packaged-artifact-index,index only; B3 owns staging/push/source-publication decisions
212DFB-B3-0008,212dfb1c7728f7c23274714434aa35d590e1aab7,audits/r3-branch-reconciliation-b3-delta-audit-20260706/LOCAL_R3_FILE_DELTA_FOR_B3.csv,01cb3d8b5f782c65fc22ac6570529df05d0bca6c,233844,b3-package-artifact,route to B3 package/safety inspection,branch-visible-packaged-artifact-index,index only; B3 owns staging/push/source-publication decisions
212DFB-B3-0009,212dfb1c7728f7c23274714434aa35d590e1aab7,audits/r3-branch-reconciliation-b3-delta-audit-20260706/LOGBOOK_EXCERPT.md,013a62feb409c169961ea1b0b8f98f6bdb66c2af,897,b3-package-artifact,route to B3 package/safety inspection,branch-visible-packaged-artifact-index,index only; B3 owns staging/push/source-publication decisions
212DFB-B3-0010,212dfb1c7728f7c23274714434aa35d590e1aab7,audits/r3-branch-reconciliation-b3-delta-audit-20260706/MANIFEST.csv,e302811a0dda23ef96c5c46e744e38e2358f414a,3187,b3-package-artifact,route to B3 package/safety inspection,branch-visible-packaged-artifact-index,index only; B3 owns staging/push/source-publication decisions
212DFB-B3-0011,212dfb1c7728f7c23274714434aa35d590e1aab7,audits/r3-branch-reconciliation-b3-delta-audit-20260706/NEXT_UPLOAD_AND_RECOVERY_ACTIONS.csv,06b72c3a6864388c1f526baada1e6e2a94fa28c6,1400,b3-package-artifact,route to B3 package/safety inspection,branch-visible-packaged-artifact-index,index only; B3 owns staging/push/source-publication decisions
212DFB-B3-0012,212dfb1c7728f7c23274714434aa35d590e1aab7,audits/r3-branch-reconciliation-b3-delta-audit-20260706/README.md,614e2a09379ebae021faad922d9d436c8b583f8a,1934,b3-package-artifact,route to B3 package/safety inspection,branch-visible-packaged-artifact-index,index only; B3 owns staging/push/source-publication decisions
212DFB-B3-0013,212dfb1c7728f7c23274714434aa35d590e1aab7,audits/r3-branch-reconciliation-b3-delta-audit-20260706/ROW_TOTALS_BLOCKERS_AND_DRAFT_COUNTS.csv,5bd6c257d2541f918021ff59d19c857e92b5eedd,5147,b3-package-artifact,route to B3 package/safety inspection,branch-visible-packaged-artifact-index,index only; B3 owns staging/push/source-publication decisions
212DFB-B3-0014,212dfb1c7728f7c23274714434aa35d590e1aab7,audits/r3-branch-reconciliation-b3-delta-audit-20260706/SCRIPT_CODEPOINT_NOTES_CARRIED_FORWARD.csv,e881ab29bc9cb3d604e30b7da6720d055a22e069,4337,b3-package-artifact,route to B3 package/safety inspection,branch-visible-packaged-artifact-index,index only; B3 owns staging/push/source-publication decisions
212DFB-B3-0015,212dfb1c7728f7c23274714434aa35d590e1aab7,audits/r3-branch-reconciliation-b3-delta-audit-20260706/SHA256SUMS.txt,03ea6bcdbb34c1245f1becb69c3aaf65ad6261fe,1365,b3-package-artifact,route to B3 package/safety inspection,branch-visible-packaged-artifact-index,index only; B3 owns staging/push/source-publication decisions
212DFB-B3-0016,212dfb1c7728f7c23274714434aa35d590e1aab7,handoff-bodies/olp-relation-function-support-20260705/MANIFEST.csv,58688999d72c351c80bcacb3097c9138f1502d69,99122,b3-package-artifact,route to B3 package/safety inspection,branch-visible-packaged-artifact-index,index only; B3 owns staging/push/source-publication decisions
212DFB-B3-0017,212dfb1c7728f7c23274714434aa35d590e1aab7,handoff-bodies/olp-relation-function-support-20260705/README.md,a422f3f6437aebaf667739e2ea8d9e70dcb70f12,1316,b3-package-artifact,route to B3 package/safety inspection,branch-visible-packaged-artifact-index,index only; B3 owns staging/push/source-publication decisions
212DFB-B3-0018,212dfb1c7728f7c23274714434aa35d590e1aab7,handoff-bodies/olp-relation-function-support-20260705/SHA256SUMS.txt,53167743ad77d703f078b7ed07a1066350e55878,34538,b3-package-artifact,route to B3 package/safety inspection,branch-visible-packaged-artifact-index,index only; B3 owns staging/push/source-publication decisions
212DFB-B3-0019,212dfb1c7728f7c23274714434aa35d590e1aab7,handoff-bodies/olp-relation-function-support-20260705/SOURCE_USE_LABELS.csv,cf5e106dc6edae2060ee9b70df16d2a4b1559959,862,b3-package-artifact,route to B3 package/safety inspection,branch-visible-packaged-artifact-index,index only; B3 owns staging/push/source-publication decisions
212DFB-B3-0020,212dfb1c7728f7c23274714434aa35d590e1aab7,handoff-bodies/olp-relation-function-support-20260705/blockers/BLOCKERS.csv,0242a18e08be26ca86370ffc5ed274e6d52c6ad8,849,b3-package-artifact,route to B3 package/safety inspection,branch-visible-packaged-artifact-index,index only; B3 owns staging/push/source-publication decisions
212DFB-B3-0021,212dfb1c7728f7c23274714434aa35d590e1aab7,handoff-bodies/olp-relation-function-support-20260705/bodies/aata/COPYING_at_master.txt,fdde1638bab1f4bca75f5e57698ec0729906caf8,427,b3-package-artifact,route to B3 package/safety inspection,branch-visible-packaged-artifact-index,index only; B3 owns staging/push/source-publication decisions
212DFB-B3-0022,212dfb1c7728f7c23274714434aa35d590e1aab7,handoff-bodies/olp-relation-function-support-20260705/bodies/aata/README_at_master.md,18f713302bab58b89b9d5d7466e57f3333c0ea5a,445,b3-package-artifact,route to B3 package/safety inspection,branch-visible-packaged-artifact-index,index only; B3 owns staging/push/source-publication decisions
212DFB-B3-0023,212dfb1c7728f7c23274714434aa35d590e1aab7,handoff-bodies/olp-relation-function-support-20260705/bodies/aata/cache_manifest.json,2dec3d908b28f97253ced58aeb170b66a9da5a9c,5589,b3-package-artifact,route to B3 package/safety inspection,branch-visible-packaged-artifact-index,index only; B3 owns staging/push/source-publication decisions
212DFB-B3-0024,212dfb1c7728f7c23274714434aa35d590e1aab7,handoff-bodies/olp-relation-function-support-20260705/bodies/aata/github_master_branch_metadata.json,211024ebb11966a7b17344e0b759fcb7959f98b9,3591,b3-package-artifact,route to B3 package/safety inspection,branch-visible-packaged-artifact-index,index only; B3 owns staging/push/source-publication decisions
212DFB-B3-0025,212dfb1c7728f7c23274714434aa35d590e1aab7,handoff-bodies/olp-relation-function-support-20260705/bodies/aata/github_repo_metadata.json,276094a07b31409bcc88b9be090090b51f41fc58,4971,b3-package-artifact,route to B3 package/safety inspection,branch-visible-packaged-artifact-index,index only; B3 owns staging/push/source-publication decisions
