branch_head,branch_visible_path,git_mode,git_type,git_object_id,git_reported_bytes,visibility_role,source_use_label,accepted_translation_evidence,promotion_allowed,boundary_note
212dfb1c7728f7c23274714434aa35d590e1aab7,ARCHIVE_MAINTENANCE_REVIEW_R9_PAYLOAD_20260705.md,100644,blob,17d7907bb72e262a2ac332df766ebe52d25ae88f,2102,branch-visible-r9-or-related-artifact,branch-visible-package-or-history-evidence,false,false,"source-use/recovery/generated-draft/non-canonical only; no native review, accepted terminology, approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
212dfb1c7728f7c23274714434aa35d590e1aab7,interlanguage-sidecar/20260704/expanded_source_anchors_20260704/noether-r9-africa-horn-west/arxiv.org/arxiv_2601.03403.pdf,100644,blob,2a826fc6001e13279c61a4b61da3553ac35f86dd,177805,branch-visible-r9-or-related-artifact,branch-visible-package-or-history-evidence,false,false,"source-use/recovery/generated-draft/non-canonical only; no native review, accepted terminology, approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
212dfb1c7728f7c23274714434aa35d590e1aab7,language-source-bodies/r9-africa-horn-west-20260705/MANIFEST.csv,100644,blob,3014164129e51ca2428fc5bf7bbbab0ad0140362,6158,branch-visible-r9-source-body-baseline,branch-visible-package-or-history-evidence,false,false,"source-use/recovery/generated-draft/non-canonical only; no native review, accepted terminology, approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
212dfb1c7728f7c23274714434aa35d590e1aab7,language-source-bodies/r9-africa-horn-west-20260705/MANIFEST.json,100644,blob,c077d5470f68514b16c4c0d50858d33f8547a8e0,8557,branch-visible-r9-source-body-baseline,branch-visible-package-or-history-evidence,false,false,"source-use/recovery/generated-draft/non-canonical only; no native review, accepted terminology, approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
212dfb1c7728f7c23274714434aa35d590e1aab7,language-source-bodies/r9-africa-horn-west-20260705/README.md,100644,blob,cf3a521742b52407e59c10207bf05976080e9176,2159,branch-visible-r9-source-body-baseline,branch-visible-package-or-history-evidence,false,false,"source-use/recovery/generated-draft/non-canonical only; no native review, accepted terminology, approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
212dfb1c7728f7c23274714434aa35d590e1aab7,language-source-bodies/r9-africa-horn-west-20260705/SHA256SUMS.txt,100644,blob,89ac9d01bc63cff527919ddaf9b1a3151d33b32d,1880,branch-visible-r9-source-body-baseline,branch-visible-package-or-history-evidence,false,false,"source-use/recovery/generated-draft/non-canonical only; no native review, accepted terminology, approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
212dfb1c7728f7c23274714434aa35d590e1aab7,language-source-bodies/r9-africa-horn-west-20260705/logs/SESSION_LOGBOOK_20260705_excerpt.md,100644,blob,43349cdfded031aabf1b674021fb62f2cfd91aca,1601,branch-visible-r9-source-body-baseline,branch-visible-package-or-history-evidence,false,false,"source-use/recovery/generated-draft/non-canonical only; no native review, accepted terminology, approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
212dfb1c7728f7c23274714434aa35d590e1aab7,language-source-bodies/r9-africa-horn-west-20260705/source_archives/ha/FazamMV23_HausaMath_4c35f0abeb88.zip,100644,blob,624c3da34856b9baacb4d4687473904512edf7aa,5585304,branch-visible-r9-source-body-baseline,branch-visible-package-or-history-evidence,false,false,"source-use/recovery/generated-draft/non-canonical only; no native review, accepted terminology, approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
212dfb1c7728f7c23274714434aa35d590e1aab7,language-source-bodies/r9-africa-horn-west-20260705/source_archives/tig/arxiv_2601_03403_tigrinya_number_verbalization_eprint.tar,100644,blob,7d4169cef74b537b3b3b611d50abad111a115cac,680446,branch-visible-r9-source-body-baseline,branch-visible-package-or-history-evidence,false,false,"source-use/recovery/generated-draft/non-canonical only; no native review, accepted terminology, approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
212dfb1c7728f7c23274714434aa35d590e1aab7,language-source-bodies/r9-africa-horn-west-20260705/source_archives/tig/github_fgaim_tigrinya_numbers_main.zip,100644,blob,8b342863c6984e6f55a276dba62db2b0d3678768,80540,branch-visible-r9-source-body-baseline,branch-visible-package-or-history-evidence,false,false,"source-use/recovery/generated-draft/non-canonical only; no native review, accepted terminology, approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
212dfb1c7728f7c23274714434aa35d590e1aab7,language-source-bodies/r9-africa-horn-west-20260705/source_files/ha/hawiki-Lissafi-20200722.pdf,100644,blob,d4cc7674efb6c246db5cbdc9918ab704c9c94ffa,881857,branch-visible-r9-source-body-baseline,branch-visible-package-or-history-evidence,false,false,"source-use/recovery/generated-draft/non-canonical only; no native review, accepted terminology, approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
212dfb1c7728f7c23274714434aa35d590e1aab7,language-source-bodies/r9-africa-horn-west-20260705/source_files/tig/arxiv_2601_03403/00README.json,100644,blob,2e707809374cce758556436d251241b32152b303,484,branch-visible-r9-source-body-baseline,branch-visible-package-or-history-evidence,false,false,"source-use/recovery/generated-draft/non-canonical only; no native review, accepted terminology, approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
212dfb1c7728f7c23274714434aa35d590e1aab7,language-source-bodies/r9-africa-horn-west-20260705/source_files/tig/arxiv_2601_03403/GeezNotoSans-Light.ttf,100644,blob,07e552302210d0e85a0907585465ff7c11374c17,603328,branch-visible-r9-source-body-baseline,branch-visible-package-or-history-evidence,false,false,"source-use/recovery/generated-draft/non-canonical only; no native review, accepted terminology, approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
212dfb1c7728f7c23274714434aa35d590e1aab7,language-source-bodies/r9-africa-horn-west-20260705/source_files/tig/arxiv_2601_03403/GeezNotoSans-SemiBold.ttf,100644,blob,7133924242c79a810b52fe6a04f29cbf2da4c4fd,606140,branch-visible-r9-source-body-baseline,branch-visible-package-or-history-evidence,false,false,"source-use/recovery/generated-draft/non-canonical only; no native review, accepted terminology, approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
212dfb1c7728f7c23274714434aa35d590e1aab7,language-source-bodies/r9-africa-horn-west-20260705/source_files/tig/arxiv_2601_03403/icml2025.bst,100644,blob,f1a50e87853c5a25a1f072fecc8a99398413257f,27147,branch-visible-r9-source-body-baseline,branch-visible-package-or-history-evidence,false,false,"source-use/recovery/generated-draft/non-canonical only; no native review, accepted terminology, approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
212dfb1c7728f7c23274714434aa35d590e1aab7,language-source-bodies/r9-africa-horn-west-20260705/source_files/tig/arxiv_2601_03403/icml2025.sty,100644,blob,77d96c178ba616f66c6ac1a296ac6389a7a2241c,27558,branch-visible-r9-source-body-baseline,branch-visible-package-or-history-evidence,false,false,"source-use/recovery/generated-draft/non-canonical only; no native review, accepted terminology, approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
212dfb1c7728f7c23274714434aa35d590e1aab7,language-source-bodies/r9-africa-horn-west-20260705/source_files/tig/arxiv_2601_03403/main.bbl,100644,blob,641632e8363d6dad0a4ef1e6cce360f15f291f00,3206,branch-visible-r9-source-body-baseline,branch-visible-package-or-history-evidence,false,false,"source-use/recovery/generated-draft/non-canonical only; no native review, accepted terminology, approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
