"branch_file","status","additions","deletions","changes","raw_url","sha","c7fb_class","authority_effect","next_action"
"interlanguage-sidecar/whole-corpus-authority-routing-continuation-20260706/INTERLANGUAGE_WHOLE_CORPUS_8F7D1CB_CONTINUATION_20260706/branch_inputs/003__00_SET_EVERY_ASSIGNED_GOAL_VERBATIM_NOW_20260705.md","added","115","0","115","https://github.com/KokunoYumeto/modern-latex-manuscripts/raw/c7fb7e644e04102b67cc5da379ba9d4226feaef8/interlanguage-sidecar%2Fwhole-corpus-authority-routing-continuation-20260706%2FINTERLANGUAGE_WHOLE_CORPUS_8F7D1CB_CONTINUATION_20260706%2Fbranch_inputs%2F003__00_SET_EVERY_ASSIGNED_GOAL_VERBATIM_NOW_20260705.md","638a56849db82b1fe40d39ea2a650879fd1bbcd2","branch-visible R6-adjacent or authority file","does not grant native review, community consent, license clearance, source certification, gate promotion, or translation completion","B3 can package/pick up branch-visible audit; R6 lane keeps local source/recovery and draft support gated by underlying source bodies"
"transfer-audits/old-b-r6-alignment-8f7-current-branch-audit-20260706/OLD_B_R6_ALIGNMENT_8F7_WAKE_CURRENT_BRANCH_AUDIT_20260706T062245/B3_R6_UPLOADER_READY_QUEUE.csv","added","5","0","5","https://github.com/KokunoYumeto/modern-latex-manuscripts/raw/c7fb7e644e04102b67cc5da379ba9d4226feaef8/transfer-audits%2Fold-b-r6-alignment-8f7-current-branch-audit-20260706%2FOLD_B_R6_ALIGNMENT_8F7_WAKE_CURRENT_BRANCH_AUDIT_20260706T062245%2FB3_R6_UPLOADER_READY_QUEUE.csv","da84b78f4d15c990a5fcc82c776b6b09f8633b5d","branch-visible R6 transfer audit/replay","does not grant native review, community consent, license clearance, source certification, gate promotion, or translation completion","B3 can package/pick up branch-visible audit; R6 lane keeps local source/recovery and draft support gated by underlying source bodies"
"transfer-audits/old-b-r6-alignment-8f7-current-branch-audit-20260706/OLD_B_R6_ALIGNMENT_8F7_WAKE_CURRENT_BRANCH_AUDIT_20260706T062245/BRANCH_VISIBLE_R6_RELATED_PATHS_CURRENT.csv","added","725","0","725","https://github.com/KokunoYumeto/modern-latex-manuscripts/raw/c7fb7e644e04102b67cc5da379ba9d4226feaef8/transfer-audits%2Fold-b-r6-alignment-8f7-current-branch-audit-20260706%2FOLD_B_R6_ALIGNMENT_8F7_WAKE_CURRENT_BRANCH_AUDIT_20260706T062245%2FBRANCH_VISIBLE_R6_RELATED_PATHS_CURRENT.csv","3f5048b42e0d2d24805a794e6b666fb8c1c31dd9","branch-visible R6 transfer audit/replay","does not grant native review, community consent, license clearance, source certification, gate promotion, or translation completion","B3 can package/pick up branch-visible audit; R6 lane keeps local source/recovery and draft support gated by underlying source bodies"
"transfer-audits/old-b-r6-alignment-8f7-current-branch-audit-20260706/OLD_B_R6_ALIGNMENT_8F7_WAKE_CURRENT_BRANCH_AUDIT_20260706T062245/BRANCH_VISIBLE_R6_RELATED_ROOT_COUNTS_CURRENT.csv","added","12","0","12","https://github.com/KokunoYumeto/modern-latex-manuscripts/raw/c7fb7e644e04102b67cc5da379ba9d4226feaef8/transfer-audits%2Fold-b-r6-alignment-8f7-current-branch-audit-20260706%2FOLD_B_R6_ALIGNMENT_8F7_WAKE_CURRENT_BRANCH_AUDIT_20260706T062245%2FBRANCH_VISIBLE_R6_RELATED_ROOT_COUNTS_CURRENT.csv","eef0d956c088bd00b2c42f2d11a313fb29a8f21d","branch-visible R6 transfer audit/replay","does not grant native review, community consent, license clearance, source certification, gate promotion, or translation completion","B3 can package/pick up branch-visible audit; R6 lane keeps local source/recovery and draft support gated by underlying source bodies"
"transfer-audits/old-b-r6-alignment-8f7-current-branch-audit-20260706/OLD_B_R6_ALIGNMENT_8F7_WAKE_CURRENT_BRANCH_AUDIT_20260706T062245/COMMIT_FRONTIER_8F7_TO_CURRENT.csv","added","3","0","3","https://github.com/KokunoYumeto/modern-latex-manuscripts/raw/c7fb7e644e04102b67cc5da379ba9d4226feaef8/transfer-audits%2Fold-b-r6-alignment-8f7-current-branch-audit-20260706%2FOLD_B_R6_ALIGNMENT_8F7_WAKE_CURRENT_BRANCH_AUDIT_20260706T062245%2FCOMMIT_FRONTIER_8F7_TO_CURRENT.csv","99f997e9df751e8b980a7888bfdb8970ddd62ae0","branch-visible R6 transfer audit/replay","does not grant native review, community consent, license clearance, source certification, gate promotion, or translation completion","B3 can package/pick up branch-visible audit; R6 lane keeps local source/recovery and draft support gated by underlying source bodies"
"transfer-audits/old-b-r6-alignment-8f7-current-branch-audit-20260706/OLD_B_R6_ALIGNMENT_8F7_WAKE_CURRENT_BRANCH_AUDIT_20260706T062245/CREDENTIAL_PATTERN_SCAN.txt","added","2","0","2","https://github.com/KokunoYumeto/modern-latex-manuscripts/raw/c7fb7e644e04102b67cc5da379ba9d4226feaef8/transfer-audits%2Fold-b-r6-alignment-8f7-current-branch-audit-20260706%2FOLD_B_R6_ALIGNMENT_8F7_WAKE_CURRENT_BRANCH_AUDIT_20260706T062245%2FCREDENTIAL_PATTERN_SCAN.txt","9c20813d439d695c9757120fda39d5a0e7f99de0","branch-visible R6 transfer audit/replay","does not grant native review, community consent, license clearance, source certification, gate promotion, or translation completion","B3 can package/pick up branch-visible audit; R6 lane keeps local source/recovery and draft support gated by underlying source bodies"
"transfer-audits/old-b-r6-alignment-8f7-current-branch-audit-20260706/OLD_B_R6_ALIGNMENT_8F7_WAKE_CURRENT_BRANCH_AUDIT_20260706T062245/DELTA_8F7_TO_CURRENT_FILE_LEDGER.csv","added","99","0","99","https://github.com/KokunoYumeto/modern-latex-manuscripts/raw/c7fb7e644e04102b67cc5da379ba9d4226feaef8/transfer-audits%2Fold-b-r6-alignment-8f7-current-branch-audit-20260706%2FOLD_B_R6_ALIGNMENT_8F7_WAKE_CURRENT_BRANCH_AUDIT_20260706T062245%2FDELTA_8F7_TO_CURRENT_FILE_LEDGER.csv","34a622b0f5d41cdb5d7c8e0669b2e8e767175938","branch-visible R6 transfer audit/replay","does not grant native review, community consent, license clearance, source certification, gate promotion, or translation completion","B3 can package/pick up branch-visible audit; R6 lane keeps local source/recovery and draft support gated by underlying source bodies"
"transfer-audits/old-b-r6-alignment-8f7-current-branch-audit-20260706/OLD_B_R6_ALIGNMENT_8F7_WAKE_CURRENT_BRANCH_AUDIT_20260706T062245/DELTA_8F7_TO_CURRENT_R6_PATHS.csv","added","18","0","18","https://github.com/KokunoYumeto/modern-latex-manuscripts/raw/c7fb7e644e04102b67cc5da379ba9d4226feaef8/transfer-audits%2Fold-b-r6-alignment-8f7-current-branch-audit-20260706%2FOLD_B_R6_ALIGNMENT_8F7_WAKE_CURRENT_BRANCH_AUDIT_20260706T062245%2FDELTA_8F7_TO_CURRENT_R6_PATHS.csv","92732161dd1a1de5fc495109a2aa3980e33de195","branch-visible R6 transfer audit/replay","does not grant native review, community consent, license clearance, source certification, gate promotion, or translation completion","B3 can package/pick up branch-visible audit; R6 lane keeps local source/recovery and draft support gated by underlying source bodies"
"transfer-audits/old-b-r6-alignment-8f7-current-branch-audit-20260706/OLD_B_R6_ALIGNMENT_8F7_WAKE_CURRENT_BRANCH_AUDIT_20260706T062245/DELTA_8F7_TO_CURRENT_ROOT_COUNTS.csv","added","4","0","4","https://github.com/KokunoYumeto/modern-latex-manuscripts/raw/c7fb7e644e04102b67cc5da379ba9d4226feaef8/transfer-audits%2Fold-b-r6-alignment-8f7-current-branch-audit-20260706%2FOLD_B_R6_ALIGNMENT_8F7_WAKE_CURRENT_BRANCH_AUDIT_20260706T062245%2FDELTA_8F7_TO_CURRENT_ROOT_COUNTS.csv","0df5a124c7358c0f12202ecb6ce8564651125acd","branch-visible R6 transfer audit/replay","does not grant native review, community consent, license clearance, source certification, gate promotion, or translation completion","B3 can package/pick up branch-visible audit; R6 lane keeps local source/recovery and draft support gated by underlying source bodies"
"transfer-audits/old-b-r6-alignment-8f7-current-branch-audit-20260706/OLD_B_R6_ALIGNMENT_8F7_WAKE_CURRENT_BRANCH_AUDIT_20260706T062245/LOCAL_R6_OUTPUT_CATEGORY_COUNTS.csv","added","9","0","9","https://github.com/KokunoYumeto/modern-latex-manuscripts/raw/c7fb7e644e04102b67cc5da379ba9d4226feaef8/transfer-audits%2Fold-b-r6-alignment-8f7-current-branch-audit-20260706%2FOLD_B_R6_ALIGNMENT_8F7_WAKE_CURRENT_BRANCH_AUDIT_20260706T062245%2FLOCAL_R6_OUTPUT_CATEGORY_COUNTS.csv","cd8f501ac90df079fef0b8f6dd4d4590c1dc8b67","branch-visible R6 transfer audit/replay","does not grant native review, community consent, license clearance, source certification, gate promotion, or translation completion","B3 can package/pick up branch-visible audit; R6 lane keeps local source/recovery and draft support gated by underlying source bodies"
"transfer-audits/old-b-r6-alignment-8f7-current-branch-audit-20260706/OLD_B_R6_ALIGNMENT_8F7_WAKE_CURRENT_BRANCH_AUDIT_20260706T062245/LOCAL_R6_OUTPUT_EXTENSION_COUNTS.csv","added","10","0","10","https://github.com/KokunoYumeto/modern-latex-manuscripts/raw/c7fb7e644e04102b67cc5da379ba9d4226feaef8/transfer-audits%2Fold-b-r6-alignment-8f7-current-branch-audit-20260706%2FOLD_B_R6_ALIGNMENT_8F7_WAKE_CURRENT_BRANCH_AUDIT_20260706T062245%2FLOCAL_R6_OUTPUT_EXTENSION_COUNTS.csv","48e9306be8b90cacf01ae8bab0a8fa8fb4035927","branch-visible R6 transfer audit/replay","does not grant native review, community consent, license clearance, source certification, gate promotion, or translation completion","B3 can package/pick up branch-visible audit; R6 lane keeps local source/recovery and draft support gated by underlying source bodies"
"transfer-audits/old-b-r6-alignment-8f7-current-branch-audit-20260706/OLD_B_R6_ALIGNMENT_8F7_WAKE_CURRENT_BRANCH_AUDIT_20260706T062245/LOCAL_R6_OUTPUT_INVENTORY_WITH_SHA256.csv","added","727","0","727","https://github.com/KokunoYumeto/modern-latex-manuscripts/raw/c7fb7e644e04102b67cc5da379ba9d4226feaef8/transfer-audits%2Fold-b-r6-alignment-8f7-current-branch-audit-20260706%2FOLD_B_R6_ALIGNMENT_8F7_WAKE_CURRENT_BRANCH_AUDIT_20260706T062245%2FLOCAL_R6_OUTPUT_INVENTORY_WITH_SHA256.csv","2b001426e8d6237b31526f6081b61b0a9de03b13","branch-visible R6 transfer audit/replay","does not grant native review, community consent, license clearance, source certification, gate promotion, or translation completion","B3 can package/pick up branch-visible audit; R6 lane keeps local source/recovery and draft support gated by underlying source bodies"
"transfer-audits/old-b-r6-alignment-8f7-current-branch-audit-20260706/OLD_B_R6_ALIGNMENT_8F7_WAKE_CURRENT_BRANCH_AUDIT_20260706T062245/LOCAL_R6_OUTPUT_LARGEST_FILES_TOP50.csv","added","51","0","51","https://github.com/KokunoYumeto/modern-latex-manuscripts/raw/c7fb7e644e04102b67cc5da379ba9d4226feaef8/transfer-audits%2Fold-b-r6-alignment-8f7-current-branch-audit-20260706%2FOLD_B_R6_ALIGNMENT_8F7_WAKE_CURRENT_BRANCH_AUDIT_20260706T062245%2FLOCAL_R6_OUTPUT_LARGEST_FILES_TOP50.csv","b661a8c39b643c12d63821f8469d2d073c99e18b","branch-visible R6 transfer audit/replay","does not grant native review, community consent, license clearance, source certification, gate promotion, or translation completion","B3 can package/pick up branch-visible audit; R6 lane keeps local source/recovery and draft support gated by underlying source bodies"
"transfer-audits/old-b-r6-alignment-8f7-current-branch-audit-20260706/OLD_B_R6_ALIGNMENT_8F7_WAKE_CURRENT_BRANCH_AUDIT_20260706T062245/MANIFEST.csv","added","16","0","16","https://github.com/KokunoYumeto/modern-latex-manuscripts/raw/c7fb7e644e04102b67cc5da379ba9d4226feaef8/transfer-audits%2Fold-b-r6-alignment-8f7-current-branch-audit-20260706%2FOLD_B_R6_ALIGNMENT_8F7_WAKE_CURRENT_BRANCH_AUDIT_20260706T062245%2FMANIFEST.csv","af7fb8fa055f57927be122c7a51495c0d3765b34","branch-visible R6 transfer audit/replay","does not grant native review, community consent, license clearance, source certification, gate promotion, or translation completion","B3 can package/pick up branch-visible audit; R6 lane keeps local source/recovery and draft support gated by underlying source bodies"
"transfer-audits/old-b-r6-alignment-8f7-current-branch-audit-20260706/OLD_B_R6_ALIGNMENT_8F7_WAKE_CURRENT_BRANCH_AUDIT_20260706T062245/README.md","added","35","0","35","https://github.com/KokunoYumeto/modern-latex-manuscripts/raw/c7fb7e644e04102b67cc5da379ba9d4226feaef8/transfer-audits%2Fold-b-r6-alignment-8f7-current-branch-audit-20260706%2FOLD_B_R6_ALIGNMENT_8F7_WAKE_CURRENT_BRANCH_AUDIT_20260706T062245%2FREADME.md","bc975edfb84d59a44e1a904e72568ab99fcf4c3c","branch-visible R6 transfer audit/replay","does not grant native review, community consent, license clearance, source certification, gate promotion, or translation completion","B3 can package/pick up branch-visible audit; R6 lane keeps local source/recovery and draft support gated by underlying source bodies"
"transfer-audits/old-b-r6-alignment-8f7-current-branch-audit-20260706/OLD_B_R6_ALIGNMENT_8F7_WAKE_CURRENT_BRANCH_AUDIT_20260706T062245/SHA256SUMS.txt","added","16","0","16","https://github.com/KokunoYumeto/modern-latex-manuscripts/raw/c7fb7e644e04102b67cc5da379ba9d4226feaef8/transfer-audits%2Fold-b-r6-alignment-8f7-current-branch-audit-20260706%2FOLD_B_R6_ALIGNMENT_8F7_WAKE_CURRENT_BRANCH_AUDIT_20260706T062245%2FSHA256SUMS.txt","d2240252e56d1a6b59e36bf8b002019bdddf9da4","branch-visible R6 transfer audit/replay","does not grant native review, community consent, license clearance, source certification, gate promotion, or translation completion","B3 can package/pick up branch-visible audit; R6 lane keeps local source/recovery and draft support gated by underlying source bodies"
"transfer-audits/old-b-r6-alignment-8f7-current-branch-audit-20260706/OLD_B_R6_ALIGNMENT_8F7_WAKE_CURRENT_BRANCH_AUDIT_20260706T062245/SUMMARY.csv","added","2","0","2","https://github.com/KokunoYumeto/modern-latex-manuscripts/raw/c7fb7e644e04102b67cc5da379ba9d4226feaef8/transfer-audits%2Fold-b-r6-alignment-8f7-current-branch-audit-20260706%2FOLD_B_R6_ALIGNMENT_8F7_WAKE_CURRENT_BRANCH_AUDIT_20260706T062245%2FSUMMARY.csv","94d7e673a583838864e14c430632dec6f7353493","branch-visible R6 transfer audit/replay","does not grant native review, community consent, license clearance, source certification, gate promotion, or translation completion","B3 can package/pick up branch-visible audit; R6 lane keeps local source/recovery and draft support gated by underlying source bodies"
"transfer-audits/old-b-r6-alignment-8f7-current-branch-audit-20260706/OLD_B_R6_ALIGNMENT_8F7_WAKE_CURRENT_BRANCH_AUDIT_20260706T062245/SUMMARY.json","added","14","0","14","https://github.com/KokunoYumeto/modern-latex-manuscripts/raw/c7fb7e644e04102b67cc5da379ba9d4226feaef8/transfer-audits%2Fold-b-r6-alignment-8f7-current-branch-audit-20260706%2FOLD_B_R6_ALIGNMENT_8F7_WAKE_CURRENT_BRANCH_AUDIT_20260706T062245%2FSUMMARY.json","4172249097db744d153c87b1f675fdda6caca630","branch-visible R6 transfer audit/replay","does not grant native review, community consent, license clearance, source certification, gate promotion, or translation completion","B3 can package/pick up branch-visible audit; R6 lane keeps local source/recovery and draft support gated by underlying source bodies"
"transfer-audits/session12-20260705/B3_WHOLE_CORPUS_33B23_PACKAGE_QUEUE_20260706/B3_POST_8F7_R3_R6_INCREMENT_ACTUAL_COMMITTED_FILES_MANIFEST_20260706.csv","added","25","0","25","https://github.com/KokunoYumeto/modern-latex-manuscripts/raw/c7fb7e644e04102b67cc5da379ba9d4226feaef8/transfer-audits%2Fsession12-20260705%2FB3_WHOLE_CORPUS_33B23_PACKAGE_QUEUE_20260706%2FB3_POST_8F7_R3_R6_INCREMENT_ACTUAL_COMMITTED_FILES_MANIFEST_20260706.csv","19d1c8c0ded61900fcc6670cd722a1b523e99740","branch-visible R6-adjacent or authority file","does not grant native review, community consent, license clearance, source certification, gate promotion, or translation completion","B3 can package/pick up branch-visible audit; R6 lane keeps local source/recovery and draft support gated by underlying source bodies"
"transfer-audits/session12-20260705/B3_WHOLE_CORPUS_33B23_PACKAGE_QUEUE_20260706/B3_POST_8F7_R3_R6_INCREMENT_ACTUAL_COMMITTED_FILES_SHA256SUMS_20260706.txt","added","26","0","26","https://github.com/KokunoYumeto/modern-latex-manuscripts/raw/c7fb7e644e04102b67cc5da379ba9d4226feaef8/transfer-audits%2Fsession12-20260705%2FB3_WHOLE_CORPUS_33B23_PACKAGE_QUEUE_20260706%2FB3_POST_8F7_R3_R6_INCREMENT_ACTUAL_COMMITTED_FILES_SHA256SUMS_20260706.txt","56144bf3078d881da3d34d27916370b9213ce750","branch-visible R6-adjacent or authority file","does not grant native review, community consent, license clearance, source certification, gate promotion, or translation completion","B3 can package/pick up branch-visible audit; R6 lane keeps local source/recovery and draft support gated by underlying source bodies"
