"active_row_id","language_code","name","native_source_status","scoped_sufficiency_or_gap_scope","r6_packet_decision_before_8f7","applied_8f7_gate_ids","applied_8f7_gate_decision","prior_r6_source_witness_rows_from_authority_delta","authority_delta_recovery_gap_rows","required_next_artifact","next_gate_or_recovery_action","no_claim_boundary"
"R6-ACTIVE-001","bi","Bislama","source_canon_sufficient_for_scoped_draft_work","Official Vanuatu Matematiks/Saens school math/STEM register only; not higher algebra or invariant theory","covered by source-gated draft/interlinear support in this packet where matching form rows exist","8F7D-GATE-0021; 8F7D-GATE-0023; 8F7D-GATE-0024","generated-draft/noncanonical support remains allowed only for exact source-backed scope with adverse-evidence and normalization/reviewer questions","621","27","owner lane fills generated-draft/noncanonical target rendering, gloss, register alternatives, formula-neighboring usage note, adverse-evidence check, and reviewer question for source-gated rows","Exact official Matematiks/Saens PDF and Bislama dictionary/index captures are recorded in NOETHER_R6_BISLAMA_OFFICIAL_SOURCE_RETRY_ADDENDUM_20260705.csv; record reviewer/source-owner and reuse/license return before source-authority reader, terms, excerpts, translation, visual inventory, or pilot movement. National curriculum update rows R6-CR-P2-002/R6-CR-P2-002A still require exact capture or retirement.","no native review, accepted terminology, community consent, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, visual inventory, term spine, or translation completion"
"R6-ACTIVE-002","bi","Bislama, Papiamento/Papiamentu, Mauritian/Seychellois/Indian Ocean Creoles, Sranan/Guyanas, Jamaican Creole/Patois, Nigerian Pidgin, Krio, Tok Pisin, others","source_canon_insufficient","source_acquisition_or_gap_only","kept in blocker/source-recovery status","8F7D-GATE-0022","pointer/gap/recovery only; no draft/pretranslation/scaffold expansion from this row","621","27","owner lane fills generated-draft/noncanonical target rendering, gloss, register alternatives, formula-neighboring usage note, adverse-evidence check, and reviewer question for source-gated rows","Kreyol, Mauritius, Krio, Tok Pisin, Nigerian Pidgin, and Cape Verdean Kriolu route/candidate-source addenda are metadata only; continue named-language mathematical source-archive discovery before any source-archive claim.","no native review, accepted terminology, community consent, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, visual inventory, term spine, or translation completion"
"R6-ACTIVE-003","u","Cape Verdean Kriolu / Belize Kriol / other T0 creole rows","source_canon_insufficient","source_acquisition_or_gap_only","kept in blocker/source-recovery status","8F7D-GATE-0022","pointer/gap/recovery only; no draft/pretranslation/scaffold expansion from this row","621","27","owner lane fills generated-draft/noncanonical target rendering, gloss, register alternatives, formula-neighboring usage note, adverse-evidence check, and reviewer question for source-gated rows","Use NOETHER_R6_CAPE_VERDEAN_KRIOLU_SOURCE_ROUTE_ADDENDUM_20260705.csv for Cape Verdean Kriolu route/context provenance; exact Kriolu mathematics/STEM body or validated mathematical source archive, source-owner/reviewer return, and reuse decision remain required. Belize Kriol and other T0 creole rows remain separate blockers.","no native review, accepted terminology, community consent, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, visual inventory, term spine, or translation completion"
"R6-ACTIVE-004","jam","Jamaican Creole / Jamaican Patois","source_canon_insufficient","source_acquisition_or_gap_only","kept in blocker/source-recovery status","8F7D-GATE-0022","pointer/gap/recovery only; no draft/pretranslation/scaffold expansion from this row","621","27","owner lane fills generated-draft/noncanonical target rendering, gloss, register alternatives, formula-neighboring usage note, adverse-evidence check, and reviewer question for source-gated rows","no accepted source-authority row, term row, excerpt, reuse, translation, constructed surface, or pilot | no accepted source-authority row, term row, excerpt, reuse, translation, constructed surface, or pilot | Find Jamaican Creole/Patois math/numeracy/literacy-STEM source or reviewer route; English curriculum remains comparator only.","no native review, accepted terminology, community consent, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, visual inventory, term spine, or translation completion"
"R6-ACTIVE-005","jam","Jamaican Creole/Patois","source_canon_insufficient","source_acquisition_or_gap_only","kept in blocker/source-recovery status","8F7D-GATE-0022","pointer/gap/recovery only; no draft/pretranslation/scaffold expansion from this row","621","27","owner lane fills generated-draft/noncanonical target rendering, gloss, register alternatives, formula-neighboring usage note, adverse-evidence check, and reviewer question for source-gated rows","Find Patois STEM/numeracy witness or reviewer route.","no native review, accepted terminology, community consent, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, visual inventory, term spine, or translation completion"
"R6-ACTIVE-006","ht","Kreyol / Haitian Creole","source_canon_sufficient_for_scoped_draft_work","MIT-Ayiti Kreyol classroom mathematics/numeracy only; not MENFP body or invariant theory","covered by source-gated draft/interlinear support in this packet where matching form rows exist","8F7D-GATE-0021; 8F7D-GATE-0023; 8F7D-GATE-0024","generated-draft/noncanonical support remains allowed only for exact source-backed scope with adverse-evidence and normalization/reviewer questions","621","27","owner lane fills generated-draft/noncanonical target rendering, gloss, register alternatives, formula-neighboring usage note, adverse-evidence check, and reviewer question for source-gated rows","no excerpt, copied prose, term promotion, translation, surface, or pilot | no copied prose, excerpt, term promotion, translation, surface, or pilot | no copied media/prose, excerpt, term promotion, translation, surface, or pilot","no native review, accepted terminology, community consent, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, visual inventory, term spine, or translation completion"
"R6-ACTIVE-007","ht","Kreyol/Haitian Creole","source_canon_insufficient","source_acquisition_or_gap_only","kept in blocker/source-recovery status","8F7D-GATE-0022","pointer/gap/recovery only; no draft/pretranslation/scaffold expansion from this row","621","27","owner lane fills generated-draft/noncanonical target rendering, gloss, register alternatives, formula-neighboring usage note, adverse-evidence check, and reviewer question for source-gated rows","Use NOETHER_R6_KREYOL_MIT_AYITI_MENFP_SOURCE_ROUTE_ADDENDUM_20260705.csv for MIT-Ayiti route/context provenance; official MENFP-hosted Kreyol math body, source-owner/reviewer return, and reuse decision remain required.","no native review, accepted terminology, community consent, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, visual inventory, term spine, or translation completion"
"R6-ACTIVE-008","bi","Kreyol/Haitian Creole, Bislama, Papiamento/Papiamentu, Mauritian/Seychellois/Indian Ocean Creoles, Jamaican Creole/Patois, Nigerian Pidgin, Krio, Tok Pisin, Sranan/Guyanas, and adjacent named creole/contact rows","source_canon_insufficient","source_acquisition_or_gap_only","kept in blocker/source-recovery status","8F7D-GATE-0022","pointer/gap/recovery only; no draft/pretranslation/scaffold expansion from this row","621","27","owner lane fills generated-draft/noncanonical target rendering, gloss, register alternatives, formula-neighboring usage note, adverse-evidence check, and reviewer question for source-gated rows","Use Kreyol GitHub candidate rows, Nigerian Pidgin pcm source-file candidates, and Mauritius/Krio/Tok Pisin/Cape Verdean Kriolu official route captures as blocker metadata only; keep named creole/contact repositories separate and require file-level capture policy, license scope, mathematical content review, and reviewer/source-owner route.","no native review, accepted terminology, community consent, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, visual inventory, term spine, or translation completion"
"R6-ACTIVE-009","kri","Krio","source_canon_insufficient","source_acquisition_or_gap_only","kept in blocker/source-recovery status","8F7D-GATE-0022","pointer/gap/recovery only; no draft/pretranslation/scaffold expansion from this row","621","27","owner lane fills generated-draft/noncanonical target rendering, gloss, register alternatives, formula-neighboring usage note, adverse-evidence check, and reviewer question for source-gated rows","Use NOETHER_R6_KRIO_SIERRA_LEONE_MBSSE_SOURCE_ROUTE_ADDENDUM_20260705.csv for Krio/Sierra Leone route/context provenance; exact Krio mathematics/STEM body, source-owner/reviewer return, and reuse decision remain required.","no native review, accepted terminology, community consent, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, visual inventory, term spine, or translation completion"
"R6-ACTIVE-010","u","Mauritian/Seychellois/Indian Ocean Creoles","source_canon_insufficient","source_acquisition_or_gap_only","kept in blocker/source-recovery status","8F7D-GATE-0022","pointer/gap/recovery only; no draft/pretranslation/scaffold expansion from this row","621","27","owner lane fills generated-draft/noncanonical target rendering, gloss, register alternatives, formula-neighboring usage note, adverse-evidence check, and reviewer question for source-gated rows","Use NOETHER_R6_MAURITIUS_KREOL_MIE_SOURCE_ROUTE_ADDENDUM_20260705.csv for MIE route/context provenance; exact named-language math/STEM body, source-owner/reviewer return, and reuse decision remain required.","no native review, accepted terminology, community consent, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, visual inventory, term spine, or translation completion"
"R6-ACTIVE-011","pcm","Nigerian Pidgin","source_canon_insufficient","source_acquisition_or_gap_only","kept in blocker/source-recovery status","8F7D-GATE-0022","pointer/gap/recovery only; no draft/pretranslation/scaffold expansion from this row","621","27","owner lane fills generated-draft/noncanonical target rendering, gloss, register alternatives, formula-neighboring usage note, adverse-evidence check, and reviewer question for source-gated rows","Use NOETHER_R6_NIGERIAN_PIDGIN_SOURCE_ROUTE_ADDENDUM_20260705.csv for Nigerian Pidgin route/context/candidate-source provenance; exact Nigerian Pidgin mathematics/STEM body or validated mathematical source archive, source-owner/reviewer return, and reuse decision remain required.","no native review, accepted terminology, community consent, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, visual inventory, term spine, or translation completion"
"R6-ACTIVE-012","tpi","Nigerian Pidgin/Krio/Tok Pisin/Cape Verdean/Belize","source_canon_insufficient","source_acquisition_or_gap_only","kept in blocker/source-recovery status","8F7D-GATE-0022","pointer/gap/recovery only; no draft/pretranslation/scaffold expansion from this row","621","27","owner lane fills generated-draft/noncanonical target rendering, gloss, register alternatives, formula-neighboring usage note, adverse-evidence check, and reviewer question for source-gated rows","Nigerian Pidgin, Krio, Tok Pisin, and Cape Verdean Kriolu route contexts are now recorded in dated addenda; keep Belize Kriol and other rows separate and unresolved until exact named-language evidence lands.","no native review, accepted terminology, community consent, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, visual inventory, term spine, or translation completion"
"R6-ACTIVE-013","pap","Papiamento/Papiamentu","source_canon_insufficient","source_acquisition_or_gap_only","kept in blocker/source-recovery status","8F7D-GATE-0022","pointer/gap/recovery only; no draft/pretranslation/scaffold expansion from this row","621","27","owner lane fills generated-draft/noncanonical target rendering, gloss, register alternatives, formula-neighboring usage note, adverse-evidence check, and reviewer question for source-gated rows","Use the 20260705 Aruba route retry addendum for EA.AW blocker provenance; still split Aruba Papiamento vs Curacao Papiamentu and resolve exact source-body access before concept or support movement.","no native review, accepted terminology, community consent, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, visual inventory, term spine, or translation completion"
"R6-ACTIVE-014","pap","Papiamento/Papiamentu - Aruba","source_canon_insufficient","source_acquisition_or_gap_only","kept in blocker/source-recovery status","8F7D-GATE-0022","pointer/gap/recovery only; no draft/pretranslation/scaffold expansion from this row","621","27","owner lane fills generated-draft/noncanonical target rendering, gloss, register alternatives, formula-neighboring usage note, adverse-evidence check, and reviewer question for source-gated rows","Existing strict context rows do not close EA.AW catalog blockers. Use the 20260705 Aruba route retry addendum for Map/Rampa route evidence; resolve PDF source-body access, Aruba Papiamento reviewer/source-owner route, and reuse/license signal before source-authority or support movement.","no native review, accepted terminology, community consent, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, visual inventory, term spine, or translation completion"
"R6-ACTIVE-015","srn","Sranan / Saramaccan / Ndyuka / Guyanese Creole","source_canon_insufficient","source_acquisition_or_gap_only","kept in blocker/source-recovery status","8F7D-GATE-0022","pointer/gap/recovery only; no draft/pretranslation/scaffold expansion from this row","621","27","owner lane fills generated-draft/noncanonical target rendering, gloss, register alternatives, formula-neighboring usage note, adverse-evidence check, and reviewer question for source-gated rows","no accepted source-authority row, term row, excerpt, reuse, translation, constructed surface, or pilot | no accepted source-authority row, term row, excerpt, reuse, translation, constructed surface, or pilot | Find Suriname/Sranan or related named-language math/STEM source; keep Saramaccan/Ndyuka/Guyanese separate.","no native review, accepted terminology, community consent, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, visual inventory, term spine, or translation completion"
