"status","path","top_level","package_root","class","direct_r7_malay_sea_pacific_path","transfer_audit_r7_mention","literal_r7_source_body_hit","source_use_decision","label"
"A","coordination/non-slavic-core-6034c6b4-19b2-second-wave-visibility-route-20260707/NON_SLAVIC_CORE_6034C6B4_19B2_SECOND_WAVE_VISIBILITY_ROUTE_20260707/B3_HANDOFF_SENT_6034C6B4.md","coordination","non-slavic-core-6034c6b4-19b2-second-wave-visibility-route-20260707","coordination-route-context","False","False","False","non-r7-context-only","source-use/provenance context"
"A","coordination/non-slavic-core-6034c6b4-19b2-second-wave-visibility-route-20260707/NON_SLAVIC_CORE_6034C6B4_19B2_SECOND_WAVE_VISIBILITY_ROUTE_20260707/B3_PACKAGE_ROOT_SUMMARY_6034C6B4.csv","coordination","non-slavic-core-6034c6b4-19b2-second-wave-visibility-route-20260707","coordination-route-context","False","False","False","non-r7-context-only","source-use/provenance context"
"A","coordination/non-slavic-core-6034c6b4-19b2-second-wave-visibility-route-20260707/NON_SLAVIC_CORE_6034C6B4_19B2_SECOND_WAVE_VISIBILITY_ROUTE_20260707/B3_PACKAGE_SUMMARY_6034C6B4.csv","coordination","non-slavic-core-6034c6b4-19b2-second-wave-visibility-route-20260707","coordination-route-context","False","False","False","non-r7-context-only","source-use/provenance context"
"A","coordination/non-slavic-core-6034c6b4-19b2-second-wave-visibility-route-20260707/NON_SLAVIC_CORE_6034C6B4_19B2_SECOND_WAVE_VISIBILITY_ROUTE_20260707/BRANCH_COMPARE_SUMMARY_6034C6B4.csv","coordination","non-slavic-core-6034c6b4-19b2-second-wave-visibility-route-20260707","coordination-route-context","False","False","False","non-r7-context-only","source-use/provenance context"
"A","coordination/non-slavic-core-6034c6b4-19b2-second-wave-visibility-route-20260707/NON_SLAVIC_CORE_6034C6B4_19B2_SECOND_WAVE_VISIBILITY_ROUTE_20260707/CHILD_LANE_PACKET_INVENTORY_6034C6B4.csv","coordination","non-slavic-core-6034c6b4-19b2-second-wave-visibility-route-20260707","coordination-route-context","False","False","False","non-r7-context-only","source-use/provenance context"
"A","coordination/non-slavic-core-6034c6b4-19b2-second-wave-visibility-route-20260707/NON_SLAVIC_CORE_6034C6B4_19B2_SECOND_WAVE_VISIBILITY_ROUTE_20260707/CHILD_PACKET_CSV_ROW_COUNTS_6034C6B4.csv","coordination","non-slavic-core-6034c6b4-19b2-second-wave-visibility-route-20260707","coordination-route-context","False","False","False","non-r7-context-only","source-use/provenance context"
"A","coordination/non-slavic-core-6034c6b4-19b2-second-wave-visibility-route-20260707/NON_SLAVIC_CORE_6034C6B4_19B2_SECOND_WAVE_VISIBILITY_ROUTE_20260707/EIGHT_LANE_ROUTING_STATUS_6034C6B4.csv","coordination","non-slavic-core-6034c6b4-19b2-second-wave-visibility-route-20260707","coordination-route-context","False","False","False","non-r7-context-only","source-use/provenance context"
"A","coordination/non-slavic-core-6034c6b4-19b2-second-wave-visibility-route-20260707/NON_SLAVIC_CORE_6034C6B4_19B2_SECOND_WAVE_VISIBILITY_ROUTE_20260707/EXACT_BLOCKER_RECOVERY_ROWS_6034C6B4.csv","coordination","non-slavic-core-6034c6b4-19b2-second-wave-visibility-route-20260707","coordination-route-context","False","False","False","non-r7-context-only","source-use/provenance context"
"A","coordination/non-slavic-core-6034c6b4-19b2-second-wave-visibility-route-20260707/NON_SLAVIC_CORE_6034C6B4_19B2_SECOND_WAVE_VISIBILITY_ROUTE_20260707/MANIFEST.csv","coordination","non-slavic-core-6034c6b4-19b2-second-wave-visibility-route-20260707","coordination-route-context","False","False","False","non-r7-context-only","source-use/provenance context"
"A","coordination/non-slavic-core-6034c6b4-19b2-second-wave-visibility-route-20260707/NON_SLAVIC_CORE_6034C6B4_19B2_SECOND_WAVE_VISIBILITY_ROUTE_20260707/PACKET_MANIFEST_REPLAY_6034C6B4.csv","coordination","non-slavic-core-6034c6b4-19b2-second-wave-visibility-route-20260707","coordination-route-context","False","False","False","non-r7-context-only","source-use/provenance context"
"A","coordination/non-slavic-core-6034c6b4-19b2-second-wave-visibility-route-20260707/NON_SLAVIC_CORE_6034C6B4_19B2_SECOND_WAVE_VISIBILITY_ROUTE_20260707/README.md","coordination","non-slavic-core-6034c6b4-19b2-second-wave-visibility-route-20260707","coordination-route-context","False","False","False","non-r7-context-only","source-use/provenance context"
"A","coordination/non-slavic-core-6034c6b4-19b2-second-wave-visibility-route-20260707/NON_SLAVIC_CORE_6034C6B4_19B2_SECOND_WAVE_VISIBILITY_ROUTE_20260707/SHA256SUMS.txt","coordination","non-slavic-core-6034c6b4-19b2-second-wave-visibility-route-20260707","coordination-route-context","False","False","False","non-r7-context-only","source-use/provenance context"
